Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.19999997e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.59999996e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000003e-01,2.80259693e-42,4.20389539e-42,8.40779079e-42,7.30076500e-40
2.39999995e-01,8.02523631e-39,1.15831331e-38,2.86593562e-38,1.09322869e-35
2.80000001e-01,5.33213697e-34,7.82714577e-34,1.45166426e-33,5.87934373e-32
3.19999993e-01,4.04756935e-31,5.92321165e-31,1.73829283e-30,1.79265521e-27
3.60000014e-01,9.17708330e-26,1.33494888e-25,3.38899132e-25,3.14052393e-22
4.00000006e-01,3.41797685e-23,5.01509548e-23,1.61956501e-22,6.08541681e-19
4.39999998e-01,5.23175226e-20,7.68478319e-20,2.66985726e-19,3.54942401e-15
4.79999989e-01,1.28591554e-18,1.90560286e-18,8.15893899e-18,3.08992740e-13
5.19999981e-01,2.95490011e-16,4.37894805e-16,1.96279430e-15,3.35573513e-10
5.60000002e-01,4.70789637e-15,7.02615524e-15,3.82930178e-14,1.72565500e-08
6.00000024e-01,2.95975186e-13,4.42293608e-13,2.57425179e-12,5.32244712e-06
6.41029537e-01,4.09725422e-12,6.16326651e-12,4.33785334e-11,2.07923495e-05
6.83115125e-01,6.62335811e-11,9.99185734e-11,7.84441234e-10,6.73359900e-05
7.26283848e-01,8.81764606e-10,1.33874023e-09,1.31267210e-08,2.07395729e-04
7.70563781e-01,1.24572619e-08,1.90599891e-08,2.60730019e-07,7.95419386e-04
8.15983355e-01,9.56597077e-08,1.47684474e-07,2.69272550e-06,1.78380893e-03
8.62571895e-01,1.09712164e-06,1.71836859e-06,2.71485169e-05,6.27504755e-03
9.10359621e-01,5.84945246e-06,9.15547116e-06,1.12870795e-04,1.42259058e-02
9.59377348e-01,3.02589433e-05,4.71167004e-05,4.77102702e-04,2.64019910e-02
1.00965667e+00,1.66738435e-04,2.58021348e-04,2.13839719e-03,5.49125373e-02
1.06123006e+00,6.62281527e-04,1.01898354e-03,7.01469369e-03,8.99221003e-02
1.11413085e+00,2.17947527e-03,3.33268591e-03,1.87228564e-02,1.21161900e-01
1.16839325e+00,6.18185522e-03,9.38602537e-03,4.20292020e-02,1.56450927e-01
1.22405231e+00,1.55368801e-02,2.33387575e-02,7.66740516e-02,1.96616247e-01
1.28114390e+00,3.36154811e-02,4.97161411e-02,1.08980350e-01,2.44805530e-01
1.33970511e+00,6.03446476e-02,8.76811296e-02,1.29008114e-01,3.17964971e-01
1.39977336e+00,1.91439062e+04,2.68262441e+04,1.95935469e+04,3.24565625e+03
1.46138775e+00,2.45476445e+04,3.43937734e+04,2.48222148e+04,3.82404150e+03
1.52458799e+00,2.40149297e+04,3.36487031e+04,2.43565996e+04,3.79276709e+03
1.58941495e+00,2.49951855e+04,3.50245859e+04,2.54678281e+04,4.03922778e+03
1.65591037e+00,2.57316445e+04,3.60571680e+04,2.62430938e+04,4.15002441e+03
1.72411728e+00,2.63506250e+04,3.69248789e+04,2.68811562e+04,4.22860547e+03
1.79407966e+00,2.69717109e+04,3.77953438e+04,2.75106055e+04,4.29785986e+03
1.86584306e+00,2.76572891e+04,3.87559062e+04,2.81922227e+04,4.36683398e+03
1.93945324e+00,2.83871758e+04,3.97783086e+04,2.89090742e+04,4.43098340e+03
2.01495814e+00,2.90043281e+04,4.06418711e+04,2.94677793e+04,4.43257666e+03
2.09240627e+00,2.84073672e+04,3.98032500e+04,2.87441875e+04,4.21651660e+03
2.17184782e+00,2.62533789e+04,3.67840781e+04,2.64943945e+04,3.82856396e+03
2.25333428e+00,2.41087188e+04,3.37791758e+04,2.42992383e+04,3.47282910e+03
2.33691788e+00,2.26202012e+04,3.16932773e+04,2.27520273e+04,3.22622583e+03
2.42265272e+00,2.26019844e+04,3.16696484e+04,2.28164668e+04,3.30921924e+03
2.51059437e+00,2.52513027e+04,3.53820898e+04,2.54871875e+04,3.65782568e+03
2.60079956e+00,2.69724395e+04,3.77910430e+04,2.71140449e+04,3.82806250e+03
2.69332647e+00,2.90948359e+04,4.07651055e+04,2.93106133e+04,4.18712451e+03
2.78823495e+00,3.20333457e+04,4.48795273e+04,3.21331504e+04,4.47600977e+03
2.88558602e+00,2.92957559e+04,4.10415625e+04,2.92469297e+04,3.95152148e+03
2.98544264e+00,2.27133555e+04,3.18189102e+04,2.25978535e+04,2.95454785e+03
3.08786964e+00,1.55196094e+04,2.17399883e+04,1.53747402e+04,1.97346741e+03
3.19293284e+00,1.23823662e+04,1.73485762e+04,1.23861924e+04,1.68753784e+03
3.30070019e+00,1.59715127e+04,2.23781953e+04,1.59873027e+04,2.14766699e+03
3.41124129e+00,2.00179336e+04,2.80428242e+04,1.98468516e+04,2.53317139e+03
3.52462745e+00,1.97005430e+04,2.75981309e+04,1.95614102e+04,2.60355273e+03
3.64093208e+00,2.21510078e+04,3.10330137e+04,2.20737617e+04,3.05326782e+03
3.76023054e+00,2.12446426e+04,2.97629766e+04,2.11773633e+04,2.90928369e+03
3.88259912e+00,1.52112783e+04,2.13122188e+04,1.52422734e+04,2.11272510e+03
4.00811720e+00,1.23885068e+04,1.73559062e+04,1.23537051e+04,1.65691943e+03
4.13686609e+00,1.31619609e+04,1.84364980e+04,1.30010635e+04,1.65640552e+03
4.26892853e+00,1.51823633e+04,2.12639531e+04,1.48895391e+04,1.79781982e+03
4.40439081e+00,1.54209980e+04,2.15974492e+04,1.50923926e+04,1.80912549e+03
4.54333878e+00,1.53883711e+04,2.15533457e+04,1.51211445e+04,1.88220044e+03
4.68586397e+00,1.30652246e+04,1.82989551e+04,1.28434590e+04,1.62699414e+03
4.83205652e+00,8.47781055e+03,1.18750156e+04,8.39444629e+03,1.11412781e+03
4.98201227e+00,5.67687842e+03,7.95369678e+03,5.69688428e+03,8.05362671e+02
5.13582754e+00,4.76705664e+03,6.67924756e+03,4.79151562e+03,6.78945435e+02
5.29360199e+00,4.90284473e+03,6.86868164e+03,4.89435889e+03,6.67256348e+02
5.45543718e+00,5.61239941e+03,7.86175293e+03,5.56300000e+03,7.25085083e+02
5.62143755e+00,6.07219336e+03,8.50525391e+03,5.99771387e+03,7.66376099e+02
5.79171038e+00,6.08453906e+03,8.52281055e+03,6.01979883e+03,7.80177856e+02
5.96636629e+00,5.80892432e+03,8.13703223e+03,5.75812891e+03,7.57577332e+02
6.14551687e+00,5.50519824e+03,7.71126660e+03,5.44716602e+03,7.11366333e+02
6.32927942e+00,5.23721484e+03,7.33534863e+03,5.16287158e+03,6.64724915e+02
6.51777077e+00,4.99613770e+03,6.99781885e+03,4.92941406e+03,6.43490723e+02
6.71111441e+00,4.78150342e+03,6.69796631e+03,4.74482812e+03,6.40834839e+02
6.90943432e+00,4.42697559e+03,6.20202148e+03,4.41734082e+03,6.12286865e+02
7.11285782e+00,4.04101611e+03,5.66137891e+03,4.03735034e+03,5.63503052e+02
7.32151794e+00,3.93266431e+03,5.50907861e+03,3.91554541e+03,5.39954224e+02
7.53554821e+00,4.19579199e+03,5.87743750e+03,4.16925098e+03,5.68083618e+02
7.75508738e+00,4.51556348e+03,6.32594873e+03,4.50322119e+03,6.13763062e+02
7.98027754e+00,4.27639160e+03,5.99126025e+03,4.27579541e+03,5.79245422e+02
8.21126270e+00,3.28901489e+03,4.60802393e+03,3.29188379e+03,4.45323730e+02
8.44819450e+00,2.65032178e+03,3.71340771e+03,2.66078418e+03,3.66930359e+02
8.69122219e+00,3.29337402e+03,4.61360645e+03,3.27859106e+03,4.27504852e+02
8.94050789e+00,3.70446436e+03,5.18777637e+03,3.63221436e+03,4.54070557e+02
9.19620800e+00,3.42446631e+03,4.79644482e+03,3.38940576e+03,4.67043976e+02
9.45849037e+00,3.84421021e+03,5.38550830e+03,3.84224780e+03,5.39140869e+02
9.72752285e+00,3.99657178e+03,5.59782861e+03,3.95333496e+03,5.12421509e+02
1.00034800e+01,2.94794629e+03,4.12908398e+03,2.91792554e+03,3.78462891e+02
1.02865391e+01,2.35560254e+03,3.30018311e+03,2.35671191e+03,3.15014313e+02
1.05768833e+01,2.56715894e+03,3.59635815e+03,2.56372559e+03,3.48700500e+02
1.08747025e+01,3.00762646e+03,4.21345508e+03,3.00630127e+03,4.11581787e+02
1.11801853e+01,3.17280371e+03,4.44412109e+03,3.14312549e+03,3.99925568e+02
1.14935322e+01,2.74465430e+03,3.84308203e+03,2.67171777e+03,3.08522644e+02
1.18149433e+01,1.98898645e+03,2.78427881e+03,1.91318164e+03,2.13227524e+02
1.21446266e+01,1.37601538e+03,1.92640039e+03,1.33227283e+03,1.59013626e+02
1.24827967e+01,1.11815393e+03,1.56586414e+03,1.10003052e+03,1.42054092e+02
1.28296700e+01,1.09488489e+03,1.53339392e+03,1.08147974e+03,1.40804047e+02
1.31854706e+01,1.19568774e+03,1.67442456e+03,1.17635315e+03,1.49490524e+02
1.35504293e+01,1.43239221e+03,2.00558154e+03,1.39819482e+03,1.71754181e+02
1.39247818e+01,1.83463513e+03,2.56853613e+03,1.78258838e+03,2.13801361e+02
1.43087692e+01,2.41554077e+03,3.38200146e+03,2.35198364e+03,2.74245605e+02
1.47026405e+01,2.99231934e+03,4.18946631e+03,2.90443579e+03,3.25627045e+02
1.51066484e+01,3.18298071e+03,4.45616309e+03,3.08021582e+03,3.65426514e+02
1.55210552e+01,3.18973364e+03,4.46710840e+03,3.14667358e+03,4.19083801e+02
1.59461288e+01,3.28065552e+03,4.59577393e+03,3.27952246e+03,4.22021637e+02
1.63821430e+01,3.16486401e+03,4.43193408e+03,3.08507373e+03,3.21647034e+02
1.68293781e+01,2.22326099e+03,3.11085596e+03,2.06151538e+03,1.58900146e+02
1.72881241e+01,9.10878357e+02,1.27317004e+03,7.89234253e+02,4.05547867e+01
1.77586803e+01,1.97295380e+02,2.75373016e+02,1.55470261e+02,4.28589964e+00
1.82413464e+01,2.32460022e+01,3.23814583e+01,1.59620762e+01,1.43091857e-01
1.87364349e+01,1.63594925e+00,2.27284384e+00,9.24017251e-01,5.08816098e-04
1.92442665e+01,7.45236725e-02,1.03183299e-01,3.21476683e-02,3.17105844e-08
1.97651691e+01,2.30713328e-03,3.18056205e-03,6.88750471e-04,5.54703061e-10
2.02994785e+01,4.97788933e-05,6.82517275e-05,9.10103245e-06,8.88431516e-12
2.08475418e+01,7.60701198e-07,1.03748130e-06,1.25259902e-07,1.26895930e-13
2.14097099e+01,8.34258529e-09,1.13860885e-08,1.48626500e-09,1.80197810e-15
2.19863453e+01,6.61631444e-11,9.03783992e-11,1.23082065e-11,2.08666401e-17
2.25778236e+01,3.82171074e-13,5.22462824e-13,7.37796800e-14,1.69545349e-19
2.31845264e+01,1.62493159e-15,2.22138943e-15,3.26240960e-16,9.65234048e-22
2.38068466e+01,5.10856158e-18,6.98853963e-18,1.06434767e-18,4.02272046e-24
2.44451809e+01,1.19121723e-20,1.63037767e-20,2.56843639e-21,1.23455730e-26
2.50999470e+01,2.07659808e-23,2.84315063e-23,4.61372597e-24,2.78621878e-29
2.57715645e+01,2.74435341e-26,3.75840175e-26,6.25264327e-27,4.60378895e-32
2.64604683e+01,2.81343819e-29,3.85385142e-29,6.54249913e-30,5.73802300e-35
2.71671047e+01,2.31094416e-32,3.16610411e-32,5.46264861e-33,5.53008426e-38
2.78919277e+01,1.58026432e-35,2.16536520e-35,3.78444179e-36,2.24207754e-41
