Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.47773116e-03,2.39626272e-03,1.52008653e-01,4.37067032e+01
7.99999982e-02,2.97597889e-03,4.64506261e-03,2.20460936e-01,5.00475464e+01
1.19999997e-01,4.84817754e-03,7.49252411e-03,2.46637434e-01,5.44570312e+01
1.59999996e-01,9.01708659e-03,1.39399935e-02,2.62028128e-01,5.71368561e+01
2.00000003e-01,1.10654160e-02,1.66333094e-02,2.64930844e-01,5.73845444e+01
2.39999995e-01,1.72438063e-02,2.60506012e-02,2.61160761e-01,5.76435318e+01
2.80000001e-01,2.04218440e-02,3.04442178e-02,2.52230555e-01,5.71435165e+01
3.19999993e-01,2.73422003e-02,4.04546410e-02,2.41270661e-01,5.65430946e+01
3.60000014e-01,3.05896103e-02,4.46410514e-02,2.30376437e-01,5.57242203e+01
4.00000006e-01,3.95233259e-02,5.64798787e-02,2.20520526e-01,5.49186325e+01
4.39999998e-01,3.97413746e-02,5.58954552e-02,2.12136075e-01,5.41355209e+01
4.79999989e-01,4.79029045e-02,6.62055612e-02,2.05004409e-01,5.34164886e+01
5.19999981e-01,4.63128723e-02,6.30363822e-02,1.99401349e-01,5.27633018e+01
5.60000002e-01,5.17489649e-02,6.96811229e-02,1.94721967e-01,5.22138557e+01
6.00000024e-01,5.06582260e-02,6.75998032e-02,1.90871656e-01,5.17271080e+01
6.41029537e-01,5.38977273e-02,7.19702989e-02,1.87512785e-01,5.14153709e+01
6.83115125e-01,5.05393222e-02,6.73023760e-02,1.84562474e-01,5.11195297e+01
7.26283848e-01,4.76536229e-02,6.34250045e-02,1.81959450e-01,5.10074005e+01
7.70563781e-01,4.33042869e-02,5.77172004e-02,1.79693907e-01,5.10105820e+01
8.15983355e-01,4.14764844e-02,5.46095073e-02,1.77697897e-01,5.12633629e+01
8.62571895e-01,3.63609493e-02,4.79343794e-02,1.76060885e-01,5.14696350e+01
9.10359621e-01,3.31376642e-02,4.36828434e-02,1.74728751e-01,5.23527946e+01
9.59377348e-01,2.89547760e-02,3.85954976e-02,1.73520043e-01,5.25766869e+01
1.00965667e+00,2.60160491e-02,3.48825417e-02,1.72738045e-01,5.39808922e+01
1.06123006e+00,2.35565417e-02,3.18432972e-02,1.72197685e-01,5.45626945e+01
1.11413085e+00,2.10962705e-02,2.88714655e-02,1.72048941e-01,5.72452774e+01
1.16839325e+00,1.90140605e-02,2.63386574e-02,1.72346205e-01,5.80708961e+01
1.22405231e+00,1.72925182e-02,2.42161937e-02,1.73365414e-01,6.25866661e+01
1.28114390e+00,1.61429327e-02,2.28215195e-02,1.76577270e-01,6.38015251e+01
1.33970511e+00,1.60406996e-02,2.29405575e-02,1.87727824e-01,6.93117599e+01
1.39977336e+00,2.07119609e+04,2.89975820e+04,1.94289160e+04,1.23633679e+03
1.46138775e+00,2.62457402e+04,3.67002266e+04,2.20341582e+04,1.36709033e+03
1.52458799e+00,1.59127666e+04,2.22459531e+04,1.35086348e+04,1.00384222e+03
1.58941495e+00,1.46875273e+04,2.05467344e+04,1.30688906e+04,1.21193701e+03
1.65591037e+00,1.43431543e+04,2.00720547e+04,1.30901660e+04,1.34894543e+03
1.72411728e+00,1.46017129e+04,2.04395508e+04,1.35957627e+04,1.51902637e+03
1.79407966e+00,1.54484746e+04,2.16297520e+04,1.46194043e+04,1.72017407e+03
1.86584306e+00,1.66224609e+04,2.32768184e+04,1.58927637e+04,1.91286816e+03
1.93945324e+00,1.76128047e+04,2.46641992e+04,1.68618340e+04,2.00144568e+03
2.01495814e+00,1.78033555e+04,2.49291699e+04,1.69410742e+04,1.96751477e+03
2.09240627e+00,1.71140469e+04,2.39617168e+04,1.61651553e+04,1.84471338e+03
2.17184782e+00,1.59581973e+04,2.23416758e+04,1.49713281e+04,1.70099731e+03
2.25333428e+00,1.45946953e+04,2.04314238e+04,1.36031074e+04,1.55305042e+03
2.33691788e+00,1.33755537e+04,1.87247695e+04,1.24511484e+04,1.47731470e+03
