Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.65954920e-12,1.48021595e-11,8.24185664e-10,2.10394673e-02
7.99999982e-02,2.78460189e-11,4.35926746e-11,3.41856921e-09,6.08643740e-02
1.19999997e-01,7.07389911e-11,1.10985714e-10,7.77877673e-09,1.26566648e-01
1.59999996e-01,2.17021789e-10,3.40584116e-10,2.13732569e-08,1.90784574e-01
2.00000003e-01,5.19469801e-10,8.21151258e-10,9.23411534e-08,2.27645501e-01
2.39999995e-01,1.16791599e-09,1.84704185e-09,4.10802812e-07,4.15422559e-01
2.80000001e-01,2.47878340e-09,3.93085919e-09,1.46706589e-06,5.48429966e-01
3.19999993e-01,5.47002044e-09,8.69326300e-09,4.62195476e-06,8.21093798e-01
3.60000014e-01,9.69646408e-09,1.54247335e-08,1.32019841e-05,1.00609684e+00
4.00000006e-01,1.73293309e-08,2.75692251e-08,3.01093241e-05,1.33152902e+00
4.39999998e-01,3.05420080e-08,4.87020131e-08,5.28798410e-05,1.55070412e+00
4.79999989e-01,4.93669106e-08,7.89787435e-08,9.25835120e-05,1.90044236e+00
5.19999981e-01,8.02165090e-08,1.29022993e-07,1.55403002e-04,2.18423653e+00
5.60000002e-01,1.29463828e-07,2.10014733e-07,2.45532108e-04,2.55913544e+00
6.00000024e-01,2.11873711e-07,3.48057569e-07,3.92439077e-04,2.91062546e+00
6.41029537e-01,3.53987446e-07,5.90431341e-07,5.80084918e-04,3.34058619e+00
6.83115125e-01,5.96027974e-07,1.01177261e-06,8.34931619e-04,3.78095293e+00
7.26283848e-01,1.35145604e-06,2.37276367e-06,1.60779769e-03,4.27453423e+00
7.70563781e-01,2.17550132e-06,3.90614878e-06,2.26071011e-03,4.83025026e+00
8.15983355e-01,6.23167080e-06,1.15085259e-05,5.42140193e-03,5.43329239e+00
8.62571895e-01,1.58735093e-05,2.92488712e-05,1.03165172e-02,6.06578588e+00
9.10359621e-01,6.22382358e-05,1.12322574e-04,2.19868850e-02,6.75024128e+00
9.59377348e-01,2.01891700e-04,3.58558114e-04,3.89670059e-02,7.46791124e+00
1.00965667e+00,5.81120257e-04,1.01381307e-03,6.49181455e-02,8.22488976e+00
1.06123006e+00,1.32375408e-03,2.27481499e-03,9.46846381e-02,9.02664089e+00
1.11413085e+00,2.54011806e-03,4.30164253e-03,1.18651092e-01,9.88706017e+00
1.16839325e+00,4.10395954e-03,6.84307097e-03,1.30476952e-01,1.08112059e+01
1.22405231e+00,5.72085334e-03,9.40313097e-03,1.29904628e-01,1.17747669e+01
1.28114390e+00,7.13167386e-03,1.15376916e-02,1.21032007e-01,1.27649403e+01
1.33970511e+00,8.09647702e-03,1.29115190e-02,1.06676497e-01,1.37367411e+01
1.39977336e+00,2.02033555e+04,2.83018438e+04,2.00720371e+04,2.15746729e+03
1.46138775e+00,2.60400312e+04,3.64569688e+04,2.45031680e+04,2.06282471e+03
1.52458799e+00,1.56738555e+04,2.19416250e+04,1.47955166e+04,1.36562891e+03
1.58941495e+00,1.47491240e+04,2.06536758e+04,1.42425996e+04,1.52294727e+03
1.65591037e+00,1.45567129e+04,2.03872305e+04,1.42072568e+04,1.62504309e+03
1.72411728e+00,1.45374199e+04,2.03620430e+04,1.42818389e+04,1.70455811e+03
