Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.56087655e-01,5.28473675e-01,5.82789135e+00,1.15349579e+02
7.99999982e-02,3.60776722e-01,5.33551276e-01,6.32738733e+00,1.16038292e+02
1.19999997e-01,3.61055255e-01,5.33958435e-01,6.73922825e+00,1.16281136e+02
1.59999996e-01,3.65525365e-01,5.41804314e-01,7.35815239e+00,1.16857773e+02
2.00000003e-01,3.85359436e-01,5.73148012e-01,8.15662766e+00,1.17147522e+02
2.39999995e-01,4.23893750e-01,6.31259143e-01,9.15225220e+00,1.17565781e+02
2.80000001e-01,4.69442010e-01,6.99643254e-01,1.03019495e+01,1.17819878e+02
3.19999993e-01,5.20823598e-01,7.77310789e-01,1.15833788e+01,1.18101456e+02
3.60000014e-01,5.75259864e-01,8.60068262e-01,1.30038843e+01,1.18226303e+02
4.00000006e-01,6.37210310e-01,9.54781115e-01,1.45840836e+01,1.18321091e+02
4.39999998e-01,7.04799116e-01,1.05805099e+00,1.63146973e+01,1.18342606e+02
4.79999989e-01,7.83644795e-01,1.17836356e+00,1.82281208e+01,1.18278412e+02
5.19999981e-01,8.73372376e-01,1.31599557e+00,2.03400726e+01,1.18160034e+02
5.60000002e-01,9.82899010e-01,1.48561001e+00,2.26370697e+01,1.17946358e+02
6.00000024e-01,1.11219943e+00,1.68472230e+00,2.50531998e+01,1.17525162e+02
6.41029537e-01,1.27321482e+00,1.93207979e+00,2.76596069e+01,1.17097946e+02
6.83115125e-01,1.47203839e+00,2.23653436e+00,3.04112511e+01,1.16507004e+02
7.26283848e-01,1.72259390e+00,2.61741185e+00,3.31882286e+01,1.16113998e+02
7.70563781e-01,2.01113772e+00,3.05184555e+00,3.58013496e+01,1.21073944e+02
8.15983355e-01,2.29987454e+00,3.48211741e+00,3.81986809e+01,1.20167740e+02
8.62571895e-01,2.53856516e+00,3.83319688e+00,4.05507736e+01,1.23659996e+02
9.10359621e-01,2.72708678e+00,4.11182690e+00,4.31858063e+01,1.17497742e+02
9.59377348e-01,2.91166615e+00,4.38813448e+00,4.63855820e+01,1.32416046e+02
1.00965667e+00,3.16763520e+00,4.77424049e+00,5.02943153e+01,1.21938950e+02
1.06123006e+00,3.54840970e+00,5.34765148e+00,5.49153519e+01,1.27590073e+02
