Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.06836067e-06,1.39023887e-05,8.02393242e-06,3.61046344e-02
7.99999982e-02,3.45382723e-05,5.30886173e-05,2.45775209e-05,1.04667678e-01
1.19999997e-01,8.05729942e-05,1.21138102e-04,3.37743004e-05,1.82036847e-01
1.59999996e-01,1.49298125e-04,2.20521149e-04,5.07320437e-05,3.17429125e-01
2.00000003e-01,2.37259010e-04,3.46461748e-04,7.14012931e-05,4.93962049e-01
2.39999995e-01,3.23063403e-04,4.69330407e-04,9.48581510e-05,6.53189123e-01
2.80000001e-01,4.32303117e-04,6.25083107e-04,1.37071998e-04,8.15306067e-01
3.19999993e-01,5.38704102e-04,7.75828725e-04,1.89525294e-04,9.83609319e-01
3.60000014e-01,6.58540288e-04,9.44991014e-04,2.92323180e-04,1.15587461e+00
4.00000006e-01,7.58505135e-04,1.08371838e-03,4.00138320e-04,1.36768150e+00
4.39999998e-01,8.43437971e-04,1.20254839e-03,5.92941884e-04,1.61601448e+00
4.79999989e-01,9.11115028e-04,1.29832630e-03,8.12493498e-04,1.91916990e+00
5.19999981e-01,9.78266937e-04,1.39613042e-03,1.12309493e-03,2.29006410e+00
5.60000002e-01,1.04687770e-03,1.49688474e-03,1.39952218e-03,2.74500561e+00
6.00000024e-01,1.13147125e-03,1.62138627e-03,1.86117773e-03,3.35517097e+00
6.41029537e-01,1.21033925e-03,1.73669134e-03,2.21225899e-03,4.15073395e+00
6.83115125e-01,1.27809902e-03,1.83691131e-03,2.58760666e-03,4.76400948e+00
7.26283848e-01,1.34893367e-03,1.94303854e-03,2.94899940e-03,5.94292021e+00
7.70563781e-01,1.41198351e-03,2.03888165e-03,3.24055669e-03,6.66655111e+00
8.15983355e-01,1.47896097e-03,2.14128406e-03,3.52201704e-03,8.32488441e+00
