Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.47304771e-05,1.63484219e-04,1.11291841e-01,1.01321802e+01
7.99999982e-02,1.90296792e-04,5.14116720e-04,1.29357159e-01,1.02177391e+01
1.19999997e-01,5.82756125e-04,1.36489491e-03,1.36970758e-01,1.03241777e+01
1.59999996e-01,1.71885628e-03,3.46966460e-03,1.48547322e-01,1.04237146e+01
2.00000003e-01,3.19323596e-03,6.04045531e-03,1.61090374e-01,1.05236073e+01
2.39999995e-01,6.75649568e-03,1.18537378e-02,1.67694151e-01,1.06445131e+01
2.80000001e-01,1.26326280e-02,2.11151075e-02,1.76301956e-01,1.06725645e+01
3.19999993e-01,2.40609944e-02,3.85386981e-02,1.90244794e-01,1.08823347e+01
3.60000014e-01,4.15597185e-02,6.36947155e-02,2.02580974e-01,1.08635607e+01
4.00000006e-01,6.36530742e-02,9.56836715e-02,2.31432319e-01,1.10540733e+01
4.39999998e-01,8.64840150e-02,1.27324998e-01,2.52447367e-01,1.09613066e+01
4.79999989e-01,1.13451965e-01,1.64914533e-01,2.79243022e-01,1.13405151e+01
5.19999981e-01,1.34087861e-01,1.93121955e-01,3.11022043e-01,1.11032715e+01
5.60000002e-01,1.60823792e-01,2.29608655e-01,3.33760083e-01,1.15965338e+01
6.00000024e-01,1.77133232e-01,2.51636356e-01,3.69032472e-01,1.13077116e+01
6.41029537e-01,2.05070689e-01,2.89547443e-01,3.90488923e-01,1.18795433e+01
6.83115125e-01,2.14812756e-01,3.01714540e-01,4.10558909e-01,1.14853888e+01
7.26283848e-01,2.42045224e-01,3.38532507e-01,4.40989763e-01,1.22460823e+01
7.70563781e-01,2.58345544e-01,3.59561235e-01,4.66561794e-01,1.16900578e+01
8.15983355e-01,3.04112881e-01,4.22934920e-01,5.29092908e-01,1.24856014e+01
8.62571895e-01,3.21103364e-01,4.46243644e-01,5.69805741e-01,1.18850822e+01
9.10359621e-01,3.84694695e-01,5.35735011e-01,6.76417589e-01,1.27731314e+01
9.59377348e-01,4.15067971e-01,5.78202367e-01,7.54888415e-01,1.22078438e+01
1.00965667e+00,4.73037243e-01,6.60641670e-01,8.83430123e-01,1.30008650e+01
1.06123006e+00,5.20848334e-01,7.29819536e-01,1.05604601e+00,1.26651735e+01
1.11413085e+00,5.24758875e-01,7.38163590e-01,1.20389163e+00,1.34677362e+01
1.16839325e+00,5.06362617e-01,7.15561748e-01,1.30385041e+00,1.32045717e+01
1.22405231e+00,5.17330885e-01,7.34756887e-01,1.42792988e+00,1.40718641e+01
1.28114390e+00,6.04181290e-01,8.61297667e-01,1.62151849e+00,1.38114233e+01
1.33970511e+00,7.05160737e-01,1.00613022e+00,1.79776216e+00,1.45127764e+01
1.39977336e+00,2.02022559e+04,2.82819277e+04,1.88419648e+04,1.10588794e+03
1.46138775e+00,2.30141367e+04,3.21848691e+04,1.95416367e+04,1.13569946e+03
1.52458799e+00,1.38836367e+04,1.94124395e+04,1.18367324e+04,7.71850098e+02
1.58941495e+00,1.30096504e+04,1.81999316e+04,1.15267207e+04,9.01892944e+02
1.65591037e+00,1.29638418e+04,1.81398398e+04,1.16712793e+04,9.72571777e+02
1.72411728e+00,1.27080176e+04,1.77828984e+04,1.14876523e+04,9.74569580e+02
1.79407966e+00,1.18403496e+04,1.65685742e+04,1.06946240e+04,9.12412781e+02
1.86584306e+00,1.06702539e+04,1.49313076e+04,9.63486621e+03,8.37338135e+02
1.93945324e+00,9.76520703e+03,1.36660322e+04,8.86289258e+03,8.07004272e+02
2.01495814e+00,9.60682812e+03,1.34470020e+04,8.82875391e+03,8.66693665e+02
2.09240627e+00,1.01829922e+04,1.42566016e+04,9.50092578e+03,1.00791736e+03
2.17184782e+00,1.11543984e+04,1.56198066e+04,1.05638008e+04,1.19083423e+03
2.25333428e+00,1.28168867e+04,1.79499395e+04,1.22681602e+04,1.45134094e+03
2.33691788e+00,1.52495898e+04,2.13590352e+04,1.47663389e+04,1.81710132e+03
2.42265272e+00,1.78476758e+04,2.49970684e+04,1.72866406e+04,2.11632886e+03
2.51059437e+00,1.84392969e+04,2.58227305e+04,1.77441777e+04,2.12791284e+03
2.60079956e+00,1.65745859e+04,2.32118184e+04,1.59751406e+04,1.91579834e+03
2.69332647e+00,1.47734316e+04,2.06895762e+04,1.42048486e+04,1.65363708e+03
2.78823495e+00,1.23823281e+04,1.73396270e+04,1.18206543e+04,1.34870227e+03
2.88558602e+00,1.11173896e+04,1.55716318e+04,1.07292666e+04,1.27426709e+03
2.98544264e+00,1.23381006e+04,1.72837832e+04,1.19819795e+04,1.46181226e+03
3.08786964e+00,1.56891104e+04,2.19802852e+04,1.52836348e+04,1.84377856e+03
3.19293284e+00,1.83710449e+04,2.57319512e+04,1.76467012e+04,2.02029504e+03
3.30070019e+00,1.69599238e+04,2.37507773e+04,1.61751650e+04,1.88925049e+03
3.41124129e+00,1.79496250e+04,2.51383281e+04,1.71901211e+04,2.07386548e+03
3.52462745e+00,1.94257559e+04,2.72024062e+04,1.84801133e+04,2.19161450e+03
3.64093208e+00,1.63585879e+04,2.29047930e+04,1.54801816e+04,1.80617822e+03
3.76023054e+00,1.23158193e+04,1.72449023e+04,1.16715557e+04,1.36993494e+03
3.88259912e+00,1.10434707e+04,1.54684863e+04,1.06310410e+04,1.29925049e+03
4.00811720e+00,1.30819307e+04,1.83254062e+04,1.26558535e+04,1.52554785e+03
4.13686609e+00,1.50278223e+04,2.10492578e+04,1.45077920e+04,1.74176416e+03
4.26892853e+00,1.48728574e+04,2.08353008e+04,1.44946074e+04,1.80162915e+03
4.40439081e+00,1.49311387e+04,2.09190195e+04,1.46076064e+04,1.82775439e+03
4.54333878e+00,1.50854023e+04,2.11316465e+04,1.46141992e+04,1.76330310e+03
4.68586397e+00,1.41672266e+04,1.98414473e+04,1.35898252e+04,1.61827661e+03
4.83205652e+00,1.24956445e+04,1.74982676e+04,1.19370391e+04,1.44785144e+03
4.98201227e+00,1.08265850e+04,1.51604092e+04,1.03455400e+04,1.28838708e+03
5.13582754e+00,9.98511230e+03,1.39810352e+04,9.52359668e+03,1.18463684e+03
5.29360199e+00,1.01785781e+04,1.42506875e+04,9.67764160e+03,1.17579883e+03
5.45543718e+00,1.08302900e+04,1.51630010e+04,1.02952480e+04,1.23175146e+03
5.62143755e+00,1.11087627e+04,1.55537998e+04,1.05912764e+04,1.26806677e+03
5.79171038e+00,1.08664238e+04,1.52154658e+04,1.03950234e+04,1.25366211e+03
5.96636629e+00,1.00358184e+04,1.40526982e+04,9.61330664e+03,1.16380457e+03
6.14551687e+00,8.57047168e+03,1.20009814e+04,8.22526855e+03,1.00396454e+03
6.32927942e+00,6.87013477e+03,9.62125293e+03,6.65307617e+03,8.36348389e+02
6.51777077e+00,5.98614551e+03,8.38452441e+03,5.85814307e+03,7.54209656e+02
6.71111441e+00,5.96818262e+03,8.35922949e+03,5.85120312e+03,7.50878235e+02
6.90943432e+00,6.53866992e+03,9.15789844e+03,6.41246387e+03,8.20681152e+02
7.11285782e+00,7.92397070e+03,1.10970645e+04,7.72565723e+03,9.65884766e+02
7.32151794e+00,9.02549414e+03,1.26379355e+04,8.73070898e+03,1.06373645e+03
7.53554821e+00,9.45595508e+03,1.32403359e+04,9.13951074e+03,1.11616418e+03
7.75508738e+00,9.03736523e+03,1.26547939e+04,8.77167969e+03,1.08862878e+03
7.98027754e+00,7.15799951e+03,1.00264609e+04,7.09828516e+03,9.26450684e+02
8.21126270e+00,5.78270996e+03,8.10375293e+03,5.89550684e+03,7.99791809e+02
8.44819450e+00,5.74912988e+03,8.05799365e+03,5.91617139e+03,7.96929932e+02
8.69122219e+00,6.98872168e+03,9.79436523e+03,7.11853418e+03,9.17209351e+02
8.94050789e+00,8.06333789e+03,1.12998135e+04,8.13236572e+03,1.00356592e+03
9.19620800e+00,7.99828906e+03,1.12099395e+04,8.05771094e+03,9.75493774e+02
9.45849037e+00,7.44414551e+03,1.04353652e+04,7.52174609e+03,9.05659973e+02
9.72752285e+00,6.69907520e+03,9.39139355e+03,6.74878076e+03,7.97053772e+02
1.00034800e+01,5.75677539e+03,8.06915332e+03,5.74954395e+03,6.53116638e+02
1.02865391e+01,5.02554541e+03,7.04291455e+03,4.97501611e+03,5.40418823e+02
1.05768833e+01,4.59031592e+03,6.43393408e+03,4.52442676e+03,4.77308655e+02
1.08747025e+01,4.37149170e+03,6.13036426e+03,4.29595605e+03,4.47651794e+02
1.11801853e+01,4.36621045e+03,6.12582373e+03,4.26238721e+03,4.36521912e+02
1.14935322e+01,4.60163232e+03,6.45650928e+03,4.41636328e+03,4.33947510e+02
1.18149433e+01,4.71133740e+03,6.61075635e+03,4.44254150e+03,4.19103607e+02
1.21446266e+01,4.46425146e+03,6.26405420e+03,4.15398291e+03,3.84549438e+02
1.24827967e+01,4.22439111e+03,5.91086328e+03,3.93116724e+03,3.65684296e+02
1.28296700e+01,4.74239893e+03,6.62783154e+03,4.42523242e+03,4.15490173e+02
1.31854706e+01,5.67213916e+03,7.93296631e+03,5.28186572e+03,5.17962769e+02
1.35504293e+01,6.61903955e+03,9.26669043e+03,5.96373877e+03,5.76821167e+02
1.39247818e+01,7.45247510e+03,1.04361709e+04,6.35005469e+03,5.73884705e+02
1.43087692e+01,8.17307812e+03,1.14180928e+04,6.48950293e+03,5.22879456e+02
1.47026405e+01,7.45675732e+03,1.03986494e+04,5.70411279e+03,4.53579102e+02
1.51066484e+01,6.65118848e+03,9.26663379e+03,5.05422705e+03,3.99848022e+02
1.55210552e+01,6.34239893e+03,8.83720703e+03,4.92054053e+03,3.92044006e+02
1.59461288e+01,6.44269482e+03,8.98455078e+03,5.13187695e+03,4.25979218e+02
1.63821430e+01,6.88704639e+03,9.60743164e+03,5.54715283e+03,4.43105316e+02
1.68293781e+01,6.44658252e+03,8.99183105e+03,5.09387939e+03,3.64042328e+02
1.72881241e+01,6.13994336e+03,8.56531152e+03,4.86086035e+03,3.41408020e+02
1.77586803e+01,5.86483496e+03,8.18446680e+03,4.70618994e+03,3.26555267e+02
1.82413464e+01,5.08440820e+03,7.09682568e+03,4.07266479e+03,2.64080048e+02
1.87364349e+01,3.42308862e+03,4.77525195e+03,2.60968359e+03,1.35606201e+02
1.92442665e+01,1.84734131e+03,2.57430615e+03,1.28852515e+03,4.22728119e+01
1.97651691e+01,8.18432617e+02,1.13785352e+03,4.65443481e+02,4.15063381e+00
2.02994785e+01,1.42597260e+02,1.96353363e+02,3.38494568e+01,2.63872114e-03
2.08475418e+01,8.12642860e+00,1.10338049e+01,8.77443910e-01,7.56391371e-03
2.14097099e+01,8.64611053e+00,1.17516327e+01,6.96366787e-01,7.97268603e-06
2.19863453e+01,7.74764204e+00,1.04561396e+01,4.02214020e-01,9.82005440e-06
2.25778236e+01,5.37826633e+00,7.21023464e+00,2.11341351e-01,3.18479829e-06
2.31845264e+01,2.31503367e+00,3.05863786e+00,5.19504249e-02,2.03771697e-06
2.38068466e+01,4.86651033e-01,6.27467036e-01,6.53222529e-03,7.93517643e-07
2.44451809e+01,8.15167278e-02,1.00380808e-01,3.63726795e-05,1.59437278e-07
2.50999470e+01,1.34371603e-02,1.60286501e-02,3.98299335e-06,4.46450485e-08
2.57715645e+01,1.99787645e-03,2.35414994e-03,1.99928013e-06,1.60531393e-08
2.64604683e+01,3.02439963e-04,3.51772294e-04,1.21328503e-06,4.96471486e-09
