Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.82928293e-23,6.46750579e-23,1.17810623e-16,3.26098979e-01
7.99999982e-02,8.83926091e-22,1.49358062e-21,6.35083366e-15,3.48319352e-01
1.19999997e-01,1.22174811e-20,2.07123279e-20,1.15400080e-13,3.62752467e-01
1.59999996e-01,1.16172877e-19,1.99612796e-19,8.85439346e-13,4.62850571e-01
2.00000003e-01,1.32627110e-18,2.24900669e-18,1.32034045e-11,5.61127603e-01
2.39999995e-01,9.08725318e-18,1.53101486e-17,9.17118187e-11,6.27274752e-01
2.80000001e-01,4.15614847e-17,7.00615031e-17,7.39502903e-10,7.40019977e-01
3.19999993e-01,2.27295415e-16,3.83455839e-16,4.09303080e-09,8.14802885e-01
3.60000014e-01,8.87924786e-16,1.50740789e-15,2.99587803e-08,8.96081328e-01
4.00000006e-01,3.67818340e-15,6.31089690e-15,1.69882895e-07,9.87835050e-01
4.39999998e-01,1.48390143e-14,2.54079594e-14,1.25704980e-06,1.06251156e+00
4.79999989e-01,4.27489770e-14,7.42111586e-14,7.44200361e-06,1.11639738e+00
5.19999981e-01,1.37708841e-13,2.41577917e-13,2.48750566e-05,1.16022420e+00
5.60000002e-01,3.93539449e-13,6.97245050e-13,6.52589006e-05,1.20747352e+00
6.00000024e-01,1.21497690e-12,2.15728824e-12,9.60319448e-05,1.24458909e+00
6.41029537e-01,3.70290864e-12,6.70191637e-12,2.57685489e-04,1.30231392e+00
6.83115125e-01,1.02900804e-11,1.88101132e-11,3.38211103e-04,1.37956583e+00
7.26283848e-01,3.81939688e-11,6.85809950e-11,5.72754012e-04,1.53517461e+00
7.70563781e-01,9.22315002e-11,1.71320930e-10,9.24258493e-04,1.85600829e+00
8.15983355e-01,2.57963512e-10,4.84148166e-10,1.82264601e-03,2.01600695e+00
8.62571895e-01,6.64114985e-10,1.26648481e-09,2.08143285e-03,2.94378591e+00
9.10359621e-01,1.96614258e-09,3.71257713e-09,3.25041381e-03,3.45359898e+00
9.59377348e-01,4.37409708e-09,8.38751291e-09,3.81877716e-03,4.23912239e+00
1.00965667e+00,9.92453586e-09,1.87217761e-08,4.41752234e-03,5.38256550e+00
1.06123006e+00,2.08297042e-08,3.93831954e-08,4.79284395e-03,5.73214340e+00
1.11413085e+00,4.13648422e-08,7.84499434e-08,4.48390283e-03,7.90332985e+00
1.16839325e+00,7.56196101e-08,1.41236399e-07,4.34961868e-03,7.93091679e+00
1.22405231e+00,1.29402864e-07,2.29850613e-07,4.58760653e-03,9.74181652e+00
1.28114390e+00,2.75361998e-07,4.45549375e-07,5.12152119e-03,9.94849014e+00
1.33970511e+00,3.62758556e-07,5.70835766e-07,5.71227400e-03,1.15184517e+01
1.39977336e+00,2.01812363e+04,2.82706836e+04,2.00405234e+04,2.14431470e+03
1.46138775e+00,2.57509629e+04,3.60543516e+04,2.43611172e+04,2.09988477e+03
1.52458799e+00,1.64522676e+04,2.30328867e+04,1.55911191e+04,1.44966870e+03
1.58941495e+00,1.61709961e+04,2.26447109e+04,1.55927812e+04,1.60802283e+03
1.65591037e+00,1.52999023e+04,2.14253340e+04,1.47769883e+04,1.53167517e+03
1.72411728e+00,1.36181426e+04,1.90699219e+04,1.31387383e+04,1.37052930e+03
1.79407966e+00,1.18860576e+04,1.66447812e+04,1.14845635e+04,1.23713806e+03
1.86584306e+00,1.07231406e+04,1.50175479e+04,1.04179668e+04,1.18861816e+03
1.93945324e+00,1.03416543e+04,1.44853730e+04,1.01453174e+04,1.25749744e+03
2.01495814e+00,1.09202979e+04,1.52987959e+04,1.08602793e+04,1.48450854e+03
2.09240627e+00,1.26505293e+04,1.77260098e+04,1.27589570e+04,1.90271460e+03
2.17184782e+00,1.53897285e+04,2.15671797e+04,1.57029277e+04,2.49477490e+03
2.25333428e+00,1.87931016e+04,2.63389219e+04,1.93331367e+04,3.18542578e+03
2.33691788e+00,2.23812578e+04,3.13687891e+04,2.31216992e+04,3.82966504e+03
2.42265272e+00,2.55453652e+04,3.58023516e+04,2.63590801e+04,4.22784814e+03
2.51059437e+00,2.70377891e+04,3.78902891e+04,2.77022910e+04,4.14936816e+03
2.60079956e+00,2.63761484e+04,3.69580352e+04,2.67360625e+04,3.67354443e+03
2.69332647e+00,2.44920859e+04,3.43129453e+04,2.45228340e+04,3.07999756e+03
2.78823495e+00,2.19016855e+04,3.06792734e+04,2.16590898e+04,2.51596143e+03
2.88558602e+00,1.91002734e+04,2.67516836e+04,1.86857539e+04,2.04972998e+03
2.98544264e+00,1.64944961e+04,2.30998906e+04,1.60078750e+04,1.70346118e+03
3.08786964e+00,1.42822705e+04,2.00006953e+04,1.37953770e+04,1.46142334e+03
3.19293284e+00,1.25119980e+04,1.75214492e+04,1.20687949e+04,1.30127527e+03
3.30070019e+00,1.11508906e+04,1.56158838e+04,1.07753223e+04,1.20529199e+03
3.41124129e+00,1.01616719e+04,1.42315469e+04,9.86349414e+03,1.15803198e+03
3.52462745e+00,9.53363574e+03,1.33532461e+04,9.31319824e+03,1.15639331e+03
3.64093208e+00,9.25715527e+03,1.29673867e+04,9.11056250e+03,1.19649390e+03
3.76023054e+00,9.29843164e+03,1.30266055e+04,9.22239062e+03,1.27878003e+03
3.88259912e+00,9.62388770e+03,1.34839922e+04,9.62164062e+03,1.40366211e+03
4.00811720e+00,1.03181016e+04,1.44581504e+04,1.03988037e+04,1.59238831e+03
4.13686609e+00,1.15027344e+04,1.61195303e+04,1.16781074e+04,1.85634692e+03
4.26892853e+00,1.32138877e+04,1.85187109e+04,1.34957139e+04,2.20047192e+03
4.40439081e+00,1.54981318e+04,2.17208730e+04,1.58965654e+04,2.64205859e+03
4.54333878e+00,1.83965391e+04,2.57835957e+04,1.89334062e+04,3.20424023e+03
4.68586397e+00,2.18913359e+04,3.06820039e+04,2.26034238e+04,3.88847583e+03
4.83205652e+00,2.55668867e+04,3.58331875e+04,2.64519141e+04,4.54346484e+03
4.98201227e+00,2.83485781e+04,3.97297617e+04,2.92661855e+04,4.84233105e+03
5.13582754e+00,2.88628262e+04,4.04461680e+04,2.95680605e+04,4.55573340e+03
5.29360199e+00,2.71990508e+04,3.81093906e+04,2.75439551e+04,3.89447412e+03
5.45543718e+00,2.44888828e+04,3.43070000e+04,2.44800742e+04,3.20207178e+03
5.62143755e+00,2.14538477e+04,3.00514082e+04,2.12064023e+04,2.63039819e+03
5.79171038e+00,1.90156191e+04,2.66337227e+04,1.86396973e+04,2.27089160e+03
5.96636629e+00,1.70200996e+04,2.38374570e+04,1.65960312e+04,2.02856567e+03
6.14551687e+00,1.53497109e+04,2.14979375e+04,1.49500146e+04,1.89620459e+03
6.32927942e+00,1.42899385e+04,2.00137070e+04,1.39136592e+04,1.82327405e+03
6.51777077e+00,1.30842412e+04,1.83259707e+04,1.27886816e+04,1.78345532e+03
6.71111441e+00,1.27666807e+04,1.78827168e+04,1.25534814e+04,1.83373022e+03
6.90943432e+00,1.21865625e+04,1.70703164e+04,1.19984512e+04,1.80819519e+03
7.11285782e+00,1.10237090e+04,1.54434629e+04,1.09627100e+04,1.79193945e+03
7.32151794e+00,1.24359199e+04,1.74234512e+04,1.24467500e+04,2.05358301e+03
7.53554821e+00,1.18952822e+04,1.66651055e+04,1.18752939e+04,1.98921375e+03
7.75508738e+00,1.20305605e+04,1.68576895e+04,1.21643271e+04,2.17379663e+03
