Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.89929414e-02,5.75675555e-02,1.78546548e-01,7.46429396e+00
7.99999982e-02,5.10714240e-02,7.62998685e-02,2.12568015e-01,7.58089924e+00
1.19999997e-01,6.81346431e-02,1.03560448e-01,2.46614560e-01,7.63914490e+00
1.59999996e-01,9.56498832e-02,1.44553736e-01,2.81972706e-01,7.72865438e+00
2.00000003e-01,1.10108733e-01,1.65097743e-01,2.99782783e-01,7.79901028e+00
2.39999995e-01,1.32333636e-01,1.97193369e-01,3.23225707e-01,7.87783909e+00
2.80000001e-01,1.45452291e-01,2.15192229e-01,3.39045346e-01,7.94955587e+00
3.19999993e-01,1.59043401e-01,2.34181762e-01,3.55476856e-01,8.02824497e+00
3.60000014e-01,1.64992392e-01,2.41843462e-01,3.68935227e-01,8.11178017e+00
4.00000006e-01,1.73335552e-01,2.53296524e-01,3.83989573e-01,8.18662071e+00
4.39999998e-01,1.73292637e-01,2.52340376e-01,3.92482221e-01,8.27255917e+00
4.79999989e-01,1.79633796e-01,2.61187047e-01,4.05175596e-01,8.35589790e+00
5.19999981e-01,1.75804630e-01,2.55075276e-01,4.11646366e-01,8.44334602e+00
5.60000002e-01,1.81663901e-01,2.63094991e-01,4.21768159e-01,8.52972031e+00
6.00000024e-01,1.75628677e-01,2.53969967e-01,4.27361786e-01,8.61665726e+00
6.41029537e-01,1.81157142e-01,2.61361241e-01,4.39573169e-01,8.70799637e+00
6.83115125e-01,1.73099577e-01,2.49216363e-01,4.44584668e-01,8.81841469e+00
7.26283848e-01,1.66990340e-01,2.39773124e-01,4.55960989e-01,8.90626240e+00
7.70563781e-01,1.61909923e-01,2.31652528e-01,4.63951439e-01,9.04260540e+00
8.15983355e-01,1.59029126e-01,2.26415873e-01,4.75057900e-01,9.13143063e+00
8.62571895e-01,1.46512911e-01,2.08109483e-01,4.87283140e-01,9.30670929e+00
9.10359621e-01,1.36899516e-01,1.93711475e-01,4.99951392e-01,9.38811302e+00
9.59377348e-01,1.23288505e-01,1.74294502e-01,5.14020860e-01,9.63105202e+00
1.00965667e+00,1.09737225e-01,1.55410558e-01,5.31468034e-01,9.65313148e+00
