Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.70957744e-02,2.46225931e-02,1.98599175e-02,1.20661639e-01
7.99999982e-02,2.28897445e-02,3.27556245e-02,2.25398950e-02,1.45664409e-01
1.19999997e-01,2.69369595e-02,3.83597240e-02,2.44225077e-02,1.59727812e-01
1.59999996e-01,3.16955410e-02,4.49535996e-02,2.69851498e-02,1.70111060e-01
2.00000003e-01,3.53731625e-02,4.99916673e-02,2.85497010e-02,1.90066949e-01
2.39999995e-01,3.83020155e-02,5.39553054e-02,2.93997582e-02,2.08197802e-01
2.80000001e-01,4.16561663e-02,5.85268736e-02,3.05724964e-02,2.19693288e-01
3.19999993e-01,4.41688374e-02,6.18810393e-02,3.14787813e-02,2.35092223e-01
3.60000014e-01,4.78565693e-02,6.68472499e-02,3.32222693e-02,2.49682844e-01
4.00000006e-01,4.93494757e-02,6.87542781e-02,3.41251008e-02,2.52801269e-01
4.39999998e-01,5.14401533e-02,7.13975355e-02,3.56585830e-02,2.68688798e-01
4.79999989e-01,5.43648116e-02,7.52103031e-02,3.74465846e-02,2.65797228e-01
5.19999981e-01,5.46806455e-02,7.54564703e-02,3.88386771e-02,2.98847973e-01
5.60000002e-01,5.77172786e-02,7.93139637e-02,4.05713543e-02,2.91369170e-01
6.00000024e-01,5.91022521e-02,8.12474191e-02,4.49129753e-02,3.07024598e-01
6.41029537e-01,6.25712574e-02,8.58088806e-02,4.88393717e-02,3.09072733e-01
6.83115125e-01,6.28959388e-02,8.64480212e-02,5.43251596e-02,3.30829024e-01
7.26283848e-01,6.50254190e-02,8.94419402e-02,6.08724803e-02,3.46390516e-01
7.70563781e-01,6.75881281e-02,9.29656625e-02,6.57643676e-02,3.49338025e-01
8.15983355e-01,7.07350299e-02,9.71585363e-02,7.00409189e-02,3.82077038e-01
8.62571895e-01,6.95503801e-02,9.57414061e-02,7.34515339e-02,3.70300442e-01
9.10359621e-01,7.13703781e-02,9.80659127e-02,7.51937851e-02,3.84034544e-01
9.59377348e-01,7.07005262e-02,9.74337533e-02,7.98392892e-02,4.14244562e-01
1.00965667e+00,7.39656687e-02,1.01907618e-01,8.40812176e-02,4.28641796e-01
1.06123006e+00,7.82329291e-02,1.07802480e-01,9.08896551e-02,4.22660768e-01
1.11413085e+00,8.26637745e-02,1.13945454e-01,9.80843753e-02,4.24775451e-01
1.16839325e+00,8.90225545e-02,1.22884788e-01,1.10916309e-01,4.55530792e-01
1.22405231e+00,9.70845222e-02,1.34426922e-01,1.30180374e-01,4.92900401e-01
1.28114390e+00,1.12653747e-01,1.56753823e-01,1.65766194e-01,5.47135949e-01
1.33970511e+00,1.36843517e-01,1.91134483e-01,2.19808459e-01,6.40423775e-01
1.39977336e+00,2.00245000e+04,2.80510664e+04,1.98771406e+04,2.13048389e+03
1.46138775e+00,2.50166914e+04,3.50265391e+04,2.37056445e+04,2.06204590e+03
1.52458799e+00,1.66669258e+04,2.33333555e+04,1.57753828e+04,1.47650073e+03
1.58941495e+00,1.58538867e+04,2.22016914e+04,1.53400020e+04,1.65458044e+03
1.65591037e+00,1.57818721e+04,2.21038711e+04,1.54269062e+04,1.77229541e+03
1.72411728e+00,1.58638633e+04,2.22204844e+04,1.55988320e+04,1.86066663e+03
1.79407966e+00,1.59582588e+04,2.23539023e+04,1.57530957e+04,1.92957385e+03
1.86584306e+00,1.60663105e+04,2.25061914e+04,1.59068896e+04,1.99094751e+03
1.93945324e+00,1.62107617e+04,2.27093535e+04,1.60903887e+04,2.05165332e+03
2.01495814e+00,1.64546426e+04,2.30517461e+04,1.63693398e+04,2.12139941e+03
2.09240627e+00,1.67801172e+04,2.35083359e+04,1.67249121e+04,2.19692969e+03
2.17184782e+00,1.71609258e+04,2.40423223e+04,1.71305957e+04,2.27403809e+03
2.25333428e+00,1.75705098e+04,2.46164785e+04,1.75582637e+04,2.34699512e+03
2.33691788e+00,1.79634141e+04,2.51670547e+04,1.79587949e+04,2.40824707e+03
2.42265272e+00,1.83121250e+04,2.56556348e+04,1.83114297e+04,2.45907715e+03
2.51059437e+00,1.87052168e+04,2.62060762e+04,1.86921406e+04,2.49705176e+03
2.60079956e+00,1.86116250e+04,2.60742500e+04,1.85660273e+04,2.45689746e+03
2.69332647e+00,1.77416211e+04,2.48551719e+04,1.76848750e+04,2.33365967e+03
2.78823495e+00,1.65357793e+04,2.31658105e+04,1.64680586e+04,2.16174268e+03
2.88558602e+00,1.54537832e+04,2.16503398e+04,1.53938613e+04,2.03316174e+03
2.98544264e+00,1.57295332e+04,2.20377930e+04,1.57108398e+04,2.11080859e+03
3.08786964e+00,1.71018867e+04,2.39605117e+04,1.70751133e+04,2.28392383e+03
3.19293284e+00,1.80421895e+04,2.52769375e+04,1.79827148e+04,2.39649146e+03
3.30070019e+00,1.91974004e+04,2.68954102e+04,1.91553789e+04,2.58093457e+03
3.41124129e+00,2.05349727e+04,2.87684453e+04,2.04578750e+04,2.74533154e+03
