Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.56572714e-04,1.17684482e-03,4.67703678e-02,6.60951471e+00
7.99999982e-02,6.57567289e-04,1.65524846e-03,5.20791784e-02,6.71721792e+00
1.19999997e-01,8.68071220e-04,2.11751764e-03,5.54416180e-02,6.76333809e+00
1.59999996e-01,1.12407852e-03,2.65045650e-03,5.93750812e-02,6.84194708e+00
2.00000003e-01,1.36949832e-03,3.14481114e-03,6.55763671e-02,6.87197781e+00
2.39999995e-01,1.56026881e-03,3.55884153e-03,7.28522912e-02,6.94060040e+00
2.80000001e-01,1.75955973e-03,4.08415776e-03,8.48557651e-02,6.94646645e+00
3.19999993e-01,2.03244295e-03,4.86566126e-03,9.38927755e-02,7.05123234e+00
3.60000014e-01,2.50743725e-03,6.15388015e-03,1.06629275e-01,7.15154362e+00
4.00000006e-01,3.27303447e-03,8.05613771e-03,1.22450344e-01,7.31235123e+00
4.39999998e-01,4.45483346e-03,1.08337039e-02,1.38037562e-01,7.39784384e+00
4.79999989e-01,6.76850835e-03,1.56972241e-02,1.60706073e-01,7.53863430e+00
5.19999981e-01,1.07902549e-02,2.40208171e-02,1.82281733e-01,7.69169044e+00
5.60000002e-01,1.93604380e-02,4.04249355e-02,2.21253365e-01,7.79383564e+00
6.00000024e-01,3.65335494e-02,7.03781694e-02,2.38530025e-01,7.96134329e+00
6.41029537e-01,6.26917779e-02,1.16781302e-01,2.92778909e-01,7.85799265e+00
6.83115125e-01,1.03528306e-01,1.85938805e-01,3.01864862e-01,8.24501991e+00
7.26283848e-01,1.73883528e-01,3.03536505e-01,3.52830440e-01,8.04245186e+00
7.70563781e-01,2.73939103e-01,4.58285093e-01,4.04283255e-01,8.85017967e+00
8.15983355e-01,3.98776174e-01,6.26868248e-01,4.88464028e-01,8.40529156e+00
8.62571895e-01,4.66612875e-01,6.96382880e-01,5.16861141e-01,9.07435131e+00
9.10359621e-01,4.99246538e-01,7.27226913e-01,5.86013258e-01,8.69636345e+00
9.59377348e-01,4.95027065e-01,7.13980675e-01,5.97076416e-01,9.15653801e+00
1.00965667e+00,4.96705651e-01,7.12683856e-01,6.19564712e-01,9.07870865e+00
1.06123006e+00,5.01553416e-01,7.18311548e-01,7.01430082e-01,1.00709887e+01
1.11413085e+00,5.21371365e-01,7.47184157e-01,8.68510067e-01,9.83471489e+00
1.16839325e+00,5.65909863e-01,8.13981056e-01,1.14544559e+00,1.00542202e+01
1.22405231e+00,6.30593061e-01,9.11744952e-01,1.48530340e+00,1.05403900e+01
1.28114390e+00,7.30317473e-01,1.06122530e+00,1.89028573e+00,1.11268539e+01
1.33970511e+00,8.31567109e-01,1.20903707e+00,2.07877636e+00,1.18640671e+01
1.39977336e+00,1.95132656e+04,2.73163008e+04,1.81262246e+04,9.35466064e+02
1.46138775e+00,2.10072070e+04,2.93815977e+04,1.80782520e+04,1.07113220e+03
1.52458799e+00,1.46971660e+04,2.05521914e+04,1.25585371e+04,7.98351318e+02
1.58941495e+00,1.31237637e+04,1.83579863e+04,1.15114150e+04,8.54001953e+02
1.65591037e+00,1.21321387e+04,1.69739492e+04,1.07903955e+04,8.72707031e+02
1.72411728e+00,1.13531641e+04,1.58868809e+04,1.02244717e+04,8.95706238e+02
1.79407966e+00,1.10532041e+04,1.54703174e+04,1.01011553e+04,9.61338501e+02
1.86584306e+00,1.14358438e+04,1.60093867e+04,1.06189814e+04,1.09009766e+03
1.93945324e+00,1.23212344e+04,1.72520918e+04,1.16000508e+04,1.25835034e+03
2.01495814e+00,1.35913213e+04,1.90326465e+04,1.29177578e+04,1.44997424e+03
2.09240627e+00,1.53047324e+04,2.14335156e+04,1.46533262e+04,1.68253821e+03
2.17184782e+00,1.71068906e+04,2.39572246e+04,1.64117031e+04,1.87431104e+03
2.25333428e+00,1.83668867e+04,2.57185859e+04,1.74797070e+04,1.92745483e+03
2.33691788e+00,1.74159824e+04,2.43841562e+04,1.64289062e+04,1.75024133e+03
