Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.17512967e-04,1.04372646e-03,7.28726238e-02,1.93820894e-02
7.99999982e-02,1.28005689e-03,2.15819711e-03,1.28595144e-01,7.96384737e-02
1.19999997e-01,2.20580166e-03,3.69525887e-03,1.96030170e-01,1.29535764e-01
1.59999996e-01,3.92664503e-03,6.53893407e-03,2.91512430e-01,1.70738086e-01
2.00000003e-01,7.72682345e-03,1.27522871e-02,3.95513237e-01,1.99593589e-01
2.39999995e-01,1.60180293e-02,2.59857029e-02,4.91389215e-01,2.21318156e-01
2.80000001e-01,2.91735902e-02,4.66386937e-02,5.76918781e-01,2.41774276e-01
3.19999993e-01,4.91809621e-02,7.68793672e-02,6.30007505e-01,2.63194084e-01
3.60000014e-01,6.97950721e-02,1.07686788e-01,6.77272975e-01,2.86019742e-01
4.00000006e-01,9.55411866e-02,1.44884259e-01,7.36952305e-01,3.23001117e-01
4.39999998e-01,1.16025962e-01,1.74201339e-01,7.52996981e-01,3.48473221e-01
4.79999989e-01,1.37371093e-01,2.04381809e-01,8.85382950e-01,4.57036853e-01
5.19999981e-01,1.63143963e-01,2.39996597e-01,9.29464102e-01,4.84862834e-01
5.60000002e-01,1.79913610e-01,2.62080073e-01,1.13470435e+00,8.41286540e-01
6.00000024e-01,2.02007994e-01,2.90668279e-01,1.20085180e+00,8.69921744e-01
6.41029537e-01,2.11998820e-01,3.03480059e-01,1.37016726e+00,1.66035295e+00
6.83115125e-01,2.26713464e-01,3.25580120e-01,1.34504247e+00,1.66869831e+00
7.26283848e-01,2.83745527e-01,4.12313014e-01,1.35820413e+00,2.37961006e+00
7.70563781e-01,3.37634146e-01,5.00323057e-01,1.32122540e+00,2.91187334e+00
8.15983355e-01,4.48362619e-01,6.69547200e-01,1.38012099e+00,3.67224312e+00
8.62571895e-01,5.49832821e-01,8.25614214e-01,1.37109184e+00,4.05087614e+00
9.10359621e-01,7.00769424e-01,1.04980397e+00,1.48453689e+00,4.45074177e+00
9.59377348e-01,8.62501502e-01,1.28056622e+00,1.52652550e+00,4.80888748e+00
1.00965667e+00,9.99439120e-01,1.46749043e+00,1.55733681e+00,5.19217014e+00
1.06123006e+00,1.13006163e+00,1.64221191e+00,1.61787641e+00,6.23968029e+00
1.11413085e+00,1.20851183e+00,1.74772012e+00,1.67555249e+00,7.59121227e+00
1.16839325e+00,1.25862467e+00,1.82112312e+00,1.73950624e+00,7.49911880e+00
1.22405231e+00,1.35338354e+00,1.96469259e+00,1.82504475e+00,9.29505730e+00
1.28114390e+00,1.57111537e+00,2.28290081e+00,1.98421490e+00,8.68281364e+00
1.33970511e+00,1.90215600e+00,2.75714445e+00,2.26134253e+00,1.09424114e+01
1.39977336e+00,1.99713066e+04,2.79753438e+04,1.97412402e+04,2.03201660e+03
