Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.73781435e-04,9.32765426e-04,1.76496372e-01,1.24390358e+02
7.99999982e-02,1.91647431e-03,3.00552114e-03,2.15464860e-01,1.26611641e+02
1.19999997e-01,4.72744927e-03,7.14720367e-03,2.54538924e-01,1.27214882e+02
1.59999996e-01,8.15220550e-03,1.22011174e-02,2.96092480e-01,1.30935699e+02
2.00000003e-01,1.17409229e-02,1.74181983e-02,3.31015646e-01,1.34687378e+02
2.39999995e-01,1.51035758e-02,2.23332793e-02,3.61909777e-01,1.33969055e+02
2.80000001e-01,1.84237733e-02,2.72108000e-02,3.95776004e-01,1.46078568e+02
3.19999993e-01,2.22585145e-02,3.29136103e-02,4.22743201e-01,1.51253510e+02
3.60000014e-01,2.58856025e-02,3.82678956e-02,4.47940409e-01,1.52533646e+02
4.00000006e-01,2.92395540e-02,4.32797223e-02,4.81877655e-01,1.60602600e+02
4.39999998e-01,3.15982439e-02,4.67041656e-02,6.67397678e-01,1.76413635e+02
4.79999989e-01,3.41843590e-02,5.04335649e-02,5.49527407e-01,1.98713440e+02
5.19999981e-01,3.64582501e-02,5.37882410e-02,6.37770116e-01,2.00007263e+02
5.60000002e-01,3.88836265e-02,5.73691949e-02,6.84515893e-01,2.15169937e+02
6.00000024e-01,4.13849317e-02,6.10673130e-02,8.27188075e-01,2.15370483e+02
6.41029537e-01,4.35138047e-02,6.42377138e-02,7.69493520e-01,1.97748215e+02
6.83115125e-01,4.66524065e-02,6.90099075e-02,8.76896381e-01,1.95854645e+02
7.26283848e-01,5.19196726e-02,7.70015791e-02,9.50843155e-01,1.86786026e+02
7.70563781e-01,5.81631362e-02,8.63489211e-02,1.08388948e+00,1.84745438e+02
8.15983355e-01,6.58908933e-02,9.78209898e-02,1.23100865e+00,1.74647186e+02
8.62571895e-01,7.20238462e-02,1.06879063e-01,1.40182137e+00,1.72897339e+02
9.10359621e-01,7.90173411e-02,1.17427595e-01,1.61524701e+00,1.75185226e+02
9.59377348e-01,8.82697850e-02,1.31610483e-01,1.85542941e+00,1.83761658e+02
1.00965667e+00,1.02478884e-01,1.53410882e-01,2.15702653e+00,1.80537277e+02
1.06123006e+00,1.21557802e-01,1.82604641e-01,2.48632884e+00,1.68058929e+02
1.11413085e+00,1.45034462e-01,2.18294948e-01,2.83322144e+00,1.87350769e+02
1.16839325e+00,1.71428889e-01,2.57850915e-01,3.23091555e+00,1.77387512e+02
