Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.14996143e-24,4.61403797e-24,7.76167764e-19,1.93091430e-04
7.99999982e-02,6.71588843e-23,9.85929151e-23,3.18462120e-17,2.59604165e-03
1.19999997e-01,1.14433652e-21,1.68070156e-21,1.02734985e-15,1.30520212e-02
1.59999996e-01,1.76846465e-20,2.60291428e-20,3.13678357e-14,3.97270061e-02
2.00000003e-01,6.29603612e-20,9.36420152e-20,1.89813836e-13,9.01705027e-02
2.39999995e-01,4.46342626e-19,6.60006273e-19,1.92529890e-12,1.62758291e-01
2.80000001e-01,2.08546294e-18,3.09678161e-18,1.78069261e-11,2.46164903e-01
3.19999993e-01,9.92415647e-18,1.47946017e-17,1.22753266e-10,3.49780083e-01
3.60000014e-01,3.67570311e-17,5.49924627e-17,7.49828699e-10,4.43283677e-01
4.00000006e-01,1.65999757e-16,2.49187352e-16,4.72092454e-09,5.63760102e-01
4.39999998e-01,4.88584962e-16,7.38475193e-16,2.12646079e-08,6.29319131e-01
4.79999989e-01,2.24177709e-15,3.39559965e-15,1.31509267e-07,7.10628569e-01
5.19999981e-01,5.88274800e-15,9.00499276e-15,5.51226606e-07,7.63912618e-01
5.60000002e-01,2.55561597e-14,3.91512350e-14,3.64593461e-06,8.17184687e-01
6.00000024e-01,6.23809137e-14,9.67516540e-14,1.17352110e-05,8.66280913e-01
6.41029537e-01,2.56574438e-13,3.98203036e-13,3.42713574e-05,9.29392099e-01
6.83115125e-01,5.91224064e-13,9.29580089e-13,5.60595217e-05,9.68082309e-01
7.26283848e-01,1.69644138e-12,2.66376417e-12,1.11503810e-04,1.02079880e+00
7.70563781e-01,4.83985421e-12,7.66653234e-12,1.78763032e-04,1.06787944e+00
8.15983355e-01,2.03375736e-11,3.23463895e-11,3.63152445e-04,1.12974405e+00
8.62571895e-01,4.74529339e-11,7.63257166e-11,5.12416940e-04,1.21070230e+00
9.10359621e-01,1.75935377e-10,2.82949941e-10,9.03055712e-04,1.30729389e+00
9.59377348e-01,4.34495773e-10,7.06453063e-10,1.28731481e-03,1.39905727e+00
1.00965667e+00,1.40841594e-09,2.29575448e-09,1.93786691e-03,1.49598885e+00
1.06123006e+00,4.87582685e-09,8.00861333e-09,2.84339068e-03,1.60126603e+00
1.11413085e+00,1.60764255e-08,2.66782951e-08,3.83702898e-03,1.74270606e+00
1.16839325e+00,4.86369203e-08,8.17602341e-08,4.76890150e-03,1.89113140e+00
1.22405231e+00,1.36400530e-07,2.33029468e-07,5.61617687e-03,2.02774906e+00
1.28114390e+00,4.11024359e-07,7.16383909e-07,6.47767866e-03,2.15301275e+00
1.33970511e+00,1.20972413e-06,2.15288105e-06,7.12016178e-03,2.29416943e+00
1.39977336e+00,2.02044668e+04,2.83028984e+04,2.00398281e+04,2.07633838e+03
1.46138775e+00,2.57780430e+04,3.60900977e+04,2.42562285e+04,2.01627966e+03
1.52458799e+00,1.57350723e+04,2.20274043e+04,1.48482021e+04,1.35439978e+03
1.58941495e+00,1.49024824e+04,2.08685625e+04,1.43908418e+04,1.52626807e+03
1.65591037e+00,1.46786387e+04,2.05579453e+04,1.43212031e+04,1.61962378e+03
1.72411728e+00,1.45653076e+04,2.04008984e+04,1.42964766e+04,1.68105615e+03
1.79407966e+00,1.44276523e+04,2.02091797e+04,1.42176777e+04,1.71905481e+03
1.86584306e+00,1.42915859e+04,2.00194668e+04,1.41293809e+04,1.75059448e+03
1.93945324e+00,1.41832422e+04,1.98684961e+04,1.40639277e+04,1.78198071e+03
2.01495814e+00,1.41776191e+04,1.98614727e+04,1.41021035e+04,1.82940173e+03
2.09240627e+00,1.44257354e+04,2.02100859e+04,1.44015645e+04,1.91771265e+03
2.17184782e+00,1.50668730e+04,2.11094668e+04,1.51027246e+04,2.06509229e+03
2.25333428e+00,1.61277578e+04,2.25968750e+04,1.62246729e+04,2.26471436e+03
2.33691788e+00,1.74049238e+04,2.43869414e+04,1.75474492e+04,2.47463232e+03
2.42265272e+00,1.85404648e+04,2.59779277e+04,1.86968359e+04,2.62890137e+03
2.51059437e+00,1.92130703e+04,2.69196094e+04,1.93446992e+04,2.68467041e+03
2.60079956e+00,1.92212773e+04,2.69298711e+04,1.92925820e+04,2.61750537e+03
2.69332647e+00,1.85333750e+04,2.59646211e+04,1.85257344e+04,2.45266162e+03
2.78823495e+00,1.73235820e+04,2.42684062e+04,1.72429785e+04,2.22940991e+03
2.88558602e+00,1.58725889e+04,2.22347617e+04,1.57422168e+04,2.00566040e+03
2.98544264e+00,1.44227637e+04,2.02032852e+04,1.42694980e+04,1.80613965e+03
3.08786964e+00,1.31520195e+04,1.84231641e+04,1.30002061e+04,1.65851196e+03
3.19293284e+00,1.21782305e+04,1.70594219e+04,1.20459844e+04,1.55791333e+03
3.30070019e+00,1.15627373e+04,1.61978809e+04,1.14624678e+04,1.52414307e+03
3.41124129e+00,1.13369170e+04,1.58824248e+04,1.12779688e+04,1.54423157e+03
3.52462745e+00,1.15449248e+04,1.61749121e+04,1.15367832e+04,1.63952295e+03
3.64093208e+00,1.22380674e+04,1.71471875e+04,1.22899209e+04,1.80006116e+03
3.76023054e+00,1.34676260e+04,1.88710664e+04,1.35889336e+04,2.05300928e+03
3.88259912e+00,1.51860166e+04,2.12798223e+04,1.53851045e+04,2.36140405e+03
4.00811720e+00,1.72662188e+04,2.41953633e+04,1.75470273e+04,2.74403906e+03
4.13686609e+00,1.95078984e+04,2.73368398e+04,1.98641797e+04,3.11187207e+03
4.26892853e+00,2.15458477e+04,3.01922188e+04,2.19456016e+04,3.43837769e+03
4.40439081e+00,2.27857051e+04,3.19284062e+04,2.31648945e+04,3.55056885e+03
4.54333878e+00,2.29030723e+04,3.20910645e+04,2.31975859e+04,3.48136816e+03
4.68586397e+00,2.21555918e+04,3.10416777e+04,2.23288672e+04,3.22320020e+03
4.83205652e+00,2.08290156e+04,2.91810469e+04,2.08748633e+04,2.94327905e+03
4.98201227e+00,1.92052637e+04,2.69045391e+04,1.91455527e+04,2.61381470e+03
5.13582754e+00,1.75949609e+04,2.46474941e+04,1.74639609e+04,2.37591870e+03
5.29360199e+00,1.61594043e+04,2.26358633e+04,1.59917656e+04,2.15386035e+03
5.45543718e+00,1.49329277e+04,2.09176133e+04,1.47563525e+04,2.02731885e+03
5.62143755e+00,1.39392910e+04,1.95258984e+04,1.37743926e+04,1.91811353e+03
5.79171038e+00,1.32323086e+04,1.85360078e+04,1.30928945e+04,1.88152234e+03
5.96636629e+00,1.27877949e+04,1.79138887e+04,1.26786973e+04,1.86218652e+03
6.14551687e+00,1.25600645e+04,1.75955547e+04,1.24873428e+04,1.89104077e+03
6.32927942e+00,1.26639590e+04,1.77418945e+04,1.26327393e+04,1.95794202e+03
6.51777077e+00,1.30479658e+04,1.82806055e+04,1.30572969e+04,2.06030859e+03
6.71111441e+00,1.36495508e+04,1.91241758e+04,1.37042275e+04,2.19696191e+03
6.90943432e+00,1.45952520e+04,2.04498164e+04,1.46953711e+04,2.37320264e+03
7.11285782e+00,1.56102363e+04,2.18723750e+04,1.57511201e+04,2.55752930e+03
7.32151794e+00,1.67111836e+04,2.34153750e+04,1.68968359e+04,2.75280200e+03
7.53554821e+00,1.79275898e+04,2.51198750e+04,1.81471270e+04,2.95142334e+03
7.75508738e+00,1.88288477e+04,2.63824316e+04,1.90582266e+04,3.07841943e+03
7.98027754e+00,1.95148711e+04,2.73431777e+04,1.97339121e+04,3.14789209e+03
8.21126270e+00,2.00964922e+04,2.81571172e+04,2.02692539e+04,3.16305518e+03
8.44819450e+00,2.03124844e+04,2.84584121e+04,2.04103047e+04,3.10424512e+03
