Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.64279845e-03,1.37463091e-02,1.96265072e-01,3.12896633e+01
7.99999982e-02,1.45567358e-02,2.11424865e-02,2.32489631e-01,3.21919403e+01
1.19999997e-01,2.41826046e-02,3.53323817e-02,2.61694223e-01,3.24536324e+01
1.59999996e-01,2.95256898e-02,4.32599708e-02,2.84889668e-01,3.33196068e+01
2.00000003e-01,3.13618816e-02,4.61068824e-02,3.09196442e-01,3.36990776e+01
2.39999995e-01,3.74837890e-02,5.52923903e-02,3.34345073e-01,3.46342697e+01
2.80000001e-01,4.04961258e-02,5.95780239e-02,3.52586001e-01,3.51339569e+01
3.19999993e-01,4.34695259e-02,6.37695119e-02,3.69354844e-01,3.61211472e+01
3.60000014e-01,4.41460535e-02,6.45278096e-02,3.80026430e-01,3.66197357e+01
4.00000006e-01,4.55449894e-02,6.64901510e-02,3.91099453e-01,3.78391037e+01
4.39999998e-01,4.49681878e-02,6.56385720e-02,3.92163366e-01,3.79456177e+01
4.79999989e-01,4.58037518e-02,6.69057667e-02,4.00163412e-01,3.94040031e+01
5.19999981e-01,4.51842174e-02,6.59874380e-02,3.99809122e-01,3.91659126e+01
5.60000002e-01,4.58514094e-02,6.69338331e-02,4.07258600e-01,4.07171783e+01
6.00000024e-01,4.55488898e-02,6.64237738e-02,4.01479602e-01,4.00721893e+01
6.41029537e-01,4.64182645e-02,6.75878450e-02,4.02093351e-01,4.16921616e+01
6.83115125e-01,4.63782698e-02,6.74356371e-02,4.01282519e-01,4.18113899e+01
7.26283848e-01,4.75681648e-02,6.90566897e-02,4.03992534e-01,4.48674583e+01
7.70563781e-01,4.85578217e-02,7.03627616e-02,4.06932831e-01,4.54615784e+01
8.15983355e-01,5.03796265e-02,7.28611574e-02,4.17220145e-01,4.81230202e+01
8.62571895e-01,5.15918359e-02,7.45337903e-02,4.24258769e-01,4.96515732e+01
9.10359621e-01,5.40110320e-02,7.79336691e-02,4.40321952e-01,5.21810112e+01
9.59377348e-01,5.61187230e-02,8.09198841e-02,4.57052559e-01,4.91103783e+01
1.00965667e+00,5.91574945e-02,8.52200091e-02,4.79877532e-01,5.12061195e+01
1.06123006e+00,6.22923300e-02,8.97101164e-02,5.05647659e-01,5.15763474e+01
1.11413085e+00,6.53193593e-02,9.40757021e-02,5.36676407e-01,5.32577553e+01
1.16839325e+00,6.84248060e-02,9.85442549e-02,5.72831273e-01,5.55029068e+01
1.22405231e+00,7.13690966e-02,1.02773495e-01,6.15825474e-01,5.72646103e+01
1.28114390e+00,7.44803101e-02,1.07297450e-01,6.66693389e-01,6.32078323e+01
1.33970511e+00,7.77061582e-02,1.12192489e-01,7.26205587e-01,5.90195007e+01
1.39977336e+00,1.98637617e+04,2.78086016e+04,1.85562383e+04,1.16176746e+03
1.46138775e+00,2.27176406e+04,3.17714023e+04,1.93964043e+04,1.22977759e+03
1.52458799e+00,1.51606211e+04,2.11999023e+04,1.30171719e+04,9.53134888e+02
1.58941495e+00,1.39738008e+04,1.95500312e+04,1.24512734e+04,1.08195020e+03
1.65591037e+00,1.37487676e+04,1.92403867e+04,1.24936348e+04,1.18136914e+03
1.72411728e+00,1.38214795e+04,1.93453789e+04,1.27122764e+04,1.26394250e+03
1.79407966e+00,1.39926387e+04,1.95871387e+04,1.29718018e+04,1.33134583e+03
1.86584306e+00,1.41627939e+04,1.98267383e+04,1.31943984e+04,1.38755688e+03
1.93945324e+00,1.42662744e+04,1.99724473e+04,1.33307061e+04,1.43367102e+03
2.01495814e+00,1.42723701e+04,1.99814688e+04,1.33599844e+04,1.45472192e+03
2.09240627e+00,1.40540928e+04,1.96759141e+04,1.31563828e+04,1.44246838e+03
2.17184782e+00,1.35147617e+04,1.89209941e+04,1.26582725e+04,1.40361072e+03
2.25333428e+00,1.30001191e+04,1.82014141e+04,1.22070830e+04,1.37331226e+03
