Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.57876289e-03,2.39043543e-03,3.74095258e-03,9.78837132e-01
7.99999982e-02,2.75358744e-03,4.14784253e-03,4.75411862e-03,1.40626562e+00
1.19999997e-01,4.07499960e-03,6.08542003e-03,5.66625688e-03,1.87877369e+00
1.59999996e-01,5.40267676e-03,8.00934248e-03,6.48333225e-03,2.45594335e+00
2.00000003e-01,6.83215912e-03,1.00754527e-02,8.02969560e-03,2.79717875e+00
2.39999995e-01,8.50396045e-03,1.23955151e-02,9.35028587e-03,3.30068231e+00
2.80000001e-01,1.02810115e-02,1.48950145e-02,1.04125366e-02,3.83739567e+00
3.19999993e-01,1.20188016e-02,1.72725394e-02,1.23082530e-02,4.21723890e+00
3.60000014e-01,1.40269082e-02,2.00094469e-02,1.41014690e-02,4.71004438e+00
4.00000006e-01,1.50717720e-02,2.14268025e-02,1.59106068e-02,5.06563568e+00
4.39999998e-01,1.80129912e-02,2.54777074e-02,1.84259154e-02,5.45170641e+00
4.79999989e-01,2.06012055e-02,2.91466620e-02,2.12239623e-02,5.86601019e+00
5.19999981e-01,2.36706994e-02,3.34379114e-02,2.34567653e-02,6.17599154e+00
5.60000002e-01,2.64033116e-02,3.73786017e-02,2.54937038e-02,6.58965588e+00
6.00000024e-01,3.26135643e-02,4.61527631e-02,2.84001548e-02,6.86073971e+00
6.41029537e-01,3.79563123e-02,5.38634881e-02,3.13472115e-02,7.28106117e+00
6.83115125e-01,4.68965173e-02,6.63831234e-02,3.35375071e-02,7.55579233e+00
7.26283848e-01,5.66932671e-02,8.02066624e-02,3.57947014e-02,7.95409441e+00
7.70563781e-01,6.90139979e-02,9.73429084e-02,3.94824296e-02,8.32048798e+00
8.15983355e-01,8.19428712e-02,1.15068860e-01,4.08640131e-02,8.78622150e+00
8.62571895e-01,9.72636715e-02,1.36150032e-01,4.60690707e-02,9.16784573e+00
9.10359621e-01,1.10064462e-01,1.53171733e-01,4.58231941e-02,9.64255810e+00
9.59377348e-01,1.21031411e-01,1.68009862e-01,5.12832962e-02,1.00900726e+01
1.00965667e+00,1.27667323e-01,1.76412880e-01,5.05986027e-02,1.05355835e+01
1.06123006e+00,1.32700384e-01,1.83396310e-01,5.75539730e-02,1.09732513e+01
1.11413085e+00,1.39834762e-01,1.93493232e-01,6.64934516e-02,1.13535223e+01
1.16839325e+00,1.46815509e-01,2.03466505e-01,7.58582503e-02,1.16819754e+01
1.22405231e+00,1.52331084e-01,2.11471438e-01,8.47812817e-02,1.19403381e+01
1.28114390e+00,1.62619025e-01,2.26103812e-01,1.00409627e-01,1.21684704e+01
1.33970511e+00,1.70661941e-01,2.38688588e-01,1.30915344e-01,1.23217430e+01
1.39977336e+00,2.01052422e+04,2.81638711e+04,1.99424531e+04,2.13350635e+03
1.46138775e+00,2.51203066e+04,3.51705859e+04,2.37587930e+04,2.06241260e+03
1.52458799e+00,1.61694824e+04,2.26374297e+04,1.53387637e+04,1.45832739e+03
1.58941495e+00,1.55885781e+04,2.18310195e+04,1.51321309e+04,1.67543286e+03
1.65591037e+00,1.58686455e+04,2.22264766e+04,1.55693379e+04,1.83390869e+03
1.72411728e+00,1.61870566e+04,2.26738945e+04,1.59572959e+04,1.92729102e+03
1.79407966e+00,1.61167012e+04,2.25755742e+04,1.59017061e+04,1.92707642e+03
1.86584306e+00,1.54180898e+04,2.15966562e+04,1.51951680e+04,1.83476575e+03
1.93945324e+00,1.43255977e+04,2.00662227e+04,1.41080098e+04,1.71051514e+03
2.01495814e+00,1.33362070e+04,1.86808789e+04,1.31522520e+04,1.62725806e+03
2.09240627e+00,1.29351406e+04,1.81202734e+04,1.28092373e+04,1.64257983e+03
2.17184782e+00,1.34050352e+04,1.87802363e+04,1.33585215e+04,1.79301660e+03
2.25333428e+00,1.47320107e+04,2.06411055e+04,1.47794229e+04,2.06704297e+03
2.33691788e+00,1.67791641e+04,2.35108477e+04,1.69273379e+04,2.45464209e+03
2.42265272e+00,1.89444805e+04,2.65459141e+04,1.91950195e+04,2.85257275e+03
2.51059437e+00,2.05203418e+04,2.87542949e+04,2.08276309e+04,3.10622534e+03
2.60079956e+00,2.11951055e+04,2.96991133e+04,2.14895781e+04,3.16501880e+03
2.69332647e+00,2.11015117e+04,2.95670137e+04,2.13503984e+04,3.09180371e+03
2.78823495e+00,2.06588027e+04,2.89456152e+04,2.08472383e+04,2.95835132e+03
2.88558602e+00,1.97313359e+04,2.76446914e+04,1.98316621e+04,2.73051147e+03
2.98544264e+00,1.83397363e+04,2.56934961e+04,1.83439688e+04,2.44659155e+03
3.08786964e+00,1.69949824e+04,2.38083105e+04,1.69245918e+04,2.20430615e+03
3.19293284e+00,1.57927568e+04,2.21235977e+04,1.56909912e+04,2.02956860e+03
3.30070019e+00,1.49537764e+04,2.09482578e+04,1.48440166e+04,1.92158484e+03
3.41124129e+00,1.43602686e+04,2.01168848e+04,1.42475498e+04,1.85768677e+03
3.52462745e+00,1.38501182e+04,1.94026074e+04,1.37539160e+04,1.81935352e+03
3.64093208e+00,1.36907285e+04,1.91798457e+04,1.36173818e+04,1.83161035e+03
3.76023054e+00,1.36734170e+04,1.91559648e+04,1.36177188e+04,1.85859119e+03
3.88259912e+00,1.36424844e+04,1.91131445e+04,1.36146738e+04,1.89289026e+03
4.00811720e+00,1.38534590e+04,1.94094844e+04,1.38652617e+04,1.96996924e+03
4.13686609e+00,1.43634668e+04,2.01246328e+04,1.44081729e+04,2.07969287e+03
4.26892853e+00,1.49697998e+04,2.09744863e+04,1.50402666e+04,2.19174438e+03
4.40439081e+00,1.57252119e+04,2.20331484e+04,1.58204092e+04,2.31773877e+03
4.54333878e+00,1.66503340e+04,2.33294375e+04,1.67656426e+04,2.46439771e+03
4.68586397e+00,1.75182871e+04,2.45457891e+04,1.76657129e+04,2.61953687e+03
4.83205652e+00,1.83970273e+04,2.57774082e+04,1.85854902e+04,2.78044678e+03
4.98201227e+00,1.91008359e+04,2.67635273e+04,1.93080996e+04,2.89105908e+03
5.13582754e+00,1.92793066e+04,2.70131992e+04,1.94796250e+04,2.90394067e+03
5.29360199e+00,1.90820977e+04,2.67364297e+04,1.92621875e+04,2.85022534e+03
5.45543718e+00,1.88383828e+04,2.63944180e+04,1.89875371e+04,2.77790967e+03
5.62143755e+00,1.84587734e+04,2.58619219e+04,1.85684023e+04,2.68170337e+03
5.79171038e+00,1.79411328e+04,2.51361660e+04,1.80139766e+04,2.57372583e+03
5.96636629e+00,1.75532363e+04,2.45924023e+04,1.75975000e+04,2.49345361e+03
6.14551687e+00,1.72827012e+04,2.42130781e+04,1.73002969e+04,2.43472974e+03
6.32927942e+00,1.69560625e+04,2.37552090e+04,1.69516270e+04,2.37408643e+03
6.51777077e+00,1.67114434e+04,2.34123594e+04,1.66924805e+04,2.33528467e+03
6.71111441e+00,1.65184375e+04,2.31418633e+04,1.64893184e+04,2.30863965e+03
6.90943432e+00,1.62825781e+04,2.28114805e+04,1.62522051e+04,2.28684912e+03
7.11285782e+00,1.60602461e+04,2.25000996e+04,1.60315986e+04,2.27149731e+03
7.32151794e+00,1.58232168e+04,2.21681680e+04,1.57997168e+04,2.25908325e+03
7.53554821e+00,1.56405527e+04,2.19125918e+04,1.56349844e+04,2.26500562e+03
7.75508738e+00,1.56599912e+04,2.19401758e+04,1.56778037e+04,2.29657373e+03
7.98027754e+00,1.58847959e+04,2.22553301e+04,1.59212891e+04,2.35060669e+03
8.21126270e+00,1.61296475e+04,2.25986016e+04,1.61864434e+04,2.40931030e+03
8.44819450e+00,1.64815312e+04,2.30920078e+04,1.65638750e+04,2.48771167e+03
8.69122219e+00,1.68755762e+04,2.36443594e+04,1.69795898e+04,2.56553223e+03
8.94050789e+00,1.70598125e+04,2.39027227e+04,1.71828320e+04,2.60974902e+03
9.19620800e+00,1.73842227e+04,2.43574180e+04,1.75193594e+04,2.66576978e+03
9.45849037e+00,1.77070293e+04,2.48097383e+04,1.78470977e+04,2.71366211e+03
9.72752285e+00,1.82414688e+04,2.55580312e+04,1.83645488e+04,2.76992139e+03
1.00034800e+01,1.83433789e+04,2.57001914e+04,1.84429238e+04,2.75411060e+03
1.02865391e+01,1.84248242e+04,2.58133672e+04,1.84834922e+04,2.72035815e+03
1.05768833e+01,1.77950977e+04,2.49301562e+04,1.78015820e+04,2.58872656e+03
1.08747025e+01,1.68940742e+04,2.36682969e+04,1.69173164e+04,2.48224048e+03
1.11801853e+01,1.72400879e+04,2.41523086e+04,1.72283047e+04,2.49663794e+03
1.14935322e+01,1.56819980e+04,2.19697871e+04,1.56861475e+04,2.30825415e+03
1.18149433e+01,1.69513672e+04,2.37494434e+04,1.70204492e+04,2.52704004e+03
1.21446266e+01,1.73664492e+04,2.43296504e+04,1.73780938e+04,2.53498511e+03
1.24827967e+01,1.54351943e+04,2.16252090e+04,1.55173555e+04,2.33410376e+03
1.28296700e+01,1.84049297e+04,2.57866953e+04,1.85625078e+04,2.77114941e+03
1.31854706e+01,1.83768906e+04,2.57469688e+04,1.85428281e+04,2.76650415e+03
1.35504293e+01,1.79715254e+04,2.51813633e+04,1.82679199e+04,2.83227637e+03
1.39247818e+01,2.06037188e+04,2.88710430e+04,2.10373398e+04,3.28067603e+03
1.43087692e+01,2.50589062e+04,3.51144375e+04,2.56360547e+04,3.89926636e+03
1.47026405e+01,2.25544043e+04,3.16018633e+04,2.30620156e+04,3.34678394e+03
1.51066484e+01,1.58446348e+04,2.22082461e+04,1.68365039e+04,2.66912915e+03
1.55210552e+01,2.05758145e+04,2.88422051e+04,2.20560332e+04,3.38334253e+03
1.59461288e+01,2.26506562e+04,3.17482656e+04,2.42229668e+04,3.37433521e+03
1.63821430e+01,1.68195488e+04,2.35831562e+04,1.86481504e+04,2.52756494e+03
1.68293781e+01,1.35823535e+04,1.90596934e+04,1.58525215e+04,2.27648413e+03
1.72881241e+01,1.47265156e+04,2.06863066e+04,1.71179883e+04,2.53427344e+03
1.77586803e+01,1.81585430e+04,2.55293555e+04,1.98621875e+04,2.88948682e+03
1.82413464e+01,2.32291816e+04,3.26002578e+04,2.40628438e+04,3.40516870e+03
1.87364349e+01,2.67664453e+04,3.75052812e+04,2.73113477e+04,3.58480396e+03
1.92442665e+01,2.47802734e+04,3.47143047e+04,2.49731836e+04,3.07104761e+03
1.97651691e+01,2.19761855e+04,3.07835098e+04,2.22817402e+04,2.61897510e+03
2.02994785e+01,2.06794355e+04,2.89701055e+04,2.08493066e+04,2.29952173e+03
2.08475418e+01,2.18850938e+04,3.06598926e+04,2.16059707e+04,2.36029956e+03
2.14097099e+01,2.57750020e+04,3.61040273e+04,2.51686855e+04,2.88682617e+03
2.19863453e+01,3.06503770e+04,4.29203125e+04,2.93505840e+04,3.22786108e+03
2.25778236e+01,3.00142031e+04,4.20134102e+04,2.81671191e+04,3.04742480e+03
2.31845264e+01,2.88232109e+04,4.03381641e+04,2.68231543e+04,2.98625024e+03
2.38068466e+01,2.37794043e+04,3.32680625e+04,2.15660996e+04,2.24408545e+03
2.44451809e+01,1.98837227e+04,2.78088730e+04,1.76827949e+04,1.81019849e+03
2.50999470e+01,2.26316582e+04,3.16592578e+04,2.04535293e+04,2.06695752e+03
2.57715645e+01,2.55879590e+04,3.57920781e+04,2.28971348e+04,2.17555688e+03
2.64604683e+01,2.47023438e+04,3.45437539e+04,2.18552930e+04,2.04798010e+03
2.71671047e+01,2.35945938e+04,3.29914766e+04,2.07885566e+04,1.79863928e+03
2.78919277e+01,1.85888750e+04,2.59818203e+04,1.58735928e+04,1.24641138e+03
2.86354065e+01,1.30129453e+04,1.81881875e+04,1.11974707e+04,9.64192322e+02
2.93980217e+01,1.18902461e+04,1.66274141e+04,1.05559688e+04,6.62985718e+02
3.01802654e+01,5.92281934e+03,8.26789453e+03,4.55690332e+03,1.27213326e+02
3.09826431e+01,1.84398254e+03,2.56318579e+03,1.03292920e+03,9.18113470e-01
3.18056717e+01,7.36792969e+02,1.02197888e+03,3.62646667e+02,1.12225138e-01
3.26498833e+01,4.38655182e+02,6.07904297e+02,1.93309387e+02,2.87925657e-02
3.35158234e+01,2.48251831e+02,3.43479523e+02,9.19945984e+01,1.26251569e-02
3.44040565e+01,1.60628357e+02,2.21785461e+02,5.04960480e+01,7.16540730e-03
3.53151436e+01,8.16535263e+01,1.12494858e+02,2.46337357e+01,3.39610642e-03
3.62496834e+01,3.81621552e+01,5.25801735e+01,1.32381105e+01,1.91658875e-03
3.72082787e+01,2.15526657e+01,2.97560787e+01,8.80063534e+00,1.48588337e-03
3.81915474e+01,1.48688068e+01,2.05769882e+01,7.09348392e+00,1.17614807e-03
3.92001228e+01,9.91430473e+00,1.37322044e+01,4.91041994e+00,2.81132612e-04
4.02346535e+01,2.98646140e+00,4.12672520e+00,1.26644158e+00,8.71100019e-06
4.12958107e+01,3.21590841e-01,4.40630168e-01,7.67780766e-02,1.78709399e-06
4.23842850e+01,1.11912102e-01,1.53169498e-01,2.49545053e-02,9.75335638e-07
4.35007744e+01,4.61915880e-02,6.31892011e-02,9.39308014e-03,3.85545235e-07
4.46459999e+01,5.68589754e-03,7.73104047e-03,6.12598029e-04,4.74421817e-08
4.58207016e+01,2.40776044e-05,3.14070458e-05,5.75271777e-08,2.33227160e-10
