Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.26011882e-08,9.21189525e-08,3.35531821e-03,1.94066925e+01
7.99999982e-02,4.33029356e-07,6.75905198e-07,1.23226251e-02,1.98635464e+01
1.19999997e-01,2.50987932e-06,4.14456008e-06,2.39984766e-02,2.03403759e+01
1.59999996e-01,6.98536905e-06,1.12710823e-05,3.94877866e-02,2.06143055e+01
2.00000003e-01,1.92242369e-05,2.90820080e-05,5.13052419e-02,2.10444355e+01
2.39999995e-01,3.64937150e-05,5.45886287e-05,6.01556972e-02,2.12391529e+01
2.80000001e-01,5.84277841e-05,8.53859674e-05,6.86794743e-02,2.20404968e+01
3.19999993e-01,9.54238349e-05,1.38157513e-04,7.68392012e-02,2.18662987e+01
3.60000014e-01,1.46618273e-04,2.08315148e-04,8.49929303e-02,2.27541466e+01
4.00000006e-01,2.21411421e-04,3.14612204e-04,9.34877843e-02,2.27156124e+01
4.39999998e-01,3.38681100e-04,4.75235836e-04,1.02598213e-01,2.34590931e+01
4.79999989e-01,4.78375121e-04,6.67560089e-04,1.12213433e-01,2.36830158e+01
5.19999981e-01,6.25802029e-04,8.61744513e-04,1.22015096e-01,2.45083637e+01
5.60000002e-01,7.63420307e-04,1.03993155e-03,1.31794363e-01,2.47012119e+01
6.00000024e-01,9.46980261e-04,1.28074537e-03,1.41369849e-01,2.73245316e+01
6.41029537e-01,1.07949169e-03,1.45208184e-03,1.50172114e-01,2.71517830e+01
6.83115125e-01,1.21700903e-03,1.63726520e-03,1.58729732e-01,2.82363911e+01
7.26283848e-01,1.34854449e-03,1.82609307e-03,1.66130036e-01,2.93840122e+01
7.70563781e-01,1.50349201e-03,2.04953644e-03,1.73506454e-01,2.91961975e+01
8.15983355e-01,1.65199977e-03,2.28779716e-03,1.80981934e-01,3.32784271e+01
8.62571895e-01,1.91401853e-03,2.68590776e-03,1.89499766e-01,3.11563797e+01
9.10359621e-01,2.18248111e-03,3.11251497e-03,1.99037552e-01,3.37769547e+01
9.59377348e-01,2.63684685e-03,3.80869140e-03,2.10660994e-01,3.48241310e+01
1.00965667e+00,3.28528229e-03,4.78317076e-03,2.24224597e-01,3.50397491e+01
1.06123006e+00,4.52973787e-03,6.65538898e-03,2.43684903e-01,3.76217422e+01
1.11413085e+00,6.43687136e-03,9.48013831e-03,2.71831393e-01,3.71876259e+01
1.16839325e+00,9.26597416e-03,1.36424359e-02,3.04516554e-01,4.49464073e+01
1.22405231e+00,1.28395353e-02,1.88358948e-02,3.45727921e-01,4.05174522e+01
1.28114390e+00,1.93674304e-02,2.83744596e-02,3.93540412e-01,4.58464966e+01
1.33970511e+00,3.06891538e-02,4.52312604e-02,4.68330324e-01,4.80651169e+01
1.39977336e+00,2.04546621e+04,2.86356992e+04,1.90946953e+04,1.18451086e+03
1.46138775e+00,2.38565000e+04,3.33617461e+04,2.02107051e+04,1.21147400e+03
1.52458799e+00,1.40718496e+04,1.96754141e+04,1.20067119e+04,8.28330994e+02
1.58941495e+00,1.31772930e+04,1.84358789e+04,1.17645742e+04,1.01713287e+03
1.65591037e+00,1.35889492e+04,1.90181875e+04,1.24267646e+04,1.16898352e+03
1.72411728e+00,1.42277979e+04,1.99152656e+04,1.31501270e+04,1.27805896e+03
1.79407966e+00,1.43951582e+04,2.01494648e+04,1.32963984e+04,1.27453418e+03
1.86584306e+00,1.37296465e+04,1.92165234e+04,1.26097832e+04,1.19679333e+03
1.93945324e+00,1.24789141e+04,1.74648770e+04,1.14005215e+04,1.07228186e+03
2.01495814e+00,1.11561377e+04,1.56132812e+04,1.01633408e+04,9.76265137e+02
2.09240627e+00,1.01470469e+04,1.42018262e+04,9.26870215e+03,9.19065857e+02
2.17184782e+00,9.71228809e+03,1.35952480e+04,8.95304980e+03,9.52982239e+02
2.25333428e+00,9.93469238e+03,1.39090127e+04,9.27231836e+03,1.04714124e+03
2.33691788e+00,1.06217344e+04,1.48733730e+04,1.00415830e+04,1.19957385e+03
2.42265272e+00,1.16861865e+04,1.63663027e+04,1.11845244e+04,1.40140955e+03
2.51059437e+00,1.30981523e+04,1.83456309e+04,1.26644082e+04,1.63825000e+03
2.60079956e+00,1.43586387e+04,2.01121523e+04,1.39750605e+04,1.84118701e+03
2.69332647e+00,1.51064502e+04,2.11600059e+04,1.47570254e+04,1.96546240e+03
2.78823495e+00,1.54337500e+04,2.16186934e+04,1.51163730e+04,2.02397388e+03
2.88558602e+00,1.54897451e+04,2.16970996e+04,1.51867979e+04,2.02511414e+03
2.98544264e+00,1.52876270e+04,2.14134395e+04,1.49645723e+04,1.96073804e+03
3.08786964e+00,1.49936982e+04,2.10007090e+04,1.46158818e+04,1.87345251e+03
3.19293284e+00,1.48033145e+04,2.07330625e+04,1.43663008e+04,1.79974402e+03
3.30070019e+00,1.48469053e+04,2.07934688e+04,1.43566582e+04,1.77112695e+03
3.41124129e+00,1.52502656e+04,2.13576719e+04,1.46906338e+04,1.77948523e+03
3.52462745e+00,1.57782266e+04,2.20960625e+04,1.51319609e+04,1.80364172e+03
3.64093208e+00,1.58468779e+04,2.21906992e+04,1.51160732e+04,1.77575757e+03
3.76023054e+00,1.54947695e+04,2.16965000e+04,1.47225000e+04,1.72741333e+03
3.88259912e+00,1.48168223e+04,2.07464688e+04,1.40325801e+04,1.63886365e+03
4.00811720e+00,1.38727383e+04,1.94240215e+04,1.30976367e+04,1.53411890e+03
4.13686609e+00,1.28065742e+04,1.79309473e+04,1.20631152e+04,1.41944897e+03
4.26892853e+00,1.18005176e+04,1.65226426e+04,1.11198115e+04,1.33389807e+03
4.40439081e+00,1.12861973e+04,1.58034268e+04,1.06734971e+04,1.31344775e+03
