Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.27663496e-05,1.70340238e-04,5.88235538e-03,6.23444021e-02
7.99999982e-02,1.36890449e-04,2.49596982e-04,9.46994219e-03,1.28577814e-01
1.19999997e-01,1.93956235e-04,3.49771552e-04,1.31738810e-02,2.48932704e-01
1.59999996e-01,2.31741898e-04,4.17125557e-04,1.82179622e-02,4.90323186e-01
2.00000003e-01,2.87099712e-04,5.14265965e-04,2.37375721e-02,5.42497039e-01
2.39999995e-01,3.71515285e-04,6.57407858e-04,3.16871740e-02,9.12018239e-01
2.80000001e-01,4.44759877e-04,7.87601515e-04,4.13084812e-02,1.16466701e+00
3.19999993e-01,5.50549710e-04,9.73337039e-04,5.45522273e-02,1.37422025e+00
3.60000014e-01,7.29979132e-04,1.28460384e-03,6.89039752e-02,1.58092344e+00
4.00000006e-01,9.24396154e-04,1.62519352e-03,8.98230299e-02,1.73775065e+00
4.39999998e-01,1.23824854e-03,2.17046589e-03,1.03812508e-01,1.85559154e+00
4.79999989e-01,1.68156635e-03,2.92416848e-03,1.32530332e-01,1.98294914e+00
5.19999981e-01,2.24870234e-03,3.88108171e-03,1.44303262e-01,2.08049822e+00
5.60000002e-01,2.91281031e-03,4.99043800e-03,1.78712398e-01,2.17752600e+00
6.00000024e-01,3.97704821e-03,6.74190139e-03,1.87630206e-01,2.27867508e+00
6.41029537e-01,5.29614463e-03,8.91324133e-03,2.24793226e-01,2.38313365e+00
6.83115125e-01,7.02581834e-03,1.17266811e-02,2.27562398e-01,2.48544383e+00
7.26283848e-01,9.38316155e-03,1.55648394e-02,2.51283914e-01,2.62354660e+00
7.70563781e-01,1.24953771e-02,2.06072889e-02,2.67762661e-01,2.75602984e+00
8.15983355e-01,1.68844331e-02,2.78033298e-02,3.09859365e-01,2.90348816e+00
8.62571895e-01,2.31662448e-02,3.80069651e-02,3.11903656e-01,3.09096789e+00
9.10359621e-01,3.32924239e-02,5.40666394e-02,3.60558838e-01,3.24843431e+00
9.59377348e-01,4.59686071e-02,7.35519230e-02,3.74524832e-01,3.42429066e+00
1.00965667e+00,6.34889826e-02,1.00774460e-01,4.25216943e-01,3.62047553e+00
1.06123006e+00,8.95939916e-02,1.40865147e-01,4.86232936e-01,3.84065485e+00
1.11413085e+00,1.23515040e-01,1.91560030e-01,5.46028137e-01,4.14616013e+00
1.16839325e+00,1.62357002e-01,2.47839570e-01,6.12008393e-01,4.43325043e+00
1.22405231e+00,2.01859429e-01,3.03967744e-01,6.86645150e-01,4.75504494e+00
1.28114390e+00,2.53456950e-01,3.78865719e-01,8.32096040e-01,5.10039854e+00
1.33970511e+00,3.45378846e-01,5.16098559e-01,1.12351584e+00,5.48202705e+00
1.39977336e+00,2.02320938e+04,2.83420273e+04,2.00971680e+04,2.12916919e+03
1.46138775e+00,2.63450859e+04,3.68834766e+04,2.47683477e+04,2.07714282e+03
1.52458799e+00,1.59205156e+04,2.22870508e+04,1.50344473e+04,1.39836353e+03
1.58941495e+00,1.49736816e+04,2.09689414e+04,1.45088281e+04,1.60235889e+03
1.65591037e+00,1.52393389e+04,2.13452656e+04,1.49858828e+04,1.81485132e+03
1.72411728e+00,1.62244561e+04,2.27281699e+04,1.61118252e+04,2.05675903e+03
1.79407966e+00,1.73693516e+04,2.43334746e+04,1.73237480e+04,2.24720215e+03
1.86584306e+00,1.80982051e+04,2.53545645e+04,1.80520605e+04,2.32095410e+03
1.93945324e+00,1.80241523e+04,2.52497695e+04,1.79235234e+04,2.24321265e+03
2.01495814e+00,1.70254277e+04,2.38489688e+04,1.68369570e+04,2.02950671e+03
2.09240627e+00,1.54633359e+04,2.16592227e+04,1.52007520e+04,1.78099438e+03
2.17184782e+00,1.39764092e+04,1.95761641e+04,1.37153105e+04,1.61979443e+03
2.25333428e+00,1.32444004e+04,1.85520508e+04,1.30466621e+04,1.59779736e+03
2.33691788e+00,1.32935000e+04,1.86219219e+04,1.31341816e+04,1.66482336e+03
2.42265272e+00,1.33764160e+04,1.87396406e+04,1.32897852e+04,1.75834253e+03
2.51059437e+00,1.40866553e+04,1.97361953e+04,1.40622842e+04,1.91885132e+03
2.60079956e+00,1.60063125e+04,2.24273438e+04,1.60824238e+04,2.32643115e+03
2.69332647e+00,1.94091680e+04,2.71982422e+04,1.97004609e+04,3.00285059e+03
2.78823495e+00,2.32883398e+04,3.26329434e+04,2.36097344e+04,3.56927417e+03
2.88558602e+00,2.31784160e+04,3.24773223e+04,2.34593965e+04,3.55260547e+03
2.98544264e+00,2.15462598e+04,3.01932930e+04,2.19589883e+04,3.37499561e+03
3.08786964e+00,2.03373906e+04,2.84953145e+04,2.04862285e+04,2.90505371e+03
3.19293284e+00,1.62181826e+04,2.27235742e+04,1.63168457e+04,2.33530151e+03
3.30070019e+00,1.60573105e+04,2.25026797e+04,1.63485244e+04,2.47720410e+03
3.41124129e+00,2.09068398e+04,2.93010273e+04,2.13520488e+04,3.24676953e+03
3.52462745e+00,2.83598711e+04,3.97411406e+04,2.86669434e+04,4.01537500e+03
3.64093208e+00,2.83248965e+04,3.96839844e+04,2.82888281e+04,3.74926367e+03
3.76023054e+00,2.59521992e+04,3.63578047e+04,2.58474551e+04,3.46360449e+03
3.88259912e+00,2.42495352e+04,3.39707500e+04,2.40786445e+04,3.25197925e+03
4.00811720e+00,2.09791836e+04,2.93884238e+04,2.07926777e+04,2.82282544e+03
4.13686609e+00,1.74395449e+04,2.44296094e+04,1.72678047e+04,2.36551709e+03
4.26892853e+00,1.49860811e+04,2.09937988e+04,1.48812285e+04,2.11182251e+03
4.40439081e+00,1.45636074e+04,2.04057441e+04,1.46221133e+04,2.19797559e+03
4.54333878e+00,1.64351758e+04,2.30303398e+04,1.65997637e+04,2.52463965e+03
4.68586397e+00,1.80321367e+04,2.52673809e+04,1.81969414e+04,2.75669165e+03
4.83205652e+00,1.77673535e+04,2.48979512e+04,1.80090176e+04,2.82534302e+03
4.98201227e+00,1.78460938e+04,2.50105156e+04,1.81690488e+04,2.90207910e+03
5.13582754e+00,1.87539922e+04,2.62812754e+04,1.90090859e+04,2.94803101e+03
5.29360199e+00,1.89447637e+04,2.65449531e+04,1.90488711e+04,2.85564478e+03
5.45543718e+00,1.81762715e+04,2.54655781e+04,1.81797480e+04,2.71792017e+03
5.62143755e+00,1.74593496e+04,2.44599395e+04,1.74225879e+04,2.62915259e+03
5.79171038e+00,1.71549668e+04,2.40325957e+04,1.70869883e+04,2.57550000e+03
5.96636629e+00,1.68646953e+04,2.36250469e+04,1.67646543e+04,2.50924854e+03
6.14551687e+00,1.63600459e+04,2.29172754e+04,1.62352324e+04,2.41767139e+03
6.32927942e+00,1.56587354e+04,2.19347109e+04,1.55389951e+04,2.33194189e+03
6.51777077e+00,1.47820830e+04,2.07072051e+04,1.46935586e+04,2.24041602e+03
6.71111441e+00,1.37812295e+04,1.93057637e+04,1.37241211e+04,2.12422144e+03
6.90943432e+00,1.26873652e+04,1.77738086e+04,1.26518604e+04,1.99427734e+03
7.11285782e+00,1.16448672e+04,1.63138574e+04,1.16311455e+04,1.86771936e+03
7.32151794e+00,1.08877363e+04,1.52536934e+04,1.08944824e+04,1.78419080e+03
7.53554821e+00,1.05021426e+04,1.47140703e+04,1.05298555e+04,1.75862952e+03
7.75508738e+00,1.05642988e+04,1.48018555e+04,1.06187207e+04,1.80161267e+03
7.98027754e+00,1.12002988e+04,1.56932578e+04,1.12691982e+04,1.91285510e+03
8.21126270e+00,1.22062480e+04,1.71022402e+04,1.22628125e+04,2.05219360e+03
8.44819450e+00,1.28687959e+04,1.80300234e+04,1.29112549e+04,2.14600195e+03
8.69122219e+00,1.35146641e+04,1.89342695e+04,1.35346211e+04,2.23139160e+03
8.94050789e+00,1.41416025e+04,1.98115723e+04,1.41216006e+04,2.30055859e+03
9.19620800e+00,1.40699639e+04,1.97108477e+04,1.40389541e+04,2.29727539e+03
9.45849037e+00,1.36082949e+04,1.90639160e+04,1.35752578e+04,2.23679980e+03
9.72752285e+00,1.27985791e+04,1.79291855e+04,1.27531133e+04,2.11824976e+03
1.00034800e+01,1.17831309e+04,1.65065430e+04,1.17374600e+04,1.98202454e+03
1.02865391e+01,1.09645449e+04,1.53599512e+04,1.09291670e+04,1.88749670e+03
1.05768833e+01,1.04907959e+04,1.46974590e+04,1.05065020e+04,1.86580432e+03
1.08747025e+01,1.10351084e+04,1.54607471e+04,1.10841094e+04,1.95210815e+03
1.11801853e+01,1.20150996e+04,1.68326465e+04,1.20306387e+04,2.05343384e+03
1.14935322e+01,1.20294531e+04,1.68524453e+04,1.20416035e+04,2.07048096e+03
1.18149433e+01,1.15735527e+04,1.62147754e+04,1.16345039e+04,2.07709155e+03
1.21446266e+01,1.18170488e+04,1.65569453e+04,1.19369814e+04,2.17523389e+03
1.24827967e+01,1.26251133e+04,1.76891172e+04,1.27735938e+04,2.31196045e+03
1.28296700e+01,1.24770381e+04,1.74813672e+04,1.26429883e+04,2.29955762e+03
1.31854706e+01,1.17094043e+04,1.64063750e+04,1.19341807e+04,2.20735767e+03
1.35504293e+01,1.13416201e+04,1.58911611e+04,1.16082295e+04,2.14000659e+03
1.39247818e+01,1.04400293e+04,1.46288105e+04,1.08076094e+04,2.03711243e+03
1.43087692e+01,9.68223828e+03,1.35696807e+04,1.02666035e+04,1.98792834e+03
1.47026405e+01,9.18931543e+03,1.28809150e+04,9.94427344e+03,1.92416003e+03
1.51066484e+01,8.55139746e+03,1.19886035e+04,9.47166406e+03,1.86200867e+03
1.55210552e+01,8.48504297e+03,1.18984834e+04,9.66985156e+03,1.92864819e+03
1.59461288e+01,9.43120703e+03,1.32280049e+04,1.09370010e+04,2.12861963e+03
1.63821430e+01,1.08353564e+04,1.52010967e+04,1.27137246e+04,2.36161377e+03
1.68293781e+01,1.25257402e+04,1.75785176e+04,1.48680146e+04,2.58409814e+03
1.72881241e+01,1.48481523e+04,2.08451348e+04,1.78354590e+04,2.81770068e+03
1.77586803e+01,1.76450762e+04,2.47744922e+04,2.08861953e+04,3.01223608e+03
1.82413464e+01,2.02788672e+04,2.84727500e+04,2.32672949e+04,3.13067505e+03
1.87364349e+01,2.29707734e+04,3.22520781e+04,2.54349375e+04,3.18757764e+03
1.92442665e+01,2.44154863e+04,3.42657461e+04,2.64865625e+04,3.15213452e+03
1.97651691e+01,2.41560645e+04,3.38797305e+04,2.62050859e+04,3.03054346e+03
2.02994785e+01,2.61969453e+04,3.67424648e+04,2.75647520e+04,3.10388696e+03
2.08475418e+01,3.07663047e+04,4.31203672e+04,3.02221621e+04,3.41086133e+03
2.14097099e+01,3.30187695e+04,4.62263906e+04,3.10779785e+04,3.61678955e+03
2.19863453e+01,3.37489453e+04,4.72329531e+04,3.18017656e+04,3.89737598e+03
2.25778236e+01,3.67176250e+04,5.13969727e+04,3.49059805e+04,4.09130273e+03
2.31845264e+01,3.97126797e+04,5.55829883e+04,3.70580742e+04,3.87954858e+03
2.38068466e+01,3.74292930e+04,5.23686719e+04,3.39663711e+04,3.67627393e+03
2.44451809e+01,3.31686484e+04,4.63946328e+04,2.97116152e+04,2.91397144e+03
2.50999470e+01,3.28023984e+04,4.58788555e+04,2.91062090e+04,2.70096948e+03
2.57715645e+01,3.02101934e+04,4.22532852e+04,2.69528535e+04,2.75120947e+03
2.64604683e+01,2.93068320e+04,4.09946602e+04,2.64746660e+04,2.88581274e+03
2.71671047e+01,2.94368887e+04,4.11816836e+04,2.69980391e+04,2.84407910e+03
2.78919277e+01,2.05269180e+04,2.87095918e+04,1.85784395e+04,1.70334644e+03
2.86354065e+01,1.09670996e+04,1.53334307e+04,9.73812793e+03,8.73232422e+02
2.93980217e+01,8.15675391e+03,1.14055977e+04,7.34507520e+03,7.33832397e+02
3.01802654e+01,7.17248584e+03,1.00301025e+04,6.47722461e+03,6.08094482e+02
3.09826431e+01,5.16804736e+03,7.22487793e+03,4.52890820e+03,3.39294128e+02
3.18056717e+01,2.90353979e+03,4.05687354e+03,2.42609375e+03,1.31984970e+02
3.26498833e+01,1.15207007e+03,1.60730640e+03,8.68005188e+02,2.81131763e+01
3.35158234e+01,3.05392181e+02,4.24298676e+02,1.73324768e+02,1.25128126e+00
3.44040565e+01,1.00319534e+02,1.38206039e+02,2.82299213e+01,4.66358382e-03
3.53151436e+01,4.61558685e+01,6.32359467e+01,7.89192343e+00,2.53481441e-03
3.62496834e+01,2.41198158e+01,3.29346924e+01,3.24727750e+00,2.71238387e-04
3.72082787e+01,1.47417984e+01,2.01320686e+01,2.52751613e+00,1.79794133e-05
3.81915474e+01,6.94093466e+00,9.44774818e+00,8.67438138e-01,4.88252863e-06
3.92001228e+01,1.60398853e+00,2.16166162e+00,1.05722956e-01,1.22886115e-06
4.02346535e+01,4.32537019e-01,5.79911232e-01,1.50644695e-02,2.71716203e-07
4.12958107e+01,8.50230306e-02,1.14059001e-01,5.31863840e-03,7.46550199e-08
4.23842850e+01,1.19574992e-02,1.60144977e-02,7.54213950e-04,1.34252547e-08
4.35007744e+01,6.41502265e-04,8.39358836e-04,5.95494976e-06,8.57684201e-10
4.46459999e+01,4.80156923e-05,6.23633168e-05,8.03215471e-07,1.06523672e-10
4.58207016e+01,2.88641240e-06,3.70347288e-06,8.24732567e-08,1.04644227e-11
4.70256386e+01,1.52475579e-07,1.98552570e-07,1.04668212e-08,7.46318968e-13
4.82615852e+01,1.92922816e-08,2.42758844e-08,5.63227021e-10,4.36772878e-14
4.95293465e+01,1.01710662e-09,1.37100786e-09,4.30845949e-11,3.08058027e-15
5.08297386e+01,1.13111361e-11,1.47455416e-11,1.55081579e-12,8.78021780e-17
5.21635971e+01,4.60151502e-13,6.02431950e-13,3.10526005e-14,5.06742879e-18
5.35317917e+01,1.35151340e-14,1.76073975e-14,3.95866327e-16,2.03449983e-19
5.49351997e+01,2.48681568e-16,3.91214555e-16,1.23148292e-17,4.46556402e-21
5.63747253e+01,1.72065777e-17,1.89508915e-17,7.84510170e-18,1.84908744e-22
