Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.01818214e-02,4.08081040e-02,1.39492476e+00,6.54382858e+01
7.99999982e-02,3.66453342e-02,4.96662445e-02,1.50299799e+00,6.52677994e+01
1.19999997e-01,5.21818362e-02,7.25766718e-02,1.60190117e+00,6.53523026e+01
1.59999996e-01,6.26393259e-02,8.85601342e-02,1.76378810e+00,6.57285995e+01
2.00000003e-01,6.67869896e-02,9.47231278e-02,1.84614980e+00,6.56496429e+01
2.39999995e-01,9.90580767e-02,1.42670989e-01,2.07616663e+00,6.59757156e+01
2.80000001e-01,1.02432765e-01,1.47657946e-01,2.18824959e+00,6.60736084e+01
3.19999993e-01,1.10258505e-01,1.59184128e-01,2.36893916e+00,6.65221329e+01
3.60000014e-01,1.16699398e-01,1.68897673e-01,2.53474569e+00,6.68001785e+01
4.00000006e-01,1.26765773e-01,1.83992013e-01,2.76128316e+00,6.74635086e+01
4.39999998e-01,1.36192724e-01,1.98325321e-01,2.97501898e+00,6.79907150e+01
4.79999989e-01,1.52115405e-01,2.22098619e-01,3.23098993e+00,6.89909592e+01
5.19999981e-01,1.72424063e-01,2.51978457e-01,3.50722766e+00,6.98885422e+01
5.60000002e-01,1.98701888e-01,2.90197343e-01,3.87455392e+00,7.14933929e+01
6.00000024e-01,2.26408020e-01,3.30939174e-01,4.28838491e+00,7.28164749e+01
6.41029537e-01,2.61072367e-01,3.82331908e-01,4.85290098e+00,7.50712891e+01
6.83115125e-01,3.07316124e-01,4.51625019e-01,5.56177998e+00,7.67596741e+01
7.26283848e-01,3.80036235e-01,5.60769200e-01,6.56862020e+00,7.91042328e+01
7.70563781e-01,4.88782853e-01,7.23086476e-01,7.88576603e+00,8.11609268e+01
8.15983355e-01,6.27183199e-01,9.29834008e-01,9.54396248e+00,8.35637817e+01
8.62571895e-01,7.76708484e-01,1.15445626e+00,1.13871498e+01,8.56267166e+01
9.10359621e-01,9.43483293e-01,1.40625906e+00,1.34479656e+01,8.80764847e+01
9.59377348e-01,1.12083137e+00,1.67457414e+00,1.55188560e+01,9.11250534e+01
1.00965667e+00,1.30580318e+00,1.95417845e+00,1.76599312e+01,9.23088913e+01
1.06123006e+00,1.49750197e+00,2.24412036e+00,1.99920616e+01,9.78302002e+01
1.11413085e+00,1.69872963e+00,2.54920506e+00,2.25387135e+01,9.80667648e+01
1.16839325e+00,1.91430831e+00,2.87593341e+00,2.53038845e+01,1.03297218e+02
1.22405231e+00,2.14993620e+00,3.23219967e+00,2.83437424e+01,1.06365982e+02
1.28114390e+00,2.40080500e+00,3.61080050e+00,3.18610783e+01,1.12990204e+02
1.33970511e+00,2.65126181e+00,3.99059343e+00,3.59530449e+01,1.07415115e+02
1.39977336e+00,1.87591797e+04,2.62580156e+04,1.73178691e+04,9.52604736e+02
1.46138775e+00,1.93501816e+04,2.70671289e+04,1.69239082e+04,1.10733740e+03
1.52458799e+00,1.80553320e+04,2.52551367e+04,1.57761338e+04,1.16996362e+03
1.58941495e+00,1.68803516e+04,2.36187461e+04,1.51024668e+04,1.28641052e+03
1.65591037e+00,1.64243145e+04,2.29844766e+04,1.48893906e+04,1.35979102e+03
1.72411728e+00,1.61222695e+04,2.25640781e+04,1.47301953e+04,1.39543262e+03
1.79407966e+00,1.58832090e+04,2.22308867e+04,1.45857363e+04,1.42474316e+03
1.86584306e+00,1.57089844e+04,2.19880820e+04,1.44853467e+04,1.44169189e+03
1.93945324e+00,1.54701553e+04,2.16545039e+04,1.43077061e+04,1.44636951e+03
2.01495814e+00,1.51503828e+04,2.12074961e+04,1.40455596e+04,1.44374231e+03
2.09240627e+00,1.47730508e+04,2.06795098e+04,1.37116807e+04,1.42829932e+03
2.17184782e+00,1.42303506e+04,1.99199863e+04,1.32248809e+04,1.38749939e+03
2.25333428e+00,1.35523789e+04,1.89711250e+04,1.26138701e+04,1.33804211e+03
2.33691788e+00,1.28092266e+04,1.79311309e+04,1.19449805e+04,1.28458154e+03
2.42265272e+00,1.20255762e+04,1.68342188e+04,1.12323096e+04,1.22013477e+03
2.51059437e+00,1.12233330e+04,1.57113125e+04,1.05029541e+04,1.14354346e+03
2.60079956e+00,1.04272588e+04,1.45971289e+04,9.78498242e+03,1.07739453e+03
2.69332647e+00,9.64813477e+03,1.35067148e+04,9.08592285e+03,1.01131189e+03
2.78823495e+00,8.93758301e+03,1.25123789e+04,8.45338086e+03,9.50922180e+02
2.88558602e+00,8.31114648e+03,1.16357588e+04,7.89866846e+03,8.94136108e+02
