Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.45730894e-28,4.47445526e-28,7.78663892e-26,2.95863756e-05
7.99999982e-02,2.13525480e-26,3.91996324e-26,6.71466333e-24,5.19604422e-02
1.19999997e-01,9.47598060e-25,1.78196007e-24,2.06818301e-22,1.32342950e-01
1.59999996e-01,4.81252263e-23,9.13362341e-23,8.84390896e-21,2.10805282e-01
2.00000003e-01,1.61101351e-21,3.09268998e-21,2.53010122e-19,2.98569858e-01
2.39999995e-01,2.29759513e-20,4.47644427e-20,2.95204052e-18,3.20125043e-01
2.80000001e-01,1.42179888e-19,2.77759262e-19,1.98552646e-17,3.73964339e-01
3.19999993e-01,2.35675275e-18,4.65471488e-18,2.31644135e-16,3.93768013e-01
3.60000014e-01,1.22142672e-17,2.44082569e-17,1.82396524e-12,4.63946998e-01
4.00000006e-01,1.34030272e-16,2.70606539e-16,3.51599425e-07,4.91946727e-01
4.39999998e-01,1.16016356e-15,2.37184408e-15,7.40401738e-05,5.22034883e-01
4.79999989e-01,4.44435477e-15,9.26748234e-15,3.05151741e-04,5.28521121e-01
5.19999981e-01,5.36910197e-14,1.12471420e-13,6.63328799e-04,5.75981498e-01
5.60000002e-01,1.89756590e-13,4.02481976e-13,1.71859819e-03,9.22970235e-01
6.00000024e-01,8.12528918e-13,1.71439067e-12,2.99908500e-03,7.21279204e-01
6.41029537e-01,7.18349425e-12,1.48505635e-11,5.80198271e-03,1.09276390e+00
6.83115125e-01,5.64779994e-11,1.19003460e-10,8.66724364e-03,1.19061553e+00
7.26283848e-01,1.05582798e-09,2.21857532e-09,1.61581337e-02,1.96491086e+00
7.70563781e-01,6.53022258e-09,1.41079486e-08,1.88367534e-02,1.79467309e+00
8.15983355e-01,5.98810601e-08,1.26923823e-07,2.95167528e-02,2.33654451e+00
8.62571895e-01,2.33438641e-07,5.13580858e-07,2.92352624e-02,2.24331379e+00
9.10359621e-01,9.50362676e-07,2.13622570e-06,3.79006527e-02,3.80804491e+00
9.59377348e-01,3.43831448e-06,8.06834578e-06,4.17842530e-02,2.87712193e+00
1.00965667e+00,1.17855116e-05,2.76733390e-05,4.10033241e-02,4.61451244e+00
1.06123006e+00,4.25218786e-05,9.81495614e-05,3.83466817e-02,3.50875378e+00
1.11413085e+00,1.56081180e-04,3.40621191e-04,3.98071371e-02,6.11268806e+00
1.16839325e+00,5.61212713e-04,1.18194148e-03,4.26698178e-02,3.83547854e+00
1.22405231e+00,1.93205639e-03,3.90601694e-03,4.44367900e-02,6.32913971e+00
1.28114390e+00,7.83000886e-03,1.42883714e-02,4.31597903e-02,4.17470646e+00
1.33970511e+00,2.43894178e-02,4.19131927e-02,4.51954454e-02,7.20916700e+00
1.39977336e+00,2.02102266e+04,2.83110273e+04,2.00484062e+04,2.08270288e+03
1.46138775e+00,2.57313164e+04,3.60243828e+04,2.41816250e+04,1.99252319e+03
1.52458799e+00,1.53793457e+04,2.15284766e+04,1.44706074e+04,1.30505347e+03
1.58941495e+00,1.40266094e+04,1.96412227e+04,1.35116992e+04,1.42944312e+03
1.65591037e+00,1.37120801e+04,1.92044688e+04,1.33988066e+04,1.56303076e+03
1.72411728e+00,1.43384014e+04,2.00851172e+04,1.41896572e+04,1.79895813e+03
1.79407966e+00,1.58485635e+04,2.22036758e+04,1.58480166e+04,2.12617285e+03
1.86584306e+00,1.77034570e+04,2.48039570e+04,1.77900098e+04,2.42212842e+03
1.93945324e+00,1.89730039e+04,2.65822422e+04,1.90449336e+04,2.53706396e+03
2.01495814e+00,1.90240293e+04,2.66519961e+04,1.90058125e+04,2.43454663e+03
2.09240627e+00,1.79430820e+04,2.51354844e+04,1.78076250e+04,2.17275195e+03
