Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.79674458e-09,1.58582196e-08,7.23831877e-02,8.49649525e+00
7.99999982e-02,4.83409437e-08,9.91615394e-08,7.63118863e-02,8.52424431e+00
1.19999997e-01,2.30772542e-07,3.99646240e-07,7.75689334e-02,8.53045654e+00
1.59999996e-01,1.20101777e-06,1.93170899e-06,8.14448819e-02,8.56272030e+00
2.00000003e-01,3.41906116e-06,5.55277893e-06,8.44320506e-02,8.56989574e+00
2.39999995e-01,9.32849798e-06,1.53131787e-05,8.88181329e-02,8.59425259e+00
2.80000001e-01,2.21119626e-05,3.71841306e-05,9.36601236e-02,8.60040665e+00
3.19999993e-01,4.30101754e-05,7.10226304e-05,9.99263003e-02,8.63302422e+00
3.60000014e-01,7.71437190e-05,1.25857798e-04,1.06597930e-01,8.72694302e+00
4.00000006e-01,1.26426865e-04,2.04825803e-04,1.16123915e-01,8.74101543e+00
4.39999998e-01,1.92002204e-04,3.14708683e-04,1.26620933e-01,8.80091858e+00
4.79999989e-01,2.94180791e-04,4.81959432e-04,1.39688879e-01,8.89400101e+00
5.19999981e-01,4.35104448e-04,7.07636238e-04,1.53688669e-01,8.91461945e+00
5.60000002e-01,6.00164349e-04,9.70294233e-04,1.71091318e-01,9.00595379e+00
6.00000024e-01,8.31583049e-04,1.33828551e-03,1.90666288e-01,9.00065327e+00
6.41029537e-01,1.14117144e-03,1.83034479e-03,2.13296235e-01,9.06904697e+00
6.83115125e-01,1.64413755e-03,2.61995033e-03,2.38027483e-01,8.95934105e+00
7.26283848e-01,2.47086282e-03,3.90261551e-03,2.69177258e-01,9.16392040e+00
7.70563781e-01,3.64395697e-03,5.68867894e-03,3.02165478e-01,9.01513481e+00
8.15983355e-01,5.38050383e-03,8.32444988e-03,3.43767345e-01,9.40310478e+00
8.62571895e-01,7.43337953e-03,1.14251031e-02,3.89668941e-01,9.09973049e+00
9.10359621e-01,1.03188669e-02,1.58129334e-02,4.48095918e-01,9.67913723e+00
9.59377348e-01,1.43299000e-02,2.19343137e-02,5.14259636e-01,9.43118000e+00
1.00965667e+00,2.01603509e-02,3.07333749e-02,5.99057972e-01,1.00174255e+01
1.06123006e+00,2.77437083e-02,4.21632007e-02,7.00251162e-01,9.56932259e+00
1.11413085e+00,3.61643359e-02,5.48496768e-02,8.05055320e-01,1.06997242e+01
1.16839325e+00,4.50328626e-02,6.82458058e-02,9.10983086e-01,9.90268993e+00
