Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.73245736e-03
7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.38429587e-02
1.19999997e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.86493027e-02
1.59999996e-01,6.58610278e-41,7.70714155e-41,0.00000000e+00,1.89153954e-01
2.00000003e-01,2.33736584e-39,2.74794629e-39,2.80259693e-42,3.61018360e-01
2.39999995e-01,1.26657763e-37,1.43787235e-37,2.42424634e-40,5.88935673e-01
2.80000001e-01,1.59522418e-36,1.75825820e-36,8.27466743e-39,8.62988830e-01
3.19999993e-01,9.41232260e-36,9.61531994e-36,1.59861530e-37,1.19486082e+00
3.60000014e-01,1.09606916e-34,1.33225766e-34,4.20016350e-36,1.50428498e+00
4.00000006e-01,3.01857692e-33,3.78643077e-33,1.02345747e-34,1.77897406e+00
4.39999998e-01,5.43043184e-32,6.60031027e-32,1.45703434e-33,2.06126928e+00
4.79999989e-01,1.09860197e-30,1.28748605e-30,2.22559225e-32,2.35725999e+00
5.19999981e-01,7.09767476e-30,8.12320989e-30,1.65801750e-31,2.67080069e+00
5.60000002e-01,2.04395168e-29,2.33680694e-29,6.07971932e-31,3.04419255e+00
6.00000024e-01,8.41527193e-28,9.25949658e-28,1.05773555e-29,3.30792665e+00
6.41029537e-01,6.26285917e-27,6.97915258e-27,1.10203553e-28,3.70230579e+00
6.83115125e-01,3.40993200e-26,3.70557796e-26,5.89688741e-28,4.19244385e+00
7.26283848e-01,6.32312395e-25,6.80501739e-25,7.22935553e-27,4.52909946e+00
7.70563781e-01,2.75624411e-24,3.08764852e-24,7.01927940e-26,5.06687784e+00
8.15983355e-01,2.06315636e-23,2.17516262e-23,3.18525615e-25,5.43851995e+00
8.62571895e-01,1.73916806e-22,1.70092674e-22,2.87858263e-24,5.96372414e+00
9.10359621e-01,1.01671130e-21,1.12730642e-21,2.18386975e-23,6.03230906e+00
9.59377348e-01,1.74751776e-20,1.71722356e-20,1.41831170e-22,7.02522755e+00
1.00965667e+00,6.38518163e-20,7.00892234e-20,1.26882872e-21,7.47177362e+00
1.06123006e+00,8.63959131e-19,8.86811753e-19,7.17889536e-21,8.63096046e+00
1.11413085e+00,1.22305833e-17,1.21288848e-17,6.64433086e-20,8.80381298e+00
1.16839325e+00,1.39319053e-16,1.32043741e-16,9.31037274e-19,9.68668175e+00
1.22405231e+00,2.13288317e-15,1.74097119e-15,1.25180021e-17,1.00145769e+01
1.28114390e+00,4.39645268e-14,3.24354869e-14,1.31097698e-16,1.18152943e+01
1.33970511e+00,3.15839558e-13,2.52155528e-13,1.51208542e-15,1.12200174e+01
1.39977336e+00,2.01314551e+04,2.82003320e+04,1.99455156e+04,2.08773389e+03
1.46138775e+00,2.48379297e+04,3.47742031e+04,2.33907539e+04,1.93536804e+03
1.52458799e+00,1.50294541e+04,2.10392695e+04,1.41515273e+04,1.26058008e+03
1.58941495e+00,1.38575977e+04,1.94038203e+04,1.32955430e+04,1.33611414e+03
1.65591037e+00,1.31773350e+04,1.84533008e+04,1.27462676e+04,1.35551782e+03
1.72411728e+00,1.24830977e+04,1.74821973e+04,1.21312227e+04,1.33720361e+03
1.79407966e+00,1.17432363e+04,1.64468926e+04,1.14564277e+04,1.30716895e+03
1.86584306e+00,1.12258477e+04,1.57233613e+04,1.10056816e+04,1.30935791e+03
1.93945324e+00,1.11345645e+04,1.55969072e+04,1.09855430e+04,1.37223535e+03
2.01495814e+00,1.15968535e+04,1.62461836e+04,1.15298906e+04,1.52048511e+03
2.09240627e+00,1.28357578e+04,1.79837969e+04,1.28682568e+04,1.78520386e+03
2.17184782e+00,1.47678672e+04,2.06925508e+04,1.49075996e+04,2.14870093e+03
2.25333428e+00,1.70079980e+04,2.38323535e+04,1.72381016e+04,2.52241016e+03
2.33691788e+00,1.90149004e+04,2.66444102e+04,1.92854922e+04,2.80713086e+03
2.42265272e+00,2.02631934e+04,2.83923633e+04,2.05000391e+04,2.90491260e+03
2.51059437e+00,2.04439043e+04,2.86434883e+04,2.05747383e+04,2.79915771e+03
2.60079956e+00,1.95809180e+04,2.74319062e+04,1.95693438e+04,2.53760376e+03
2.69332647e+00,1.80117852e+04,2.52312969e+04,1.78686797e+04,2.21310962e+03
2.78823495e+00,1.61290020e+04,2.25920293e+04,1.58947441e+04,1.89909082e+03
2.88558602e+00,1.42235811e+04,1.99219043e+04,1.39455176e+04,1.62796741e+03
2.98544264e+00,1.24970703e+04,1.75031523e+04,1.22148174e+04,1.41851294e+03
3.08786964e+00,1.10675518e+04,1.55009600e+04,1.08070801e+04,1.26258691e+03
3.19293284e+00,9.97444824e+03,1.39703389e+04,9.75010352e+03,1.16555664e+03
3.30070019e+00,9.22585156e+03,1.29225049e+04,9.04509277e+03,1.11459717e+03
3.41124129e+00,8.82496289e+03,1.23618711e+04,8.69179395e+03,1.11520801e+03
3.52462745e+00,8.76515527e+03,1.22791367e+04,8.68286426e+03,1.16219385e+03
3.64093208e+00,9.05328125e+03,1.26839043e+04,9.02555176e+03,1.26128027e+03
3.76023054e+00,9.70506250e+03,1.35981709e+04,9.73591309e+03,1.41449414e+03
3.88259912e+00,1.07398301e+04,1.50490381e+04,1.08346855e+04,1.62352808e+03
4.00811720e+00,1.21644727e+04,1.70461172e+04,1.23283887e+04,1.89506067e+03
4.13686609e+00,1.39498574e+04,1.95485469e+04,1.41869365e+04,2.21679834e+03
4.26892853e+00,1.60172480e+04,2.24459062e+04,1.63284883e+04,2.58174512e+03
4.40439081e+00,1.81688340e+04,2.54608418e+04,1.85416113e+04,2.94251953e+03
4.54333878e+00,2.00476699e+04,2.80930391e+04,2.04516289e+04,3.22873804e+03
4.68586397e+00,2.13315918e+04,2.98910508e+04,2.17217969e+04,3.37643481e+03
4.83205652e+00,2.18059727e+04,3.05541270e+04,2.21251094e+04,3.35927930e+03
4.98201227e+00,2.13258516e+04,2.98794336e+04,2.15284648e+04,3.18057861e+03
5.13582754e+00,2.01688359e+04,2.82564473e+04,2.02443809e+04,2.91040723e+03
5.29360199e+00,1.88101016e+04,2.63511797e+04,1.87714805e+04,2.65059229e+03
5.45543718e+00,1.73794551e+04,2.43457441e+04,1.72587695e+04,2.42321265e+03
5.62143755e+00,1.60096328e+04,2.24260508e+04,1.58391562e+04,2.24932471e+03
5.79171038e+00,1.48096807e+04,2.07447871e+04,1.46188125e+04,2.13073877e+03
5.96636629e+00,1.38632393e+04,1.94191914e+04,1.36813398e+04,2.07697949e+03
6.14551687e+00,1.32113730e+04,1.85062734e+04,1.30415254e+04,2.06727148e+03
6.32927942e+00,1.25403535e+04,1.75668516e+04,1.24029609e+04,2.07643506e+03
6.51777077e+00,1.22975098e+04,1.72276465e+04,1.22111699e+04,2.15295654e+03
6.71111441e+00,1.23091074e+04,1.72443867e+04,1.22527744e+04,2.24806152e+03
6.90943432e+00,1.23225137e+04,1.72645039e+04,1.23380576e+04,2.37503662e+03
7.11285782e+00,1.32548643e+04,1.85716719e+04,1.33227998e+04,2.59155151e+03
7.32151794e+00,1.39618965e+04,1.95625586e+04,1.40586943e+04,2.75076196e+03
7.53554821e+00,1.47352432e+04,2.06469902e+04,1.48916543e+04,2.93919678e+03
7.75508738e+00,1.61573525e+04,2.26403184e+04,1.63724199e+04,3.20354126e+03
7.98027754e+00,1.81962266e+04,2.54973320e+04,1.84523633e+04,3.52070068e+03
8.21126270e+00,1.96514395e+04,2.75349648e+04,1.98712617e+04,3.67875049e+03
8.44819450e+00,1.80985781e+04,2.53580898e+04,1.82562637e+04,3.41792822e+03
8.69122219e+00,1.72074590e+04,2.41092988e+04,1.73371445e+04,3.28420117e+03
