Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.75835860e-36,7.01457456e-36,4.52456719e-26,7.26348814e-03
7.99999982e-02,2.38561491e-33,2.97578783e-33,5.57652653e-23,5.94191216e-02
1.19999997e-01,3.51715762e-31,4.50578834e-31,1.72440210e-20,1.91108197e-01
1.59999996e-01,2.77523375e-29,3.67750575e-29,1.98824503e-18,4.51055348e-01
2.00000003e-01,2.50064237e-28,3.44261229e-28,3.02595870e-17,7.47547448e-01
2.39999995e-01,1.09080450e-26,1.49532190e-26,6.28212467e-16,1.23717010e+00
2.80000001e-01,2.48006208e-25,3.55406835e-25,2.03097206e-14,2.14628935e+00
3.19999993e-01,3.06920476e-24,4.42626225e-24,2.18535246e-13,3.44821954e+00
3.60000014e-01,1.83878255e-23,2.72835527e-23,1.34304319e-12,4.83895826e+00
4.00000006e-01,1.20682264e-22,1.81390651e-22,7.21267490e-12,7.15739107e+00
4.39999998e-01,6.07138806e-22,9.33651440e-22,3.14927910e-11,9.19673920e+00
4.79999989e-01,5.15117396e-21,7.95804618e-21,1.36453890e-10,1.22656736e+01
5.19999981e-01,3.23897658e-20,5.14108196e-20,7.14300619e-10,1.47701454e+01
5.60000002e-01,3.23745748e-19,5.13087519e-19,2.66926858e-09,1.84398098e+01
6.00000024e-01,2.21731347e-18,3.60421204e-18,1.37495704e-08,2.16024437e+01
6.41029537e-01,2.83543187e-17,4.58310436e-17,5.04068858e-08,2.71889992e+01
6.83115125e-01,1.96769499e-16,3.26642824e-16,2.47691844e-07,3.08663311e+01
7.26283848e-01,2.27778383e-15,3.76596820e-15,7.05279433e-07,3.69808083e+01
7.70563781e-01,1.43692939e-14,2.43393444e-14,2.72736065e-06,4.35768700e+01
8.15983355e-01,1.58251342e-13,2.66016240e-13,3.24287112e-06,5.22715988e+01
8.62571895e-01,7.67939098e-13,1.32896862e-12,9.78356366e-06,5.83379707e+01
9.10359621e-01,5.46345998e-12,9.42126412e-12,9.43804116e-06,6.87621765e+01
9.59377348e-01,2.84990885e-11,5.08233490e-11,2.21404916e-05,7.68615036e+01
1.00965667e+00,9.75804090e-11,1.78563900e-10,3.10799078e-05,8.69655762e+01
1.06123006e+00,3.45353524e-10,6.57398469e-10,4.78158981e-05,9.75665207e+01
1.11413085e+00,1.13097498e-09,2.34145725e-09,7.07682848e-05,1.12810287e+02
1.16839325e+00,3.95440836e-09,8.91581209e-09,1.10212372e-04,1.26712578e+02
1.22405231e+00,1.52863731e-08,3.66251278e-08,1.60179872e-04,1.43289581e+02
1.28114390e+00,5.47121353e-08,1.37571249e-07,2.13388324e-04,1.66579361e+02
1.33970511e+00,1.69741242e-07,4.45365231e-07,2.88134324e-04,1.93024231e+02
1.39977336e+00,2.07504590e+04,2.90519668e+04,1.95002168e+04,1.40938623e+03
1.46138775e+00,2.63669102e+04,3.68717109e+04,2.22216953e+04,1.64259277e+03
1.52458799e+00,1.59866777e+04,2.23505664e+04,1.36441426e+04,1.39321777e+03
1.58941495e+00,1.50824746e+04,2.11008906e+04,1.35016689e+04,1.63931909e+03
1.65591037e+00,1.49142734e+04,2.08720664e+04,1.36446006e+04,1.77622046e+03
1.72411728e+00,1.49266562e+04,2.08932969e+04,1.38357969e+04,1.87982544e+03
1.79407966e+00,1.49848320e+04,2.09773008e+04,1.40091641e+04,1.95965479e+03
1.86584306e+00,1.50416484e+04,2.10586641e+04,1.41483350e+04,2.03013379e+03
1.93945324e+00,1.50978730e+04,2.11387773e+04,1.42671084e+04,2.08485229e+03
2.01495814e+00,1.51289199e+04,2.11833008e+04,1.43464766e+04,2.13250928e+03
2.09240627e+00,1.51529150e+04,2.12177891e+04,1.44116504e+04,2.18385620e+03
2.17184782e+00,1.51723164e+04,2.12457070e+04,1.44665518e+04,2.20186035e+03
2.25333428e+00,1.51959141e+04,2.12794375e+04,1.45225176e+04,2.22706079e+03
2.33691788e+00,1.52461650e+04,2.13504688e+04,1.46030137e+04,2.27107446e+03
2.42265272e+00,1.53253115e+04,2.14619082e+04,1.47091348e+04,2.29417896e+03
2.51059437e+00,1.54453271e+04,2.16305547e+04,1.48529707e+04,2.32488037e+03
2.60079956e+00,1.55980820e+04,2.18449590e+04,1.50248457e+04,2.36153320e+03
2.69332647e+00,1.57979043e+04,2.21252305e+04,1.52393926e+04,2.39030664e+03
2.78823495e+00,1.60205713e+04,2.24373359e+04,1.54688223e+04,2.44087915e+03
2.88558602e+00,1.62270518e+04,2.27265898e+04,1.56746895e+04,2.46286670e+03
2.98544264e+00,1.64110332e+04,2.29842363e+04,1.58538418e+04,2.49256250e+03
3.08786964e+00,1.65288672e+04,2.31490664e+04,1.59603369e+04,2.49462402e+03
3.19293284e+00,1.65320195e+04,2.31531406e+04,1.59475732e+04,2.49672534e+03
3.30070019e+00,1.64173789e+04,2.29921836e+04,1.58174590e+04,2.45861963e+03
3.41124129e+00,1.62075527e+04,2.26979062e+04,1.55948848e+04,2.43434229e+03
3.52462745e+00,1.59189189e+04,2.22933418e+04,1.52979980e+04,2.41306885e+03
3.64093208e+00,1.56073174e+04,2.18567910e+04,1.49862695e+04,2.38430737e+03
3.76023054e+00,1.53659717e+04,2.15188164e+04,1.47515596e+04,2.37328052e+03
3.88259912e+00,1.52013262e+04,2.12883516e+04,1.45964180e+04,2.38334473e+03
4.00811720e+00,1.50706777e+04,2.11055898e+04,1.44787061e+04,2.36899023e+03
4.13686609e+00,1.50234854e+04,2.10397812e+04,1.44462715e+04,2.41251440e+03
4.26892853e+00,1.50810938e+04,2.11208320e+04,1.45202832e+04,2.41414380e+03
4.40439081e+00,1.51976680e+04,2.12844531e+04,1.46521777e+04,2.48189185e+03
4.54333878e+00,1.53558262e+04,2.15062656e+04,1.48226719e+04,2.50417017e+03
4.68586397e+00,1.55596582e+04,2.17920430e+04,1.50389521e+04,2.57623291e+03
4.83205652e+00,1.58433691e+04,2.21897207e+04,1.53348760e+04,2.60230127e+03
4.98201227e+00,1.61460664e+04,2.26137246e+04,1.56361660e+04,2.67563428e+03
5.13582754e+00,1.63858945e+04,2.29495664e+04,1.58718691e+04,2.69212280e+03
5.29360199e+00,1.66714219e+04,2.33495332e+04,1.61581445e+04,2.74405469e+03
5.45543718e+00,1.69365039e+04,2.37205020e+04,1.64043984e+04,2.76808740e+03
5.62143755e+00,1.69960742e+04,2.38034863e+04,1.64440410e+04,2.77539795e+03
5.79171038e+00,1.70809316e+04,2.39221172e+04,1.65161602e+04,2.79060913e+03
5.96636629e+00,1.72107363e+04,2.41033281e+04,1.66114082e+04,2.79640430e+03
6.14551687e+00,1.71013164e+04,2.39495254e+04,1.64763359e+04,2.76680176e+03
6.32927942e+00,1.70421074e+04,2.38661055e+04,1.63899922e+04,2.75595605e+03
6.51777077e+00,1.69992148e+04,2.38053047e+04,1.63107656e+04,2.71703638e+03
6.71111441e+00,1.68643340e+04,2.36160938e+04,1.61630176e+04,2.70207935e+03
6.90943432e+00,1.67597578e+04,2.34692363e+04,1.60378945e+04,2.67012598e+03
7.11285782e+00,1.63823955e+04,2.29402949e+04,1.56503438e+04,2.60458691e+03
7.32151794e+00,1.59524717e+04,2.23384707e+04,1.52458574e+04,2.56139478e+03
7.53554821e+00,1.57261934e+04,2.20216641e+04,1.50281494e+04,2.51931934e+03
7.75508738e+00,1.53372998e+04,2.14774492e+04,1.46769629e+04,2.47681445e+03
7.98027754e+00,1.53094648e+04,2.14393203e+04,1.46922959e+04,2.50500366e+03
8.21126270e+00,1.56886523e+04,2.19709355e+04,1.50907900e+04,2.54956201e+03
8.44819450e+00,1.61757930e+04,2.26539453e+04,1.56075234e+04,2.64265479e+03
8.69122219e+00,1.67745664e+04,2.34922266e+04,1.61863555e+04,2.71189990e+03
8.94050789e+00,1.63350508e+04,2.28772734e+04,1.58044307e+04,2.70976685e+03
9.19620800e+00,1.75653477e+04,2.46024297e+04,1.70946289e+04,2.89820557e+03
9.45849037e+00,1.87927969e+04,2.63181094e+04,1.81298828e+04,2.96606567e+03
9.72752285e+00,1.76184004e+04,2.46743047e+04,1.70576895e+04,2.85913086e+03
1.00034800e+01,1.96789844e+04,2.75596133e+04,1.90416133e+04,3.07054614e+03
1.02865391e+01,2.13331875e+04,2.98731133e+04,2.05100332e+04,3.17675562e+03
1.05768833e+01,2.03868516e+04,2.85445684e+04,1.94631738e+04,2.98809961e+03
1.08747025e+01,1.73620781e+04,2.43073652e+04,1.65112070e+04,2.60837695e+03
1.11801853e+01,1.43098359e+04,2.00336387e+04,1.36210684e+04,2.29597021e+03
1.14935322e+01,1.23370176e+04,1.72734121e+04,1.18504775e+04,2.13735449e+03
1.18149433e+01,1.24703154e+04,1.74616230e+04,1.20664053e+04,2.19730469e+03
1.21446266e+01,1.32389170e+04,1.85385195e+04,1.28690264e+04,2.31166528e+03
1.24827967e+01,1.39524824e+04,1.95395781e+04,1.36836875e+04,2.46517285e+03
1.28296700e+01,1.56825918e+04,2.19626602e+04,1.54164326e+04,2.69726221e+03
1.31854706e+01,1.58196729e+04,2.21543809e+04,1.56061846e+04,2.79064111e+03
1.35504293e+01,1.54225010e+04,2.16018086e+04,1.54586973e+04,2.92127637e+03
1.39247818e+01,1.89442930e+04,2.65328555e+04,1.88867266e+04,3.42756567e+03
1.43087692e+01,1.75020820e+04,2.45125449e+04,1.75791016e+04,3.38671045e+03
1.47026405e+01,1.72068711e+04,2.41034551e+04,1.76761797e+04,3.60217603e+03
1.51066484e+01,2.25823477e+04,3.16285156e+04,2.30088281e+04,4.22598682e+03
1.55210552e+01,1.87621133e+04,2.62833945e+04,1.98967148e+04,3.87632983e+03
1.59461288e+01,1.96055781e+04,2.74707988e+04,2.13586602e+04,4.05455273e+03
1.63821430e+01,2.15202383e+04,3.01510020e+04,2.37993418e+04,4.30312598e+03
1.68293781e+01,2.05530469e+04,2.88001211e+04,2.38154785e+04,4.18054785e+03
1.72881241e+01,2.00845977e+04,2.81603145e+04,2.46261602e+04,4.22969629e+03
1.77586803e+01,2.33261602e+04,3.27215312e+04,2.94871465e+04,4.61179883e+03
1.82413464e+01,2.79761797e+04,3.92696875e+04,3.61348711e+04,4.89232275e+03
1.87364349e+01,2.89745625e+04,4.07054062e+04,3.76876992e+04,4.66054492e+03
1.92442665e+01,2.74674297e+04,3.86380156e+04,3.61854102e+04,4.35242285e+03
1.97651691e+01,3.34972734e+04,4.70982852e+04,4.05198984e+04,4.64643262e+03
2.02994785e+01,3.87573516e+04,5.44250664e+04,4.29780000e+04,4.81414160e+03
2.08475418e+01,3.90045742e+04,5.47391406e+04,4.21106797e+04,4.75148633e+03
2.14097099e+01,4.55489141e+04,6.39206367e+04,4.75263477e+04,5.44676270e+03
2.19863453e+01,5.42916641e+04,7.61966016e+04,5.31081406e+04,5.83676611e+03
2.25778236e+01,5.96058789e+04,8.35668516e+04,5.25984609e+04,5.92091113e+03
2.31845264e+01,6.44478984e+04,9.02243438e+04,5.33897383e+04,5.90830957e+03
2.38068466e+01,6.69168125e+04,9.35622656e+04,5.29100625e+04,5.55843604e+03
2.44451809e+01,6.41855391e+04,8.96527500e+04,5.04055547e+04,5.66487988e+03
2.50999470e+01,6.69211562e+04,9.34445234e+04,5.42560156e+04,5.86159766e+03
2.57715645e+01,5.95855000e+04,8.31559219e+04,4.76795859e+04,4.82263037e+03
2.64604683e+01,4.75053008e+04,6.62530312e+04,3.72295312e+04,3.29597656e+03
2.71671047e+01,4.17582266e+04,5.82177188e+04,3.14200918e+04,1.88181165e+03
2.78919277e+01,3.62366055e+04,5.04750234e+04,2.49862930e+04,1.40415564e+03
2.86354065e+01,3.34753477e+04,4.66469688e+04,2.52656797e+04,2.20094995e+03
2.93980217e+01,2.88103105e+04,4.01505859e+04,2.17704844e+04,1.42227344e+03
3.01802654e+01,2.26371699e+04,3.15388340e+04,1.63276914e+04,5.40495667e+02
3.09826431e+01,6.76502344e+03,9.38735645e+03,3.79147559e+03,2.16803761e+01
3.18056717e+01,7.20055420e+02,9.86670959e+02,2.12583786e+02,4.60126430e-01
3.26498833e+01,7.04093689e+02,9.70798767e+02,1.34777237e+02,2.30753366e-02
3.35158234e+01,5.87390686e+02,8.06601990e+02,6.81509476e+01,4.10980778e-04
3.44040565e+01,4.87301453e+02,6.63758057e+02,5.91248627e+01,5.68024152e-05
3.53151436e+01,2.56475189e+02,3.46932831e+02,3.46833572e+01,4.13185116e-05
3.62496834e+01,1.56896149e+02,2.14248001e+02,2.94812374e+01,3.38899044e-05
3.72082787e+01,1.37662445e+02,1.89347565e+02,1.07708349e+01,2.82561268e-05
3.81915474e+01,9.95807800e+01,1.34923187e+02,3.19309211e+00,2.04662720e-05
3.92001228e+01,4.41705284e+01,5.92430801e+01,2.07498860e+00,4.48860919e-06
4.02346535e+01,3.53272247e+01,4.85016327e+01,4.67284441e+00,6.83854705e-06
4.12958107e+01,5.11687317e+01,6.98900833e+01,3.22490907e+00,3.47798232e-06
4.23842850e+01,2.85608978e+01,3.88368111e+01,1.75294387e+00,2.27286000e-06
4.35007744e+01,3.50024033e+01,4.76812935e+01,8.85429263e-01,2.73509477e-06
4.46459999e+01,2.05085678e+01,2.74579697e+01,1.22484729e-01,2.07020366e-06
4.58207016e+01,8.20924950e+00,1.08084326e+01,8.43533427e-02,1.32581249e-06
4.70256386e+01,3.71614933e+00,4.87184906e+00,6.80009499e-02,8.28725888e-07
4.82615852e+01,2.02973509e+00,2.68264866e+00,3.54547054e-02,7.35984088e-07
4.95293465e+01,1.36502516e+00,1.80156016e+00,8.71762540e-03,5.20332833e-07
5.08297386e+01,7.54454076e-01,9.87220526e-01,2.21827114e-03,2.31611679e-07
5.21635971e+01,2.96805263e-01,3.83606642e-01,3.94621340e-04,7.10647257e-08
5.35317917e+01,1.35869801e-01,1.73540741e-01,2.02229552e-04,2.15831726e-08
5.49351997e+01,5.28765731e-02,6.68741390e-02,7.32348926e-05,5.95509730e-09
5.63747253e+01,1.34304995e-02,1.68294646e-02,1.25906099e-05,1.18460253e-09
5.78513031e+01,2.99696485e-03,3.69091169e-03,1.70938813e-06,2.18170496e-10
5.93278885e+01,4.66253659e-05,5.28928140e-05,9.02998636e-08,1.98647414e-12
6.08044662e+01,4.96005896e-07,5.97064059e-07,4.55023264e-09,5.00859154e-14
6.22810478e+01,1.61390142e-06,1.86235604e-06,2.00391925e-09,9.09728835e-14
