Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.93488519e-20,1.08222689e-19,4.94016085e-15,5.63167691e-01
7.99999982e-02,2.81478214e-17,5.21055064e-17,1.79263885e-12,7.17135727e-01
1.19999997e-01,7.88329541e-16,1.47176189e-15,4.86221480e-11,7.98963904e-01
1.59999996e-01,7.56089391e-15,1.42282528e-14,4.84450979e-10,8.94987047e-01
2.00000003e-01,6.58943793e-14,1.24561006e-13,3.59738839e-09,9.49224710e-01
2.39999995e-01,4.58468007e-13,8.74122714e-13,3.19587734e-08,1.02319801e+00
2.80000001e-01,2.41579044e-12,4.64363964e-12,2.40827404e-07,1.06373644e+00
3.19999993e-01,1.64793561e-11,3.17096176e-11,3.09379607e-06,1.13123035e+00
3.60000014e-01,9.17242393e-11,1.78203702e-10,1.63807745e-05,1.17630303e+00
4.00000006e-01,5.98810557e-10,1.16542320e-09,4.14578099e-05,1.24437642e+00
4.39999998e-01,2.98115688e-09,5.86917093e-09,1.02544116e-04,1.29635024e+00
4.79999989e-01,1.53189497e-08,3.04717318e-08,2.36318738e-04,1.36543238e+00
5.19999981e-01,7.54909024e-08,1.52232232e-07,4.56987153e-04,1.42206526e+00
5.60000002e-01,3.16837145e-07,6.47894581e-07,7.23690959e-04,1.49019313e+00
6.00000024e-01,1.49916582e-06,3.09788470e-06,1.18874060e-03,1.56004846e+00
6.41029537e-01,5.71901865e-06,1.14823179e-05,1.48115447e-03,1.63217425e+00
6.83115125e-01,1.73726748e-05,3.34920187e-05,1.65553181e-03,1.70727110e+00
7.26283848e-01,4.35055445e-05,8.02559516e-05,1.83706824e-03,1.78999829e+00
7.70563781e-01,8.15788371e-05,1.44448291e-04,1.96212670e-03,1.87462687e+00
8.15983355e-01,1.27498759e-04,2.17345369e-04,2.17287592e-03,1.96660161e+00
8.62571895e-01,1.80279472e-04,2.96367303e-04,2.44545494e-03,2.06547570e+00
9.10359621e-01,2.26027390e-04,3.58581805e-04,2.58752005e-03,2.16622567e+00
9.59377348e-01,2.72484758e-04,4.19071410e-04,2.71798251e-03,2.27869558e+00
1.00965667e+00,2.88722018e-04,4.32850618e-04,2.68432824e-03,2.39491081e+00
1.06123006e+00,2.81421468e-04,4.15460294e-04,2.66989111e-03,2.52334309e+00
1.11413085e+00,2.58484157e-04,3.79120786e-04,2.64842552e-03,2.65642428e+00
1.16839325e+00,2.42417591e-04,3.55585304e-04,2.63733580e-03,2.80499411e+00
1.22405231e+00,2.35501051e-04,3.45952256e-04,2.65231752e-03,2.95873260e+00
1.28114390e+00,2.42131297e-04,3.54232849e-04,2.71082832e-03,3.12275577e+00
1.33970511e+00,2.35339336e-04,3.42688581e-04,2.77862512e-03,3.29071784e+00
1.39977336e+00,2.01870820e+04,2.82785957e+04,2.00242168e+04,2.08882520e+03
1.46138775e+00,2.57317969e+04,3.60250703e+04,2.41920801e+04,1.99903662e+03
1.52458799e+00,1.53903242e+04,2.15444336e+04,1.45063789e+04,1.31131409e+03
1.58941495e+00,1.44297852e+04,2.02062305e+04,1.39166641e+04,1.46140466e+03
1.65591037e+00,1.42354287e+04,1.99370273e+04,1.38796016e+04,1.56094299e+03
1.72411728e+00,1.42018105e+04,1.98916992e+04,1.39370586e+04,1.63407935e+03
1.79407966e+00,1.42333594e+04,1.99370840e+04,1.40297734e+04,1.69459790e+03
1.86584306e+00,1.42933398e+04,2.00219844e+04,1.41347402e+04,1.74626965e+03
1.93945324e+00,1.43587285e+04,2.01142559e+04,1.42347881e+04,1.79027722e+03
2.01495814e+00,1.44340234e+04,2.02202773e+04,1.43381289e+04,1.82997595e+03
2.09240627e+00,1.45111406e+04,2.03287500e+04,1.44379746e+04,1.86515137e+03
2.17184782e+00,1.45914385e+04,2.04416133e+04,1.45377051e+04,1.89764575e+03
2.25333428e+00,1.46858770e+04,2.05742383e+04,1.46490371e+04,1.92929199e+03
2.33691788e+00,1.47910176e+04,2.07218027e+04,1.47684355e+04,1.95954041e+03
2.42265272e+00,1.49049766e+04,2.08816758e+04,1.48944434e+04,1.98863037e+03
2.51059437e+00,1.50199551e+04,2.10429180e+04,1.50187490e+04,2.01511108e+03
2.60079956e+00,1.51192871e+04,2.11821992e+04,1.51251162e+04,2.03724963e+03
2.69332647e+00,1.51891621e+04,2.12801602e+04,1.51996172e+04,2.05289062e+03
2.78823495e+00,1.52122461e+04,2.13125117e+04,1.52246416e+04,2.05976367e+03
2.88558602e+00,1.51794395e+04,2.12665352e+04,1.51920293e+04,2.05769482e+03
2.98544264e+00,1.51106768e+04,2.11701875e+04,1.51230693e+04,2.05047266e+03
3.08786964e+00,1.50356035e+04,2.10650078e+04,1.50478447e+04,2.04267297e+03
3.19293284e+00,1.49851045e+04,2.09942695e+04,1.49980615e+04,2.03937573e+03
3.30070019e+00,1.49765625e+04,2.09823516e+04,1.49917656e+04,2.04316431e+03
3.41124129e+00,1.50002051e+04,2.10155137e+04,1.50174902e+04,2.05116553e+03
3.52462745e+00,1.50217832e+04,2.10457617e+04,1.50408477e+04,2.05884814e+03
3.64093208e+00,1.50494648e+04,2.10845762e+04,1.50709717e+04,2.06790210e+03
3.76023054e+00,1.50673799e+04,2.11096875e+04,1.50905332e+04,2.07496973e+03
3.88259912e+00,1.50402246e+04,2.10716562e+04,1.50651562e+04,2.07612085e+03
4.00811720e+00,1.50102969e+04,2.10297617e+04,1.50375322e+04,2.07702808e+03
4.13686609e+00,1.49911934e+04,2.10030117e+04,1.50201387e+04,2.07878613e+03
4.26892853e+00,1.49956680e+04,2.10093398e+04,1.50282012e+04,2.08558301e+03
4.40439081e+00,1.50837764e+04,2.11328320e+04,1.51197529e+04,2.10272510e+03
4.54333878e+00,1.52135928e+04,2.13147266e+04,1.52515645e+04,2.12446753e+03
4.68586397e+00,1.54010879e+04,2.15774551e+04,1.54432891e+04,2.15596118e+03
4.83205652e+00,1.56810498e+04,2.19696582e+04,1.57238867e+04,2.19574487e+03
4.98201227e+00,1.58546924e+04,2.22127852e+04,1.58925283e+04,2.21630908e+03
5.13582754e+00,1.59327461e+04,2.23220391e+04,1.59675947e+04,2.22590430e+03
5.29360199e+00,1.59469434e+04,2.23417832e+04,1.59750420e+04,2.22291992e+03
5.45543718e+00,1.57290889e+04,2.20363672e+04,1.57469033e+04,2.18648535e+03
5.62143755e+00,1.54462695e+04,2.16401367e+04,1.54627344e+04,2.15041504e+03
5.79171038e+00,1.52476074e+04,2.13618223e+04,1.52620840e+04,2.12470557e+03
5.96636629e+00,1.49308145e+04,2.09179668e+04,1.49417500e+04,2.08391699e+03
6.14551687e+00,1.48131768e+04,2.07533984e+04,1.48343926e+04,2.08343799e+03
6.32927942e+00,1.50606543e+04,2.11002051e+04,1.50857686e+04,2.12818872e+03
6.51777077e+00,1.51129043e+04,2.11734902e+04,1.51430312e+04,2.15187134e+03
6.71111441e+00,1.54575137e+04,2.16565898e+04,1.55040557e+04,2.22932764e+03
6.90943432e+00,1.60343105e+04,2.24646191e+04,1.60807549e+04,2.31610303e+03
7.11285782e+00,1.62673770e+04,2.27911270e+04,1.63167637e+04,2.37278076e+03
7.32151794e+00,1.66233750e+04,2.32896250e+04,1.66638691e+04,2.42877490e+03
7.53554821e+00,1.66424766e+04,2.33160273e+04,1.66701875e+04,2.44360034e+03
7.75508738e+00,1.66143320e+04,2.32765137e+04,1.66416328e+04,2.46338818e+03
7.98027754e+00,1.66597480e+04,2.33398027e+04,1.66700586e+04,2.47395654e+03
8.21126270e+00,1.58109307e+04,2.21503438e+04,1.58056113e+04,2.37073633e+03
8.44819450e+00,1.51171250e+04,2.11786191e+04,1.51241035e+04,2.30467578e+03
8.69122219e+00,1.55899102e+04,2.18406758e+04,1.55799453e+04,2.36577148e+03
8.94050789e+00,1.48449775e+04,2.07970469e+04,1.48366934e+04,2.27974219e+03
9.19620800e+00,1.63115107e+04,2.28530742e+04,1.63728125e+04,2.54074927e+03
9.45849037e+00,1.83092031e+04,2.56504102e+04,1.83036855e+04,2.74472510e+03
9.72752285e+00,1.68419570e+04,2.35947539e+04,1.68395234e+04,2.55450317e+03
1.00034800e+01,1.85882969e+04,2.60412715e+04,1.85936250e+04,2.80455811e+03
1.02865391e+01,1.98285820e+04,2.77779609e+04,1.97923301e+04,2.95281787e+03
1.05768833e+01,1.80358086e+04,2.52659277e+04,1.79758926e+04,2.71284106e+03
1.08747025e+01,1.50904316e+04,2.11400898e+04,1.50482051e+04,2.34643628e+03
1.11801853e+01,1.15528789e+04,1.61846543e+04,1.15312461e+04,1.90438379e+03
1.14935322e+01,1.11994834e+04,1.56914170e+04,1.12612305e+04,1.93975562e+03
1.18149433e+01,1.38445986e+04,1.93976465e+04,1.39379512e+04,2.33129907e+03
1.21446266e+01,1.60612676e+04,2.25031211e+04,1.61696055e+04,2.65219678e+03
1.24827967e+01,1.68060352e+04,2.35452773e+04,1.68767969e+04,2.74065674e+03
1.28296700e+01,1.50864092e+04,2.11362539e+04,1.51854473e+04,2.58072046e+03
1.31854706e+01,1.56307822e+04,2.18992598e+04,1.57782793e+04,2.76649487e+03
1.35504293e+01,1.50773281e+04,2.11236758e+04,1.52651641e+04,2.81423438e+03
1.39247818e+01,1.40396465e+04,1.96734883e+04,1.44528643e+04,2.86625781e+03
