Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.49823381e-12,1.26557228e-11,2.35622361e-01,6.08527088e+00
7.99999982e-02,9.92244134e-11,2.36288017e-10,3.47306520e-01,6.19819164e+00
1.19999997e-01,5.43955991e-10,1.37910683e-09,4.13814396e-01,6.28405190e+00
1.59999996e-01,2.06035011e-09,5.74396664e-09,4.44365740e-01,6.29749203e+00
2.00000003e-01,6.34824016e-09,1.79940383e-08,4.38199461e-01,6.35632944e+00
2.39999995e-01,1.53909969e-08,4.51313973e-08,4.92209971e-01,6.48958349e+00
2.80000001e-01,2.88402724e-08,8.78684574e-08,4.88033473e-01,6.45688725e+00
3.19999993e-01,5.38182263e-08,1.64203996e-07,5.66906214e-01,6.74704170e+00
3.60000014e-01,1.14122308e-07,3.39736658e-07,6.12117410e-01,6.64608288e+00
4.00000006e-01,3.15135765e-07,9.12994153e-07,5.63590765e-01,6.73608637e+00
4.39999998e-01,6.97582323e-07,2.04161415e-06,5.48817694e-01,6.81672859e+00
4.79999989e-01,2.09431460e-06,5.98939414e-06,4.50067669e-01,6.85931349e+00
5.19999981e-01,5.12626048e-06,1.51182949e-05,5.16111195e-01,6.83790255e+00
5.60000002e-01,1.25667211e-05,3.61341627e-05,4.99010801e-01,6.94784880e+00
6.00000024e-01,2.57145512e-05,6.79732839e-05,4.26315695e-01,6.88908434e+00
6.41029537e-01,4.74998888e-05,1.15542513e-04,5.16069949e-01,7.05461979e+00
6.83115125e-01,6.56649645e-05,1.52534762e-04,5.37365496e-01,7.06366968e+00
7.26283848e-01,8.64144604e-05,1.92939275e-04,5.19740224e-01,7.51489782e+00
7.70563781e-01,9.53270937e-05,2.10611237e-04,5.84037185e-01,7.86578941e+00
8.15983355e-01,1.08960143e-04,2.50460551e-04,5.21445155e-01,8.08826256e+00
8.62571895e-01,1.34207934e-04,3.09713912e-04,5.95685780e-01,8.42506886e+00
9.10359621e-01,2.24093092e-04,5.16006607e-04,5.35933733e-01,8.76697159e+00
9.59377348e-01,3.28255293e-04,7.05606770e-04,7.40894973e-01,8.90980148e+00
1.00965667e+00,4.71351959e-04,9.47437831e-04,6.11917734e-01,9.98201466e+00
1.06123006e+00,5.93732111e-04,1.12647505e-03,6.91077352e-01,9.71604156e+00
1.11413085e+00,7.64991390e-04,1.39985001e-03,7.47186959e-01,1.08093624e+01
1.16839325e+00,1.02623750e-03,1.85380015e-03,7.23616481e-01,1.05771427e+01
1.22405231e+00,1.43461884e-03,2.56127212e-03,8.78773332e-01,1.18465996e+01
1.28114390e+00,2.10437458e-03,3.61841172e-03,8.76009107e-01,1.11625624e+01
1.33970511e+00,2.81012570e-03,4.64467611e-03,9.84535336e-01,1.27372475e+01
1.39977336e+00,2.06050977e+04,2.88482734e+04,1.93637188e+04,1.24308191e+03
1.46138775e+00,2.56328965e+04,3.58458516e+04,2.17269199e+04,1.31391797e+03
1.52458799e+00,1.56695771e+04,2.19106211e+04,1.34685059e+04,9.41359985e+02
1.58941495e+00,1.52729014e+04,2.13695840e+04,1.37297051e+04,1.17282983e+03
1.65591037e+00,1.53781152e+04,2.15209707e+04,1.40108203e+04,1.24377185e+03
