Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.86365599e-28,1.25577181e-27,7.31619777e-25,1.83184338e+00
7.99999982e-02,3.57259358e-26,4.58319435e-26,2.75621784e-23,2.07107139e+00
1.19999997e-01,4.08910414e-25,5.24762995e-25,1.18846568e-21,2.24988627e+00
1.59999996e-01,3.20655707e-24,4.67073892e-24,8.35646160e-20,2.41667151e+00
2.00000003e-01,1.28589502e-22,2.00997947e-22,4.21535541e-18,2.52911568e+00
2.39999995e-01,1.28464855e-21,2.00151293e-21,5.68107579e-17,2.63914204e+00
2.80000001e-01,1.46997637e-20,2.28679993e-20,7.12552967e-16,2.74454379e+00
3.19999993e-01,1.18437711e-19,1.93603264e-19,6.67857993e-15,2.84544373e+00
3.60000014e-01,8.80545963e-19,1.34418349e-18,4.51363732e-14,2.96230650e+00
4.00000006e-01,5.37605360e-18,8.30596703e-18,1.50259774e-12,3.08611536e+00
4.39999998e-01,3.52283756e-16,5.11659040e-16,1.79511836e-10,3.19105911e+00
4.79999989e-01,1.74835573e-15,2.57505089e-15,2.15591411e-09,3.32320857e+00
5.19999981e-01,6.99273259e-15,1.04270349e-14,1.82214333e-08,3.41496944e+00
5.60000002e-01,5.17296235e-14,7.76624384e-14,3.80311462e-07,3.54707241e+00
6.00000024e-01,9.43081876e-13,1.48945396e-12,5.58452302e-06,3.65402842e+00
6.41029537e-01,3.35730705e-12,5.43212957e-12,9.97395819e-06,3.80993795e+00
6.83115125e-01,1.49802410e-11,2.44327059e-11,2.12646046e-05,3.92372155e+00
7.26283848e-01,5.85433230e-11,9.86279391e-11,4.32491579e-05,4.05518866e+00
7.70563781e-01,1.89931237e-10,3.23758104e-10,6.38665369e-05,4.27598524e+00
8.15983355e-01,5.92061955e-10,1.02485265e-09,1.20424455e-04,4.38587427e+00
8.62571895e-01,1.60563207e-09,2.80358692e-09,1.73259192e-04,4.84782124e+00
9.10359621e-01,3.93581256e-09,6.95838809e-09,2.48497847e-04,4.76617050e+00
9.59377348e-01,1.03782796e-08,1.83022930e-08,3.69183370e-04,5.29644728e+00
1.00965667e+00,2.66869158e-08,4.75603912e-08,4.47614788e-04,5.19754982e+00
1.06123006e+00,6.50380656e-08,1.16938004e-07,5.49986667e-04,6.00849628e+00
1.11413085e+00,1.55882859e-07,2.79609310e-07,6.47278386e-04,5.79453182e+00
1.16839325e+00,3.77869668e-07,6.62867933e-07,7.18194060e-04,6.74822903e+00
1.22405231e+00,7.23492235e-07,1.23041843e-06,7.26268278e-04,6.64332294e+00
1.28114390e+00,1.12218015e-06,1.83102020e-06,7.44606892e-04,7.27294922e+00
1.33970511e+00,1.42560452e-06,2.32647994e-06,9.44050029e-04,7.68622255e+00
1.39977336e+00,2.01729062e+04,2.82582266e+04,1.99755469e+04,2.05878809e+03
1.46138775e+00,2.50564805e+04,3.50778477e+04,2.34650273e+04,1.87960229e+03
1.52458799e+00,1.45607500e+04,2.03815000e+04,1.36333076e+04,1.18159839e+03
1.58941495e+00,1.25680801e+04,1.75974980e+04,1.20310762e+04,1.21795813e+03
1.65591037e+00,1.21245039e+04,1.69802539e+04,1.18025781e+04,1.35122375e+03
1.72411728e+00,1.30069004e+04,1.82200059e+04,1.28656270e+04,1.64429248e+03
1.79407966e+00,1.49855342e+04,2.09953301e+04,1.50199658e+04,2.06613379e+03
1.86584306e+00,1.73205527e+04,2.42687617e+04,1.74755469e+04,2.45542651e+03
