Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.51458122e-03,7.72993360e-03,7.72739155e-03,2.40458190e-01
7.99999982e-02,1.16835237e-02,1.73988584e-02,1.67140327e-02,9.61114705e-01
1.19999997e-01,2.22140551e-02,3.31974216e-02,2.25142911e-02,2.13503647e+00
1.59999996e-01,3.27332877e-02,4.73522656e-02,2.83073224e-02,3.92511487e+00
2.00000003e-01,3.67413387e-02,5.16052768e-02,2.68450435e-02,6.31650782e+00
2.39999995e-01,4.28301096e-02,5.89740537e-02,2.86104493e-02,9.46184921e+00
2.80000001e-01,4.56764363e-02,6.17266819e-02,2.87960432e-02,1.31642284e+01
3.19999993e-01,5.00132628e-02,6.66383877e-02,3.21182609e-02,1.78793678e+01
3.60000014e-01,4.95987236e-02,6.47202507e-02,3.24357450e-02,2.23261299e+01
4.00000006e-01,5.23573756e-02,6.75483271e-02,4.18415517e-02,2.86769733e+01
4.39999998e-01,4.89609689e-02,6.27359450e-02,3.98494899e-02,3.35799942e+01
4.79999989e-01,5.25271595e-02,6.73762336e-02,5.14921919e-02,4.15836220e+01
5.19999981e-01,4.84985933e-02,6.20811470e-02,4.72280458e-02,4.65063324e+01
5.60000002e-01,5.30085005e-02,6.81260377e-02,6.07377030e-02,5.59023438e+01
6.00000024e-01,5.02655804e-02,6.45291507e-02,5.32576814e-02,6.19318314e+01
6.41029537e-01,5.77891544e-02,7.49495700e-02,6.27370104e-02,7.64877930e+01
6.83115125e-01,5.56070060e-02,7.19821006e-02,5.42477444e-02,7.93731689e+01
7.26283848e-01,6.03879616e-02,7.85095394e-02,5.77172786e-02,9.20988312e+01
7.70563781e-01,6.35157973e-02,8.25759396e-02,5.71323857e-02,1.01069580e+02
8.15983355e-01,7.28577748e-02,9.53354910e-02,6.80085570e-02,1.17368546e+02
8.62571895e-01,7.15860799e-02,9.31684077e-02,6.29847348e-02,1.26181870e+02
9.10359621e-01,8.12947229e-02,1.06381640e-01,7.34074265e-02,1.45340485e+02
9.59377348e-01,8.08830261e-02,1.05570525e-01,7.52224252e-02,1.58462372e+02
1.00965667e+00,8.77535194e-02,1.14877217e-01,8.88391137e-02,1.78894440e+02
1.06123006e+00,9.56219584e-02,1.25304908e-01,1.22078001e-01,2.04212753e+02
1.11413085e+00,1.03238955e-01,1.35370553e-01,1.70559198e-01,2.32797745e+02
1.16839325e+00,1.13393709e-01,1.49610415e-01,2.08799303e-01,2.67755066e+02
1.22405231e+00,1.30370706e-01,1.73882902e-01,2.28892803e-01,3.10974915e+02
