Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.21705225e-02,1.71815827e-02,1.40637457e-02,6.96766078e-01
7.99999982e-02,1.57763176e-02,2.21908316e-02,1.63994022e-02,7.25068748e-01
1.19999997e-01,1.84789691e-02,2.59247497e-02,1.80719644e-02,7.36621022e-01
1.59999996e-01,2.09373944e-02,2.93147676e-02,1.95266716e-02,7.57172108e-01
2.00000003e-01,2.34352909e-02,3.27692516e-02,2.09890176e-02,7.73083985e-01
2.39999995e-01,2.53355578e-02,3.53529304e-02,2.16688253e-02,7.93643475e-01
2.80000001e-01,2.71990299e-02,3.79062295e-02,2.26282440e-02,8.14296603e-01
3.19999993e-01,2.89489850e-02,4.02817428e-02,2.32620612e-02,8.37394178e-01
3.60000014e-01,3.08810957e-02,4.29333225e-02,2.43648551e-02,8.65738451e-01
4.00000006e-01,3.21643874e-02,4.46700267e-02,2.47950181e-02,8.93204331e-01
4.39999998e-01,3.38924490e-02,4.70326468e-02,2.55348012e-02,9.22590256e-01
4.79999989e-01,3.48026752e-02,4.82390299e-02,2.62054913e-02,9.56851900e-01
5.19999981e-01,3.63669470e-02,5.03655784e-02,2.71056518e-02,9.83205080e-01
5.60000002e-01,3.67701650e-02,5.08856252e-02,2.76479274e-02,1.08666754e+00
6.00000024e-01,3.90529931e-02,5.40260971e-02,3.01651303e-02,1.03085423e+00
6.41029537e-01,4.00782749e-02,5.54157719e-02,3.14367302e-02,1.10441840e+00
6.83115125e-01,4.09695879e-02,5.66098876e-02,3.31273451e-02,1.13485181e+00
7.26283848e-01,4.27291617e-02,5.90690859e-02,3.56421731e-02,1.19206977e+00
7.70563781e-01,4.37794030e-02,6.05026744e-02,3.77555490e-02,1.24956274e+00
8.15983355e-01,4.53371443e-02,6.27264082e-02,4.04355489e-02,1.28357482e+00
8.62571895e-01,4.77193743e-02,6.60803020e-02,4.41946276e-02,1.38058448e+00
9.10359621e-01,4.97420207e-02,6.89661503e-02,4.72799279e-02,1.42767894e+00
9.59377348e-01,5.29766530e-02,7.35692233e-02,5.19536436e-02,1.51259613e+00
1.00965667e+00,5.67310154e-02,7.88888633e-02,5.78445978e-02,1.66665876e+00
1.06123006e+00,6.30606189e-02,8.78274590e-02,6.61618412e-02,1.74087548e+00
1.11413085e+00,7.18246698e-02,1.00147270e-01,7.67411292e-02,1.90152025e+00
1.16839325e+00,8.53359699e-02,1.19128466e-01,9.31837037e-02,2.12003684e+00
1.22405231e+00,1.01731867e-01,1.42163828e-01,1.13192409e-01,2.25233984e+00
1.28114390e+00,1.29102841e-01,1.80671841e-01,1.46372631e-01,2.47876048e+00
1.33970511e+00,1.65356189e-01,2.31679589e-01,1.90742284e-01,2.72608256e+00
1.39977336e+00,1.96925547e+04,2.75848594e+04,1.94734785e+04,1.98414709e+03
1.46138775e+00,2.30373711e+04,3.22557070e+04,2.18844902e+04,1.89804346e+03
1.52458799e+00,1.64475840e+04,2.30270703e+04,1.55825498e+04,1.43732373e+03
1.58941495e+00,1.55766650e+04,2.18133984e+04,1.50483867e+04,1.59166431e+03
1.65591037e+00,1.54704756e+04,2.16673945e+04,1.50870615e+04,1.69747144e+03
1.72411728e+00,1.55234990e+04,2.17432695e+04,1.52233203e+04,1.77870898e+03
1.79407966e+00,1.56173848e+04,2.18758633e+04,1.53716758e+04,1.84415637e+03
1.86584306e+00,1.57425537e+04,2.20520078e+04,1.55367188e+04,1.90271973e+03
1.93945324e+00,1.58445254e+04,2.21954766e+04,1.56691924e+04,1.95042358e+03
2.01495814e+00,1.59445957e+04,2.23361758e+04,1.57950156e+04,1.99414526e+03
2.09240627e+00,1.60068281e+04,2.24237812e+04,1.58789053e+04,2.02846118e+03
2.17184782e+00,1.60592148e+04,2.24975234e+04,1.59499023e+04,2.05881104e+03
2.25333428e+00,1.61134961e+04,2.25738945e+04,1.60197910e+04,2.08605127e+03
2.33691788e+00,1.61700801e+04,2.26534121e+04,1.60886514e+04,2.11050220e+03
2.42265272e+00,1.62197461e+04,2.27231484e+04,1.61469004e+04,2.13048486e+03
2.51059437e+00,1.62438428e+04,2.27569922e+04,1.61760742e+04,2.14421362e+03
2.60079956e+00,1.61846689e+04,2.26740957e+04,1.61186084e+04,2.14379150e+03
2.69332647e+00,1.59796191e+04,2.23867988e+04,1.59133730e+04,2.12306226e+03
2.78823495e+00,1.56131016e+04,2.18733691e+04,1.55496230e+04,2.08392676e+03
2.88558602e+00,1.52433652e+04,2.13554980e+04,1.51846885e+04,2.04637097e+03
2.98544264e+00,1.51186855e+04,2.11808984e+04,1.50619629e+04,2.04000549e+03
3.08786964e+00,1.53620146e+04,2.15216660e+04,1.52992383e+04,2.07631494e+03
3.19293284e+00,1.56572578e+04,2.19347500e+04,1.55741699e+04,2.10936157e+03
3.30070019e+00,1.53939561e+04,2.15655898e+04,1.53026260e+04,2.08055908e+03
3.41124129e+00,1.46838418e+04,2.05709531e+04,1.46010312e+04,2.00240369e+03
3.52462745e+00,1.32450781e+04,1.85553809e+04,1.31687568e+04,1.82810645e+03
3.64093208e+00,1.20889111e+04,1.69367012e+04,1.20563555e+04,1.72494080e+03
3.76023054e+00,1.32583486e+04,1.85753262e+04,1.32244170e+04,1.88471692e+03
3.88259912e+00,1.42059834e+04,1.99015801e+04,1.41198486e+04,1.98626917e+03
4.00811720e+00,1.49087383e+04,2.08857188e+04,1.48127793e+04,2.09535376e+03
4.13686609e+00,1.57552861e+04,2.20710430e+04,1.56328701e+04,2.20873901e+03
4.26892853e+00,1.47249062e+04,2.06276387e+04,1.46112646e+04,2.09123389e+03
4.40439081e+00,1.23430488e+04,1.72909102e+04,1.22451904e+04,1.79095667e+03
4.54333878e+00,1.00752754e+04,1.41145576e+04,1.00141064e+04,1.53536230e+03
4.68586397e+00,1.00184551e+04,1.40361074e+04,9.99393359e+03,1.56801062e+03
