Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.93463187e-04,9.34355252e-04,1.33111253e-01,1.63762608e+01
7.99999982e-02,1.16742810e-03,2.17727805e-03,1.48767546e-01,1.69324646e+01
1.19999997e-01,2.13734014e-03,3.84906447e-03,1.59285530e-01,1.71269207e+01
1.59999996e-01,3.95583687e-03,6.67282706e-03,1.69022739e-01,1.75391560e+01
2.00000003e-01,5.92074310e-03,9.67494491e-03,1.80102482e-01,1.78122330e+01
2.39999995e-01,1.10053215e-02,1.68799646e-02,1.90918595e-01,1.81060410e+01
2.80000001e-01,1.62549801e-02,2.42088549e-02,2.05516607e-01,1.84061260e+01
3.19999993e-01,2.45871656e-02,3.56850401e-02,2.21475184e-01,1.87183018e+01
3.60000014e-01,3.16425711e-02,4.54498865e-02,2.38491923e-01,1.90163593e+01
4.00000006e-01,4.14332338e-02,5.89032620e-02,2.56154001e-01,1.94072132e+01
4.39999998e-01,4.79072593e-02,6.82785138e-02,2.72449881e-01,1.99186058e+01
4.79999989e-01,5.83257899e-02,8.30382034e-02,2.86576331e-01,2.02889366e+01
5.19999981e-01,6.59888163e-02,9.42632258e-02,3.04358006e-01,2.09620094e+01
5.60000002e-01,7.66638294e-02,1.09309547e-01,3.17446530e-01,2.11746387e+01
6.00000024e-01,8.41768309e-02,1.20219864e-01,3.39200824e-01,2.18531475e+01
6.41029537e-01,9.43920761e-02,1.34064496e-01,3.57637286e-01,2.25450974e+01
6.83115125e-01,9.91871059e-02,1.40487015e-01,3.79936516e-01,2.36509781e+01
7.26283848e-01,1.06392041e-01,1.50145173e-01,4.06960905e-01,2.37616768e+01
7.70563781e-01,1.13685600e-01,1.59915850e-01,4.34512228e-01,2.45266209e+01
8.15983355e-01,1.23175099e-01,1.72372505e-01,4.60287809e-01,2.52521782e+01
8.62571895e-01,1.25634283e-01,1.75278127e-01,4.82310444e-01,2.63184109e+01
9.10359621e-01,1.33967653e-01,1.86308444e-01,5.06601274e-01,2.73449726e+01
9.59377348e-01,1.35275796e-01,1.87845260e-01,5.29488802e-01,2.85709877e+01
1.00965667e+00,1.42158538e-01,1.97278947e-01,5.60125351e-01,2.91117420e+01
1.06123006e+00,1.50763884e-01,2.09371433e-01,5.96248388e-01,3.10063686e+01
1.11413085e+00,1.58973873e-01,2.21023902e-01,6.38817608e-01,3.15789375e+01
1.16839325e+00,1.67527586e-01,2.33419642e-01,6.86892748e-01,3.37198982e+01
1.22405231e+00,1.74568787e-01,2.43972436e-01,7.42037773e-01,3.43194199e+01
1.28114390e+00,1.87533841e-01,2.63418376e-01,8.15765440e-01,3.59916267e+01
