Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.08671070e-25,7.39664285e-25,1.18194878e-22,1.70415664e+00
7.99999982e-02,2.59763974e-19,3.90061490e-19,5.33464642e-20,1.82458854e+00
1.19999997e-01,4.39508588e-17,6.61864530e-17,8.30860160e-18,1.82920849e+00
1.59999996e-01,1.93703412e-15,2.84462802e-15,1.31795764e-15,1.89791632e+00
2.00000003e-01,5.61850967e-13,7.83393749e-13,3.75004368e-11,1.98454511e+00
2.39999995e-01,2.88973047e-11,4.06717091e-11,3.26888494e-09,2.01500750e+00
2.80000001e-01,3.58414964e-10,5.19438770e-10,1.33410637e-07,2.04888916e+00
3.19999993e-01,2.94396019e-09,4.32444480e-09,3.06850816e-05,2.08707833e+00
3.60000014e-01,1.77849273e-08,2.66893281e-08,3.81862745e-04,2.20293832e+00
4.00000006e-01,8.14495493e-08,1.24002838e-07,9.69495159e-04,2.26056433e+00
4.39999998e-01,3.09811583e-07,4.77831634e-07,2.71901255e-03,2.49519801e+00
4.79999989e-01,1.00698651e-06,1.63456366e-06,6.74302038e-03,2.64571571e+00
5.19999981e-01,2.14029296e-06,3.46040315e-06,1.01561546e-02,2.71504784e+00
5.60000002e-01,3.95748793e-06,6.29485930e-06,1.72598399e-02,3.11524773e+00
6.00000024e-01,7.26854341e-06,1.15030361e-05,2.47198716e-02,3.07222319e+00
6.41029537e-01,1.31484903e-05,2.05215401e-05,3.71404365e-02,3.52866697e+00
6.83115125e-01,3.12401316e-05,4.69787556e-05,4.83215377e-02,3.66515994e+00
7.26283848e-01,7.38144736e-05,1.07920147e-04,6.63544685e-02,3.78692985e+00
7.70563781e-01,1.45101629e-04,2.07940524e-04,7.62519687e-02,4.46793652e+00
8.15983355e-01,2.82324268e-04,3.96658259e-04,9.80138555e-02,4.55207491e+00
8.62571895e-01,5.14382671e-04,7.11134053e-04,1.10489771e-01,5.23964834e+00
9.10359621e-01,8.32803489e-04,1.13348034e-03,1.06434770e-01,5.48880005e+00
9.59377348e-01,1.18406466e-03,1.59764406e-03,9.46457237e-02,6.86148643e+00
1.00965667e+00,1.71284273e-03,2.35868664e-03,9.52401981e-02,6.16725016e+00
1.06123006e+00,3.11184837e-03,4.51933220e-03,9.79358256e-02,9.06057358e+00
1.11413085e+00,5.79903368e-03,8.54424015e-03,1.04348920e-01,7.81934309e+00
1.16839325e+00,9.23297182e-03,1.35688931e-02,1.14040911e-01,9.13414001e+00
1.22405231e+00,1.41682038e-02,2.07038969e-02,1.26774594e-01,8.88507938e+00
