Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.53926942e-18,7.64246313e-18,5.54589391e-01,1.07405357e+01
7.99999982e-02,5.65498783e-16,7.78919905e-16,6.99189544e-01,1.19107513e+01
1.19999997e-01,4.48958565e-14,7.97927534e-14,8.30920815e-01,1.26334333e+01
1.59999996e-01,1.87883671e-12,4.44423014e-12,9.73323882e-01,1.45075874e+01
2.00000003e-01,2.71200545e-11,4.58896462e-11,1.32387710e+00,1.44836359e+01
2.39999995e-01,2.14361459e-10,4.04066752e-10,1.36804914e+00,1.61939297e+01
2.80000001e-01,4.91200902e-09,1.24709150e-08,1.41943955e+00,1.69989758e+01
3.19999993e-01,1.16056157e-07,3.27119693e-07,2.14796495e+00,1.87687893e+01
3.60000014e-01,1.06189100e-06,3.02201215e-06,2.26165366e+00,2.08462982e+01
4.00000006e-01,4.48405763e-06,1.23132431e-05,3.01229477e+00,2.11919537e+01
4.39999998e-01,1.47913470e-05,4.38787501e-05,3.34352493e+00,2.20769463e+01
4.79999989e-01,4.73757063e-05,1.24734550e-04,3.74702740e+00,2.53928928e+01
5.19999981e-01,1.40276898e-04,3.25207599e-04,4.06567097e+00,2.55624428e+01
5.60000002e-01,4.19110234e-04,8.96857644e-04,4.17757893e+00,2.85701904e+01
6.00000024e-01,9.41172242e-04,1.85561622e-03,4.63592720e+00,2.62708206e+01
6.41029537e-01,2.04802980e-03,4.16825898e-03,4.51982403e+00,3.36886253e+01
6.83115125e-01,3.80576868e-03,7.59442011e-03,4.78520441e+00,2.74759903e+01
7.26283848e-01,7.08780158e-03,1.40394140e-02,4.74330521e+00,4.01563873e+01
7.70563781e-01,1.17306150e-02,2.29250249e-02,5.02358246e+00,3.42379494e+01
8.15983355e-01,1.94429439e-02,3.62231582e-02,4.96755075e+00,4.39602432e+01
8.62571895e-01,2.87422370e-02,5.16278371e-02,5.04981375e+00,4.16763649e+01
9.10359621e-01,4.24223021e-02,7.33984634e-02,5.40656471e+00,5.04333725e+01
9.59377348e-01,6.17398545e-02,1.05507948e-01,5.60295773e+00,4.74252777e+01
1.00965667e+00,9.83494595e-02,1.64095029e-01,6.04535866e+00,6.12146263e+01
1.06123006e+00,1.50079563e-01,2.44631484e-01,6.49636841e+00,5.68202667e+01
1.11413085e+00,2.21250713e-01,3.55597734e-01,7.01196718e+00,6.26108284e+01
1.16839325e+00,3.33034426e-01,5.29246092e-01,7.51969719e+00,6.61465454e+01
1.22405231e+00,4.82320696e-01,7.57641673e-01,8.13005638e+00,7.40450439e+01
1.28114390e+00,6.74421549e-01,1.04436040e+00,9.18358326e+00,7.33361511e+01
1.33970511e+00,9.62552369e-01,1.47393286e+00,1.09540405e+01,8.57255783e+01
1.39977336e+00,2.07037461e+04,2.89884062e+04,1.95756445e+04,1.41234106e+03
1.46138775e+00,2.69245352e+04,3.76526328e+04,2.27835039e+04,1.48158948e+03
1.52458799e+00,1.61998125e+04,2.26511211e+04,1.39598037e+04,1.09783594e+03
1.58941495e+00,1.57935146e+04,2.20992773e+04,1.43220459e+04,1.39822571e+03
1.65591037e+00,1.63661074e+04,2.29076250e+04,1.51437656e+04,1.55316418e+03
1.72411728e+00,1.67077578e+04,2.33875625e+04,1.55208203e+04,1.59214087e+03
1.79407966e+00,1.62754043e+04,2.27810391e+04,1.50386055e+04,1.51571533e+03
1.86584306e+00,1.51419277e+04,2.11924922e+04,1.38852900e+04,1.38441663e+03
1.93945324e+00,1.37426729e+04,1.92331504e+04,1.25529863e+04,1.29324512e+03
2.01495814e+00,1.25034844e+04,1.74995488e+04,1.14498984e+04,1.23411548e+03
2.09240627e+00,1.17570078e+04,1.64567500e+04,1.08515723e+04,1.24960193e+03
2.17184782e+00,1.15671562e+04,1.61940254e+04,1.08146504e+04,1.35115674e+03
2.25333428e+00,1.19644277e+04,1.67546211e+04,1.14005654e+04,1.52637598e+03
2.33691788e+00,1.33693457e+04,1.87270605e+04,1.30080186e+04,1.88038550e+03
2.42265272e+00,1.55260215e+04,2.17519766e+04,1.53490000e+04,2.29458838e+03
2.51059437e+00,1.75923418e+04,2.46491523e+04,1.75643477e+04,2.67248804e+03
2.60079956e+00,1.91301719e+04,2.68051484e+04,1.92139219e+04,2.90482349e+03
2.69332647e+00,2.01616680e+04,2.82499531e+04,2.02453242e+04,2.99901050e+03
2.78823495e+00,2.01564551e+04,2.82400781e+04,2.01147832e+04,2.85187744e+03
2.88558602e+00,1.94208496e+04,2.72073359e+04,1.92520352e+04,2.62806372e+03
2.98544264e+00,1.90525312e+04,2.66895195e+04,1.87455996e+04,2.43964624e+03
3.08786964e+00,1.88965898e+04,2.64688047e+04,1.84303711e+04,2.32128271e+03
3.19293284e+00,1.96789219e+04,2.75645801e+04,1.91458398e+04,2.38244995e+03
3.30070019e+00,2.13269922e+04,2.98705508e+04,2.05609785e+04,2.45927637e+03
3.41124129e+00,2.16542539e+04,3.03235352e+04,2.06260781e+04,2.41499854e+03
3.52462745e+00,2.18236719e+04,3.05590996e+04,2.06993770e+04,2.37666626e+03
3.64093208e+00,2.09834902e+04,2.93770820e+04,1.96074180e+04,2.16695752e+03
3.76023054e+00,1.78865781e+04,2.50371211e+04,1.64897734e+04,1.81819104e+03
3.88259912e+00,1.42300303e+04,1.99219297e+04,1.32190273e+04,1.59050818e+03
4.00811720e+00,1.43133477e+04,2.00447129e+04,1.35301914e+04,1.70752283e+03
4.13686609e+00,1.44468252e+04,2.02307910e+04,1.36747305e+04,1.74553723e+03
4.26892853e+00,1.42717617e+04,1.99935742e+04,1.39357002e+04,2.00701453e+03
4.40439081e+00,1.82028281e+04,2.55048203e+04,1.79708301e+04,2.57160596e+03
4.54333878e+00,2.00555273e+04,2.80930996e+04,1.94967754e+04,2.66801465e+03
4.68586397e+00,1.79389531e+04,2.51327422e+04,1.76806113e+04,2.61265479e+03
4.83205652e+00,2.05831426e+04,2.88414824e+04,2.05078887e+04,3.12719727e+03
4.98201227e+00,2.16675723e+04,3.03593008e+04,2.15685625e+04,3.15791846e+03
5.13582754e+00,1.83529082e+04,2.57130020e+04,1.81627070e+04,2.49065063e+03
5.29360199e+00,1.60050156e+04,2.24149395e+04,1.54629912e+04,1.92955762e+03
5.45543718e+00,1.32572695e+04,1.85658027e+04,1.28077676e+04,1.68040405e+03
5.62143755e+00,1.44106133e+04,2.01866895e+04,1.41222617e+04,1.90312891e+03
5.79171038e+00,1.84405410e+04,2.58244160e+04,1.76738301e+04,2.09453076e+03
5.96636629e+00,1.80270039e+04,2.52401836e+04,1.70558418e+04,1.98508728e+03
6.14551687e+00,1.73229082e+04,2.42531387e+04,1.63129863e+04,1.95059692e+03
6.32927942e+00,1.45477686e+04,2.03654238e+04,1.35944619e+04,1.65940259e+03
6.51777077e+00,1.11134912e+04,1.55577158e+04,1.03871592e+04,1.31179626e+03
6.71111441e+00,1.05839336e+04,1.48165059e+04,9.91229102e+03,1.24611047e+03
6.90943432e+00,1.14913779e+04,1.60880156e+04,1.08440430e+04,1.37239038e+03
7.11285782e+00,1.20157695e+04,1.68263828e+04,1.15286162e+04,1.50214685e+03
7.32151794e+00,1.17993330e+04,1.65246055e+04,1.13855781e+04,1.51101892e+03
7.53554821e+00,1.02094561e+04,1.42984766e+04,9.89958984e+03,1.36133801e+03
7.75508738e+00,8.65594922e+03,1.21257051e+04,8.53252930e+03,1.26821265e+03
7.98027754e+00,7.78724756e+03,1.09116533e+04,7.80885596e+03,1.19157373e+03
8.21126270e+00,7.84750195e+03,1.09941602e+04,7.82586572e+03,1.14677795e+03
8.44819450e+00,8.88043164e+03,1.24349258e+04,8.62744238e+03,1.11251221e+03
8.69122219e+00,9.00607129e+03,1.26074199e+04,8.64423340e+03,1.08148254e+03
8.94050789e+00,8.83646387e+03,1.23723184e+04,8.59933496e+03,1.10576538e+03
9.19620800e+00,8.86376465e+03,1.24127285e+04,8.73279688e+03,1.15310010e+03
9.45849037e+00,7.25754053e+03,1.01643955e+04,7.26521875e+03,9.64502197e+02
9.72752285e+00,5.00573047e+03,7.01198633e+03,5.22887744e+03,7.44291443e+02
1.00034800e+01,4.77901416e+03,6.69567432e+03,5.15184375e+03,7.23288452e+02
1.02865391e+01,5.36225586e+03,7.51095703e+03,5.79123242e+03,7.67694153e+02
