Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.71982347e-30,6.33078074e-30,6.16886199e-23,4.83301938e-01
7.99999982e-02,9.22747125e-28,1.66360673e-27,8.60637613e-20,7.52751648e-01
1.19999997e-01,6.86127303e-26,1.27491188e-25,4.67694039e-17,7.48297691e-01
1.59999996e-01,1.12833073e-24,2.11379638e-24,9.37874774e-15,1.30222118e+00
2.00000003e-01,2.66400600e-23,4.99713407e-23,3.09515651e-12,9.80298936e-01
2.39999995e-01,2.80237169e-22,5.27520703e-22,4.59234734e-10,1.58309245e+00
2.80000001e-01,1.50063952e-21,2.82019960e-21,1.83661175e-08,1.11947227e+00
3.19999993e-01,5.96587295e-21,1.12541057e-20,5.12859970e-07,1.77600443e+00
3.60000014e-01,2.26797721e-20,4.27196684e-20,5.35590470e-06,1.62634420e+00
4.00000006e-01,8.67910275e-20,1.63470302e-19,2.04585140e-05,1.93643343e+00
4.39999998e-01,3.54915749e-19,6.67622539e-19,5.06148572e-05,1.76300693e+00
4.79999989e-01,1.81239987e-18,3.36255743e-18,1.06366693e-04,2.54364896e+00
5.19999981e-01,9.00113623e-18,1.66691551e-17,1.70941217e-04,2.04405379e+00
5.60000002e-01,4.31102779e-17,8.09656493e-17,2.44979979e-04,2.51285958e+00
6.00000024e-01,2.10758103e-16,4.02792833e-16,3.37163074e-04,2.59865499e+00
6.41029537e-01,1.05403615e-15,2.02077836e-15,4.79537353e-04,2.32132149e+00
6.83115125e-01,7.19135716e-15,1.32038808e-14,5.75675396e-04,3.16240215e+00
7.26283848e-01,4.08882556e-14,7.49971645e-14,6.45707711e-04,2.24704862e+00
7.70563781e-01,2.88133124e-13,5.17763675e-13,9.02446918e-04,4.05841064e+00
8.15983355e-01,1.22963000e-12,2.29098684e-12,1.44328631e-03,3.43464756e+00
8.62571895e-01,5.44058808e-12,1.00783071e-11,2.24832445e-03,4.15455961e+00
9.10359621e-01,3.38689840e-11,6.21527274e-11,2.78687268e-03,4.44526672e+00
9.59377348e-01,2.52954935e-10,4.65858185e-10,4.04994097e-03,5.14930630e+00
1.00965667e+00,2.60317701e-09,4.63718486e-09,5.47960727e-03,5.37220716e+00
1.06123006e+00,1.85463112e-08,3.41598749e-08,7.54410354e-03,5.96008205e+00
1.11413085e+00,8.25100557e-08,1.50554769e-07,1.03124026e-02,5.74330330e+00
1.16839325e+00,1.75460912e-07,3.32537866e-07,1.38932988e-02,6.98331308e+00
1.22405231e+00,4.44066984e-07,8.37006667e-07,1.90717205e-02,6.99226284e+00
1.28114390e+00,1.22819984e-06,2.29960642e-06,2.60956269e-02,7.41430473e+00
1.33970511e+00,1.92042880e-05,3.21974549e-05,3.48476544e-02,7.64211321e+00
1.39977336e+00,2.01612266e+04,2.82429414e+04,2.00356016e+04,2.14943506e+03
1.46138775e+00,2.58983320e+04,3.62601289e+04,2.44556504e+04,2.08992847e+03
1.52458799e+00,1.56566689e+04,2.19191641e+04,1.48591113e+04,1.40185498e+03
1.58941495e+00,1.58847598e+04,2.22460391e+04,1.54365352e+04,1.67850427e+03
1.65591037e+00,1.63997930e+04,2.29691484e+04,1.60253750e+04,1.77637415e+03
1.72411728e+00,1.59312852e+04,2.23121816e+04,1.55267148e+04,1.67916699e+03
1.79407966e+00,1.44067939e+04,2.01756445e+04,1.39638613e+04,1.47027319e+03
1.86584306e+00,1.24366172e+04,1.74158320e+04,1.20142148e+04,1.26289404e+03
1.93945324e+00,1.08537676e+04,1.51997998e+04,1.05059258e+04,1.14384399e+03
2.01495814e+00,1.00786445e+04,1.41156191e+04,9.81266406e+03,1.13039124e+03
2.09240627e+00,9.90192578e+03,1.38698848e+04,9.72052148e+03,1.20293799e+03
2.17184782e+00,1.03670430e+04,1.45237285e+04,1.02934746e+04,1.38365112e+03
2.25333428e+00,1.18264766e+04,1.65710352e+04,1.18910195e+04,1.73521826e+03
2.33691788e+00,1.43090254e+04,2.00520117e+04,1.45432666e+04,2.25329541e+03
2.42265272e+00,1.72012227e+04,2.41065430e+04,1.76017793e+04,2.81892236e+03
2.51059437e+00,1.98854844e+04,2.78691055e+04,2.04291895e+04,3.32293652e+03
2.60079956e+00,2.21882109e+04,3.10965020e+04,2.28431699e+04,3.71093311e+03
2.69332647e+00,2.35318008e+04,3.29778672e+04,2.41566035e+04,3.79170166e+03
2.78823495e+00,2.31584141e+04,3.24516934e+04,2.36196641e+04,3.52058008e+03
2.88558602e+00,2.18972500e+04,3.06818555e+04,2.21865508e+04,3.13919604e+03
2.98544264e+00,2.04602207e+04,2.86659902e+04,2.05865566e+04,2.76522192e+03
3.08786964e+00,1.88396562e+04,2.63934180e+04,1.88208145e+04,2.40687866e+03
3.19293284e+00,1.73502930e+04,2.43054902e+04,1.72333164e+04,2.13933228e+03
3.30070019e+00,1.63878438e+04,2.29564492e+04,1.62160869e+04,1.98421777e+03
3.41124129e+00,1.60562871e+04,2.24916191e+04,1.58528418e+04,1.94258032e+03
3.52462745e+00,1.58173379e+04,2.21566211e+04,1.55955977e+04,1.92250757e+03
3.64093208e+00,1.55123857e+04,2.17292812e+04,1.52872852e+04,1.90939600e+03
3.76023054e+00,1.50144170e+04,2.10316504e+04,1.47916836e+04,1.86576501e+03
3.88259912e+00,1.42374902e+04,1.99432539e+04,1.40191992e+04,1.78884314e+03
4.00811720e+00,1.32497607e+04,1.85598379e+04,1.30513438e+04,1.69359607e+03
4.13686609e+00,1.21971162e+04,1.70857891e+04,1.20340342e+04,1.60103027e+03
4.26892853e+00,1.13434404e+04,1.58907500e+04,1.12280117e+04,1.54437097e+03
4.40439081e+00,1.09897412e+04,1.53962852e+04,1.09276660e+04,1.55931689e+03
4.54333878e+00,1.11645664e+04,1.56423779e+04,1.11613008e+04,1.64472998e+03
4.68586397e+00,1.18671123e+04,1.66276973e+04,1.19183525e+04,1.79671582e+03
4.83205652e+00,1.29993467e+04,1.82149355e+04,1.31077148e+04,2.01961987e+03
4.98201227e+00,1.48927402e+04,2.08691680e+04,1.50965283e+04,2.38225879e+03
5.13582754e+00,1.72091055e+04,2.41156289e+04,1.74979062e+04,2.79323926e+03
5.29360199e+00,1.85851211e+04,2.60436367e+04,1.89172148e+04,3.03703613e+03
5.45543718e+00,1.97447461e+04,2.76685645e+04,2.01282383e+04,3.24658887e+03
5.62143755e+00,2.07481738e+04,2.90743398e+04,2.11565918e+04,3.38623608e+03
5.79171038e+00,2.11142227e+04,2.95865879e+04,2.14979043e+04,3.37181714e+03
5.96636629e+00,2.07238711e+04,2.90377520e+04,2.09985586e+04,3.17273608e+03
6.14551687e+00,1.94360352e+04,2.72316680e+04,1.95968262e+04,2.87264014e+03
6.32927942e+00,1.88202461e+04,2.63675352e+04,1.88799727e+04,2.68515796e+03
6.51777077e+00,1.81676641e+04,2.54512832e+04,1.81098105e+04,2.50402051e+03
6.71111441e+00,1.75444160e+04,2.45776680e+04,1.74450410e+04,2.40685303e+03
6.90943432e+00,1.78832129e+04,2.50514805e+04,1.77247988e+04,2.41814648e+03
7.11285782e+00,1.74884727e+04,2.44976133e+04,1.72806289e+04,2.35323291e+03
7.32151794e+00,1.67187012e+04,2.34191055e+04,1.65022070e+04,2.27653857e+03
7.53554821e+00,1.54519531e+04,2.16440156e+04,1.52187031e+04,2.12889160e+03
7.75508738e+00,1.30804346e+04,1.83227695e+04,1.29110840e+04,1.89519678e+03
7.98027754e+00,1.31143633e+04,1.83715859e+04,1.30082363e+04,1.98422498e+03
8.21126270e+00,1.41335420e+04,1.97989746e+04,1.40117891e+04,2.13953125e+03
8.44819450e+00,1.25763311e+04,1.76192598e+04,1.25582324e+04,2.04005371e+03
8.69122219e+00,1.41232012e+04,1.97877188e+04,1.41742168e+04,2.34204785e+03
8.94050789e+00,1.44534199e+04,2.02510586e+04,1.45483037e+04,2.42886792e+03
9.19620800e+00,1.33825771e+04,1.87507109e+04,1.34872549e+04,2.28873584e+03
9.45849037e+00,1.24739971e+04,1.74777773e+04,1.25829609e+04,2.18092871e+03
9.72752285e+00,1.27964033e+04,1.79302695e+04,1.29499639e+04,2.26282739e+03
1.00034800e+01,1.46855625e+04,2.05760312e+04,1.48154365e+04,2.47853271e+03
1.02865391e+01,1.57235254e+04,2.20282734e+04,1.57655098e+04,2.52768213e+03
1.05768833e+01,1.43396611e+04,2.00886094e+04,1.43261191e+04,2.29552930e+03
1.08747025e+01,1.29082803e+04,1.80825059e+04,1.28568486e+04,2.09346729e+03
1.11801853e+01,1.28582305e+04,1.80107227e+04,1.27405762e+04,2.05263599e+03
1.14935322e+01,1.26583809e+04,1.77294277e+04,1.24950469e+04,1.99982031e+03
1.18149433e+01,1.12100781e+04,1.57004326e+04,1.10750234e+04,1.83536548e+03
1.21446266e+01,8.86213867e+03,1.24137461e+04,8.88911230e+03,1.62610278e+03
1.24827967e+01,7.25627637e+03,1.01676699e+04,7.49705957e+03,1.51824683e+03
1.28296700e+01,7.65328223e+03,1.07258311e+04,8.04604834e+03,1.61158374e+03
1.31854706e+01,9.29614551e+03,1.30286221e+04,9.82764160e+03,1.85120667e+03
1.35504293e+01,1.05335215e+04,1.47650635e+04,1.12921396e+04,2.07451587e+03
1.39247818e+01,1.08559795e+04,1.52204863e+04,1.19410312e+04,2.13160400e+03
1.43087692e+01,1.05715566e+04,1.48244805e+04,1.19981123e+04,2.03276721e+03
1.47026405e+01,1.07501641e+04,1.50782070e+04,1.26150293e+04,2.03472021e+03
1.51066484e+01,1.07169453e+04,1.50382109e+04,1.31026426e+04,2.03902551e+03
1.55210552e+01,9.77850098e+03,1.37332217e+04,1.26152090e+04,2.00534009e+03
1.59461288e+01,1.00798438e+04,1.41673994e+04,1.32515811e+04,2.20603076e+03
1.63821430e+01,1.16347676e+04,1.63586758e+04,1.51951348e+04,2.49757471e+03
1.68293781e+01,1.32828145e+04,1.86802539e+04,1.75759414e+04,2.69027588e+03
1.72881241e+01,1.58548193e+04,2.22967285e+04,2.14597441e+04,2.84870166e+03
1.77586803e+01,1.88136602e+04,2.64615879e+04,2.57400098e+04,2.91082739e+03
1.82413464e+01,2.27787695e+04,3.20669941e+04,2.94003145e+04,2.96996436e+03
1.87364349e+01,2.85204844e+04,4.00907344e+04,3.12803906e+04,3.11869922e+03
1.92442665e+01,3.27065781e+04,4.58885469e+04,3.18326152e+04,3.13204419e+03
1.97651691e+01,3.76133281e+04,5.26720547e+04,3.42554844e+04,3.19976050e+03
2.02994785e+01,3.88446758e+04,5.43131992e+04,3.35655938e+04,3.09336450e+03
2.08475418e+01,3.64937969e+04,5.09772500e+04,2.95065898e+04,2.71914404e+03
2.14097099e+01,3.34459219e+04,4.66569609e+04,2.53394023e+04,2.57092114e+03
2.19863453e+01,2.94301641e+04,4.10159570e+04,2.25563672e+04,2.65817676e+03
