Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.71511957e-09,1.48807473e-08,5.46107814e-02,9.70267105e+00
7.99999982e-02,3.60254226e-08,7.81393794e-08,7.15740621e-02,1.01197777e+01
1.19999997e-01,6.23012113e-08,1.41359649e-07,7.77607411e-02,1.01573486e+01
1.59999996e-01,1.39526904e-07,3.26899567e-07,8.43877345e-02,1.04373131e+01
2.00000003e-01,1.90982746e-07,4.97415726e-07,8.63222778e-02,1.04978018e+01
2.39999995e-01,3.66895620e-07,1.01288981e-06,9.10781249e-02,1.06566067e+01
2.80000001e-01,6.65631660e-07,1.95785469e-06,9.19619054e-02,1.06985483e+01
3.19999993e-01,1.37655343e-06,4.42487817e-06,8.80123526e-02,1.07732916e+01
3.60000014e-01,3.62647597e-06,1.16620959e-05,9.27990600e-02,1.07202377e+01
4.00000006e-01,9.31160048e-06,2.89308700e-05,9.33694541e-02,1.08966942e+01
4.39999998e-01,3.14138015e-05,9.19363447e-05,1.15919709e-01,1.08267336e+01
4.79999989e-01,4.80009330e-05,1.36788236e-04,9.33994949e-02,1.12565670e+01
5.19999981e-01,1.74839355e-04,4.26387734e-04,1.28773227e-01,1.12833233e+01
5.60000002e-01,3.81524093e-04,9.91022214e-04,1.14795722e-01,1.15739136e+01
6.00000024e-01,5.01721282e-04,1.25837186e-03,1.42929181e-01,1.17009735e+01
6.41029537e-01,2.01631826e-03,4.73963609e-03,1.29316896e-01,1.21579971e+01
6.83115125e-01,2.33536190e-03,5.42970095e-03,1.51377916e-01,1.20277834e+01
7.26283848e-01,3.63059854e-03,8.14820267e-03,1.60171658e-01,1.24102440e+01
7.70563781e-01,5.68471756e-03,1.24708684e-02,1.67399466e-01,1.27265940e+01
8.15983355e-01,9.43945907e-03,2.02577990e-02,1.78084612e-01,1.33088093e+01
8.62571895e-01,1.43584721e-02,3.01039089e-02,1.97733551e-01,1.33979530e+01
9.10359621e-01,2.32127681e-02,4.52858135e-02,2.05574244e-01,1.45557117e+01
9.59377348e-01,3.50805148e-02,6.37336224e-02,2.42782474e-01,1.42032166e+01
1.00965667e+00,4.95843515e-02,8.34401250e-02,2.87950397e-01,1.58397141e+01
1.06123006e+00,6.65596053e-02,1.05601750e-01,3.29954416e-01,1.42973557e+01
1.11413085e+00,9.09812599e-02,1.40126571e-01,4.02590394e-01,1.82273884e+01
1.16839325e+00,1.21528164e-01,1.84758276e-01,4.82958376e-01,1.54095755e+01
1.22405231e+00,1.57859147e-01,2.37598658e-01,5.82072377e-01,1.92415771e+01
1.28114390e+00,1.90395981e-01,2.82999903e-01,7.14557409e-01,1.70725155e+01
1.33970511e+00,2.20201790e-01,3.24693292e-01,8.50424051e-01,2.10506134e+01
1.39977336e+00,2.00364961e+04,2.80514023e+04,1.87853652e+04,1.18465637e+03
1.46138775e+00,2.33662168e+04,3.26813555e+04,2.00789062e+04,1.25934302e+03
1.52458799e+00,1.56842646e+04,2.19320176e+04,1.34658604e+04,9.65081055e+02
1.58941495e+00,1.49024707e+04,2.08513828e+04,1.33828145e+04,1.19188574e+03
1.65591037e+00,1.54370176e+04,2.16065859e+04,1.42097109e+04,1.38832202e+03
1.72411728e+00,1.62984590e+04,2.28160625e+04,1.51841455e+04,1.52481201e+03
1.79407966e+00,1.66994824e+04,2.33768594e+04,1.55212314e+04,1.52622595e+03
1.86584306e+00,1.58122002e+04,2.21322188e+04,1.45598652e+04,1.39640479e+03
1.93945324e+00,1.38765156e+04,1.94216758e+04,1.27060078e+04,1.22373230e+03
2.01495814e+00,1.22285547e+04,1.71167188e+04,1.12408066e+04,1.13880908e+03
2.09240627e+00,1.19352080e+04,1.67100156e+04,1.11266787e+04,1.22083875e+03
2.17184782e+00,1.30043779e+04,1.82117539e+04,1.23529688e+04,1.46290283e+03
2.25333428e+00,1.50084395e+04,2.10214570e+04,1.44295840e+04,1.77218457e+03
2.33691788e+00,1.74880117e+04,2.44958223e+04,1.69630781e+04,2.15803125e+03
2.42265272e+00,1.98732734e+04,2.78361289e+04,1.93318066e+04,2.45315405e+03
2.51059437e+00,2.01496406e+04,2.82201680e+04,1.95038047e+04,2.44848877e+03
2.60079956e+00,1.84747852e+04,2.58749863e+04,1.79113418e+04,2.24619092e+03
2.69332647e+00,1.69240918e+04,2.37035762e+04,1.63721367e+04,1.99306738e+03
2.78823495e+00,1.51748848e+04,2.12516953e+04,1.45542158e+04,1.70916174e+03
2.88558602e+00,1.41547432e+04,1.98247363e+04,1.36412520e+04,1.64096655e+03
2.98544264e+00,1.53947344e+04,2.15636992e+04,1.49106738e+04,1.81066675e+03
3.08786964e+00,1.77820332e+04,2.49074414e+04,1.71727305e+04,2.04879053e+03
3.19293284e+00,1.82672148e+04,2.55836738e+04,1.74994492e+04,2.04288770e+03
3.30070019e+00,1.79197930e+04,2.50956973e+04,1.71202324e+04,2.01472803e+03
3.41124129e+00,1.75369766e+04,2.45580195e+04,1.66933301e+04,1.96454810e+03
3.52462745e+00,1.61596230e+04,2.26277266e+04,1.53321709e+04,1.82257251e+03
3.64093208e+00,1.40507363e+04,1.96751230e+04,1.33648027e+04,1.62637805e+03
3.76023054e+00,1.30225020e+04,1.82382246e+04,1.25046055e+04,1.56842749e+03
3.88259912e+00,1.30442100e+04,1.82686328e+04,1.25228262e+04,1.53927124e+03
4.00811720e+00,1.25590498e+04,1.75897324e+04,1.21046729e+04,1.52580237e+03
4.13686609e+00,1.31902617e+04,1.84775391e+04,1.28717744e+04,1.67052686e+03
4.26892853e+00,1.54445195e+04,2.16365586e+04,1.50981826e+04,1.93612097e+03
4.40439081e+00,1.65784785e+04,2.32229531e+04,1.61261094e+04,2.02476050e+03
4.54333878e+00,1.64920117e+04,2.31010508e+04,1.60252627e+04,2.02238452e+03
4.68586397e+00,1.64192734e+04,2.29977773e+04,1.58934814e+04,1.97722900e+03
4.83205652e+00,1.55324824e+04,2.17533027e+04,1.49282939e+04,1.81469946e+03
4.98201227e+00,1.40045693e+04,1.96121504e+04,1.33948945e+04,1.59772632e+03
5.13582754e+00,1.36856738e+04,1.91649336e+04,1.30489717e+04,1.52702625e+03
5.29360199e+00,1.40595664e+04,1.96861035e+04,1.33208223e+04,1.52730896e+03
5.45543718e+00,1.39615801e+04,1.95488164e+04,1.32512051e+04,1.55521973e+03
