Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.07820630e-09,6.62564936e-09,5.55101067e-08,3.44116092e+00
7.99999982e-02,1.97550971e-08,2.74442442e-08,4.57745227e-06,3.83524680e+00
1.19999997e-01,4.47394015e-08,6.37326849e-08,1.99911246e-05,3.81591845e+00
1.59999996e-01,1.01870093e-07,1.48564112e-07,1.16857824e-04,4.37466621e+00
2.00000003e-01,2.48622371e-07,3.67516662e-07,1.05555740e-03,4.45140505e+00
2.39999995e-01,6.60014280e-07,9.91032380e-07,3.40381777e-03,4.64314318e+00
2.80000001e-01,1.35239361e-06,2.01071271e-06,8.59826524e-03,4.97080088e+00
3.19999993e-01,3.53348514e-06,5.18680235e-06,1.54380612e-02,5.06623554e+00
3.60000014e-01,7.40723726e-06,1.06891366e-05,2.40854844e-02,5.80600309e+00
4.00000006e-01,1.45108534e-05,2.07250741e-05,3.40122543e-02,5.96918678e+00
4.39999998e-01,3.29644281e-05,4.57758142e-05,4.47912253e-02,6.32208014e+00
4.79999989e-01,6.25523826e-05,8.53860911e-05,5.57746850e-02,7.18116188e+00
5.19999981e-01,1.04231112e-04,1.39918149e-04,6.97717741e-02,7.30708456e+00
5.60000002e-01,1.57046801e-04,2.08538389e-04,7.63569623e-02,8.09291363e+00
6.00000024e-01,2.33998115e-04,3.07965907e-04,8.84150788e-02,8.49545479e+00
6.41029537e-01,3.06800648e-04,4.05129162e-04,1.00595124e-01,9.17760468e+00
6.83115125e-01,3.84522951e-04,5.16642351e-04,1.19166628e-01,1.03293705e+01
7.26283848e-01,5.46360156e-04,7.56768044e-04,1.54441446e-01,1.07657633e+01
7.70563781e-01,7.42301636e-04,1.06728461e-03,1.94210753e-01,1.13923101e+01
8.15983355e-01,1.28455670e-03,1.93960231e-03,2.54283428e-01,1.20377827e+01
8.62571895e-01,2.55603553e-03,4.03089263e-03,3.47631663e-01,1.24024668e+01
9.10359621e-01,6.01881463e-03,9.56283882e-03,5.05867064e-01,1.34895868e+01
9.59377348e-01,1.98898427e-02,3.13797109e-02,7.58941054e-01,1.40054474e+01
1.00965667e+00,4.89016734e-02,7.64480829e-02,1.09148920e+00,1.41433115e+01
1.06123006e+00,1.09272093e-01,1.68866426e-01,1.53007960e+00,1.57369900e+01
1.11413085e+00,1.95049658e-01,2.98501253e-01,1.96591973e+00,1.60747528e+01
1.16839325e+00,3.04992020e-01,4.63405192e-01,2.52101707e+00,1.80112476e+01
1.22405231e+00,4.66721117e-01,7.03916311e-01,3.17201781e+00,1.77748604e+01
1.28114390e+00,7.07536697e-01,1.05783725e+00,3.85441542e+00,2.00582409e+01
1.33970511e+00,9.98548627e-01,1.48243713e+00,4.48077536e+00,1.89456673e+01
1.39977336e+00,2.01100059e+04,2.81694688e+04,1.98649102e+04,1.99467102e+03
1.46138775e+00,2.40654961e+04,3.36915078e+04,2.25821562e+04,1.80280920e+03
1.52458799e+00,1.42781846e+04,1.99859570e+04,1.33533037e+04,1.13691003e+03
1.58941495e+00,1.20418047e+04,1.68593945e+04,1.14510234e+04,1.09447168e+03
1.65591037e+00,1.07065293e+04,1.49923486e+04,1.03065488e+04,1.09099121e+03
1.72411728e+00,1.05704512e+04,1.48047793e+04,1.03217461e+04,1.21572461e+03
1.79407966e+00,1.17471465e+04,1.64564238e+04,1.16550254e+04,1.53735010e+03
1.86584306e+00,1.41649160e+04,1.98470449e+04,1.42583594e+04,2.04469910e+03
1.93945324e+00,1.72975820e+04,2.42385898e+04,1.75555039e+04,2.59419678e+03
2.01495814e+00,1.95912422e+04,2.74520039e+04,1.98703516e+04,2.85569775e+03
2.09240627e+00,2.00136406e+04,2.80417109e+04,2.01886543e+04,2.77033936e+03
2.17184782e+00,1.89765742e+04,2.65860801e+04,1.89992930e+04,2.47397192e+03
2.25333428e+00,1.70429453e+04,2.38748750e+04,1.69402910e+04,2.10962427e+03
2.33691788e+00,1.51464473e+04,2.12169316e+04,1.49793496e+04,1.80585571e+03
2.42265272e+00,1.37017783e+04,1.91923496e+04,1.34832969e+04,1.58241467e+03
2.51059437e+00,1.25265107e+04,1.75455586e+04,1.22814180e+04,1.43271460e+03
2.60079956e+00,1.19325156e+04,1.67141562e+04,1.17187832e+04,1.41035535e+03
2.69332647e+00,1.25722168e+04,1.76118281e+04,1.24202090e+04,1.56859412e+03
2.78823495e+00,1.36366172e+04,1.91032812e+04,1.34893799e+04,1.72733545e+03
2.88558602e+00,1.41807539e+04,1.98659727e+04,1.40594277e+04,1.84295667e+03
