Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.66703614e-06,2.95474524e-06,2.18835412e-05,1.78157139e+01
7.99999982e-02,3.25906376e-06,6.18602644e-06,1.77431692e-04,2.81054001e+01
1.19999997e-01,7.09156802e-06,1.30495882e-05,5.88713971e-04,3.75648766e+01
1.59999996e-01,1.86085636e-05,3.21621264e-05,1.44449749e-03,4.75224380e+01
2.00000003e-01,2.16217595e-05,3.65925407e-05,2.53938418e-03,5.31379318e+01
2.39999995e-01,3.34503711e-05,5.62004680e-05,3.74257495e-03,6.23636131e+01
2.80000001e-01,3.80205529e-05,6.33994205e-05,5.12268441e-03,6.87751160e+01
3.19999993e-01,4.68985018e-05,7.93867730e-05,6.55862177e-03,7.69733353e+01
3.60000014e-01,5.24176940e-05,9.01489766e-05,7.96767976e-03,8.37002258e+01
4.00000006e-01,7.02887119e-05,1.21782025e-04,9.07909404e-03,9.29930878e+01
4.39999998e-01,8.94188561e-05,1.53213041e-04,1.00309812e-02,9.88449936e+01
4.79999989e-01,1.20370380e-04,2.00645678e-04,1.05742095e-02,1.08076698e+02
5.19999981e-01,1.41620098e-04,2.33650280e-04,1.09866736e-02,1.13213837e+02
5.60000002e-01,1.71201318e-04,2.86787254e-04,1.14743141e-02,1.20016823e+02
6.00000024e-01,2.18949746e-04,3.68426408e-04,1.14248740e-02,1.24814262e+02
6.41029537e-01,7.49672530e-04,1.27187534e-03,1.17486436e-02,1.30579391e+02
6.83115125e-01,7.34190224e-04,1.21049187e-03,1.14431120e-02,1.34816376e+02
7.26283848e-01,1.08845439e-03,1.73424149e-03,1.13475751e-02,1.39712677e+02
7.70563781e-01,1.55672594e-03,2.41117412e-03,1.12165306e-02,1.44567993e+02
8.15983355e-01,2.35324888e-03,3.54147004e-03,1.11855175e-02,1.50247787e+02
8.62571895e-01,2.55375309e-03,3.81605513e-03,1.11712487e-02,1.54628784e+02
9.10359621e-01,3.12358979e-03,4.61485516e-03,1.14023536e-02,1.60692520e+02
9.59377348e-01,3.46253533e-03,5.12060151e-03,1.17089236e-02,1.65148087e+02
1.00965667e+00,3.98200238e-03,5.87164937e-03,1.19757652e-02,1.70167236e+02
1.06123006e+00,4.53299051e-03,6.68154657e-03,1.22738443e-02,1.74779495e+02
1.11413085e+00,4.81478870e-03,7.08462950e-03,1.23391803e-02,1.78526031e+02
1.16839325e+00,4.88143647e-03,7.18417205e-03,1.21504273e-02,1.82256241e+02
1.22405231e+00,4.91494080e-03,7.19086640e-03,1.19683808e-02,1.85976501e+02
1.28114390e+00,4.95827245e-03,7.22686853e-03,1.18017280e-02,1.90644028e+02
1.33970511e+00,5.08159166e-03,7.34625198e-03,1.16126109e-02,1.96241608e+02
1.39977336e+00,2.07196406e+04,2.90082188e+04,1.94224355e+04,1.34197961e+03
1.46138775e+00,2.59960000e+04,3.63525820e+04,2.18925137e+04,1.49761011e+03
1.52458799e+00,1.57931865e+04,2.20797070e+04,1.34419648e+04,1.13516833e+03
1.58941495e+00,1.47519023e+04,2.06376289e+04,1.31569199e+04,1.34169971e+03
1.65591037e+00,1.45200078e+04,2.03194883e+04,1.32363945e+04,1.45567603e+03
1.72411728e+00,1.45159863e+04,2.03177422e+04,1.34133496e+04,1.54636279e+03
1.79407966e+00,1.46109785e+04,2.04533867e+04,1.36272246e+04,1.62369019e+03
1.86584306e+00,1.47245195e+04,2.06142148e+04,1.38214434e+04,1.68615417e+03
1.93945324e+00,1.48166953e+04,2.07446465e+04,1.39727441e+04,1.73736023e+03
2.01495814e+00,1.49022969e+04,2.08656328e+04,1.41063906e+04,1.78342871e+03
2.09240627e+00,1.50209785e+04,2.10328574e+04,1.42672109e+04,1.83167310e+03
2.17184782e+00,1.52066211e+04,2.12937910e+04,1.44899785e+04,1.88581726e+03
2.25333428e+00,1.54533203e+04,2.16400879e+04,1.47665166e+04,1.94291260e+03
2.33691788e+00,1.57046738e+04,2.19926895e+04,1.50383086e+04,1.99418799e+03
2.42265272e+00,1.58726250e+04,2.22281875e+04,1.52159951e+04,2.02609180e+03
2.51059437e+00,1.58856523e+04,2.22464844e+04,1.52318066e+04,2.03309595e+03
2.60079956e+00,1.57542588e+04,2.20624473e+04,1.51028408e+04,2.02033826e+03
2.69332647e+00,1.55700195e+04,2.18044883e+04,1.49243994e+04,2.00325574e+03
2.78823495e+00,1.54591455e+04,2.16494277e+04,1.48228984e+04,1.99882397e+03
2.88558602e+00,1.55139492e+04,2.17265273e+04,1.48885879e+04,2.01807715e+03
2.98544264e+00,1.57377109e+04,2.20402031e+04,1.51165039e+04,2.05618872e+03
3.08786964e+00,1.59944590e+04,2.23998379e+04,1.53687598e+04,2.09525708e+03
3.19293284e+00,1.61793037e+04,2.26586211e+04,1.55464277e+04,2.12400488e+03
3.30070019e+00,1.62201807e+04,2.27156035e+04,1.55770625e+04,2.13311670e+03
3.41124129e+00,1.60322695e+04,2.24521758e+04,1.53863955e+04,2.11609375e+03
3.52462745e+00,1.57319199e+04,2.20315762e+04,1.50979043e+04,2.09592480e+03
3.64093208e+00,1.54104043e+04,2.15813613e+04,1.47864980e+04,2.07024927e+03
3.76023054e+00,1.51023906e+04,2.11501484e+04,1.44921689e+04,2.05520874e+03
3.88259912e+00,1.52282021e+04,2.13268008e+04,1.46310732e+04,2.09902026e+03
4.00811720e+00,1.58241035e+04,2.21615430e+04,1.52136562e+04,2.19429810e+03
4.13686609e+00,1.64171641e+04,2.29917617e+04,1.57736621e+04,2.27793213e+03
4.26892853e+00,1.68859141e+04,2.36475078e+04,1.62006348e+04,2.34148438e+03
4.40439081e+00,1.70970840e+04,2.39423672e+04,1.63724824e+04,2.36781689e+03
4.54333878e+00,1.68141895e+04,2.35453828e+04,1.60674775e+04,2.33872119e+03
4.68586397e+00,1.60611934e+04,2.24903926e+04,1.53205439e+04,2.26770923e+03
4.83205652e+00,1.51168164e+04,2.11678262e+04,1.44062598e+04,2.18648462e+03
4.98201227e+00,1.42784922e+04,1.99939160e+04,1.35982881e+04,2.11047241e+03
5.13582754e+00,1.37387725e+04,1.92383789e+04,1.30876230e+04,2.06809473e+03
5.29360199e+00,1.38557109e+04,1.94027031e+04,1.32196777e+04,2.10905713e+03
5.45543718e+00,1.44854844e+04,2.02848926e+04,1.38322852e+04,2.20079663e+03
5.62143755e+00,1.49784736e+04,2.09748008e+04,1.42898438e+04,2.26761548e+03
5.79171038e+00,1.49392578e+04,2.09192617e+04,1.42362480e+04,2.27938184e+03
5.96636629e+00,1.46034727e+04,2.04490273e+04,1.39204258e+04,2.27029248e+03
6.14551687e+00,1.41468037e+04,1.98091719e+04,1.34703975e+04,2.23008350e+03
6.32927942e+00,1.34686631e+04,1.88588320e+04,1.28015176e+04,2.16284888e+03
6.51777077e+00,1.35085684e+04,1.89155176e+04,1.28783242e+04,2.19900293e+03
6.71111441e+00,1.46886621e+04,2.05685391e+04,1.40215000e+04,2.33085083e+03
6.90943432e+00,1.54206035e+04,2.15920273e+04,1.46672217e+04,2.38439062e+03
7.11285782e+00,1.54847197e+04,2.16811465e+04,1.47126270e+04,2.40184863e+03
7.32151794e+00,1.54484014e+04,2.16300508e+04,1.46689248e+04,2.39978418e+03
7.53554821e+00,1.47740791e+04,2.06854258e+04,1.40075889e+04,2.33281860e+03
7.75508738e+00,1.36465820e+04,1.91075410e+04,1.29690801e+04,2.23345044e+03
7.98027754e+00,1.33911572e+04,1.87499395e+04,1.27222832e+04,2.20665991e+03
8.21126270e+00,1.30975859e+04,1.83366973e+04,1.23819512e+04,2.18252930e+03
8.44819450e+00,1.27459863e+04,1.78473555e+04,1.22165557e+04,2.27124219e+03
8.69122219e+00,1.41395176e+04,1.98003945e+04,1.36521104e+04,2.49612744e+03
8.94050789e+00,1.61541797e+04,2.26215879e+04,1.56208027e+04,2.76293628e+03
9.19620800e+00,1.78870039e+04,2.50457109e+04,1.72347031e+04,2.92038086e+03
9.45849037e+00,1.67367617e+04,2.34317598e+04,1.60759365e+04,2.79172510e+03
9.72752285e+00,1.39512051e+04,1.95311133e+04,1.35187217e+04,2.51976074e+03
1.00034800e+01,1.12392617e+04,1.57331846e+04,1.10036777e+04,2.23674463e+03
1.02865391e+01,8.81975586e+03,1.23461855e+04,8.78169727e+03,1.99288257e+03
1.05768833e+01,9.03384473e+03,1.26479795e+04,9.13967969e+03,2.07529492e+03
1.08747025e+01,8.88258887e+03,1.24368975e+04,9.13534668e+03,2.08836865e+03
1.11801853e+01,8.45811133e+03,1.18433936e+04,9.01331934e+03,2.08844580e+03
1.14935322e+01,9.49717773e+03,1.32991191e+04,1.04408545e+04,2.26431226e+03
1.18149433e+01,1.31573301e+04,1.84251152e+04,1.44274688e+04,2.68338379e+03
1.21446266e+01,1.62584238e+04,2.27641309e+04,1.73631445e+04,2.94754932e+03
1.24827967e+01,1.52126270e+04,2.13050566e+04,1.67666445e+04,2.98714160e+03
1.28296700e+01,1.67925195e+04,2.35200312e+04,1.88701191e+04,3.24693237e+03
1.31854706e+01,1.79879668e+04,2.51934082e+04,2.09764062e+04,3.37258472e+03
1.35504293e+01,1.43595674e+04,2.01192168e+04,1.90783438e+04,3.05667041e+03
1.39247818e+01,1.11961426e+04,1.57017354e+04,1.74891934e+04,2.91314795e+03
1.43087692e+01,1.16375176e+04,1.63323643e+04,1.92075293e+04,3.11710205e+03
1.47026405e+01,1.31932148e+04,1.85246699e+04,2.20082910e+04,3.45306689e+03
1.51066484e+01,1.50866865e+04,2.11925938e+04,2.47825469e+04,3.78294434e+03
1.55210552e+01,1.55884043e+04,2.19102520e+04,2.58667598e+04,3.89136499e+03
1.59461288e+01,1.48072363e+04,2.08382988e+04,2.57844746e+04,3.88864307e+03
1.63821430e+01,1.58577441e+04,2.23407539e+04,2.76926797e+04,3.99700439e+03
1.68293781e+01,1.90792461e+04,2.69048477e+04,3.20949004e+04,4.19491357e+03
1.72881241e+01,2.39319766e+04,3.37475703e+04,3.72037578e+04,4.43909180e+03
1.77586803e+01,2.81610156e+04,3.96668125e+04,4.07915664e+04,4.56214111e+03
1.82413464e+01,3.10311719e+04,4.37090000e+04,4.27009688e+04,4.45902734e+03
1.87364349e+01,3.21912461e+04,4.53881953e+04,4.22578477e+04,4.28313721e+03
1.92442665e+01,3.50378828e+04,4.93862969e+04,4.21871680e+04,4.36277734e+03
1.97651691e+01,3.82529219e+04,5.38968828e+04,4.18433906e+04,4.47832910e+03
2.02994785e+01,4.16229219e+04,5.85527266e+04,4.11023477e+04,4.31528857e+03
2.08475418e+01,4.45744375e+04,6.25496172e+04,4.00802656e+04,4.10886426e+03
2.14097099e+01,4.94770625e+04,6.92325156e+04,4.17851797e+04,4.44160840e+03
2.19863453e+01,5.56473633e+04,7.77951641e+04,4.65891953e+04,4.80021680e+03
2.25778236e+01,5.92026523e+04,8.27534219e+04,4.59732734e+04,4.24803711e+03
2.31845264e+01,5.46087188e+04,7.61499844e+04,3.87945586e+04,3.24416821e+03
2.38068466e+01,5.08507383e+04,7.07775156e+04,3.45696602e+04,2.64593506e+03
2.44451809e+01,4.48568984e+04,6.23436719e+04,2.89516777e+04,2.06363232e+03
2.50999470e+01,3.96630430e+04,5.50259492e+04,2.37009434e+04,1.45493628e+03
2.57715645e+01,3.06334824e+04,4.24809531e+04,1.89146211e+04,1.36979932e+03
2.64604683e+01,2.51782930e+04,3.49151719e+04,1.56450762e+04,1.11571240e+03
2.71671047e+01,2.12380859e+04,2.94427832e+04,1.34098506e+04,8.23377502e+02
2.78919277e+01,1.65901191e+04,2.29951543e+04,1.11632939e+04,5.06467651e+02
2.86354065e+01,1.34489668e+04,1.86612910e+04,9.24729102e+03,1.04871857e+02
2.93980217e+01,9.75645215e+03,1.35154111e+04,4.89947314e+03,2.97230864e+00
3.01802654e+01,3.54143823e+03,4.86422412e+03,9.28789490e+02,9.96886253e-01
3.09826431e+01,2.00107654e+03,2.73268970e+03,3.21186707e+02,3.89557481e-02
3.18056717e+01,1.30797046e+03,1.78605286e+03,2.06494278e+02,2.86578783e-03
3.26498833e+01,1.03993323e+03,1.42097998e+03,1.45337189e+02,1.05947931e-03
3.35158234e+01,7.93412476e+02,1.07948633e+03,4.20303917e+01,4.75009962e-04
3.44040565e+01,4.11262390e+02,5.53140015e+02,1.56034832e+01,1.79758514e-04
3.53151436e+01,2.10321548e+02,2.85423401e+02,1.01475716e+01,4.21235127e-05
3.62496834e+01,1.11193726e+02,1.49793701e+02,3.53838158e+00,5.11315047e-05
3.72082787e+01,9.38867493e+01,1.26529961e+02,2.77983618e+00,4.42007076e-05
3.81915474e+01,7.52237396e+01,9.99499512e+01,3.56700540e-01,3.34357173e-05
3.92001228e+01,3.01647186e+01,3.87722969e+01,1.21750616e-01,2.02078809e-05
4.02346535e+01,8.85535336e+00,1.12106514e+01,2.87835319e-02,5.32357762e-06
4.12958107e+01,3.71396637e+00,4.66085434e+00,5.78991370e-03,1.50785797e-06
4.23842850e+01,1.46173513e+00,1.79995894e+00,1.73828402e-03,7.13157931e-07
4.35007744e+01,5.45153141e-01,6.55726731e-01,6.83119171e-04,3.11358633e-07
4.46459999e+01,1.17251247e-01,1.39698595e-01,9.38140656e-05,6.91552060e-08
4.58207016e+01,1.71279311e-02,2.04662364e-02,6.01576539e-06,1.06562936e-08
4.70256386e+01,3.52101540e-03,4.22887318e-03,9.84985604e-07,1.66399694e-09
4.82615852e+01,5.55372855e-04,6.64970372e-04,2.31914157e-07,1.68287523e-10
4.95293465e+01,7.33602064e-05,8.62885936e-05,4.85990768e-08,1.59311331e-11
5.08297386e+01,1.94589063e-07,2.12301330e-07,1.38481324e-10,1.46871312e-13
5.21635971e+01,2.49982346e-09,2.75520406e-09,1.34179668e-12,1.50884986e-15
5.35317917e+01,4.40573411e-11,4.95867618e-11,1.44553880e-14,1.24375787e-17
5.49351997e+01,1.11419554e-12,1.32807979e-12,2.13381152e-16,2.98546570e-19
5.63747253e+01,1.40118240e-14,1.67178334e-14,2.39449204e-18,3.45899669e-21
5.78513031e+01,2.95667901e-17,3.45472777e-17,6.53027687e-20,1.09788107e-22
5.93278885e+01,1.22417966e-17,1.29014004e-17,1.08487787e-21,1.89492949e-24
6.08044662e+01,1.27295354e-19,1.94696797e-19,3.40022085e-23,6.44312745e-26
6.22810478e+01,6.66351094e-21,7.28400142e-21,9.06417352e-25,1.09076891e-27
6.37576256e+01,1.56261380e-22,1.89192700e-22,3.49327546e-26,5.87763185e-29
6.52341995e+01,8.57866671e-24,9.27183721e-24,1.40077112e-27,1.80646474e-30
6.67107849e+01,4.21459835e-25,4.49276451e-25,7.19991215e-29,9.62575590e-32
6.81873703e+01,2.16902760e-26,2.19180812e-26,3.45163472e-30,4.43230688e-33
6.96639481e+01,1.07054752e-27,1.07403017e-27,1.70133341e-31,2.18385889e-34
7.11405258e+01,5.18700541e-29,4.94097478e-29,7.68300389e-33,9.55007369e-36
7.26171036e+01,2.38981124e-30,2.17198442e-30,3.45261747e-34,3.92699882e-37
7.40936813e+01,9.97427410e-32,8.77296002e-32,1.36309404e-35,1.49336377e-38
7.55702591e+01,3.68772818e-33,3.22529605e-33,4.65508525e-37,4.16185644e-40
7.70468445e+01,1.05500331e-34,9.38292218e-35,1.24197083e-38,0.00000000e+00
7.85234222e+01,2.19116534e-36,1.97807578e-36,1.58346726e-40,0.00000000e+00
8.00000000e+01,3.16350146e-37,2.75660654e-37,0.00000000e+00,0.00000000e+00
