Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.14522734e-04,3.39269289e-04,5.60454186e-03,3.03175330e-01
7.99999982e-02,4.78933507e-04,7.58078299e-04,8.29452462e-03,4.37437057e-01
1.19999997e-01,3.56210698e-03,5.34875039e-03,1.93515439e-02,5.07342815e-01
1.59999996e-01,1.32735772e-02,1.92715414e-02,3.51071246e-02,5.81259668e-01
2.00000003e-01,1.87000316e-02,2.64239889e-02,3.85194086e-02,6.08335078e-01
2.39999995e-01,3.25426944e-02,4.54589054e-02,5.04264086e-02,6.62011147e-01
2.80000001e-01,3.91980074e-02,5.41144684e-02,5.61919957e-02,6.92958355e-01
3.19999993e-01,4.94573563e-02,6.78645894e-02,6.38160706e-02,7.40674317e-01
3.60000014e-01,5.37628941e-02,7.31537268e-02,7.04499334e-02,7.76109993e-01
4.00000006e-01,6.26164228e-02,8.45278054e-02,7.66601264e-02,8.21196377e-01
4.39999998e-01,6.30481243e-02,8.46472085e-02,8.14172328e-02,8.63427460e-01
4.79999989e-01,7.02584982e-02,9.31513458e-02,8.35081339e-02,9.15411949e-01
5.19999981e-01,6.85132518e-02,9.08046961e-02,8.29721764e-02,9.66076493e-01
5.60000002e-01,7.29060620e-02,9.57702994e-02,8.13183263e-02,1.02635050e+00
6.00000024e-01,6.86832219e-02,9.08680260e-02,7.91305453e-02,1.08659852e+00
6.41029537e-01,7.25138709e-02,9.62575972e-02,7.80716687e-02,1.15894437e+00
6.83115125e-01,6.72053024e-02,8.99084136e-02,7.65892714e-02,1.23261714e+00
7.26283848e-01,6.98819831e-02,9.40399542e-02,7.62852654e-02,1.31542552e+00
7.70563781e-01,6.58844188e-02,8.89702886e-02,7.60046989e-02,1.40571177e+00
8.15983355e-01,6.84915781e-02,9.26367491e-02,7.63587132e-02,1.50501919e+00
8.62571895e-01,6.39586970e-02,8.68050903e-02,7.60942325e-02,1.60631335e+00
9.10359621e-01,6.50219619e-02,8.84028301e-02,7.68059045e-02,1.72054899e+00
9.59377348e-01,6.39113039e-02,8.72264206e-02,7.65715316e-02,1.83690453e+00
1.00965667e+00,6.37976304e-02,8.74380395e-02,7.67539740e-02,1.96995652e+00
1.06123006e+00,6.54680282e-02,9.00400877e-02,7.63512477e-02,2.11377978e+00
1.11413085e+00,6.79530427e-02,9.37769115e-02,7.49752447e-02,2.27537870e+00
1.16839325e+00,7.08909929e-02,9.81246233e-02,7.20946789e-02,2.45756006e+00
1.22405231e+00,7.42521584e-02,1.02946937e-01,6.70220926e-02,2.67129707e+00
1.28114390e+00,7.91068897e-02,1.09715283e-01,6.10577539e-02,2.93213224e+00
1.33970511e+00,8.50400776e-02,1.17855631e-01,5.62936068e-02,3.22807646e+00
1.39977336e+00,2.01934043e+04,2.82877129e+04,2.00496016e+04,2.12259595e+03
1.46138775e+00,2.58271914e+04,3.61592148e+04,2.43133945e+04,2.02866956e+03
1.52458799e+00,1.54863379e+04,2.16790781e+04,1.46133223e+04,1.33074829e+03
