Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.59372923e-16,5.56365862e-16,2.58037498e-11,1.51159614e-01
7.99999982e-02,1.60971421e-12,3.43632458e-12,2.29834455e-07,5.99714577e-01
1.19999997e-01,1.47712273e-10,3.17672277e-10,2.93782086e-05,1.41982460e+00
1.59999996e-01,2.97712788e-09,6.46287601e-09,1.81536816e-04,2.54959297e+00
2.00000003e-01,2.32900845e-08,5.09766522e-08,7.09439511e-04,4.19121408e+00
2.39999995e-01,1.19117530e-07,2.63541324e-07,1.95375667e-03,5.95014620e+00
2.80000001e-01,3.87153733e-07,8.70512508e-07,4.05988935e-03,8.57798004e+00
3.19999993e-01,1.35205278e-06,3.08680978e-06,8.39840621e-03,1.08702688e+01
3.60000014e-01,4.02778278e-06,8.97687278e-06,1.47904186e-02,1.41803770e+01
4.00000006e-01,1.01049991e-05,2.18125842e-05,2.12092660e-02,1.70913811e+01
4.39999998e-01,2.49657824e-05,5.18767447e-05,3.10129039e-02,2.03902721e+01
4.79999989e-01,5.41974769e-05,1.07798158e-04,3.82827707e-02,2.35699959e+01
5.19999981e-01,1.03852399e-04,1.98039910e-04,4.55526635e-02,2.72865391e+01
5.60000002e-01,1.68827944e-04,3.10678937e-04,4.98947464e-02,3.13397408e+01
6.00000024e-01,2.89022399e-04,5.13188541e-04,5.71789630e-02,3.53475685e+01
6.41029537e-01,4.21079807e-04,7.15258124e-04,6.50305897e-02,4.14660950e+01
6.83115125e-01,5.39241533e-04,8.73993326e-04,7.19288141e-02,4.48818512e+01
7.26283848e-01,6.52840885e-04,1.01844559e-03,7.82176629e-02,5.11198273e+01
7.70563781e-01,7.26413855e-04,1.09571952e-03,8.32898468e-02,5.61732712e+01
8.15983355e-01,8.52227502e-04,1.26602419e-03,8.51434246e-02,6.46394806e+01
8.62571895e-01,9.39780613e-04,1.36147230e-03,8.53604078e-02,6.97454224e+01
9.10359621e-01,1.09004427e-03,1.57120451e-03,8.46360847e-02,7.77844391e+01
9.59377348e-01,1.16674672e-03,1.65539002e-03,8.28012899e-02,8.43485718e+01
1.00965667e+00,1.33993721e-03,1.88999774e-03,8.24083686e-02,9.13758698e+01
1.06123006e+00,1.70496479e-03,2.39334628e-03,8.21922496e-02,9.90887985e+01
1.11413085e+00,2.07160390e-03,2.83905677e-03,8.21684152e-02,1.05207573e+02
1.16839325e+00,2.22022738e-03,2.95772403e-03,8.18022415e-02,1.12654045e+02
1.22405231e+00,2.16828031e-03,2.82718893e-03,8.07224214e-02,1.21092392e+02
1.28114390e+00,2.12602527e-03,2.73044803e-03,7.91024268e-02,1.30934570e+02
1.33970511e+00,1.92855019e-03,2.42112018e-03,7.76457861e-02,1.43864761e+02
1.39977336e+00,2.07485547e+04,2.90497812e+04,1.95234277e+04,1.37101782e+03
1.46138775e+00,2.66536367e+04,3.72720703e+04,2.24311387e+04,1.55422534e+03
1.52458799e+00,1.60645742e+04,2.24591797e+04,1.37019277e+04,1.24253650e+03
1.58941495e+00,1.50929785e+04,2.11153789e+04,1.35076973e+04,1.48633337e+03
1.65591037e+00,1.49178594e+04,2.08771523e+04,1.36581504e+04,1.61662488e+03
1.72411728e+00,1.49310938e+04,2.08997832e+04,1.38585605e+04,1.72121826e+03
1.79407966e+00,1.50165742e+04,2.10221562e+04,1.40649746e+04,1.80794507e+03
1.86584306e+00,1.51343770e+04,2.11890625e+04,1.42681318e+04,1.88342297e+03
1.93945324e+00,1.52539395e+04,2.13579199e+04,1.44491396e+04,1.95379309e+03
2.01495814e+00,1.53734043e+04,2.15262695e+04,1.46132979e+04,2.01304102e+03
2.09240627e+00,1.54749131e+04,2.16691797e+04,1.47467656e+04,2.07075537e+03
2.17184782e+00,1.55457861e+04,2.17689922e+04,1.48417744e+04,2.12421021e+03
2.25333428e+00,1.55893311e+04,2.18304277e+04,1.49047891e+04,2.17841357e+03
2.33691788e+00,1.56043555e+04,2.18517930e+04,1.49352939e+04,2.23733447e+03
2.42265272e+00,1.55872969e+04,2.18281641e+04,1.49320898e+04,2.30031323e+03
2.51059437e+00,1.55383828e+04,2.17598926e+04,1.48960918e+04,2.36916455e+03
2.60079956e+00,1.54719102e+04,2.16670430e+04,1.48440332e+04,2.52069727e+03
2.69332647e+00,1.54133291e+04,2.15852734e+04,1.48010137e+04,2.47348511e+03
2.78823495e+00,1.53845479e+04,2.15452871e+04,1.47889160e+04,2.47789819e+03
2.88558602e+00,1.54126680e+04,2.15850332e+04,1.48343438e+04,2.52660425e+03
