Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.00649232e-42
1.19999997e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.58610278e-41
1.59999996e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62936302e-40
2.00000003e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.75582698e-39
2.39999995e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.82905452e-39
2.80000001e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.46330915e-38
3.19999993e-01,0.00000000e+00,0.00000000e+00,5.60519386e-42,1.73821265e-37
3.60000014e-01,2.94272678e-41,4.06376555e-41,4.48415509e-41,1.04713586e-36
4.00000006e-01,1.70958413e-40,2.55036321e-40,2.59240216e-40,8.41572308e-36
4.39999998e-01,7.16063515e-40,1.05938164e-39,1.05798034e-39,7.55546526e-35
4.79999989e-01,2.81941251e-39,4.10580450e-39,4.01472010e-39,8.32473895e-34
5.19999981e-01,1.08782800e-38,1.58640999e-38,1.51550429e-38,8.86958830e-33
5.60000002e-01,4.18848111e-38,6.09704962e-38,5.67623969e-38,8.83128335e-32
6.00000024e-01,2.17631472e-37,3.16022242e-37,2.76745236e-37,8.59665820e-31
6.41029537e-01,1.27824213e-36,1.85925303e-36,1.71869539e-36,9.11501115e-30
6.83115125e-01,6.62238821e-36,9.62536660e-36,8.80166821e-36,1.09940941e-28
7.26283848e-01,3.70738578e-35,5.36608522e-35,4.66244940e-35,1.72003994e-27
7.70563781e-01,2.72987349e-34,3.93068367e-34,3.21881233e-34,3.19920845e-26
8.15983355e-01,1.74235189e-33,2.50764757e-33,2.08525571e-33,6.31391302e-25
8.62571895e-01,1.02120117e-32,1.46857345e-32,1.21604692e-32,1.25901017e-23
9.10359621e-01,6.11912401e-32,8.80131059e-32,7.32867889e-32,3.02709128e-22
9.59377348e-01,4.21595845e-31,6.05521402e-31,5.11460037e-31,4.92774174e-20
1.00965667e+00,3.41346896e-30,4.87428531e-30,3.90478046e-30,6.13315299e-18
1.06123006e+00,4.12514995e-29,5.87566981e-29,4.94133679e-29,6.72377295e-16
1.11413085e+00,5.73435867e-28,7.82045087e-28,7.87532447e-28,5.06368419e-11
1.16839325e+00,1.42090119e-26,2.01359905e-26,2.21584126e-26,1.24425474e-08
1.22405231e+00,4.83489989e-25,6.98387188e-25,9.22020429e-25,4.92459822e-06
1.28114390e+00,2.70494283e-23,4.05993797e-23,5.68982904e-23,1.22002835e-04
1.33970511e+00,5.82200734e-21,8.53310150e-21,5.83909379e-21,9.70486028e-04
1.39977336e+00,2.01626113e+04,2.82443145e+04,2.00020547e+04,2.11463452e+03
1.46138775e+00,2.55004766e+04,3.57019453e+04,2.40375020e+04,2.02029248e+03
1.52458799e+00,1.58413125e+04,2.21762812e+04,1.49512197e+04,1.36024536e+03
1.58941495e+00,1.48178818e+04,2.07496602e+04,1.42821660e+04,1.48970459e+03
1.65591037e+00,1.42501699e+04,1.99572383e+04,1.38658057e+04,1.54212964e+03
1.72411728e+00,1.39372900e+04,1.95210566e+04,1.36635508e+04,1.60541919e+03
1.79407966e+00,1.41337764e+04,1.97982969e+04,1.39606807e+04,1.73121045e+03
1.86584306e+00,1.48370312e+04,2.07853340e+04,1.47577891e+04,1.91653979e+03
1.93945324e+00,1.58114062e+04,2.21518223e+04,1.58092744e+04,2.11750000e+03
2.01495814e+00,1.67725625e+04,2.34992188e+04,1.68193203e+04,2.28386230e+03
2.09240627e+00,1.74622285e+04,2.44655938e+04,1.75236680e+04,2.37841455e+03
2.17184782e+00,1.77225098e+04,2.48299688e+04,1.77725625e+04,2.39223145e+03
2.25333428e+00,1.76566289e+04,2.47370820e+04,1.76748906e+04,2.34929248e+03
2.33691788e+00,1.72411445e+04,2.41543262e+04,1.72229961e+04,2.26017700e+03
2.42265272e+00,1.66025059e+04,2.32591641e+04,1.65590586e+04,2.14978003e+03
2.51059437e+00,1.60063896e+04,2.24235312e+04,1.59315771e+04,2.04289502e+03
2.60079956e+00,1.53581895e+04,2.15150391e+04,1.52596875e+04,1.94592407e+03
2.69332647e+00,1.48672461e+04,2.08274297e+04,1.47757305e+04,1.89686450e+03
2.78823495e+00,1.47001621e+04,2.05936133e+04,1.46183379e+04,1.89000171e+03
2.88558602e+00,1.45421406e+04,2.03723203e+04,1.44638711e+04,1.88302527e+03
2.98544264e+00,1.43281211e+04,2.00727832e+04,1.42665508e+04,1.87917126e+03
3.08786964e+00,1.42625078e+04,1.99811172e+04,1.42142266e+04,1.88818518e+03
3.19293284e+00,1.41566484e+04,1.98329883e+04,1.41183350e+04,1.89230090e+03
3.30070019e+00,1.40570488e+04,1.96939766e+04,1.40473477e+04,1.91578784e+03
3.41124129e+00,1.41314111e+04,1.97988359e+04,1.41561328e+04,1.96462866e+03
3.52462745e+00,1.43273828e+04,2.00738125e+04,1.43745000e+04,2.01923022e+03
3.64093208e+00,1.46245029e+04,2.04905859e+04,1.47018301e+04,2.09410132e+03
3.76023054e+00,1.52674414e+04,2.13919609e+04,1.53813027e+04,2.21753320e+03
3.88259912e+00,1.60203770e+04,2.24471074e+04,1.61555068e+04,2.34516260e+03
4.00811720e+00,1.66365508e+04,2.33106914e+04,1.67986504e+04,2.46450171e+03
4.13686609e+00,1.74068789e+04,2.43904180e+04,1.76032734e+04,2.60896753e+03
4.26892853e+00,1.82209277e+04,2.55309473e+04,1.84273594e+04,2.73719531e+03
4.40439081e+00,1.86424902e+04,2.61211113e+04,1.88326660e+04,2.78944385e+03
4.54333878e+00,1.87456172e+04,2.62648867e+04,1.89021855e+04,2.78357129e+03
4.68586397e+00,1.86711035e+04,2.61596875e+04,1.87864492e+04,2.75568433e+03
4.83205652e+00,1.83201328e+04,2.56672500e+04,1.83945566e+04,2.70087549e+03
4.98201227e+00,1.77810625e+04,2.49114922e+04,1.78202773e+04,2.64296313e+03
5.13582754e+00,1.74307305e+04,2.44203750e+04,1.74428223e+04,2.63767969e+03
5.29360199e+00,1.73869336e+04,2.43586895e+04,1.73713594e+04,2.73570459e+03
5.45543718e+00,1.71363184e+04,2.40070664e+04,1.70895898e+04,2.78812646e+03
5.62143755e+00,1.66409785e+04,2.33127871e+04,1.65766719e+04,2.92327100e+03
5.79171038e+00,1.63153730e+04,2.28564531e+04,1.62419746e+04,3.00209253e+03
5.96636629e+00,1.58916641e+04,2.22629297e+04,1.58223086e+04,3.13120386e+03
6.14551687e+00,1.53756445e+04,2.15404688e+04,1.53282480e+04,3.22032764e+03
6.32927942e+00,1.50240684e+04,2.10482969e+04,1.49937461e+04,3.26827637e+03
6.51777077e+00,1.46576602e+04,2.05353516e+04,1.46468340e+04,3.27040039e+03
6.71111441e+00,1.45542344e+04,2.03914199e+04,1.45903457e+04,3.34001294e+03
6.90943432e+00,1.51071318e+04,2.11665742e+04,1.51716758e+04,3.37688037e+03
7.11285782e+00,1.56633613e+04,2.19458027e+04,1.57328145e+04,3.50247168e+03
7.32151794e+00,1.62143057e+04,2.27180586e+04,1.63113945e+04,3.50623682e+03
7.53554821e+00,1.72102051e+04,2.41135859e+04,1.73307324e+04,3.70961768e+03
7.75508738e+00,1.81829258e+04,2.54759258e+04,1.82929492e+04,3.78261230e+03
7.98027754e+00,1.83770684e+04,2.57470977e+04,1.84558633e+04,3.86273730e+03
8.21126270e+00,1.81599102e+04,2.54424590e+04,1.82232930e+04,3.83812720e+03
8.44819450e+00,1.82111543e+04,2.55135801e+04,1.82441816e+04,3.91752783e+03
8.69122219e+00,1.73626758e+04,2.43248398e+04,1.73920879e+04,3.84159863e+03
8.94050789e+00,1.73592305e+04,2.43211328e+04,1.74322266e+04,3.92837842e+03
9.19620800e+00,1.87345547e+04,2.62466836e+04,1.87440234e+04,4.06767456e+03
9.45849037e+00,1.81056777e+04,2.53648906e+04,1.80795664e+04,4.01729443e+03
9.72752285e+00,1.87164395e+04,2.62210781e+04,1.87094375e+04,4.17665430e+03
1.00034800e+01,2.03664648e+04,2.85302812e+04,2.02477383e+04,4.39258984e+03
1.02865391e+01,1.92089883e+04,2.69074941e+04,1.90441797e+04,4.33701074e+03
1.05768833e+01,1.86273750e+04,2.60939844e+04,1.85234688e+04,4.46899121e+03
1.08747025e+01,1.99591660e+04,2.79594941e+04,1.98434141e+04,4.80143555e+03
1.11801853e+01,1.95500977e+04,2.73845664e+04,1.93555527e+04,4.84821289e+03
1.14935322e+01,1.51369424e+04,2.12036406e+04,1.50250527e+04,4.42369336e+03
1.18149433e+01,1.43329863e+04,2.00787461e+04,1.42893994e+04,4.35839893e+03
1.21446266e+01,1.42689014e+04,1.99886484e+04,1.42181914e+04,4.25283203e+03
1.24827967e+01,1.21493984e+04,1.70226445e+04,1.22480547e+04,4.00060522e+03
1.28296700e+01,1.46040020e+04,2.04606465e+04,1.46708594e+04,4.19307129e+03
1.31854706e+01,1.36116572e+04,1.90699688e+04,1.36797236e+04,3.96894482e+03
1.35504293e+01,1.27910391e+04,1.79245703e+04,1.30938848e+04,3.95340674e+03
1.39247818e+01,1.76523438e+04,2.47352344e+04,1.80465527e+04,4.59710986e+03
1.43087692e+01,1.77819258e+04,2.49139805e+04,1.82263711e+04,4.54820752e+03
1.47026405e+01,1.61200264e+04,2.25892617e+04,1.70175566e+04,4.54690625e+03
1.51066484e+01,2.11670508e+04,2.96593438e+04,2.23201562e+04,5.33453369e+03
1.55210552e+01,2.22294805e+04,3.11445879e+04,2.37322422e+04,5.54876611e+03
1.59461288e+01,1.82800957e+04,2.56140625e+04,2.07765352e+04,5.31052832e+03
1.63821430e+01,1.59988555e+04,2.24288984e+04,1.97891465e+04,5.32693701e+03
1.68293781e+01,1.64448555e+04,2.30675781e+04,2.17223359e+04,5.54997266e+03
1.72881241e+01,1.64897617e+04,2.31474727e+04,2.33261895e+04,5.65477344e+03
1.77586803e+01,1.71968594e+04,2.41676172e+04,2.54652305e+04,5.86554004e+03
1.82413464e+01,1.94041992e+04,2.72894375e+04,2.85848672e+04,6.25889160e+03
1.87364349e+01,2.70216562e+04,3.79700156e+04,3.58000898e+04,6.90715723e+03
1.92442665e+01,2.80334453e+04,3.93886367e+04,3.65896094e+04,6.63365527e+03
1.97651691e+01,2.27138672e+04,3.19399609e+04,3.26333105e+04,6.08243945e+03
2.02994785e+01,2.43198652e+04,3.42133516e+04,3.56940078e+04,6.24501758e+03
2.08475418e+01,2.99706152e+04,4.21503828e+04,4.18466680e+04,6.47851562e+03
2.14097099e+01,3.97385781e+04,5.58622578e+04,5.14546172e+04,6.95898975e+03
2.19863453e+01,5.11707109e+04,7.18843750e+04,6.14321250e+04,7.17186523e+03
2.25778236e+01,5.66976680e+04,7.96463438e+04,6.31496719e+04,6.90593506e+03
2.31845264e+01,6.32526562e+04,8.87936250e+04,6.50216016e+04,6.77045020e+03
2.38068466e+01,6.78806328e+04,9.51540469e+04,6.53466641e+04,6.68968604e+03
2.44451809e+01,7.04901328e+04,9.87095938e+04,6.53646562e+04,6.80907373e+03
2.50999470e+01,7.06461094e+04,9.88613438e+04,6.27102266e+04,6.64775977e+03
2.57715645e+01,6.57382500e+04,9.19276875e+04,5.67920703e+04,6.19302246e+03
2.64604683e+01,6.00514844e+04,8.39283203e+04,5.13737891e+04,5.71885156e+03
2.71671047e+01,5.69464297e+04,7.95775156e+04,4.89332500e+04,5.38154492e+03
2.78919277e+01,5.59125234e+04,7.81527969e+04,4.87901484e+04,5.13797656e+03
