Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.63942159e-03,8.20543990e-03,5.47053099e-01,4.22278023e+00
7.99999982e-02,9.67715867e-03,1.65637005e-02,7.09914088e-01,4.44036579e+00
1.19999997e-01,1.48865227e-02,2.48873048e-02,8.77086282e-01,4.52027225e+00
1.59999996e-01,2.01578103e-02,3.28407064e-02,1.07268345e+00,4.78954077e+00
2.00000003e-01,2.49722563e-02,3.98424491e-02,1.17990589e+00,4.93368530e+00
2.39999995e-01,2.97122858e-02,4.66599762e-02,1.32738447e+00,5.62870407e+00
2.80000001e-01,3.42294015e-02,5.30002639e-02,1.41627753e+00,5.28190804e+00
3.19999993e-01,3.88440005e-02,5.93968593e-02,1.50191438e+00,6.69001579e+00
3.60000014e-01,4.38904390e-02,6.64273202e-02,1.58378673e+00,5.76158524e+00
4.00000006e-01,4.87732366e-02,7.31925815e-02,1.65712750e+00,7.11390591e+00
4.39999998e-01,5.33958748e-02,7.96062499e-02,1.71471739e+00,6.50835800e+00
4.79999989e-01,5.81889451e-02,8.61525089e-02,1.76865745e+00,7.86391401e+00
5.19999981e-01,6.27299249e-02,9.23448205e-02,1.80789125e+00,7.21909618e+00
5.60000002e-01,6.74336627e-02,9.88139138e-02,1.84219754e+00,8.72104836e+00
6.00000024e-01,7.28078559e-02,1.06312633e-01,1.87389278e+00,7.67651510e+00
6.41029537e-01,7.72163123e-02,1.12387978e-01,1.90511394e+00,9.31855106e+00
6.83115125e-01,8.12426433e-02,1.17943510e-01,1.93874955e+00,8.10579967e+00
7.26283848e-01,8.56638774e-02,1.24145776e-01,1.97964716e+00,9.14755821e+00
7.70563781e-01,8.93799067e-02,1.29323453e-01,2.02644825e+00,8.35093975e+00
8.15983355e-01,9.43262279e-02,1.36424050e-01,2.07979631e+00,9.33419323e+00
8.62571895e-01,1.00338206e-01,1.45279408e-01,2.13782859e+00,8.68358707e+00
9.10359621e-01,1.07022017e-01,1.55400753e-01,2.18703127e+00,9.75905609e+00
9.59377348e-01,1.17338844e-01,1.71081245e-01,2.21655512e+00,8.72694778e+00
1.00965667e+00,1.28076911e-01,1.87764123e-01,2.24492311e+00,1.00020227e+01
1.06123006e+00,1.43268377e-01,2.11562306e-01,2.25611305e+00,9.62234306e+00
1.11413085e+00,1.62174463e-01,2.40839869e-01,2.27538562e+00,1.03507929e+01
1.16839325e+00,1.88815773e-01,2.81940013e-01,2.31692863e+00,1.04380150e+01
1.22405231e+00,2.21768022e-01,3.31911445e-01,2.38222218e+00,1.08600950e+01
1.28114390e+00,2.67766416e-01,4.03328896e-01,2.48904133e+00,1.14720106e+01
1.33970511e+00,3.35779727e-01,5.06936908e-01,2.64542389e+00,1.20774355e+01
1.39977336e+00,2.06392148e+04,2.88962695e+04,1.94070625e+04,1.28585864e+03
1.46138775e+00,2.56235078e+04,3.58344727e+04,2.18144160e+04,1.36633179e+03
1.52458799e+00,1.66112949e+04,2.32277930e+04,1.43081631e+04,1.03465808e+03
1.58941495e+00,1.55555098e+04,2.17638516e+04,1.39482568e+04,1.22655493e+03
1.65591037e+00,1.50436914e+04,2.10529023e+04,1.37315762e+04,1.31335571e+03
1.72411728e+00,1.46087188e+04,2.04480391e+04,1.35209004e+04,1.39056274e+03
1.79407966e+00,1.45670449e+04,2.03941992e+04,1.36987051e+04,1.51932971e+03
1.86584306e+00,1.53241289e+04,2.14591602e+04,1.46531523e+04,1.74492932e+03
1.93945324e+00,1.68733281e+04,2.36333164e+04,1.63819854e+04,2.06126611e+03
2.01495814e+00,1.88813711e+04,2.64493867e+04,1.85378555e+04,2.36126978e+03
2.09240627e+00,2.05890508e+04,2.88406699e+04,2.01666738e+04,2.46118506e+03
2.17184782e+00,2.07717891e+04,2.90917031e+04,2.00915684e+04,2.32554883e+03
2.25333428e+00,1.95083926e+04,2.73188711e+04,1.86992246e+04,2.10027197e+03
2.33691788e+00,1.79224531e+04,2.50964375e+04,1.70677539e+04,1.85594739e+03
2.42265272e+00,1.61901504e+04,2.26685234e+04,1.52629375e+04,1.60269092e+03
