Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.82244548e-04,1.17920293e-03,3.42950877e-03,3.38494420e-01
7.99999982e-02,1.49527797e-03,2.23043375e-03,6.44441787e-03,4.74892437e-01
1.19999997e-01,2.29072059e-03,3.38675897e-03,8.52629542e-03,5.44550061e-01
1.59999996e-01,2.97038443e-03,4.36213566e-03,9.52304341e-03,6.01394355e-01
2.00000003e-01,3.82054714e-03,5.57494210e-03,1.04477638e-02,6.51740789e-01
2.39999995e-01,4.65342123e-03,6.74194377e-03,1.13103697e-02,7.09461570e-01
2.80000001e-01,5.39019844e-03,7.79875834e-03,1.25016253e-02,7.58810282e-01
3.19999993e-01,6.34647254e-03,9.15085152e-03,1.36944167e-02,7.94582486e-01
3.60000014e-01,7.64641445e-03,1.09860962e-02,1.52917011e-02,8.12824130e-01
4.00000006e-01,9.02167335e-03,1.28945587e-02,1.65582970e-02,8.26611757e-01
4.39999998e-01,1.06088147e-02,1.50975222e-02,1.78200956e-02,8.40525746e-01
4.79999989e-01,1.26535092e-02,1.79590583e-02,1.93709694e-02,8.56817603e-01
5.19999981e-01,1.48644531e-02,2.10301355e-02,2.13550627e-02,8.73709381e-01
5.60000002e-01,1.76158100e-02,2.48591062e-02,2.36498863e-02,8.90232325e-01
6.00000024e-01,2.16168128e-02,3.04542538e-02,2.69891098e-02,9.11616087e-01
6.41029537e-01,2.52629146e-02,3.55209112e-02,2.98960544e-02,9.32830930e-01
6.83115125e-01,2.93368436e-02,4.11555022e-02,3.29543687e-02,9.56758678e-01
7.26283848e-01,3.37973237e-02,4.72924933e-02,3.64280865e-02,9.85770226e-01
7.70563781e-01,3.77570242e-02,5.26842475e-02,3.96525711e-02,1.01961660e+00
8.15983355e-01,4.21537869e-02,5.86595982e-02,4.36837897e-02,1.05803323e+00
8.62571895e-01,4.74751554e-02,6.58965707e-02,4.92112748e-02,1.10770869e+00
9.10359621e-01,5.27703948e-02,7.31376335e-02,5.60269430e-02,1.16404343e+00
9.59377348e-01,6.00408427e-02,8.31460208e-02,6.62804842e-02,1.22726846e+00
1.00965667e+00,7.05296621e-02,9.77409184e-02,8.03887099e-02,1.30762386e+00
1.06123006e+00,8.49989355e-02,1.17956579e-01,9.99262854e-02,1.38924861e+00
1.11413085e+00,1.02900997e-01,1.43023029e-01,1.24351166e-01,1.48930717e+00
1.16839325e+00,1.27657145e-01,1.77811474e-01,1.59176290e-01,1.59772384e+00
1.22405231e+00,1.65016234e-01,2.30449915e-01,2.09207982e-01,1.72129214e+00
1.28114390e+00,2.31024563e-01,3.23771536e-01,3.01362216e-01,1.87036490e+00
1.33970511e+00,3.38104099e-01,4.75226462e-01,4.54834223e-01,2.05826926e+00
1.39977336e+00,2.00575000e+04,2.80960859e+04,1.98315215e+04,2.03678271e+03
1.46138775e+00,2.43690000e+04,3.41173242e+04,2.29692500e+04,1.94015723e+03
1.52458799e+00,1.60770000e+04,2.25075820e+04,1.52335176e+04,1.40738013e+03
1.58941495e+00,1.49713652e+04,2.09651035e+04,1.44525684e+04,1.52546582e+03
1.65591037e+00,1.45261602e+04,2.03445508e+04,1.41669922e+04,1.60999634e+03
1.72411728e+00,1.44274531e+04,2.02086289e+04,1.41872480e+04,1.71385254e+03
1.79407966e+00,1.47523574e+04,2.06659180e+04,1.46179082e+04,1.86288257e+03
1.86584306e+00,1.55198506e+04,2.17431172e+04,1.54859883e+04,2.06328516e+03
1.93945324e+00,1.67200469e+04,2.34262578e+04,1.67759297e+04,2.30610059e+03
2.01495814e+00,1.82104180e+04,2.55153867e+04,1.83326992e+04,2.56149805e+03
2.09240627e+00,1.97771602e+04,2.77108711e+04,1.99393145e+04,2.78573877e+03
2.17184782e+00,2.09905859e+04,2.94100098e+04,2.11190684e+04,2.87837817e+03
2.25333428e+00,2.11047578e+04,2.95673281e+04,2.10982969e+04,2.75691650e+03
2.33691788e+00,1.97326680e+04,2.76425840e+04,1.95967910e+04,2.46822534e+03
2.42265272e+00,1.74729805e+04,2.44758555e+04,1.72814863e+04,2.13076758e+03
2.51059437e+00,1.52419834e+04,2.13502148e+04,1.50359365e+04,1.83137903e+03
2.60079956e+00,1.33929141e+04,1.87598926e+04,1.31850469e+04,1.59870422e+03
2.69332647e+00,1.20315850e+04,1.68535117e+04,1.18553770e+04,1.46034338e+03
2.78823495e+00,1.16091426e+04,1.62628086e+04,1.14798545e+04,1.45536377e+03
2.88558602e+00,1.23211172e+04,1.72614316e+04,1.22431895e+04,1.61304297e+03
2.98544264e+00,1.40770098e+04,1.97226895e+04,1.40608037e+04,1.91864014e+03
3.08786964e+00,1.59006035e+04,2.22782012e+04,1.59234766e+04,2.21700586e+03
3.19293284e+00,1.74826641e+04,2.44954199e+04,1.75554512e+04,2.49094287e+03
3.30070019e+00,1.87195234e+04,2.62285156e+04,1.88272812e+04,2.70737939e+03
3.41124129e+00,1.92225352e+04,2.69333281e+04,1.93587168e+04,2.81501538e+03
3.52462745e+00,1.90068379e+04,2.66310586e+04,1.91580625e+04,2.79547192e+03
3.64093208e+00,1.81969258e+04,2.54957891e+04,1.83308398e+04,2.64782397e+03
3.76023054e+00,1.70283262e+04,2.38576641e+04,1.71200762e+04,2.42792822e+03
3.88259912e+00,1.59855234e+04,2.23958438e+04,1.60337998e+04,2.22630493e+03
4.00811720e+00,1.53007217e+04,2.14356016e+04,1.53036357e+04,2.07807861e+03
4.13686609e+00,1.48780918e+04,2.08429023e+04,1.48451328e+04,1.98535571e+03
4.26892853e+00,1.47077383e+04,2.06041406e+04,1.46605391e+04,1.94988013e+03
4.40439081e+00,1.47537510e+04,2.06687715e+04,1.47040000e+04,1.95482068e+03
4.54333878e+00,1.49875654e+04,2.09965879e+04,1.49399297e+04,1.99188293e+03
4.68586397e+00,1.53130254e+04,2.14527227e+04,1.52642871e+04,2.03786768e+03
4.83205652e+00,1.52958682e+04,2.14285586e+04,1.52361387e+04,2.03864844e+03
4.98201227e+00,1.49436562e+04,2.09350039e+04,1.48803389e+04,2.00069714e+03
5.13582754e+00,1.45690801e+04,2.04100625e+04,1.45002656e+04,1.95645935e+03
5.29360199e+00,1.40662109e+04,1.97050723e+04,1.39763906e+04,1.86782288e+03
5.45543718e+00,1.33635107e+04,1.87199707e+04,1.32462109e+04,1.75902368e+03
5.62143755e+00,1.25877891e+04,1.76326523e+04,1.24480605e+04,1.63738501e+03
5.79171038e+00,1.18362891e+04,1.65795547e+04,1.16894268e+04,1.54716528e+03
5.96636629e+00,1.12802627e+04,1.58006992e+04,1.11445146e+04,1.48834155e+03
6.14551687e+00,1.10448164e+04,1.54711904e+04,1.09285801e+04,1.48913831e+03
6.32927942e+00,1.10641045e+04,1.54985723e+04,1.09665986e+04,1.51971887e+03
6.51777077e+00,1.12471172e+04,1.57553389e+04,1.11692646e+04,1.56939221e+03
6.71111441e+00,1.15581670e+04,1.61914785e+04,1.15001719e+04,1.64452307e+03
6.90943432e+00,1.18922842e+04,1.66598301e+04,1.18494453e+04,1.71217004e+03
7.11285782e+00,1.21232129e+04,1.69834434e+04,1.20880488e+04,1.77041687e+03
7.32151794e+00,1.21678867e+04,1.70460195e+04,1.21350547e+04,1.79485632e+03
7.53554821e+00,1.21030635e+04,1.69551289e+04,1.20688896e+04,1.81059570e+03
7.75508738e+00,1.19645332e+04,1.67609375e+04,1.19263301e+04,1.81403699e+03
