Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.30067619e-05,2.84477301e-05,5.65697923e-02,3.47264900e+01
7.99999982e-02,7.91735947e-05,1.78819973e-04,1.11574888e-01,4.21447449e+01
1.19999997e-01,1.48186140e-04,3.32043302e-04,2.78405190e-01,4.88550529e+01
1.59999996e-01,2.40268579e-04,5.32636885e-04,3.86677325e-01,5.55740128e+01
2.00000003e-01,3.99258395e-04,8.72837962e-04,3.91871482e-01,5.71900864e+01
2.39999995e-01,6.84352242e-04,1.46875274e-03,4.31761622e-01,6.15600204e+01
2.80000001e-01,1.09345443e-03,2.30418192e-03,4.30609941e-01,6.31738205e+01
3.19999993e-01,1.66698336e-03,3.45217064e-03,4.36834097e-01,6.52887421e+01
3.60000014e-01,2.40822695e-03,4.90066363e-03,4.42204535e-01,6.61559372e+01
4.00000006e-01,3.20187071e-03,6.40887581e-03,4.67111945e-01,6.75114441e+01
4.39999998e-01,3.93908611e-03,7.76672876e-03,4.97780085e-01,6.74533539e+01
4.79999989e-01,4.51704348e-03,8.78639705e-03,5.37918568e-01,6.81953125e+01
5.19999981e-01,4.83421516e-03,9.29529686e-03,5.73811412e-01,6.76206970e+01
5.60000002e-01,4.88833291e-03,9.32124257e-03,6.00339711e-01,6.78311081e+01
6.00000024e-01,4.80200909e-03,9.10925493e-03,6.07908666e-01,6.71119080e+01
6.41029537e-01,4.66895569e-03,8.82941671e-03,5.96517086e-01,6.70242767e+01
6.83115125e-01,4.54894360e-03,8.58553685e-03,5.71896434e-01,6.61011581e+01
7.26283848e-01,4.47733141e-03,8.44112597e-03,5.45998752e-01,6.56063080e+01
7.70563781e-01,4.45126928e-03,8.37664679e-03,5.25513113e-01,6.49710922e+01
8.15983355e-01,4.44587413e-03,8.34751874e-03,5.12454152e-01,6.45490875e+01
8.62571895e-01,4.45027370e-03,8.33563320e-03,5.06228745e-01,6.39374619e+01
9.10359621e-01,4.43287427e-03,8.27522203e-03,5.04616022e-01,6.35411797e+01
9.59377348e-01,4.38562687e-03,8.16078298e-03,5.04538357e-01,6.30995636e+01
1.00965667e+00,4.31411946e-03,8.00295454e-03,5.02970219e-01,6.27892838e+01
1.06123006e+00,4.23304178e-03,7.83068873e-03,4.96719658e-01,6.25150948e+01
1.11413085e+00,4.15156037e-03,7.66121643e-03,4.83704567e-01,6.24048958e+01
1.16839325e+00,4.08194773e-03,7.51490844e-03,4.64099079e-01,6.22432823e+01
1.22405231e+00,4.02464485e-03,7.39381369e-03,4.40710485e-01,6.22215576e+01
1.28114390e+00,3.98813980e-03,7.30969477e-03,4.17172253e-01,6.20689545e+01
1.33970511e+00,3.96928051e-03,7.26086833e-03,3.95504951e-01,6.18742981e+01
1.39977336e+00,2.07144805e+04,2.90031191e+04,1.95764121e+04,1.40192627e+03
1.46138775e+00,2.69220508e+04,3.76495977e+04,2.28685566e+04,1.49342810e+03
1.52458799e+00,1.69466250e+04,2.36960254e+04,1.46059453e+04,1.12276721e+03
1.58941495e+00,1.60510156e+04,2.24584492e+04,1.44877656e+04,1.37325891e+03
1.65591037e+00,1.59134248e+04,2.22725332e+04,1.46691484e+04,1.50133618e+03
1.72411728e+00,1.59638555e+04,2.23471367e+04,1.49019775e+04,1.59714722e+03
1.79407966e+00,1.60687559e+04,2.24966250e+04,1.51231270e+04,1.67161060e+03
1.86584306e+00,1.61855332e+04,2.26619727e+04,1.53197822e+04,1.73175415e+03
1.93945324e+00,1.62972090e+04,2.28197051e+04,1.54893848e+04,1.78107886e+03
2.01495814e+00,1.64024180e+04,2.29680859e+04,1.56387969e+04,1.82405322e+03
2.09240627e+00,1.65159258e+04,2.31279219e+04,1.57882441e+04,1.86454297e+03
2.17184782e+00,1.66516367e+04,2.33187266e+04,1.59531914e+04,1.90437268e+03
2.25333428e+00,1.68116660e+04,2.35434414e+04,1.61357529e+04,1.94312646e+03
2.33691788e+00,1.69496172e+04,2.37370273e+04,1.62882578e+04,1.97394092e+03
2.42265272e+00,1.70145918e+04,2.38282148e+04,1.63611348e+04,1.99107739e+03
2.51059437e+00,1.69815781e+04,2.37820605e+04,1.63334395e+04,1.99393335e+03
2.60079956e+00,1.68822617e+04,2.36430469e+04,1.62407344e+04,1.98896497e+03
2.69332647e+00,1.67853340e+04,2.35074512e+04,1.61528965e+04,1.98626733e+03
2.78823495e+00,1.67628457e+04,2.34761875e+04,1.61409199e+04,1.99523633e+03
2.88558602e+00,1.68508066e+04,2.35996621e+04,1.62386963e+04,2.01918066e+03
2.98544264e+00,1.70519980e+04,2.38816797e+04,1.64454668e+04,2.05595776e+03
3.08786964e+00,1.73093711e+04,2.42422168e+04,1.67009766e+04,2.09588818e+03
3.19293284e+00,1.75392773e+04,2.45641250e+04,1.69235234e+04,2.12824683e+03
3.30070019e+00,1.76832754e+04,2.47655332e+04,1.70540234e+04,2.14488306e+03
3.41124129e+00,1.76566348e+04,2.47278008e+04,1.70116055e+04,2.13794873e+03
3.52462745e+00,1.74317910e+04,2.44125762e+04,1.67791348e+04,2.10969507e+03
3.64093208e+00,1.71308770e+04,2.39909707e+04,1.64771348e+04,2.07526953e+03
3.76023054e+00,1.69027227e+04,2.36713652e+04,1.62487119e+04,2.05260889e+03
3.88259912e+00,1.68909219e+04,2.36549004e+04,1.62363311e+04,2.05907983e+03
4.00811720e+00,1.71256543e+04,2.39835645e+04,1.64572539e+04,2.09044873e+03
4.13686609e+00,1.73851289e+04,2.43465449e+04,1.66896309e+04,2.11873242e+03
4.26892853e+00,1.75302988e+04,2.45493418e+04,1.68082949e+04,2.13246387e+03
4.40439081e+00,1.74622539e+04,2.44534297e+04,1.67142812e+04,2.12018750e+03
4.54333878e+00,1.70606270e+04,2.38904629e+04,1.63039893e+04,2.07820410e+03
4.68586397e+00,1.64404199e+04,2.30219238e+04,1.57052314e+04,2.02562280e+03
4.83205652e+00,1.58576367e+04,2.22059766e+04,1.51463545e+04,1.97832190e+03
4.98201227e+00,1.56043555e+04,2.18514316e+04,1.49064111e+04,1.97651587e+03
5.13582754e+00,1.59991523e+04,2.24048359e+04,1.53120264e+04,2.06500439e+03
5.29360199e+00,1.70106426e+04,2.38210566e+04,1.62698994e+04,2.19414600e+03
5.45543718e+00,1.77285332e+04,2.48251406e+04,1.69112266e+04,2.28730396e+03
5.62143755e+00,1.80628691e+04,2.52926328e+04,1.72114043e+04,2.35416455e+03
5.79171038e+00,1.79008730e+04,2.50651582e+04,1.70311992e+04,2.36802466e+03
5.96636629e+00,1.68918164e+04,2.36518379e+04,1.60493281e+04,2.29458618e+03
6.14551687e+00,1.56457305e+04,2.19069941e+04,1.48570879e+04,2.20283911e+03
6.32927942e+00,1.46470244e+04,2.05085781e+04,1.39050820e+04,2.13457300e+03
6.51777077e+00,1.43263164e+04,2.00593340e+04,1.35897227e+04,2.13245776e+03
6.71111441e+00,1.47976904e+04,2.07187832e+04,1.40171260e+04,2.22291211e+03
6.90943432e+00,1.54121201e+04,2.15795977e+04,1.46254521e+04,2.35407104e+03
7.11285782e+00,1.58209609e+04,2.21525801e+04,1.50292959e+04,2.44982324e+03
7.32151794e+00,1.55660664e+04,2.17952812e+04,1.47716143e+04,2.46900928e+03
7.53554821e+00,1.47477422e+04,2.06509668e+04,1.40642012e+04,2.46528760e+03
7.75508738e+00,1.51451582e+04,2.12097285e+04,1.45395967e+04,2.57829297e+03
7.98027754e+00,1.65698770e+04,2.32039805e+04,1.58804941e+04,2.73850342e+03
8.21126270e+00,1.75817402e+04,2.46187422e+04,1.67704863e+04,2.81363916e+03
8.44819450e+00,1.84472305e+04,2.58277461e+04,1.74668594e+04,2.83202905e+03
8.69122219e+00,1.82708086e+04,2.55778027e+04,1.71876094e+04,2.78562305e+03
8.94050789e+00,1.77042969e+04,2.47840859e+04,1.66528633e+04,2.75789673e+03
9.19620800e+00,1.70837148e+04,2.39147246e+04,1.60541035e+04,2.69047485e+03
9.45849037e+00,1.47242637e+04,2.06120215e+04,1.38498389e+04,2.45626904e+03
9.72752285e+00,1.21368799e+04,1.69910508e+04,1.14782627e+04,2.23461792e+03
1.00034800e+01,1.00992578e+04,1.41409023e+04,9.69665332e+03,2.09467871e+03
1.02865391e+01,9.20371875e+03,1.28912705e+04,9.04540332e+03,2.05102002e+03
1.05768833e+01,9.71635742e+03,1.36118711e+04,9.65497949e+03,2.10017651e+03
1.08747025e+01,1.06344854e+04,1.48976191e+04,1.05404199e+04,2.15645410e+03
1.11801853e+01,1.14779980e+04,1.60772207e+04,1.12992363e+04,2.20896411e+03
1.14935322e+01,1.19113408e+04,1.66827812e+04,1.16936035e+04,2.24515381e+03
1.18149433e+01,1.23345371e+04,1.72744883e+04,1.21030859e+04,2.30603882e+03
1.21446266e+01,1.26110410e+04,1.76610020e+04,1.24024609e+04,2.37410815e+03
1.24827967e+01,1.20213604e+04,1.68349219e+04,1.19148281e+04,2.37538672e+03
1.28296700e+01,1.15552217e+04,1.61836113e+04,1.16499062e+04,2.43697363e+03
1.31854706e+01,1.16631318e+04,1.63379326e+04,1.20454434e+04,2.57994385e+03
1.35504293e+01,1.20007988e+04,1.68122383e+04,1.26163438e+04,2.71120166e+03
1.39247818e+01,1.25292178e+04,1.75535312e+04,1.34410332e+04,2.86678345e+03
1.43087692e+01,1.40629580e+04,1.97050332e+04,1.54020586e+04,3.14190601e+03
1.47026405e+01,1.60647715e+04,2.25123633e+04,1.78736641e+04,3.45082373e+03
1.51066484e+01,1.92960391e+04,2.70411328e+04,2.16484355e+04,3.80843579e+03
1.55210552e+01,2.06866094e+04,2.89888535e+04,2.37877363e+04,3.94440918e+03
1.59461288e+01,1.78562012e+04,2.50229453e+04,2.22188945e+04,3.73563013e+03
1.63821430e+01,1.48078955e+04,2.07620137e+04,2.10470430e+04,3.60193677e+03
1.68293781e+01,1.43247949e+04,2.01004961e+04,2.29071660e+04,3.63886621e+03
1.72881241e+01,1.83507168e+04,2.57602598e+04,2.83048145e+04,3.87735229e+03
1.77586803e+01,2.42277109e+04,3.40272383e+04,3.44111875e+04,4.18108691e+03
1.82413464e+01,2.74538086e+04,3.85978438e+04,3.74599062e+04,4.26998047e+03
1.87364349e+01,2.60143711e+04,3.65976328e+04,3.52338398e+04,3.85509399e+03
1.92442665e+01,2.33699199e+04,3.28657031e+04,3.16571816e+04,3.40740674e+03
