Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.14023641e-03,6.29353430e-03,1.83849871e-01,2.04839058e+01
7.99999982e-02,4.87684365e-03,7.55540933e-03,2.09255248e-01,2.12433052e+01
1.19999997e-01,5.95080853e-03,9.32720676e-03,2.34910637e-01,2.06833725e+01
1.59999996e-01,7.52567826e-03,1.18537042e-02,2.62932360e-01,2.08108368e+01
2.00000003e-01,9.76193510e-03,1.53857917e-02,3.00322771e-01,2.01890659e+01
2.39999995e-01,1.25759458e-02,1.97781548e-02,3.44448328e-01,1.99472828e+01
2.80000001e-01,1.62226260e-02,2.54088677e-02,3.98266613e-01,1.93029213e+01
3.19999993e-01,2.02302057e-02,3.15376073e-02,4.56148714e-01,1.88621159e+01
3.60000014e-01,2.45194416e-02,3.80710065e-02,5.22031426e-01,1.82325096e+01
4.00000006e-01,2.92191878e-02,4.52215858e-02,5.90410113e-01,1.77297134e+01
4.39999998e-01,3.42922732e-02,5.29349819e-02,6.56997919e-01,1.71782074e+01
4.79999989e-01,4.04341370e-02,6.22734502e-02,7.19253182e-01,1.67352524e+01
5.19999981e-01,4.65232283e-02,7.14787766e-02,7.60651290e-01,1.63145447e+01
5.60000002e-01,5.46874776e-02,8.37443545e-02,7.91640878e-01,1.59972916e+01
6.00000024e-01,6.11940958e-02,9.34697837e-02,7.91022778e-01,1.57360191e+01
6.41029537e-01,7.07095489e-02,1.07470140e-01,7.79496789e-01,1.55676336e+01
6.83115125e-01,7.69811273e-02,1.16635390e-01,7.38773108e-01,1.54686117e+01
7.26283848e-01,8.37481469e-02,1.26347318e-01,6.92419291e-01,1.54614258e+01
7.70563781e-01,9.02020559e-02,1.35439754e-01,6.38571858e-01,1.55269909e+01
8.15983355e-01,9.67009068e-02,1.44451708e-01,5.88005364e-01,1.56752663e+01
8.62571895e-01,9.79883969e-02,1.45766497e-01,5.34956217e-01,1.58872080e+01
9.10359621e-01,1.01156905e-01,1.49735183e-01,4.91079658e-01,1.61582565e+01
9.59377348e-01,9.96485054e-02,1.46975949e-01,4.53338087e-01,1.64658165e+01
1.00965667e+00,9.93722826e-02,1.46004066e-01,4.24409211e-01,1.68015747e+01
1.06123006e+00,9.84020382e-02,1.44121677e-01,4.02788997e-01,1.71472874e+01
1.11413085e+00,9.73482728e-02,1.42263383e-01,3.88055384e-01,1.74960060e+01
1.16839325e+00,9.71257687e-02,1.41709119e-01,3.80029023e-01,1.78352451e+01
1.22405231e+00,9.77204591e-02,1.42309636e-01,3.76235038e-01,1.81622658e+01
1.28114390e+00,9.92402732e-02,1.44145846e-01,3.73194695e-01,1.84711208e+01
1.33970511e+00,1.00881524e-01,1.46202847e-01,3.66541535e-01,1.87622986e+01
1.39977336e+00,2.02085176e+04,2.83091328e+04,2.00809863e+04,2.16969434e+03
1.46138775e+00,2.62130664e+04,3.66998359e+04,2.47207852e+04,2.12173560e+03
1.52458799e+00,1.63309902e+04,2.28622461e+04,1.54438809e+04,1.45363867e+03
1.58941495e+00,1.54871621e+04,2.16878184e+04,1.49881865e+04,1.63637622e+03
1.65591037e+00,1.53298926e+04,2.14706758e+04,1.49940820e+04,1.74526685e+03
1.72411728e+00,1.53311504e+04,2.14743125e+04,1.50901602e+04,1.82593860e+03
1.79407966e+00,1.54023359e+04,2.15752422e+04,1.52232070e+04,1.89188550e+03
1.86584306e+00,1.54918164e+04,2.17014805e+04,1.53582949e+04,1.94845972e+03
1.93945324e+00,1.56398643e+04,2.19096172e+04,1.55427812e+04,2.00504272e+03
2.01495814e+00,1.58534727e+04,2.22094492e+04,1.57855039e+04,2.06486987e+03
2.09240627e+00,1.61201660e+04,2.25835430e+04,1.60762676e+04,2.12709668e+03
2.17184782e+00,1.63500723e+04,2.29059219e+04,1.63212402e+04,2.17415527e+03
2.25333428e+00,1.64337832e+04,2.30232754e+04,1.64089805e+04,2.19199341e+03
2.33691788e+00,1.63308555e+04,2.28790391e+04,1.63030967e+04,2.18080518e+03
2.42265272e+00,1.60705352e+04,2.25143848e+04,1.60429609e+04,2.15253955e+03
2.51059437e+00,1.58841367e+04,2.22535430e+04,1.58676152e+04,2.14389453e+03
