Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.27060701e-36,9.33304274e-36,6.46269843e-02,5.18306541e+01
7.99999982e-02,6.29753282e-34,7.90466503e-34,1.54748753e-01,5.42419090e+01
1.19999997e-01,2.38043807e-32,3.05327046e-32,2.39605427e-01,5.48227654e+01
1.59999996e-01,6.58972823e-31,9.38509706e-31,3.98346961e-01,5.71518707e+01
2.00000003e-01,1.28333695e-29,2.87942987e-29,4.05888349e-01,5.79099388e+01
2.39999995e-01,1.29640941e-28,3.47768709e-28,5.28936744e-01,6.01486969e+01
2.80000001e-01,2.27006840e-27,6.18498034e-27,6.54226422e-01,6.00682297e+01
3.19999993e-01,8.10502873e-26,2.40588648e-25,5.96326292e-01,6.13347664e+01
3.60000014e-01,7.69672258e-25,2.60560796e-24,8.44171703e-01,6.09680710e+01
4.00000006e-01,9.38087829e-24,3.05406395e-23,7.24460065e-01,6.23382378e+01
4.39999998e-01,5.15116266e-21,1.45939896e-20,9.40168023e-01,6.21402893e+01
4.79999989e-01,2.91234784e-20,8.44813001e-20,7.98628867e-01,6.45887299e+01
5.19999981e-01,8.66852246e-19,1.08981137e-17,1.06489706e+00,6.63406830e+01
5.60000002e-01,1.98669907e-17,1.11303835e-16,7.64469862e-01,7.03146210e+01
6.00000024e-01,1.53197216e-15,4.80660069e-15,1.21154714e+00,7.29765167e+01
6.41029537e-01,7.82431184e-15,3.02574026e-14,8.06889653e-01,7.82933807e+01
6.83115125e-01,4.45361758e-14,1.68991042e-13,1.24458826e+00,7.80780487e+01
7.26283848e-01,2.23582112e-13,9.00573561e-13,9.34332788e-01,8.99460297e+01
7.70563781e-01,1.27145917e-12,4.77897453e-12,1.17784333e+00,8.92331238e+01
8.15983355e-01,6.56266014e-12,2.20889418e-11,1.02273321e+00,1.12151421e+02
8.62571895e-01,2.89635278e-11,8.77013254e-11,1.15609252e+00,9.94387665e+01
9.10359621e-01,1.30967223e-10,4.08083012e-10,1.09617102e+00,1.20498505e+02
9.59377348e-01,5.87345950e-10,2.06097472e-09,1.22812605e+00,1.24139984e+02
1.00965667e+00,2.57451438e-09,8.97386254e-09,1.14580178e+00,1.32255371e+02
1.06123006e+00,1.09968017e-08,3.49924463e-08,1.28457046e+00,1.39874863e+02
1.11413085e+00,5.12095326e-08,1.45816102e-07,1.23514676e+00,1.49101105e+02
1.16839325e+00,2.86223639e-07,7.71405325e-07,1.31861210e+00,1.68787216e+02
1.22405231e+00,1.17190177e-06,3.29453292e-06,1.27218938e+00,1.65024368e+02
1.28114390e+00,6.10149527e-06,1.82484564e-05,1.29308844e+00,1.76239258e+02
1.33970511e+00,2.48240631e-05,7.60674156e-05,1.28351247e+00,1.82105713e+02
1.39977336e+00,2.07189082e+04,2.90076758e+04,1.94643828e+04,1.38064075e+03
1.46138775e+00,2.61613320e+04,3.65838359e+04,2.20422637e+04,1.46239270e+03
1.52458799e+00,1.59323594e+04,2.22752930e+04,1.35952480e+04,1.08927124e+03
1.58941495e+00,1.54094414e+04,2.15569219e+04,1.36872109e+04,1.24556067e+03
1.65591037e+00,1.48642852e+04,2.07970781e+04,1.33174463e+04,1.27730164e+03
1.72411728e+00,1.37688828e+04,1.92649062e+04,1.23498242e+04,1.19997583e+03
1.79407966e+00,1.24672715e+04,1.74445234e+04,1.12175645e+04,1.14931738e+03
1.86584306e+00,1.14522168e+04,1.60262480e+04,1.03961328e+04,1.13598242e+03
1.93945324e+00,1.10316387e+04,1.54409092e+04,1.01626504e+04,1.21098914e+03
2.01495814e+00,1.12547754e+04,1.57573457e+04,1.05670430e+04,1.35448376e+03
2.09240627e+00,1.21628945e+04,1.70335918e+04,1.16680811e+04,1.62145312e+03
2.17184782e+00,1.38665977e+04,1.94242969e+04,1.35657617e+04,1.96887854e+03
2.25333428e+00,1.60646270e+04,2.25067910e+04,1.59342354e+04,2.36174658e+03
2.33691788e+00,1.82518477e+04,2.55730664e+04,1.82468203e+04,2.70793604e+03
2.42265272e+00,2.01735273e+04,2.82658770e+04,2.02194414e+04,2.92539600e+03
2.51059437e+00,2.15513867e+04,3.01944453e+04,2.15095703e+04,2.96505151e+03
2.60079956e+00,2.18748438e+04,3.06434551e+04,2.16031562e+04,2.78944751e+03
2.69332647e+00,2.12627344e+04,2.97809531e+04,2.07098691e+04,2.48845337e+03
2.78823495e+00,2.01068516e+04,2.81569609e+04,1.92872637e+04,2.17668359e+03
2.88558602e+00,1.86237070e+04,2.60755566e+04,1.75969785e+04,1.88276599e+03
