Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.23777325e-23,1.28970175e-22,3.11585921e-23,1.12149581e-01
7.99999982e-02,1.95989121e-20,2.66807769e-20,8.96466521e-21,1.97751924e-01
1.19999997e-01,6.45815845e-18,8.60860843e-18,4.97157365e-19,3.03956330e-01
1.59999996e-01,9.53747452e-17,1.49092926e-16,1.32023055e-15,4.95503068e-01
2.00000003e-01,1.57468829e-14,2.08859622e-14,3.68693350e-14,5.36718309e-01
2.39999995e-01,3.75219089e-13,4.83500176e-13,8.35020529e-13,9.79870558e-01
2.80000001e-01,4.66067593e-12,5.89229707e-12,1.27066231e-11,1.06349850e+00
3.19999993e-01,3.13728730e-11,3.99815320e-11,1.54938506e-10,1.89351869e+00
3.60000014e-01,1.53028853e-10,1.91648628e-10,2.37348674e-09,2.02538824e+00
4.00000006e-01,6.03787409e-10,7.65132735e-10,1.36923318e-05,2.98158097e+00
4.39999998e-01,2.20516405e-09,2.79615731e-09,4.49851213e-05,3.05921984e+00
4.79999989e-01,5.91689897e-09,7.67822872e-09,6.10630203e-04,4.31069803e+00
5.19999981e-01,1.58613513e-08,2.06800816e-08,1.31376926e-03,4.43904114e+00
5.60000002e-01,4.02542675e-08,5.27359099e-08,4.77561820e-03,5.33512497e+00
6.00000024e-01,1.20381799e-07,1.60903909e-07,8.95710196e-03,5.65406322e+00
6.41029537e-01,3.13705414e-07,4.31520704e-07,2.22166441e-02,6.29645634e+00
6.83115125e-01,7.75045123e-07,1.09930068e-06,3.29177901e-02,6.49262285e+00
7.26283848e-01,1.80330403e-06,2.60337788e-06,4.78086397e-02,6.75343084e+00
7.70563781e-01,3.95564985e-06,5.75446893e-06,6.82172477e-02,7.11569309e+00
8.15983355e-01,8.19920660e-06,1.19006327e-05,8.30283388e-02,7.84189510e+00
8.62571895e-01,1.62580000e-05,2.33981937e-05,8.04021806e-02,7.74369049e+00
