Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.39056270e-06,1.50924152e-05,1.33026124e-03,9.42608643e+01
7.99999982e-02,8.60165019e-05,1.81644573e-04,2.88888440e-03,9.75761032e+01
1.19999997e-01,6.14361605e-04,1.11585879e-03,5.68490662e-03,9.86099396e+01
1.59999996e-01,2.01341673e-03,3.28191486e-03,1.22706341e-02,1.00595230e+02
2.00000003e-01,2.61554378e-03,4.19392483e-03,1.46778384e-02,1.00697807e+02
2.39999995e-01,4.00395505e-03,6.23233430e-03,2.05914509e-02,1.01959358e+02
2.80000001e-01,4.85470891e-03,7.53573049e-03,2.35569179e-02,1.02181526e+02
3.19999993e-01,6.03263918e-03,9.21665505e-03,2.69544460e-02,1.02976585e+02
3.60000014e-01,7.01563619e-03,1.06519600e-02,3.02937105e-02,1.03053757e+02
4.00000006e-01,8.11527297e-03,1.20403320e-02,3.20065580e-02,1.03793617e+02
4.39999998e-01,8.76082666e-03,1.28815752e-02,3.32957990e-02,1.03789764e+02
4.79999989e-01,1.00566382e-02,1.42997587e-02,3.22731361e-02,1.04468636e+02
5.19999981e-01,9.99187864e-03,1.41168106e-02,3.46348993e-02,1.04412155e+02
5.60000002e-01,1.18047111e-02,1.60528924e-02,3.42212468e-02,1.04899719e+02
6.00000024e-01,1.08733876e-02,1.46093080e-02,3.46739031e-02,1.04800911e+02
6.41029537e-01,1.26347262e-02,1.64382644e-02,3.45618725e-02,1.05164566e+02
6.83115125e-01,1.02098333e-02,1.29940063e-02,3.44304182e-02,1.05034836e+02
7.26283848e-01,9.09072533e-03,1.15952762e-02,3.62377614e-02,1.05153229e+02
7.70563781e-01,8.31144489e-03,1.05600394e-02,3.92461717e-02,1.05140625e+02
8.15983355e-01,7.27299042e-03,9.32793505e-03,4.08920348e-02,1.05337120e+02
8.62571895e-01,4.82089631e-03,6.17388263e-03,4.20192108e-02,1.05245529e+02
9.10359621e-01,3.41957831e-03,4.55934275e-03,4.07458171e-02,1.05517365e+02
9.59377348e-01,2.55242200e-03,3.56072327e-03,3.96322571e-02,1.05545494e+02
1.00965667e+00,2.18043337e-03,3.16056795e-03,3.95103395e-02,1.05883904e+02
1.06123006e+00,2.03329278e-03,3.01856874e-03,4.17113826e-02,1.06272736e+02
1.11413085e+00,2.11952440e-03,3.19351628e-03,4.55123335e-02,1.06749977e+02
1.16839325e+00,2.54318211e-03,3.90176615e-03,5.17647266e-02,1.07300362e+02
1.22405231e+00,3.54937511e-03,5.51740546e-03,5.86398020e-02,1.08054230e+02
1.28114390e+00,5.85154444e-03,9.05066915e-03,6.96774721e-02,1.08988472e+02
1.33970511e+00,1.02689955e-02,1.56370290e-02,8.72797370e-02,1.09906883e+02
1.39977336e+00,2.07063398e+04,2.89899824e+04,1.94402383e+04,1.31141931e+03
1.46138775e+00,2.60659883e+04,3.64485469e+04,2.18765664e+04,1.37629553e+03
1.52458799e+00,1.54949531e+04,2.16622383e+04,1.31587354e+04,9.89516785e+02
1.58941495e+00,1.43937217e+04,2.01356992e+04,1.27929434e+04,1.17187000e+03
1.65591037e+00,1.41321797e+04,1.97759336e+04,1.28374033e+04,1.27779736e+03
1.72411728e+00,1.40943496e+04,1.97267070e+04,1.29739316e+04,1.35953381e+03
1.79407966e+00,1.41134629e+04,1.97558965e+04,1.31053350e+04,1.42259949e+03
1.86584306e+00,1.40496758e+04,1.96682051e+04,1.31201816e+04,1.46149023e+03
1.93945324e+00,1.38905723e+04,1.94468008e+04,1.30327383e+04,1.48840869e+03
2.01495814e+00,1.38822705e+04,1.94368672e+04,1.31026016e+04,1.53991333e+03
2.09240627e+00,1.42684102e+04,1.99795273e+04,1.35620840e+04,1.63888782e+03
2.17184782e+00,1.49855996e+04,2.09855215e+04,1.43312363e+04,1.76822095e+03
2.25333428e+00,1.57526777e+04,2.20607852e+04,1.51290098e+04,1.88829370e+03
2.33691788e+00,1.63022344e+04,2.28306504e+04,1.56800557e+04,1.95671289e+03
2.42265272e+00,1.63761055e+04,2.29335117e+04,1.57262461e+04,1.94737463e+03
2.51059437e+00,1.59884258e+04,2.23899805e+04,1.53222832e+04,1.88754321e+03
2.60079956e+00,1.54765518e+04,2.16728965e+04,1.48093438e+04,1.81773926e+03
2.69332647e+00,1.49615469e+04,2.09513145e+04,1.42827500e+04,1.74369666e+03
2.78823495e+00,1.45294727e+04,2.03463223e+04,1.38604512e+04,1.69891211e+03
2.88558602e+00,1.45937949e+04,2.04372441e+04,1.39530791e+04,1.73111658e+03
2.98544264e+00,1.50976807e+04,2.11435723e+04,1.44640625e+04,1.80888721e+03
3.08786964e+00,1.55383242e+04,2.17607617e+04,1.48938125e+04,1.86738550e+03
3.19293284e+00,1.58746445e+04,2.22315625e+04,1.52165488e+04,1.91195837e+03
3.30070019e+00,1.60313535e+04,2.24508457e+04,1.53701533e+04,1.93854187e+03
3.41124129e+00,1.58988555e+04,2.22651035e+04,1.52407461e+04,1.92949951e+03
3.52462745e+00,1.54620186e+04,2.16532305e+04,1.48203779e+04,1.88976636e+03
3.64093208e+00,1.49048350e+04,2.08735547e+04,1.43167637e+04,1.85064697e+03
3.76023054e+00,1.44714199e+04,2.02671426e+04,1.39244102e+04,1.81281226e+03
3.88259912e+00,1.41233467e+04,1.97800391e+04,1.36052939e+04,1.78353870e+03
4.00811720e+00,1.42538438e+04,1.99640234e+04,1.37884248e+04,1.83216724e+03
4.13686609e+00,1.50788076e+04,2.11207168e+04,1.46486260e+04,1.96571948e+03
4.26892853e+00,1.64004551e+04,2.29732188e+04,1.59977754e+04,2.15739282e+03
4.40439081e+00,1.77213594e+04,2.48228496e+04,1.72637734e+04,2.29297705e+03
4.54333878e+00,1.82072305e+04,2.55013613e+04,1.76623027e+04,2.30847241e+03
4.68586397e+00,1.82169180e+04,2.55137344e+04,1.76303633e+04,2.28550757e+03
4.83205652e+00,1.80057188e+04,2.52166660e+04,1.73651719e+04,2.22313550e+03
4.98201227e+00,1.72156797e+04,2.41087031e+04,1.65238945e+04,2.08931470e+03
5.13582754e+00,1.60021289e+04,2.24089473e+04,1.53309160e+04,1.93941162e+03
5.29360199e+00,1.52898486e+04,2.14115840e+04,1.46380059e+04,1.84884692e+03
5.45543718e+00,1.48963154e+04,2.08597930e+04,1.42260039e+04,1.79180518e+03
5.62143755e+00,1.45172100e+04,2.03293945e+04,1.38872529e+04,1.77118591e+03
5.79171038e+00,1.47723613e+04,2.06884980e+04,1.42111113e+04,1.85164600e+03
5.96636629e+00,1.59595820e+04,2.23531211e+04,1.54306914e+04,2.02547400e+03
6.14551687e+00,1.70868125e+04,2.39311191e+04,1.64807305e+04,2.13496997e+03
6.32927942e+00,1.68133945e+04,2.35465918e+04,1.61677051e+04,2.09025171e+03
6.51777077e+00,1.65299395e+04,2.31490664e+04,1.58906465e+04,2.07096045e+03
6.71111441e+00,1.61358535e+04,2.25960781e+04,1.54777188e+04,2.00807336e+03
6.90943432e+00,1.50534434e+04,2.10792910e+04,1.44074199e+04,1.87116565e+03
7.11285782e+00,1.36466250e+04,1.91087637e+04,1.30484932e+04,1.70077332e+03
7.32151794e+00,1.25014219e+04,1.75057109e+04,1.19880342e+04,1.59425293e+03
7.53554821e+00,1.20207656e+04,1.68331172e+04,1.15546904e+04,1.54416138e+03
7.75508738e+00,1.17695703e+04,1.64812324e+04,1.13243662e+04,1.53043823e+03
7.98027754e+00,1.18684756e+04,1.66210391e+04,1.14942578e+04,1.57222656e+03
8.21126270e+00,1.28073564e+04,1.79360762e+04,1.24229004e+04,1.67934119e+03
8.44819450e+00,1.33744053e+04,1.87301680e+04,1.29971494e+04,1.74759314e+03
8.69122219e+00,1.44727012e+04,2.02696484e+04,1.41385586e+04,1.89567090e+03
8.94050789e+00,1.59277354e+04,2.23052520e+04,1.54848643e+04,2.00029077e+03
9.19620800e+00,1.54380850e+04,2.16191172e+04,1.50646562e+04,1.96071790e+03
9.45849037e+00,1.46281084e+04,2.04881641e+04,1.44887939e+04,1.91639880e+03
9.72752285e+00,1.44253789e+04,2.02045039e+04,1.43207236e+04,1.86866968e+03
1.00034800e+01,1.41167979e+04,1.97712676e+04,1.40661719e+04,1.84074072e+03
1.02865391e+01,1.53611738e+04,2.15167383e+04,1.54808887e+04,2.05690552e+03
1.05768833e+01,1.84841094e+04,2.58898906e+04,1.85544297e+04,2.38952905e+03
1.08747025e+01,1.92305605e+04,2.69365801e+04,1.93937578e+04,2.49398828e+03
1.11801853e+01,2.03099785e+04,2.84478984e+04,2.05068691e+04,2.56149951e+03
1.14935322e+01,2.11717559e+04,2.96444160e+04,2.10314297e+04,2.42872534e+03
1.18149433e+01,1.42277588e+04,1.99184297e+04,1.44595928e+04,1.62496277e+03
1.21446266e+01,7.33304639e+03,1.02721494e+04,8.39706445e+03,1.00660663e+03
1.24827967e+01,5.76806250e+03,8.08833008e+03,7.36120801e+03,9.18932556e+02
1.28296700e+01,7.35594482e+03,1.03201914e+04,9.34750977e+03,1.18859656e+03
1.31854706e+01,1.11833926e+04,1.56895850e+04,1.34679854e+04,1.66395837e+03
1.35504293e+01,1.48016211e+04,2.07717949e+04,1.71085762e+04,1.95650500e+03
1.39247818e+01,1.52134043e+04,2.13847871e+04,1.75670508e+04,1.91127966e+03
1.43087692e+01,1.42030713e+04,2.00150020e+04,1.65258867e+04,1.69812256e+03
1.47026405e+01,1.34029590e+04,1.88789805e+04,1.54957891e+04,1.47019409e+03
1.51066484e+01,1.45073545e+04,2.03657598e+04,1.64464609e+04,1.49238770e+03
1.55210552e+01,1.62399189e+04,2.27945957e+04,1.79957754e+04,1.58216626e+03
1.59461288e+01,1.49232061e+04,2.09700762e+04,1.67467051e+04,1.40829858e+03
1.63821430e+01,1.49991953e+04,2.10977148e+04,1.67132461e+04,1.44580042e+03
1.68293781e+01,1.95821445e+04,2.75149551e+04,2.01614727e+04,1.84188550e+03
1.72881241e+01,2.44166797e+04,3.42679336e+04,2.32219531e+04,2.11755811e+03
1.77586803e+01,2.63348301e+04,3.69303320e+04,2.34632461e+04,2.09919971e+03
1.82413464e+01,2.64602773e+04,3.70644883e+04,2.21353008e+04,1.98302795e+03
1.87364349e+01,2.61010762e+04,3.65127461e+04,2.07013086e+04,1.98001782e+03
1.92442665e+01,2.56901562e+04,3.58878828e+04,1.93235645e+04,1.81652380e+03
1.97651691e+01,2.22692090e+04,3.10560898e+04,1.52837783e+04,1.30118567e+03
2.02994785e+01,1.72106309e+04,2.39602383e+04,1.06853594e+04,8.90170471e+02
2.08475418e+01,1.54214346e+04,2.14484453e+04,9.65333691e+03,8.21810730e+02
2.14097099e+01,1.50343887e+04,2.08856895e+04,9.86561426e+03,8.09461792e+02
2.19863453e+01,1.28433145e+04,1.78213398e+04,8.54134375e+03,6.03591309e+02
2.25778236e+01,1.03151611e+04,1.43175195e+04,6.64952002e+03,3.59012390e+02
2.31845264e+01,7.71375684e+03,1.07125000e+04,4.76185059e+03,2.45469345e+02
2.38068466e+01,5.39637549e+03,7.49349170e+03,3.32137329e+03,1.84373474e+02
2.44451809e+01,3.98418896e+03,5.53056787e+03,2.44979761e+03,1.36282272e+02
2.50999470e+01,2.84049365e+03,3.94201147e+03,1.74574854e+03,9.18680801e+01
2.57715645e+01,2.17442090e+03,3.01966528e+03,1.37210815e+03,6.46335220e+01
2.64604683e+01,1.34566309e+03,1.86432092e+03,6.85477783e+02,1.18878040e+01
2.71671047e+01,3.86378143e+02,5.28955017e+02,6.78445587e+01,1.25230141e-02
2.78919277e+01,2.39441727e+02,3.26617249e+02,3.26885681e+01,4.40670457e-03
2.86354065e+01,1.86198135e+02,2.53719818e+02,2.42516861e+01,2.57275475e-04
2.93980217e+01,1.36092209e+02,1.85197632e+02,1.80582867e+01,7.22137192e-05
3.01802654e+01,1.05505554e+02,1.43657867e+02,1.31717749e+01,1.65114216e-05
3.09826431e+01,6.67139130e+01,9.04332123e+01,5.76101542e+00,1.33315798e-05
3.18056717e+01,2.85629349e+01,3.83538094e+01,1.69491732e+00,8.36239178e-06
3.26498833e+01,1.09318762e+01,1.45632954e+01,4.61986631e-01,4.57182023e-06
3.35158234e+01,3.72514224e+00,4.92442894e+00,8.31054077e-02,2.02939350e-06
3.44040565e+01,1.11979640e+00,1.46955931e+00,1.55621050e-02,6.68024200e-07
3.53151436e+01,3.50936264e-01,4.60210472e-01,3.49750253e-03,2.13197794e-07
3.62496834e+01,1.23759583e-01,1.62719801e-01,8.83768313e-04,6.49601404e-08
3.72082787e+01,4.47887927e-02,5.88790923e-02,1.60952855e-04,1.72591150e-08
3.81915474e+01,1.22187417e-02,1.59634463e-02,1.40689272e-05,3.59191632e-09
3.92001228e+01,2.07013777e-03,2.66315718e-03,1.23027178e-06,6.38521014e-10
4.02346535e+01,1.59770396e-04,1.99465067e-04,1.11553490e-07,8.20862128e-11
4.12958107e+01,6.84054839e-06,8.31823309e-06,9.37067757e-09,9.22298175e-12
4.23842850e+01,6.32868137e-07,7.76318871e-07,1.38450706e-09,1.26449610e-12
