Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.77280074e-02,8.21561590e-02,4.86179292e-02,1.56195152e+00
7.99999982e-02,7.13798255e-02,1.01074964e-01,5.50677031e-02,1.76344097e+00
1.19999997e-01,8.35041031e-02,1.17685676e-01,5.95603287e-02,1.86893654e+00
1.59999996e-01,9.48147774e-02,1.32960424e-01,6.20615259e-02,2.02668619e+00
2.00000003e-01,9.57874358e-02,1.33710459e-01,6.19647875e-02,2.15217614e+00
2.39999995e-01,1.02966510e-01,1.42978385e-01,6.30176961e-02,2.31680608e+00
2.80000001e-01,1.02747813e-01,1.41839862e-01,6.24509752e-02,2.46298695e+00
3.19999993e-01,1.03988573e-01,1.42879337e-01,6.31649196e-02,2.64083982e+00
3.60000014e-01,9.95159745e-02,1.36076361e-01,6.32446706e-02,2.81712270e+00
4.00000006e-01,9.79909673e-02,1.33722916e-01,6.46860898e-02,3.02400970e+00
4.39999998e-01,9.03339386e-02,1.23014480e-01,6.49131089e-02,3.24413347e+00
4.79999989e-01,8.89370814e-02,1.21093862e-01,6.65262267e-02,3.49196720e+00
5.19999981e-01,8.07766020e-02,1.10020064e-01,6.79501444e-02,3.77278399e+00
5.60000002e-01,8.14415589e-02,1.11199103e-01,7.12478086e-02,4.08221579e+00
6.00000024e-01,7.43944570e-02,1.01792321e-01,7.25592226e-02,4.43676233e+00
6.41029537e-01,7.91863501e-02,1.08835503e-01,7.77063966e-02,4.83501434e+00
6.83115125e-01,7.28549734e-02,1.00253686e-01,7.72668719e-02,5.29540348e+00
7.26283848e-01,7.23393261e-02,9.97013897e-02,8.08310881e-02,5.81805801e+00
7.70563781e-01,7.10877925e-02,9.81192514e-02,8.34568888e-02,6.43118048e+00
8.15983355e-01,7.53628537e-02,1.04291812e-01,9.02366489e-02,7.11501837e+00
8.62571895e-01,7.16297626e-02,9.92828980e-02,9.20199975e-02,7.91269350e+00
9.10359621e-01,7.67910406e-02,1.06527761e-01,9.92067829e-02,8.80464649e+00
9.59377348e-01,7.39080161e-02,1.02750257e-01,1.02220379e-01,9.81285191e+00
1.00965667e+00,7.79136792e-02,1.08596563e-01,1.10546798e-01,1.09698076e+01
