Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.73810149e-23,2.59934386e-23,7.43152727e-24,4.32093954e+00
7.99999982e-02,1.94167300e-21,2.89620328e-21,6.70681312e-22,6.47294855e+00
1.19999997e-01,1.09904541e-19,1.64969955e-19,4.00860901e-20,8.59401798e+00
1.59999996e-01,7.47310286e-18,1.12586486e-17,2.72421347e-18,1.30525723e+01
2.00000003e-01,6.24814912e-17,9.52309746e-17,2.91912435e-17,1.57914963e+01
2.39999995e-01,1.63613848e-15,2.46504735e-15,5.15151515e-16,2.10640488e+01
2.80000001e-01,3.12438131e-14,4.74099384e-14,8.56955515e-15,2.46720638e+01
3.19999993e-01,2.98894210e-13,4.54091869e-13,8.78150159e-14,2.85872231e+01
3.60000014e-01,2.55893830e-12,3.90807135e-12,6.59549021e-13,3.21521187e+01
4.00000006e-01,2.45368361e-11,3.73249695e-11,5.59475816e-12,3.60764732e+01
4.39999998e-01,1.16381037e-10,1.78922516e-10,3.02746300e-11,3.89544830e+01
4.79999989e-01,1.20166399e-09,1.83571502e-09,1.95702163e-10,4.27378998e+01
5.19999981e-01,4.93879160e-09,7.69589548e-09,1.00036279e-09,4.59380875e+01
5.60000002e-01,3.42126008e-08,5.32530926e-08,4.14467749e-09,5.01659889e+01
6.00000024e-01,1.02348345e-07,1.62813791e-07,1.53762461e-08,5.38927307e+01
6.41029537e-01,4.13612838e-07,6.57099747e-07,3.69497997e-08,5.89857025e+01
6.83115125e-01,9.80914820e-07,1.58651881e-06,9.09861271e-08,6.23959541e+01
7.26283848e-01,2.62027447e-06,4.23595657e-06,1.58872808e-07,6.76322708e+01
7.70563781e-01,5.67066627e-06,8.87837268e-06,2.89975873e-07,7.15426407e+01
8.15983355e-01,1.18511689e-05,1.76983631e-05,4.66957857e-07,7.68515472e+01
8.62571895e-01,2.19296289e-05,3.08268245e-05,7.60129865e-07,8.21977539e+01
9.10359621e-01,3.13975179e-05,4.17035626e-05,1.23434188e-06,8.96995392e+01
9.59377348e-01,3.78149707e-05,4.84888187e-05,2.28072668e-06,9.52602386e+01
1.00965667e+00,4.38636671e-05,5.42942107e-05,6.37702760e-06,9.92246399e+01
1.06123006e+00,4.53172870e-05,5.50579534e-05,1.81333016e-05,1.05095428e+02
1.11413085e+00,4.48979954e-05,5.49312244e-05,3.72241084e-05,1.11091675e+02
1.16839325e+00,4.57247661e-05,5.60469452e-05,8.22932416e-05,1.15537033e+02
1.22405231e+00,4.63630386e-05,5.64089278e-05,1.58506111e-04,1.18502861e+02
1.28114390e+00,4.24104110e-05,5.11542894e-05,4.01541765e-04,1.27308929e+02
1.33970511e+00,3.98439770e-05,4.81014067e-05,7.69757724e-04,1.30927765e+02
1.39977336e+00,2.07412578e+04,2.90387070e+04,1.94612383e+04,1.31051978e+03
1.46138775e+00,2.61925352e+04,3.66250234e+04,2.19467363e+04,1.40620020e+03
1.52458799e+00,1.58582871e+04,2.21688672e+04,1.33995303e+04,1.03098132e+03
1.58941495e+00,1.42010605e+04,1.98633945e+04,1.24881445e+04,1.16988782e+03
1.65591037e+00,1.30856641e+04,1.83091797e+04,1.17888291e+04,1.25062598e+03
1.72411728e+00,1.28171348e+04,1.79396758e+04,1.18463477e+04,1.41299304e+03
1.79407966e+00,1.35997266e+04,1.90421094e+04,1.29173242e+04,1.69910791e+03
1.86584306e+00,1.53351299e+04,2.14790449e+04,1.49336309e+04,2.09620728e+03
1.93945324e+00,1.76760039e+04,2.47628691e+04,1.74943125e+04,2.48130200e+03
2.01495814e+00,1.98272695e+04,2.77778164e+04,1.96852266e+04,2.69271631e+03
2.09240627e+00,2.11351816e+04,2.96077207e+04,2.08392305e+04,2.69934570e+03
2.17184782e+00,2.15466289e+04,3.01800488e+04,2.10173457e+04,2.58232910e+03
2.25333428e+00,2.12755430e+04,2.97956250e+04,2.04883574e+04,2.38596484e+03
