Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.61482734e-05,1.35915921e-04,2.59668157e-02,1.56108689e+00
7.99999982e-02,4.40004747e-04,7.16024544e-04,2.81154327e-02,1.68081844e+00
1.19999997e-01,1.15648389e-03,1.81579101e-03,2.96341348e-02,1.72027802e+00
1.59999996e-01,2.20366567e-03,3.40336072e-03,3.19700353e-02,1.81591058e+00
2.00000003e-01,3.29594756e-03,5.03703952e-03,3.32284681e-02,1.85776722e+00
2.39999995e-01,4.21122974e-03,6.37684204e-03,3.38508114e-02,1.92183876e+00
2.80000001e-01,5.09852124e-03,7.66412541e-03,3.47017273e-02,1.96835661e+00
3.19999993e-01,5.95193077e-03,8.88520293e-03,3.54271829e-02,2.02898097e+00
3.60000014e-01,6.72088051e-03,9.98149812e-03,3.61934528e-02,2.08186221e+00
4.00000006e-01,7.28554465e-03,1.07810516e-02,3.65354791e-02,2.14312220e+00
4.39999998e-01,7.87073188e-03,1.16224866e-02,3.72789577e-02,2.19964147e+00
4.79999989e-01,8.18360504e-03,1.20708514e-02,3.80869694e-02,2.26671886e+00
5.19999981e-01,8.62483121e-03,1.27358939e-02,3.90545800e-02,2.32963514e+00
5.60000002e-01,8.87932256e-03,1.31452940e-02,4.00168672e-02,2.39943576e+00
6.00000024e-01,9.50143673e-03,1.40899532e-02,4.14098501e-02,2.47447562e+00
6.41029537e-01,1.02208015e-02,1.51992803e-02,4.28519994e-02,2.55460763e+00
6.83115125e-01,1.08367987e-02,1.61205120e-02,4.38593104e-02,2.63666987e+00
7.26283848e-01,1.20261479e-02,1.78637654e-02,4.48885784e-02,2.73526430e+00
7.70563781e-01,1.27603943e-02,1.88891739e-02,4.58439067e-02,2.83755350e+00
8.15983355e-01,1.40282828e-02,2.06679944e-02,4.64052856e-02,2.94390821e+00
8.62571895e-01,1.47153214e-02,2.15774719e-02,4.74918336e-02,3.05555010e+00
9.10359621e-01,1.58805028e-02,2.32006609e-02,4.89598960e-02,3.18894625e+00
9.59377348e-01,1.65326409e-02,2.40840968e-02,5.03903888e-02,3.31594801e+00
1.00965667e+00,1.76744461e-02,2.57474333e-02,5.28706089e-02,3.47724271e+00
1.06123006e+00,1.93745643e-02,2.82205231e-02,5.63406572e-02,3.62418509e+00
1.11413085e+00,2.11766604e-02,3.09061483e-02,6.08864725e-02,3.83249474e+00
1.16839325e+00,2.34570503e-02,3.42794657e-02,6.57406151e-02,3.95806122e+00
1.22405231e+00,2.61735972e-02,3.82309034e-02,7.03950822e-02,4.26325417e+00
1.28114390e+00,2.96842940e-02,4.32810113e-02,7.67764151e-02,4.30635548e+00
1.33970511e+00,3.38318273e-02,4.91672903e-02,8.32650214e-02,4.72254324e+00
1.39977336e+00,2.01707754e+04,2.82555586e+04,1.99946016e+04,2.06916382e+03
1.46138775e+00,2.53493398e+04,3.54897461e+04,2.38370449e+04,1.96078198e+03
1.52458799e+00,1.50768301e+04,2.11055117e+04,1.42047656e+04,1.27631934e+03
1.58941495e+00,1.40853555e+04,1.97237656e+04,1.35735879e+04,1.41484375e+03
1.65591037e+00,1.38699785e+04,1.94250352e+04,1.35117227e+04,1.51009436e+03
1.72411728e+00,1.38471094e+04,1.93947461e+04,1.35796006e+04,1.58514746e+03
1.79407966e+00,1.38908652e+04,1.94572168e+04,1.36841719e+04,1.64632397e+03
1.86584306e+00,1.39551865e+04,1.95481680e+04,1.37923379e+04,1.69757483e+03
1.93945324e+00,1.40268438e+04,1.96491914e+04,1.38972031e+04,1.74071338e+03
2.01495814e+00,1.40928281e+04,1.97421211e+04,1.39888564e+04,1.77763623e+03
2.09240627e+00,1.41510703e+04,1.98241035e+04,1.40674668e+04,1.80871387e+03
2.17184782e+00,1.41987920e+04,1.98912773e+04,1.41319033e+04,1.83482556e+03
2.25333428e+00,1.42425342e+04,1.99528320e+04,1.41900586e+04,1.85949097e+03
2.33691788e+00,1.42962285e+04,2.00283066e+04,1.42567764e+04,1.88511206e+03
2.42265272e+00,1.43729980e+04,2.01360898e+04,1.43455117e+04,1.90992114e+03
2.51059437e+00,1.44812539e+04,2.02879492e+04,1.44644023e+04,1.93948413e+03
2.60079956e+00,1.46002773e+04,2.04548574e+04,1.45924121e+04,1.97063269e+03
2.69332647e+00,1.46976543e+04,2.05913926e+04,1.46965977e+04,1.99546777e+03
2.78823495e+00,1.47431426e+04,2.06551875e+04,1.47464199e+04,2.01068652e+03
2.88558602e+00,1.47202852e+04,2.06232070e+04,1.47262695e+04,2.01947205e+03
2.98544264e+00,1.46618096e+04,2.05413320e+04,1.46701367e+04,2.01643250e+03
3.08786964e+00,1.46264736e+04,2.04919043e+04,1.46380137e+04,2.02351636e+03
3.19293284e+00,1.46860566e+04,2.05754883e+04,1.47023105e+04,2.04183167e+03
