Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.39693299e-03,8.19489174e-03,3.23781278e-03,7.34069824e+01
7.99999982e-02,1.14487521e-02,1.54688330e-02,7.10345432e-03,8.10590591e+01
1.19999997e-01,2.07091793e-02,2.85215564e-02,1.56246284e-02,8.58825684e+01
1.59999996e-01,2.92778015e-02,4.02862355e-02,2.78192032e-02,9.13888321e+01
2.00000003e-01,3.29489484e-02,4.46816795e-02,2.96060182e-02,9.22414322e+01
2.39999995e-01,3.86956558e-02,5.26598170e-02,4.19673175e-02,9.60831909e+01
2.80000001e-01,4.22168821e-02,5.74350059e-02,4.41492274e-02,9.79559250e+01
3.19999993e-01,4.80240770e-02,6.50273412e-02,5.67108467e-02,1.01833115e+02
3.60000014e-01,5.16711138e-02,7.04520121e-02,5.89240566e-02,1.03604782e+02
4.00000006e-01,5.77546991e-02,7.93380737e-02,7.57441819e-02,1.06422379e+02
4.39999998e-01,6.26173466e-02,8.65201950e-02,7.84337893e-02,1.08582458e+02
4.79999989e-01,7.09099919e-02,9.87469852e-02,1.03609905e-01,1.13531860e+02
5.19999981e-01,7.64790550e-02,1.07025459e-01,1.07091583e-01,1.17217133e+02
5.60000002e-01,9.01351348e-02,1.27130002e-01,1.29743546e-01,1.20592247e+02
6.00000024e-01,9.24929082e-02,1.29701316e-01,1.28763944e-01,1.22901886e+02
6.41029537e-01,9.70449075e-02,1.34926975e-01,1.57392830e-01,1.31202896e+02
6.83115125e-01,8.89212489e-02,1.23115078e-01,1.61455914e-01,1.31580002e+02
7.26283848e-01,8.85048062e-02,1.23296686e-01,1.81812987e-01,1.43731171e+02
7.70563781e-01,9.12433937e-02,1.28447235e-01,2.06930667e-01,1.43198776e+02
8.15983355e-01,1.03947327e-01,1.47349268e-01,2.70171702e-01,1.62200607e+02
8.62571895e-01,1.08327582e-01,1.53738737e-01,2.68669188e-01,1.53284637e+02
9.10359621e-01,1.19705081e-01,1.70495734e-01,2.75077164e-01,1.77825256e+02
9.59377348e-01,1.16124071e-01,1.64302737e-01,2.58185267e-01,1.58409714e+02
1.00965667e+00,1.16217189e-01,1.63954705e-01,2.67528683e-01,1.94059509e+02
1.06123006e+00,1.19219452e-01,1.68272182e-01,3.12487125e-01,1.70738770e+02
1.11413085e+00,1.29590511e-01,1.83287650e-01,3.62565994e-01,2.03571259e+02
1.16839325e+00,1.47937477e-01,2.09399059e-01,4.07869428e-01,1.79386383e+02
1.22405231e+00,1.71714962e-01,2.42897138e-01,4.64000821e-01,2.18884079e+02
1.28114390e+00,2.08142221e-01,2.94153303e-01,5.67097545e-01,1.96065460e+02
1.33970511e+00,2.55037546e-01,3.59915495e-01,6.74484611e-01,2.38141098e+02
1.39977336e+00,2.07255312e+04,2.90174062e+04,1.94908672e+04,1.42671887e+03
1.46138775e+00,2.64163496e+04,3.69404805e+04,2.22455547e+04,1.61082336e+03
1.52458799e+00,1.57926562e+04,2.20791953e+04,1.34678887e+04,1.25669556e+03
1.58941495e+00,1.48159404e+04,2.07279023e+04,1.32534521e+04,1.52229541e+03
1.65591037e+00,1.46770547e+04,2.05402832e+04,1.34379004e+04,1.63567993e+03
1.72411728e+00,1.48592266e+04,2.07995703e+04,1.38069980e+04,1.76838330e+03
1.79407966e+00,1.51532031e+04,2.12138750e+04,1.42089590e+04,1.84867114e+03
1.86584306e+00,1.54443809e+04,2.16232324e+04,1.45614111e+04,1.91896277e+03
1.93945324e+00,1.56100723e+04,2.18559805e+04,1.47511035e+04,1.95163306e+03
2.01495814e+00,1.55277910e+04,2.17407734e+04,1.46689697e+04,1.93643994e+03
2.09240627e+00,1.51823076e+04,2.12569023e+04,1.43316543e+04,1.90586060e+03
2.17184782e+00,1.46675195e+04,2.05361133e+04,1.38357344e+04,1.85812134e+03
2.25333428e+00,1.41161855e+04,1.97646172e+04,1.33264727e+04,1.87282886e+03
2.33691788e+00,1.39234785e+04,1.94964297e+04,1.32164238e+04,1.84511230e+03
2.42265272e+00,1.42641357e+04,1.99756367e+04,1.36375352e+04,2.06063745e+03
2.51059437e+00,1.49175410e+04,2.08924258e+04,1.43392402e+04,2.00993921e+03
2.60079956e+00,1.61330537e+04,2.25963066e+04,1.56001553e+04,2.35564575e+03
2.69332647e+00,1.78711836e+04,2.50322773e+04,1.73901133e+04,2.44349536e+03
2.78823495e+00,1.91246367e+04,2.67867383e+04,1.85702461e+04,2.69491992e+03
2.88558602e+00,1.87624531e+04,2.62779453e+04,1.81804414e+04,2.49786475e+03
2.98544264e+00,1.82011523e+04,2.54948672e+04,1.77671211e+04,2.55308838e+03
3.08786964e+00,1.74992051e+04,2.45087090e+04,1.68881699e+04,2.22795337e+03
3.19293284e+00,1.53719180e+04,2.15296270e+04,1.48522139e+04,2.05987622e+03
3.30070019e+00,1.63276104e+04,2.28733672e+04,1.59832520e+04,2.20982324e+03
3.41124129e+00,2.00353027e+04,2.80671562e+04,1.95488008e+04,2.62190308e+03
