Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.60719164e-03,9.98674892e-03,4.42400426e-02,1.04747355e+00
7.99999982e-02,8.52750521e-03,1.27222892e-02,4.16355655e-02,1.10446286e+00
1.19999997e-01,1.02310050e-02,1.51451100e-02,3.97207737e-02,1.12746763e+00
1.59999996e-01,1.26868915e-02,1.86084248e-02,3.75428684e-02,1.16917455e+00
2.00000003e-01,1.34237483e-02,1.95020065e-02,3.54481526e-02,1.19979167e+00
2.39999995e-01,1.54723907e-02,2.23595127e-02,3.37374844e-02,1.24102402e+00
2.80000001e-01,1.63236875e-02,2.33606491e-02,3.23819220e-02,1.27496612e+00
3.19999993e-01,1.78863108e-02,2.54422948e-02,3.13288942e-02,1.31968045e+00
3.60000014e-01,1.80190336e-02,2.53890716e-02,3.05438675e-02,1.35966802e+00
4.00000006e-01,1.92851685e-02,2.69824211e-02,2.98124664e-02,1.40405309e+00
4.39999998e-01,1.83187481e-02,2.54073963e-02,2.93181594e-02,1.45174146e+00
4.79999989e-01,1.93416085e-02,2.66091675e-02,2.87949350e-02,1.50325513e+00
5.19999981e-01,1.74911954e-02,2.38642208e-02,2.84611732e-02,1.55399191e+00
5.60000002e-01,1.80193130e-02,2.44072620e-02,2.81477906e-02,1.60539758e+00
6.00000024e-01,1.57173835e-02,2.11900845e-02,2.80053057e-02,1.66478753e+00
6.41029537e-01,1.59871727e-02,2.15288773e-02,2.80165356e-02,1.72337818e+00
6.83115125e-01,1.36109013e-02,1.83922946e-02,2.79635377e-02,1.79022598e+00
7.26283848e-01,1.31506259e-02,1.79413371e-02,2.82992776e-02,1.85941815e+00
7.70563781e-01,1.29812621e-02,1.77061129e-02,2.85706632e-02,1.93813920e+00
8.15983355e-01,1.35907289e-02,1.85842570e-02,2.92403959e-02,2.02519155e+00
8.62571895e-01,1.21450089e-02,1.67725887e-02,2.99570374e-02,2.12455845e+00
9.10359621e-01,1.33634256e-02,1.84580963e-02,3.11278887e-02,2.22915030e+00
9.59377348e-01,1.24014039e-02,1.73117667e-02,3.23565826e-02,2.34845185e+00
1.00965667e+00,1.34683661e-02,1.88035928e-02,3.40382531e-02,2.49318838e+00
1.06123006e+00,1.45913437e-02,2.03922912e-02,3.64171788e-02,2.64307523e+00
1.11413085e+00,1.58491489e-02,2.21902188e-02,3.95637900e-02,2.82230520e+00
1.16839325e+00,1.72060113e-02,2.41491813e-02,4.34750840e-02,3.02938557e+00
1.22405231e+00,1.84950382e-02,2.60756183e-02,4.81666252e-02,3.24020433e+00
1.28114390e+00,2.10155100e-02,2.97726598e-02,5.59969172e-02,3.50010109e+00
1.33970511e+00,2.50875019e-02,3.56211141e-02,6.61334097e-02,3.81748772e+00
1.39977336e+00,2.01053359e+04,2.81635391e+04,1.99068906e+04,2.03930432e+03
1.46138775e+00,2.49501328e+04,3.49306797e+04,2.34648770e+04,1.93411597e+03
1.52458799e+00,1.51699824e+04,2.12357461e+04,1.42786025e+04,1.28715186e+03
1.58941495e+00,1.41239785e+04,1.97779238e+04,1.36105508e+04,1.43326709e+03
1.65591037e+00,1.40194941e+04,1.96349746e+04,1.36814092e+04,1.56447925e+03
1.72411728e+00,1.44750742e+04,2.02755781e+04,1.42573789e+04,1.72881689e+03
1.79407966e+00,1.53717012e+04,2.15334727e+04,1.52435781e+04,1.92013147e+03
1.86584306e+00,1.63793691e+04,2.29459258e+04,1.62895986e+04,2.07472876e+03
1.93945324e+00,1.68727461e+04,2.36366797e+04,1.67617500e+04,2.11507153e+03
2.01495814e+00,1.64705898e+04,2.30725449e+04,1.63257773e+04,2.03432593e+03
2.09240627e+00,1.53331709e+04,2.14785059e+04,1.51538389e+04,1.85651941e+03
2.17184782e+00,1.37709893e+04,1.92897695e+04,1.35723477e+04,1.64677087e+03
2.25333428e+00,1.28298799e+04,1.79722422e+04,1.26665791e+04,1.56917358e+03
2.33691788e+00,1.32014766e+04,1.84942812e+04,1.30963633e+04,1.68956543e+03
2.42265272e+00,1.44067598e+04,2.01844844e+04,1.43786777e+04,1.93071997e+03
2.51059437e+00,1.58125791e+04,2.21543672e+04,1.58010332e+04,2.13989062e+03
2.60079956e+00,1.74168320e+04,2.44025195e+04,1.74611270e+04,2.42872949e+03
2.69332647e+00,1.92823516e+04,2.70165391e+04,1.93743438e+04,2.72316699e+03
2.78823495e+00,1.99106484e+04,2.78956562e+04,1.99580703e+04,2.78589600e+03
2.88558602e+00,1.83087188e+04,2.56513926e+04,1.83652773e+04,2.60490332e+03
2.98544264e+00,1.71193789e+04,2.39872402e+04,1.72624258e+04,2.49650195e+03
3.08786964e+00,1.64223516e+04,2.30089492e+04,1.64603281e+04,2.29022095e+03
3.19293284e+00,1.44514121e+04,2.02481895e+04,1.45166318e+04,2.07056860e+03
3.30070019e+00,1.51662520e+04,2.12524219e+04,1.53529531e+04,2.27892725e+03
3.41124129e+00,1.94531641e+04,2.72606523e+04,1.97114102e+04,2.90114258e+03
3.52462745e+00,2.27954141e+04,3.19403457e+04,2.29157520e+04,3.20789404e+03
3.64093208e+00,2.17328984e+04,3.04494180e+04,2.17727637e+04,3.03296045e+03
3.76023054e+00,2.20005039e+04,3.08232383e+04,2.19912734e+04,3.05092578e+03
3.88259912e+00,2.12014219e+04,2.97017891e+04,2.11077793e+04,2.89099268e+03
4.00811720e+00,1.80278984e+04,2.52542148e+04,1.78767070e+04,2.41595752e+03
4.13686609e+00,1.41167852e+04,1.97747402e+04,1.39720947e+04,1.91216797e+03
4.26892853e+00,1.22872178e+04,1.72145039e+04,1.22588867e+04,1.76399524e+03
4.40439081e+00,1.37284688e+04,1.92343965e+04,1.37222646e+04,1.96022620e+03
4.54333878e+00,1.47854531e+04,2.07147656e+04,1.47813770e+04,2.12389600e+03
4.68586397e+00,1.48343926e+04,2.07864180e+04,1.49713574e+04,2.27670825e+03
4.83205652e+00,1.64663926e+04,2.30750703e+04,1.66779805e+04,2.54206323e+03
4.98201227e+00,1.73617891e+04,2.43274805e+04,1.74852773e+04,2.57800806e+03
5.13582754e+00,1.61951230e+04,2.26921094e+04,1.62954551e+04,2.44455664e+03
5.29360199e+00,1.60060400e+04,2.24269297e+04,1.60983213e+04,2.43337671e+03
5.45543718e+00,1.54989180e+04,2.17150410e+04,1.55333066e+04,2.32049341e+03
5.62143755e+00,1.40571963e+04,1.96931113e+04,1.40096836e+04,2.04296802e+03
5.79171038e+00,1.27827725e+04,1.79063379e+04,1.26890869e+04,1.82924976e+03
5.96636629e+00,1.21905840e+04,1.70763398e+04,1.20893164e+04,1.74668469e+03
6.14551687e+00,1.18135117e+04,1.65481250e+04,1.17174336e+04,1.70779089e+03
6.32927942e+00,1.12441465e+04,1.57506074e+04,1.11540605e+04,1.64491284e+03
6.51777077e+00,1.04190654e+04,1.45950469e+04,1.03431523e+04,1.55453247e+03
6.71111441e+00,9.59099902e+03,1.34355830e+04,9.54075684e+03,1.46855042e+03
6.90943432e+00,9.11837793e+03,1.27738662e+04,9.08537012e+03,1.41947351e+03
7.11285782e+00,9.05600000e+03,1.26865293e+04,9.02775488e+03,1.41657312e+03
7.32151794e+00,9.30437891e+03,1.30346758e+04,9.28836133e+03,1.46717175e+03
7.53554821e+00,9.79632422e+03,1.37241279e+04,9.79395312e+03,1.54831616e+03
7.75508738e+00,1.02376494e+04,1.43425410e+04,1.02403428e+04,1.61591589e+03
7.98027754e+00,1.02590117e+04,1.43723037e+04,1.02528691e+04,1.61218066e+03
8.21126270e+00,9.46418555e+03,1.32584307e+04,9.44225781e+03,1.48928821e+03
8.44819450e+00,8.08016113e+03,1.13194326e+04,8.05731494e+03,1.30227551e+03
8.69122219e+00,7.21568359e+03,1.01085713e+04,7.20588232e+03,1.19929016e+03
8.94050789e+00,7.25063330e+03,1.01569014e+04,7.22309766e+03,1.18607764e+03
9.19620800e+00,7.52674121e+03,1.05432627e+04,7.49796826e+03,1.22504199e+03
9.45849037e+00,8.83615039e+03,1.23776875e+04,8.82832422e+03,1.40682104e+03
9.72752285e+00,1.07675859e+04,1.50820967e+04,1.07071133e+04,1.61274915e+03
1.00034800e+01,1.04611465e+04,1.46528301e+04,1.04200996e+04,1.59067688e+03
1.02865391e+01,9.39229883e+03,1.31570801e+04,9.43087891e+03,1.50369470e+03
1.05768833e+01,7.96346631e+03,1.11571553e+04,8.08301807e+03,1.36578430e+03
1.08747025e+01,6.78832275e+03,9.51408398e+03,7.05897412e+03,1.28400464e+03
1.11801853e+01,7.43796143e+03,1.04265449e+04,7.81173193e+03,1.39684424e+03
1.14935322e+01,8.82703125e+03,1.23728311e+04,9.22507031e+03,1.59478076e+03
1.18149433e+01,1.05191279e+04,1.47457803e+04,1.10507979e+04,1.91583472e+03
