Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.72021495e-05,9.68888708e-05,1.49888862e-02,3.95553131e+01
7.99999982e-02,7.69844482e-05,1.89293816e-04,1.92539003e-02,4.21659126e+01
1.19999997e-01,1.25705992e-04,2.95908947e-04,2.18910314e-02,4.33426514e+01
1.59999996e-01,1.78072587e-04,4.07692249e-04,2.45077051e-02,4.53300934e+01
2.00000003e-01,2.62176240e-04,5.83864399e-04,2.61469483e-02,4.63331833e+01
2.39999995e-01,3.64796811e-04,7.93294108e-04,2.83956937e-02,4.76255112e+01
2.80000001e-01,4.99468704e-04,1.06358796e-03,3.04222330e-02,4.80389557e+01
3.19999993e-01,6.74470793e-04,1.40909827e-03,3.25622335e-02,4.90413284e+01
3.60000014e-01,9.09714552e-04,1.86038273e-03,3.54479924e-02,4.92675018e+01
4.00000006e-01,1.16917701e-03,2.34649563e-03,3.99961621e-02,5.06155510e+01
4.39999998e-01,1.43814785e-03,2.84850947e-03,4.07143198e-02,5.10490913e+01
4.79999989e-01,1.75227982e-03,3.44082946e-03,4.82536182e-02,5.23600426e+01
5.19999981e-01,2.21943669e-03,4.30844678e-03,4.71367240e-02,5.29154510e+01
5.60000002e-01,2.87334528e-03,5.50919212e-03,5.44695072e-02,5.40265274e+01
6.00000024e-01,3.95141356e-03,7.43761053e-03,5.36271632e-02,5.47475281e+01
6.41029537e-01,6.10396452e-03,1.12718940e-02,5.83337136e-02,5.59041519e+01
6.83115125e-01,9.73291136e-03,1.73373912e-02,5.98325282e-02,5.69007568e+01
7.26283848e-01,2.22222358e-02,3.63745242e-02,6.42460138e-02,5.81408424e+01
7.70563781e-01,3.53862047e-02,5.58376797e-02,7.15286359e-02,5.92996292e+01
8.15983355e-01,6.25306964e-02,9.41194072e-02,7.94043243e-02,6.34572754e+01
8.62571895e-01,8.24201033e-02,1.20656982e-01,8.64523947e-02,6.84518433e+01
9.10359621e-01,1.15163855e-01,1.63746133e-01,9.19375718e-02,6.93655243e+01
9.59377348e-01,1.32703304e-01,1.85068458e-01,9.93696153e-02,6.91864090e+01
1.00965667e+00,1.50697395e-01,2.06582695e-01,1.09196156e-01,7.11457367e+01
1.06123006e+00,1.60910040e-01,2.17575237e-01,1.17149465e-01,7.32426605e+01
1.11413085e+00,1.58561513e-01,2.12946326e-01,1.28338814e-01,7.74271622e+01
1.16839325e+00,1.48576185e-01,1.99726582e-01,1.46458924e-01,8.50938721e+01
1.22405231e+00,1.38841793e-01,1.87531918e-01,1.64688975e-01,8.86714401e+01
1.28114390e+00,1.39907956e-01,1.90054193e-01,1.84999570e-01,8.50745239e+01
1.33970511e+00,1.42015308e-01,1.94104478e-01,2.11838186e-01,8.46156464e+01
1.39977336e+00,2.06676406e+04,2.89351836e+04,1.93712207e+04,1.26576294e+03
1.46138775e+00,2.54409531e+04,3.55770312e+04,2.15034082e+04,1.35194165e+03
1.52458799e+00,1.52688857e+04,2.13488906e+04,1.30660176e+04,9.93798218e+02
1.58941495e+00,1.47667520e+04,2.06605547e+04,1.32402891e+04,1.20982556e+03
1.65591037e+00,1.49621143e+04,2.09388594e+04,1.36327871e+04,1.29630518e+03
1.72411728e+00,1.46939336e+04,2.05641387e+04,1.34054492e+04,1.29323584e+03
1.79407966e+00,1.36602959e+04,1.91168477e+04,1.24249375e+04,1.20587280e+03
1.86584306e+00,1.24050654e+04,1.73604766e+04,1.12945625e+04,1.14253015e+03
1.93945324e+00,1.14796172e+04,1.60671748e+04,1.05308828e+04,1.12600537e+03
2.01495814e+00,1.13335312e+04,1.58660039e+04,1.05417285e+04,1.21456213e+03
2.09240627e+00,1.19289424e+04,1.67039707e+04,1.13096074e+04,1.40545911e+03
2.17184782e+00,1.34644961e+04,1.88589492e+04,1.30198994e+04,1.73283423e+03
2.25333428e+00,1.57412070e+04,2.20507988e+04,1.54224043e+04,2.12271118e+03
2.33691788e+00,1.74754375e+04,2.44810234e+04,1.72236914e+04,2.38668066e+03
2.42265272e+00,1.81975664e+04,2.54926309e+04,1.79643008e+04,2.46618945e+03
2.51059437e+00,1.82604668e+04,2.55802969e+04,1.80103965e+04,2.44153174e+03
2.60079956e+00,1.78513438e+04,2.50065410e+04,1.75691582e+04,2.33911523e+03
2.69332647e+00,1.71983867e+04,2.40906113e+04,1.68311270e+04,2.16666602e+03
2.78823495e+00,1.67791289e+04,2.35018965e+04,1.63180879e+04,2.04806787e+03
2.88558602e+00,1.67596562e+04,2.34742871e+04,1.62537422e+04,2.01029333e+03
2.98544264e+00,1.74963438e+04,2.45061348e+04,1.69332012e+04,2.08378662e+03
3.08786964e+00,1.86610273e+04,2.61363555e+04,1.79778906e+04,2.16443115e+03
3.19293284e+00,1.90550430e+04,2.66846270e+04,1.81833125e+04,2.14078271e+03
3.30070019e+00,1.86058828e+04,2.60530625e+04,1.76500586e+04,2.05726953e+03
3.41124129e+00,1.77609180e+04,2.48681250e+04,1.67595527e+04,1.94057422e+03
3.52462745e+00,1.65369902e+04,2.31529609e+04,1.55206914e+04,1.80125159e+03
3.64093208e+00,1.50997734e+04,2.11402695e+04,1.41366270e+04,1.66537769e+03
3.76023054e+00,1.36745898e+04,1.91456426e+04,1.28274814e+04,1.55899951e+03
3.88259912e+00,1.27010254e+04,1.77848008e+04,1.20151680e+04,1.53709473e+03
4.00811720e+00,1.23929463e+04,1.73554492e+04,1.18250391e+04,1.56033130e+03
4.13686609e+00,1.24026504e+04,1.73706445e+04,1.19235879e+04,1.62208411e+03
4.26892853e+00,1.27260986e+04,1.78258203e+04,1.23483086e+04,1.73715051e+03
4.40439081e+00,1.39217734e+04,1.95037363e+04,1.36641387e+04,1.98081921e+03
4.54333878e+00,1.57692861e+04,2.20938789e+04,1.55799805e+04,2.26760620e+03
4.68586397e+00,1.67758242e+04,2.35026387e+04,1.65357383e+04,2.37777002e+03
4.83205652e+00,1.69811406e+04,2.37891758e+04,1.67323359e+04,2.41130591e+03
4.98201227e+00,1.74279590e+04,2.44149082e+04,1.71989180e+04,2.47768481e+03
5.13582754e+00,1.77900254e+04,2.49213945e+04,1.75400215e+04,2.48663184e+03
5.29360199e+00,1.76451426e+04,2.47169141e+04,1.73294141e+04,2.38958521e+03
5.45543718e+00,1.69909375e+04,2.37987656e+04,1.66021367e+04,2.23060889e+03
5.62143755e+00,1.64415078e+04,2.30288086e+04,1.60263096e+04,2.11013452e+03
5.79171038e+00,1.63632598e+04,2.29178301e+04,1.58616602e+04,2.03030994e+03
5.96636629e+00,1.61188955e+04,2.25737148e+04,1.55328340e+04,1.96015918e+03
6.14551687e+00,1.60482920e+04,2.24745078e+04,1.54318701e+04,1.93445813e+03
6.32927942e+00,1.63521855e+04,2.28996309e+04,1.56734932e+04,1.95144019e+03
6.51777077e+00,1.65905195e+04,2.32323945e+04,1.58302939e+04,1.95045496e+03
6.71111441e+00,1.65504277e+04,2.31751445e+04,1.57313096e+04,1.94062781e+03
6.90943432e+00,1.62717490e+04,2.27838828e+04,1.54166191e+04,1.90909143e+03
7.11285782e+00,1.57763848e+04,2.20894180e+04,1.49186094e+04,1.87148840e+03
7.32151794e+00,1.51088672e+04,2.11546152e+04,1.42969893e+04,1.82870410e+03
7.53554821e+00,1.45177461e+04,2.03276230e+04,1.37797188e+04,1.79925562e+03
7.75508738e+00,1.40681748e+04,1.96992734e+04,1.34175195e+04,1.80154053e+03
