Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.04381904e-01,1.54176146e-01,1.05241999e-01,2.41709304e+00
7.99999982e-02,1.25652313e-01,1.84456170e-01,1.27530336e-01,2.68186378e+00
1.19999997e-01,1.45868987e-01,2.13360623e-01,1.57596156e-01,2.80100298e+00
1.59999996e-01,1.61798418e-01,2.35397637e-01,1.82175353e-01,3.03615618e+00
2.00000003e-01,1.57855690e-01,2.27916509e-01,1.70230001e-01,3.16578579e+00
2.39999995e-01,1.66405290e-01,2.39137664e-01,1.88403130e-01,3.34109259e+00
2.80000001e-01,1.64049178e-01,2.34473333e-01,1.85058683e-01,3.50723696e+00
3.19999993e-01,1.71263516e-01,2.43969530e-01,1.93949476e-01,3.67555952e+00
3.60000014e-01,1.70905054e-01,2.42354438e-01,1.86283201e-01,3.87256575e+00
4.00000006e-01,1.81172460e-01,2.56337643e-01,2.02334642e-01,4.05969572e+00
4.39999998e-01,1.79944947e-01,2.53416419e-01,1.85604870e-01,4.27460670e+00
4.79999989e-01,1.92236215e-01,2.70205736e-01,2.06300423e-01,4.48678207e+00
5.19999981e-01,1.88976228e-01,2.64447570e-01,1.86924070e-01,4.70989990e+00
5.60000002e-01,2.00594485e-01,2.80152559e-01,2.03415886e-01,4.95817661e+00
6.00000024e-01,1.94690049e-01,2.70778060e-01,1.85483322e-01,5.18384838e+00
6.41029537e-01,2.05657303e-01,2.85602093e-01,2.00759202e-01,5.45988655e+00
6.83115125e-01,1.95912212e-01,2.71159828e-01,1.86166346e-01,5.70467758e+00
7.26283848e-01,1.97086304e-01,2.72323817e-01,1.88778877e-01,6.00494242e+00
7.70563781e-01,1.94815248e-01,2.68948972e-01,1.94652617e-01,6.27574539e+00
8.15983355e-01,2.02047974e-01,2.79102892e-01,2.12780803e-01,6.61444855e+00
8.62571895e-01,1.91089571e-01,2.63744652e-01,2.06171244e-01,6.91619301e+00
9.10359621e-01,1.99593320e-01,2.76033759e-01,2.30346158e-01,7.33485413e+00
9.59377348e-01,1.91652268e-01,2.65027046e-01,2.27240264e-01,7.69099045e+00
1.00965667e+00,1.97257966e-01,2.73338735e-01,2.51562178e-01,8.08459759e+00
1.06123006e+00,2.05346271e-01,2.85217524e-01,2.76058763e-01,8.53401947e+00
1.11413085e+00,2.15412706e-01,3.00010026e-01,3.01570475e-01,8.96802616e+00
1.16839325e+00,2.26265818e-01,3.15722525e-01,3.26307416e-01,9.42555332e+00
1.22405231e+00,2.39238277e-01,3.34433436e-01,3.53397012e-01,9.89092159e+00
1.28114390e+00,2.69851834e-01,3.77942652e-01,4.03119296e-01,1.04732723e+01
1.33970511e+00,3.07624817e-01,4.31311429e-01,4.65475917e-01,1.10542603e+01
1.39977336e+00,2.00273730e+04,2.80543672e+04,1.98349160e+04,2.09957007e+03
1.46138775e+00,2.38581875e+04,3.34043281e+04,2.26023516e+04,1.95307349e+03
1.52458799e+00,1.50692422e+04,2.10970156e+04,1.42839580e+04,1.32341699e+03
1.58941495e+00,1.40637695e+04,1.96944648e+04,1.35882080e+04,1.43429614e+03
1.65591037e+00,1.38065332e+04,1.93366680e+04,1.34665059e+04,1.51578503e+03
1.72411728e+00,1.38102930e+04,1.93435508e+04,1.35549863e+04,1.59406897e+03
1.79407966e+00,1.39469727e+04,1.95361836e+04,1.37511797e+04,1.67038892e+03
1.86584306e+00,1.41552129e+04,1.98287773e+04,1.40032148e+04,1.74267725e+03
1.93945324e+00,1.43906953e+04,2.01593320e+04,1.42711357e+04,1.80926953e+03
2.01495814e+00,1.45953896e+04,2.04465625e+04,1.44988418e+04,1.86379407e+03
2.09240627e+00,1.47369766e+04,2.06452461e+04,1.46566094e+04,1.90520593e+03
2.17184782e+00,1.47998418e+04,2.07335527e+04,1.47308789e+04,1.93151074e+03
2.25333428e+00,1.48029727e+04,2.07381289e+04,1.47426348e+04,1.94731616e+03
2.33691788e+00,1.47774746e+04,2.07025977e+04,1.47258857e+04,1.96142249e+03
2.42265272e+00,1.47442227e+04,2.06562344e+04,1.47022500e+04,1.97626270e+03
