Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.34077165e-02,2.21642070e-02,2.97531098e-01,3.50134201e+01
7.99999982e-02,1.83565058e-02,2.98842378e-02,3.52659494e-01,3.75118332e+01
1.19999997e-01,2.06250381e-02,3.30994502e-02,3.90077293e-01,3.82818680e+01
1.59999996e-01,2.14685015e-02,3.40079479e-02,4.19840276e-01,3.97675858e+01
2.00000003e-01,2.19338425e-02,3.43609564e-02,4.33377802e-01,4.03188095e+01
2.39999995e-01,2.15308834e-02,3.34964730e-02,4.36332107e-01,4.15083466e+01
2.80000001e-01,2.14186367e-02,3.32150497e-02,4.43115234e-01,4.19325371e+01
3.19999993e-01,2.08522398e-02,3.23182754e-02,4.46712047e-01,4.29574127e+01
3.60000014e-01,2.09716745e-02,3.25023681e-02,4.53676760e-01,4.33987656e+01
4.00000006e-01,2.06702650e-02,3.21426094e-02,4.58242774e-01,4.43078766e+01
4.39999998e-01,2.09588297e-02,3.26236449e-02,4.63015348e-01,4.47450714e+01
4.79999989e-01,2.12492496e-02,3.31912860e-02,4.67783868e-01,4.58642769e+01
5.19999981e-01,2.15191245e-02,3.36551890e-02,4.72946942e-01,4.59096413e+01
5.60000002e-01,2.27525309e-02,3.55490036e-02,4.79084671e-01,4.64786797e+01
6.00000024e-01,2.29688827e-02,3.58954966e-02,4.86573994e-01,4.67814636e+01
6.41029537e-01,2.51425877e-02,3.90084758e-02,4.92831707e-01,4.72277679e+01
6.83115125e-01,2.52760854e-02,3.92882302e-02,5.01851439e-01,4.88214302e+01
7.26283848e-01,2.69630030e-02,4.17485759e-02,5.11476040e-01,4.85213928e+01
7.70563781e-01,2.85579972e-02,4.41984385e-02,5.22683144e-01,4.88360481e+01
8.15983355e-01,3.18837166e-02,4.88014780e-02,5.36926687e-01,4.91127739e+01
8.62571895e-01,3.27729955e-02,5.02068102e-02,5.50974369e-01,4.96834068e+01
9.10359621e-01,3.63352336e-02,5.53255044e-02,5.67917585e-01,5.04053307e+01
9.59377348e-01,3.78458686e-02,5.76863736e-02,5.86364985e-01,5.10959473e+01
1.00965667e+00,4.12842259e-02,6.24971464e-02,6.06983423e-01,5.24375420e+01
1.06123006e+00,4.48004156e-02,6.75100759e-02,6.29829645e-01,5.30709877e+01
1.11413085e+00,4.82689627e-02,7.25804418e-02,6.54682875e-01,5.45758591e+01
1.16839325e+00,5.19908816e-02,7.79015571e-02,6.83653057e-01,5.56975060e+01
1.22405231e+00,5.58541007e-02,8.36669281e-02,7.16325521e-01,5.62408028e+01
1.28114390e+00,6.05848953e-02,9.05892998e-02,7.51413941e-01,5.83150826e+01
1.33970511e+00,6.45157769e-02,9.68419164e-02,7.90871739e-01,5.93940201e+01
1.39977336e+00,2.06744844e+04,2.89456094e+04,1.94284688e+04,1.29030005e+03
1.46138775e+00,2.60063477e+04,3.63665625e+04,2.18977383e+04,1.34007764e+03
1.52458799e+00,1.54944668e+04,2.16626250e+04,1.32003281e+04,9.43995911e+02
1.58941495e+00,1.44246328e+04,2.01792734e+04,1.28242744e+04,1.11038562e+03
1.65591037e+00,1.40400176e+04,1.96462539e+04,1.27107520e+04,1.18521277e+03
1.72411728e+00,1.36511172e+04,1.91046250e+04,1.24749639e+04,1.21612988e+03
1.79407966e+00,1.31745107e+04,1.84393320e+04,1.21181211e+04,1.23217139e+03
1.86584306e+00,1.27735859e+04,1.78801426e+04,1.18430957e+04,1.26190576e+03
1.93945324e+00,1.27916719e+04,1.79082227e+04,1.19905996e+04,1.35266968e+03
2.01495814e+00,1.33934258e+04,1.87538223e+04,1.27072539e+04,1.51092529e+03
2.09240627e+00,1.44340771e+04,2.02139375e+04,1.38540254e+04,1.72091211e+03
2.17184782e+00,1.56493965e+04,2.19179258e+04,1.51411416e+04,1.91306140e+03
2.25333428e+00,1.65469043e+04,2.31751973e+04,1.60343691e+04,2.01377466e+03
2.33691788e+00,1.68296562e+04,2.35703906e+04,1.62746113e+04,2.01846204e+03
2.42265272e+00,1.65726680e+04,2.32095859e+04,1.59834062e+04,1.95615637e+03
2.51059437e+00,1.58704590e+04,2.22252578e+04,1.52489092e+04,1.84259192e+03
2.60079956e+00,1.50835361e+04,2.11222266e+04,1.44190137e+04,1.70701917e+03
2.69332647e+00,1.46048027e+04,2.04516367e+04,1.39307637e+04,1.64560669e+03
2.78823495e+00,1.47982744e+04,2.07232539e+04,1.41319531e+04,1.69031128e+03
2.88558602e+00,1.54740840e+04,2.16703867e+04,1.48041699e+04,1.78757690e+03
2.98544264e+00,1.61823125e+04,2.26620000e+04,1.54686504e+04,1.86661890e+03
3.08786964e+00,1.67043086e+04,2.33919277e+04,1.59319512e+04,1.91819238e+03
3.19293284e+00,1.65248457e+04,2.31399062e+04,1.57365020e+04,1.89937866e+03
3.30070019e+00,1.57564248e+04,2.20631230e+04,1.49632598e+04,1.80929321e+03
3.41124129e+00,1.45445215e+04,2.03664219e+04,1.38153809e+04,1.71211646e+03
3.52462745e+00,1.35738320e+04,1.90096777e+04,1.29872109e+04,1.66405640e+03
3.64093208e+00,1.32026309e+04,1.84907422e+04,1.26613232e+04,1.64834326e+03
