Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.47592931e-04,7.44699268e-04,2.99048554e-02,6.11707497e+00
7.99999982e-02,8.36407882e-04,1.34389265e-03,3.46323960e-02,6.60773659e+00
1.19999997e-01,1.27126556e-03,2.01063859e-03,3.69298942e-02,6.66183662e+00
1.59999996e-01,1.68770354e-03,2.64036562e-03,3.83258127e-02,6.86940575e+00
2.00000003e-01,2.07445025e-03,3.20758368e-03,3.92801985e-02,6.92915726e+00
2.39999995e-01,2.36481568e-03,3.63256875e-03,4.00989428e-02,7.10631847e+00
2.80000001e-01,2.60787923e-03,3.99987958e-03,4.10109609e-02,7.11965752e+00
3.19999993e-01,2.86346395e-03,4.38518357e-03,4.19477597e-02,7.10062933e+00
3.60000014e-01,3.16693913e-03,4.84445924e-03,4.28251028e-02,7.10453796e+00
4.00000006e-01,3.45140090e-03,5.27902320e-03,4.39027622e-02,7.38787842e+00
4.39999998e-01,3.76817584e-03,5.77086676e-03,4.53314781e-02,7.42410183e+00
4.79999989e-01,4.17479035e-03,6.38329703e-03,4.69533727e-02,7.33050251e+00
5.19999981e-01,4.55851667e-03,6.96671801e-03,4.89814803e-02,7.21329355e+00
5.60000002e-01,4.99735866e-03,7.63481436e-03,5.13592996e-02,7.43007803e+00
6.00000024e-01,5.55121340e-03,8.48097354e-03,5.40625416e-02,7.34663391e+00
6.41029537e-01,6.14131382e-03,9.39163100e-03,5.71507066e-02,7.43504620e+00
6.83115125e-01,6.89066108e-03,1.05390679e-02,6.04905672e-02,7.65107155e+00
7.26283848e-01,7.67315459e-03,1.17243016e-02,6.41715750e-02,7.73756170e+00
7.70563781e-01,8.74061324e-03,1.33329891e-02,6.81241527e-02,7.82144165e+00
8.15983355e-01,9.72302444e-03,1.47750955e-02,7.21991956e-02,7.78099728e+00
8.62571895e-01,1.09595051e-02,1.65587850e-02,7.65969977e-02,7.99862289e+00
9.10359621e-01,1.19225681e-02,1.79187842e-02,8.12215135e-02,8.07272339e+00
9.59377348e-01,1.29628265e-02,1.93718560e-02,8.62749368e-02,8.28573513e+00
1.00965667e+00,1.40107553e-02,2.08205041e-02,9.21096355e-02,8.38833904e+00
1.06123006e+00,1.49044394e-02,2.20540538e-02,9.87254977e-02,8.54934311e+00
1.11413085e+00,1.59444865e-02,2.34935340e-02,1.06986679e-01,8.68173409e+00
1.16839325e+00,1.70513317e-02,2.50545461e-02,1.17652059e-01,8.89871693e+00
1.22405231e+00,1.83505770e-02,2.69137062e-02,1.31574973e-01,9.05838776e+00
1.28114390e+00,2.04119273e-02,2.98500992e-02,1.50423259e-01,9.23810101e+00
1.33970511e+00,2.19491068e-02,3.21279652e-02,1.75635025e-01,9.40968132e+00
1.39977336e+00,2.01367266e+04,2.82075000e+04,1.99369238e+04,2.05060352e+03
1.46138775e+00,2.49242070e+04,3.48938867e+04,2.34046387e+04,1.90881128e+03
1.52458799e+00,1.45827090e+04,2.04135039e+04,1.37227617e+04,1.22297156e+03
1.58941495e+00,1.35511191e+04,1.89753730e+04,1.30393525e+04,1.34486292e+03
1.65591037e+00,1.33560244e+04,1.87049688e+04,1.29934746e+04,1.43880225e+03
1.72411728e+00,1.34130986e+04,1.87866602e+04,1.31402129e+04,1.52243994e+03
1.79407966e+00,1.35973164e+04,1.90458828e+04,1.33831309e+04,1.59879517e+03
1.86584306e+00,1.37632266e+04,1.92790195e+04,1.35859902e+04,1.65483643e+03
1.93945324e+00,1.37976504e+04,1.93276523e+04,1.36423779e+04,1.68168677e+03
2.01495814e+00,1.36570137e+04,1.91308633e+04,1.35148027e+04,1.67854578e+03
2.09240627e+00,1.33613691e+04,1.87168477e+04,1.32281016e+04,1.65229370e+03
2.17184782e+00,1.30074541e+04,1.82212676e+04,1.28853926e+04,1.62174634e+03
2.25333428e+00,1.28063047e+04,1.79398984e+04,1.27044785e+04,1.62074536e+03
2.33691788e+00,1.29176162e+04,1.80964160e+04,1.28430840e+04,1.66660474e+03
2.42265272e+00,1.32714600e+04,1.85926797e+04,1.32242891e+04,1.74443359e+03
2.51059437e+00,1.37331143e+04,1.92399023e+04,1.37114307e+04,1.83423364e+03
2.60079956e+00,1.41663184e+04,1.98471133e+04,1.41647129e+04,1.91432593e+03
2.69332647e+00,1.44103145e+04,2.01891035e+04,1.44216387e+04,1.96097888e+03
2.78823495e+00,1.44980977e+04,2.03122090e+04,1.45187930e+04,1.98324072e+03
2.88558602e+00,1.44764531e+04,2.02820059e+04,1.45049141e+04,1.98968994e+03
2.98544264e+00,1.44061045e+04,2.01835352e+04,1.44381377e+04,1.98255005e+03
3.08786964e+00,1.44449727e+04,2.02380508e+04,1.44783887e+04,1.99107471e+03
3.19293284e+00,1.47855020e+04,2.07153438e+04,1.48285352e+04,2.04655225e+03
3.30070019e+00,1.54129336e+04,2.15944727e+04,1.54607480e+04,2.13473682e+03
3.41124129e+00,1.59715791e+04,2.23770156e+04,1.60155137e+04,2.20980103e+03
3.52462745e+00,1.65011719e+04,2.31186523e+04,1.65322383e+04,2.26745557e+03
3.64093208e+00,1.66061953e+04,2.32652148e+04,1.66117285e+04,2.26198145e+03
3.76023054e+00,1.60571348e+04,2.24955039e+04,1.60384199e+04,2.16900732e+03
3.88259912e+00,1.51550762e+04,2.12315977e+04,1.51236270e+04,2.04493750e+03
4.00811720e+00,1.42073984e+04,1.99041133e+04,1.41768203e+04,1.91952539e+03
4.13686609e+00,1.34079932e+04,1.87844043e+04,1.33831074e+04,1.82878113e+03
4.26892853e+00,1.32883076e+04,1.86173398e+04,1.32889141e+04,1.83855676e+03
4.40439081e+00,1.41938047e+04,1.98865605e+04,1.42235898e+04,1.99304333e+03
4.54333878e+00,1.55265879e+04,2.17541445e+04,1.55762266e+04,2.19803955e+03
4.68586397e+00,1.65482734e+04,2.31853320e+04,1.65940898e+04,2.33504590e+03
4.83205652e+00,1.68279082e+04,2.35765742e+04,1.68589961e+04,2.36836401e+03
4.98201227e+00,1.68372539e+04,2.35894746e+04,1.68654062e+04,2.37582764e+03
5.13582754e+00,1.61294941e+04,2.25978750e+04,1.61561006e+04,2.28690259e+03
5.29360199e+00,1.51409473e+04,2.12136016e+04,1.51929902e+04,2.18138232e+03
5.45543718e+00,1.50525273e+04,2.10903086e+04,1.51260898e+04,2.18751270e+03
5.62143755e+00,1.46461230e+04,2.05209414e+04,1.47227197e+04,2.13924658e+03
5.79171038e+00,1.51394062e+04,2.12124727e+04,1.52385938e+04,2.23033887e+03
5.96636629e+00,1.65506191e+04,2.31891641e+04,1.66323438e+04,2.40793042e+03
6.14551687e+00,1.70352832e+04,2.38672246e+04,1.70739160e+04,2.44059009e+03
6.32927942e+00,1.63376914e+04,2.28888789e+04,1.63303105e+04,2.31722632e+03
6.51777077e+00,1.51557373e+04,2.12323320e+04,1.51225576e+04,2.15485083e+03
6.71111441e+00,1.44033525e+04,2.01782480e+04,1.43730254e+04,2.07738354e+03
6.90943432e+00,1.45330752e+04,2.03603438e+04,1.45204072e+04,2.13020044e+03
7.11285782e+00,1.48745127e+04,2.08388320e+04,1.48684414e+04,2.19914502e+03
7.32151794e+00,1.45871514e+04,2.04364043e+04,1.45875439e+04,2.18403833e+03
7.53554821e+00,1.43744844e+04,2.01386777e+04,1.43805859e+04,2.17304810e+03
7.75508738e+00,1.38631953e+04,1.94220410e+04,1.38561777e+04,2.10561646e+03
7.98027754e+00,1.26305820e+04,1.76954961e+04,1.26442666e+04,1.97077625e+03
8.21126270e+00,1.21922812e+04,1.70819531e+04,1.22361855e+04,1.94603247e+03
8.44819450e+00,1.20107139e+04,1.68274688e+04,1.20633848e+04,1.93787573e+03
8.69122219e+00,1.20112441e+04,1.68296738e+04,1.21380879e+04,2.00631018e+03
8.94050789e+00,1.42172793e+04,1.99211660e+04,1.43678447e+04,2.32399731e+03
9.19620800e+00,1.47723174e+04,2.06980918e+04,1.48803955e+04,2.38717700e+03
9.45849037e+00,1.46983926e+04,2.05952461e+04,1.48511738e+04,2.42916748e+03
9.72752285e+00,1.56746982e+04,2.19623691e+04,1.58119316e+04,2.54620972e+03
1.00034800e+01,1.40683066e+04,1.97119824e+04,1.42161562e+04,2.32679565e+03
1.02865391e+01,1.25676025e+04,1.76101934e+04,1.27476836e+04,2.13886328e+03
1.05768833e+01,1.27194375e+04,1.78229434e+04,1.29128428e+04,2.19030811e+03
1.08747025e+01,1.36530781e+04,1.91326230e+04,1.39494033e+04,2.38742310e+03
1.11801853e+01,1.45338203e+04,2.03664121e+04,1.48751738e+04,2.46251978e+03
1.14935322e+01,1.43227432e+04,2.00686328e+04,1.46526621e+04,2.39071606e+03
1.18149433e+01,1.47770986e+04,2.07070977e+04,1.52280176e+04,2.55961914e+03
1.21446266e+01,1.50028281e+04,2.10239297e+04,1.54524600e+04,2.58798584e+03
1.24827967e+01,1.05052588e+04,1.47265039e+04,1.09586719e+04,2.08676343e+03
1.28296700e+01,7.59777734e+03,1.06551689e+04,8.31583203e+03,1.95253845e+03
1.31854706e+01,8.19925391e+03,1.14992500e+04,9.34084277e+03,2.16146826e+03
1.35504293e+01,8.74327637e+03,1.22645801e+04,1.04598145e+04,2.23276025e+03
1.39247818e+01,8.62311621e+03,1.21061338e+04,1.16653105e+04,2.20325610e+03
1.43087692e+01,9.33793359e+03,1.31263125e+04,1.51660117e+04,2.28873926e+03
1.47026405e+01,1.16361484e+04,1.63921621e+04,2.01308867e+04,2.55238159e+03
1.51066484e+01,1.60475566e+04,2.26479141e+04,2.53276250e+04,2.87903003e+03
1.55210552e+01,2.13898164e+04,3.01562109e+04,3.05781328e+04,3.23175732e+03
1.59461288e+01,2.64049004e+04,3.71838281e+04,3.45220703e+04,3.34876953e+03
1.63821430e+01,3.07218691e+04,4.32141914e+04,3.64271172e+04,3.32993091e+03
1.68293781e+01,3.35214023e+04,4.70810742e+04,3.70874453e+04,3.21075098e+03
1.72881241e+01,3.80803789e+04,5.34230820e+04,3.88806055e+04,3.40874365e+03
1.77586803e+01,4.19828672e+04,5.88525391e+04,3.95791953e+04,3.39104834e+03
1.82413464e+01,4.36477539e+04,6.10644727e+04,3.76862812e+04,3.15406812e+03
1.87364349e+01,4.40363359e+04,6.15426953e+04,3.63991953e+04,3.15357690e+03
1.92442665e+01,3.97815703e+04,5.55054961e+04,3.01295449e+04,2.71064648e+03
1.97651691e+01,3.47071016e+04,4.83673359e+04,2.71012305e+04,2.87315430e+03
2.02994785e+01,3.30112344e+04,4.60738633e+04,2.86543574e+04,3.07659717e+03
2.08475418e+01,3.02376367e+04,4.22375156e+04,2.70278281e+04,3.01818652e+03
2.14097099e+01,2.46887070e+04,3.45234375e+04,2.32375879e+04,2.17823730e+03
2.19863453e+01,1.62967988e+04,2.27690039e+04,1.36670771e+04,5.82944824e+02
2.25778236e+01,5.74187012e+03,7.98751660e+03,3.42534741e+03,1.94398575e+01
2.31845264e+01,1.42806140e+03,1.97384412e+03,5.61003662e+02,7.42784917e-01
2.38068466e+01,4.78721466e+02,6.60302856e+02,2.45910904e+02,3.01156759e-01
2.44451809e+01,5.88519775e+02,8.16224243e+02,2.98560883e+02,1.28987387e-01
2.50999470e+01,7.95020264e+02,1.09691333e+03,2.44788910e+02,2.70992424e-02
