Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.16689899e-03,2.20059650e-03,4.54186834e-02,3.23222971e+00
7.99999982e-02,3.53298592e-03,6.22276915e-03,5.96638806e-02,3.51916766e+00
1.19999997e-01,6.51165191e-03,1.08583188e-02,7.18410164e-02,3.63028383e+00
1.59999996e-01,8.72167200e-03,1.44084096e-02,9.11905915e-02,3.83170009e+00
2.00000003e-01,1.40745752e-02,2.29572877e-02,1.15208492e-01,3.94749808e+00
2.39999995e-01,2.33177692e-02,3.69281396e-02,1.45095348e-01,4.08881664e+00
2.80000001e-01,3.53236459e-02,5.48412129e-02,1.80390731e-01,4.21086550e+00
3.19999993e-01,5.00814393e-02,7.59578943e-02,2.23979920e-01,4.35013485e+00
3.60000014e-01,6.89341873e-02,1.02712423e-01,2.77272552e-01,4.49143600e+00
4.00000006e-01,8.46608281e-02,1.24832958e-01,3.41398060e-01,4.64009333e+00
4.39999998e-01,1.05831921e-01,1.54689223e-01,4.16853219e-01,4.79980898e+00
4.79999989e-01,1.26632810e-01,1.83789313e-01,5.03951907e-01,4.95363426e+00
5.19999981e-01,1.46648362e-01,2.11645365e-01,6.02916241e-01,5.11295938e+00
5.60000002e-01,1.65562868e-01,2.37920210e-01,7.10946620e-01,5.26261902e+00
6.00000024e-01,1.89379171e-01,2.70696759e-01,8.31815660e-01,5.39713860e+00
6.41029537e-01,2.09675133e-01,2.98394352e-01,9.54984069e-01,5.54381990e+00
6.83115125e-01,2.24581912e-01,3.18478674e-01,1.07764447e+00,5.66320944e+00
7.26283848e-01,2.37442061e-01,3.35634500e-01,1.18691254e+00,5.82306528e+00
7.70563781e-01,2.51263797e-01,3.54756474e-01,1.26433265e+00,5.97215557e+00
8.15983355e-01,2.56934345e-01,3.62317085e-01,1.29372025e+00,6.18655014e+00
8.62571895e-01,2.74423301e-01,3.87449503e-01,1.26257825e+00,6.38081503e+00
9.10359621e-01,2.82552063e-01,3.98821175e-01,1.15921891e+00,6.64265013e+00
9.59377348e-01,3.01740170e-01,4.26490098e-01,1.01715457e+00,6.86710739e+00
1.00965667e+00,3.23053867e-01,4.55390394e-01,8.45882297e-01,7.17504501e+00
1.06123006e+00,3.51318985e-01,4.94465083e-01,7.24252701e-01,7.50123787e+00
1.11413085e+00,3.93823177e-01,5.53925455e-01,6.62317157e-01,7.96534061e+00
1.16839325e+00,4.48273271e-01,6.30261898e-01,6.67244077e-01,8.24651051e+00
1.22405231e+00,5.04609048e-01,7.09058464e-01,7.04186678e-01,9.17295456e+00
1.28114390e+00,6.08481228e-01,8.59064698e-01,8.65064502e-01,8.71982670e+00
1.33970511e+00,7.17455029e-01,1.01528800e+00,1.06987882e+00,9.48390865e+00
1.39977336e+00,2.05964902e+04,2.88352793e+04,1.92928164e+04,1.18085815e+03
1.46138775e+00,2.53745000e+04,3.54833008e+04,2.14972812e+04,1.30682166e+03
1.52458799e+00,1.61217266e+04,2.25437852e+04,1.38895781e+04,9.96869812e+02
1.58941495e+00,1.54763223e+04,2.16550938e+04,1.39569551e+04,1.24432776e+03
1.65591037e+00,1.57354941e+04,2.20240312e+04,1.44782871e+04,1.38729578e+03
1.72411728e+00,1.59724404e+04,2.23581836e+04,1.48082695e+04,1.45357336e+03
1.79407966e+00,1.57176328e+04,2.20013242e+04,1.45603643e+04,1.42787683e+03
1.86584306e+00,1.46342793e+04,2.04838867e+04,1.35073770e+04,1.32548584e+03
1.93945324e+00,1.32007676e+04,1.84776914e+04,1.21877637e+04,1.22995020e+03
2.01495814e+00,1.22940557e+04,1.72111133e+04,1.14535410e+04,1.23265112e+03
2.09240627e+00,1.25018496e+04,1.75062793e+04,1.18406758e+04,1.38083960e+03
2.17184782e+00,1.38388760e+04,1.93832559e+04,1.33476387e+04,1.66987463e+03
