Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.54019022e-01,3.56490701e-01,2.82954216e-01,1.65302813e+00
7.99999982e-02,2.65909702e-01,3.73220265e-01,3.12097222e-01,1.72334397e+00
1.19999997e-01,2.72891164e-01,3.83045614e-01,3.31043780e-01,1.77307665e+00
1.59999996e-01,2.78256178e-01,3.90555829e-01,3.50878417e-01,1.84676242e+00
2.00000003e-01,2.82963991e-01,3.97306353e-01,3.71896118e-01,1.91246951e+00
2.39999995e-01,2.88831681e-01,4.05315697e-01,3.82918775e-01,1.94615412e+00
2.80000001e-01,2.96195477e-01,4.15928245e-01,4.11766559e-01,2.03533697e+00
3.19999993e-01,3.10777694e-01,4.35418814e-01,4.18703645e-01,2.05130672e+00
3.60000014e-01,3.11324716e-01,4.36512768e-01,4.38549757e-01,2.13695908e+00
4.00000006e-01,3.31599474e-01,4.64449376e-01,4.53168333e-01,2.15912366e+00
4.39999998e-01,3.25704515e-01,4.56143498e-01,4.53658670e-01,2.20612907e+00
4.79999989e-01,3.51104558e-01,4.91258740e-01,4.72990990e-01,2.26927900e+00
5.19999981e-01,3.41684520e-01,4.77613926e-01,4.60403293e-01,2.29385614e+00
5.60000002e-01,3.69040042e-01,5.15206814e-01,4.84859914e-01,2.39647865e+00
6.00000024e-01,3.57418835e-01,4.98306572e-01,4.71318960e-01,2.41896915e+00
6.41029537e-01,3.80065978e-01,5.29336512e-01,5.02320647e-01,2.53969097e+00
6.83115125e-01,3.62260550e-01,5.03890991e-01,4.96059000e-01,2.56425405e+00
7.26283848e-01,3.58862549e-01,4.98858660e-01,5.25692999e-01,2.69543076e+00
7.70563781e-01,3.51621658e-01,4.88699377e-01,5.52540123e-01,2.73913574e+00
8.15983355e-01,3.54644448e-01,4.92764235e-01,6.06196463e-01,2.87379527e+00
8.62571895e-01,3.37026536e-01,4.69156086e-01,6.77483916e-01,2.93641949e+00
9.10359621e-01,3.41292232e-01,4.75831926e-01,8.03647935e-01,3.07728148e+00
9.59377348e-01,3.30699623e-01,4.62791473e-01,9.95449841e-01,3.19850326e+00
1.00965667e+00,3.37140441e-01,4.73324925e-01,1.29135048e+00,3.31456995e+00
1.06123006e+00,3.49725276e-01,4.93189365e-01,1.71378684e+00,3.47875571e+00
1.11413085e+00,3.73526484e-01,5.30617952e-01,2.26101398e+00,3.64444661e+00
1.16839325e+00,4.23136503e-01,6.08416140e-01,2.89115310e+00,3.82169247e+00
1.22405231e+00,5.21943390e-01,7.60633349e-01,3.53150439e+00,4.02706575e+00
1.28114390e+00,6.96402848e-01,1.02257192e+00,4.11320972e+00,4.26825666e+00
1.33970511e+00,9.39472079e-01,1.38095629e+00,4.61696243e+00,4.52272081e+00
1.39977336e+00,1.89758691e+04,2.65796816e+04,1.86920820e+04,1.92107861e+03
1.46138775e+00,2.06185801e+04,2.88707559e+04,1.97486973e+04,1.83801050e+03
1.52458799e+00,1.84374043e+04,2.58189160e+04,1.78041738e+04,1.79695068e+03
1.58941495e+00,1.75712188e+04,2.46095176e+04,1.71411465e+04,1.88199243e+03
1.65591037e+00,1.74007793e+04,2.43726836e+04,1.70718242e+04,1.95981519e+03
1.72411728e+00,1.73996484e+04,2.43721875e+04,1.71253320e+04,2.01741736e+03
1.79407966e+00,1.73932109e+04,2.43636875e+04,1.71461660e+04,2.05085205e+03
1.86584306e+00,1.73472461e+04,2.42994863e+04,1.71110957e+04,2.06668164e+03
1.93945324e+00,1.72615586e+04,2.41794629e+04,1.70282773e+04,2.06503735e+03
2.01495814e+00,1.70678867e+04,2.39079004e+04,1.68259160e+04,2.03926294e+03
2.09240627e+00,1.66976445e+04,2.33888926e+04,1.64415742e+04,1.98895605e+03
2.17184782e+00,1.61585889e+04,2.26333613e+04,1.58892822e+04,1.91683472e+03
2.25333428e+00,1.54787354e+04,2.16806738e+04,1.51996309e+04,1.83129529e+03
2.33691788e+00,1.46618350e+04,2.05360859e+04,1.43809902e+04,1.73229321e+03
2.42265272e+00,1.37395957e+04,1.92440840e+04,1.34667305e+04,1.62550903e+03
2.51059437e+00,1.27661299e+04,1.78804941e+04,1.25119238e+04,1.52291199e+03
2.60079956e+00,1.18233682e+04,1.65601797e+04,1.15936426e+04,1.41815625e+03
2.69332647e+00,1.09476875e+04,1.53339170e+04,1.07442607e+04,1.33106604e+03
2.78823495e+00,1.01504707e+04,1.42175195e+04,9.97200879e+03,1.24718518e+03
2.88558602e+00,9.43419043e+03,1.32145000e+04,9.27991602e+03,1.17283716e+03
2.98544264e+00,8.81747852e+03,1.23509014e+04,8.68354492e+03,1.10886975e+03
3.08786964e+00,8.28040234e+03,1.15988047e+04,8.16381348e+03,1.05670691e+03
3.19293284e+00,7.81976611e+03,1.09537109e+04,7.71711670e+03,1.00648492e+03
3.30070019e+00,7.42778516e+03,1.04047881e+04,7.33699121e+03,9.65372009e+02
