Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.72530986e-06,2.52318750e-06,1.50660798e-01,9.50220585e+00
7.99999982e-02,1.46916627e-05,2.67659525e-05,2.69301862e-01,1.11869316e+01
1.19999997e-01,7.83468349e-05,1.57556991e-04,3.82904410e-01,1.19775572e+01
1.59999996e-01,2.06872995e-04,4.28324245e-04,4.90631640e-01,1.28385410e+01
2.00000003e-01,3.76545475e-04,7.74912187e-04,5.53650022e-01,1.29406118e+01
2.39999995e-01,7.31803826e-04,1.43838744e-03,6.53744102e-01,1.34141169e+01
2.80000001e-01,1.25225284e-03,2.34337128e-03,7.36841142e-01,1.34522533e+01
3.19999993e-01,1.93983014e-03,3.55389575e-03,8.71879518e-01,1.39600458e+01
3.60000014e-01,3.25654354e-03,5.83908055e-03,9.83341873e-01,1.41125956e+01
4.00000006e-01,5.35248080e-03,9.70744714e-03,1.15412438e+00,1.50050440e+01
4.39999998e-01,9.02775209e-03,1.63467359e-02,1.21601737e+00,1.52002430e+01
4.79999989e-01,1.52853709e-02,2.73703039e-02,1.34030581e+00,1.61152573e+01
5.19999981e-01,2.43398808e-02,4.24359664e-02,1.39302659e+00,1.62784615e+01
5.60000002e-01,3.41118239e-02,5.71501330e-02,1.50218225e+00,1.70033932e+01
6.00000024e-01,4.23758030e-02,6.88676238e-02,1.60609019e+00,1.72578793e+01
6.41029537e-01,5.50049171e-02,8.70151892e-02,1.65136862e+00,1.79599590e+01
6.83115125e-01,6.53105676e-02,1.01961873e-01,1.81293166e+00,1.80532246e+01
7.26283848e-01,8.23682994e-02,1.27362847e-01,1.88151121e+00,1.81851311e+01
7.70563781e-01,1.03405409e-01,1.58706829e-01,2.04530001e+00,1.87726097e+01
8.15983355e-01,1.38679877e-01,2.10435152e-01,2.24079108e+00,1.94092159e+01
8.62571895e-01,1.59750253e-01,2.40306407e-01,2.35945630e+00,1.94756603e+01
9.10359621e-01,2.00818002e-01,2.99386591e-01,2.58723068e+00,2.00249519e+01
9.59377348e-01,2.19696641e-01,3.26025486e-01,2.69913173e+00,2.04634800e+01
1.00965667e+00,2.54564077e-01,3.76807094e-01,2.90439701e+00,2.12473869e+01
1.06123006e+00,2.98653156e-01,4.42575514e-01,3.15060902e+00,2.18177681e+01
1.11413085e+00,3.51971895e-01,5.22069752e-01,3.43078136e+00,2.36926517e+01
1.16839325e+00,3.90367568e-01,5.78951895e-01,3.66996121e+00,2.40621872e+01
1.22405231e+00,4.38781142e-01,6.49345279e-01,3.91555405e+00,2.62653961e+01
1.28114390e+00,5.07249057e-01,7.47989714e-01,4.12218809e+00,2.77400703e+01
1.33970511e+00,6.00664616e-01,8.83205235e-01,4.40771866e+00,2.94313545e+01
1.39977336e+00,2.06174414e+04,2.88644844e+04,1.93130586e+04,1.25141846e+03
1.46138775e+00,2.48495312e+04,3.47513477e+04,2.11445039e+04,1.31172681e+03
1.52458799e+00,1.61256973e+04,2.25481152e+04,1.38142656e+04,9.74372437e+02
1.58941495e+00,1.46865039e+04,2.05452480e+04,1.30154307e+04,1.09137341e+03
1.65591037e+00,1.37147266e+04,1.91899336e+04,1.23543066e+04,1.13265845e+03
1.72411728e+00,1.30352617e+04,1.82432148e+04,1.19383984e+04,1.20726489e+03
1.79407966e+00,1.31465527e+04,1.84042988e+04,1.22988398e+04,1.37285852e+03
1.86584306e+00,1.41922305e+04,1.98742285e+04,1.35632939e+04,1.65270520e+03
1.93945324e+00,1.61107920e+04,2.25662930e+04,1.56691719e+04,2.02154358e+03
2.01495814e+00,1.89220391e+04,2.65088105e+04,1.86955293e+04,2.49260913e+03
2.09240627e+00,2.20924297e+04,3.09508398e+04,2.18678867e+04,2.78229102e+03
2.17184782e+00,2.37227012e+04,3.32264570e+04,2.30516875e+04,2.72131445e+03
2.25333428e+00,2.21325684e+04,3.09920762e+04,2.11562422e+04,2.34680420e+03
2.33691788e+00,1.91042578e+04,2.67493633e+04,1.81052109e+04,1.93590015e+03
2.42265272e+00,1.62544268e+04,2.27560898e+04,1.51717471e+04,1.53634534e+03
2.51059437e+00,1.36431270e+04,1.90999355e+04,1.26727773e+04,1.32745581e+03
2.60079956e+00,1.28691504e+04,1.80206816e+04,1.21173594e+04,1.36638879e+03
2.69332647e+00,1.44464678e+04,2.02335273e+04,1.37904883e+04,1.68576587e+03
2.78823495e+00,1.76120508e+04,2.46701055e+04,1.69541074e+04,2.09570898e+03
2.88558602e+00,1.89419922e+04,2.65286152e+04,1.80866914e+04,2.21304590e+03
2.98544264e+00,1.91202227e+04,2.67794688e+04,1.83988672e+04,2.40089404e+03
3.08786964e+00,2.04684727e+04,2.86676719e+04,1.97305664e+04,2.64668848e+03
3.19293284e+00,2.00022305e+04,2.80139238e+04,1.92933438e+04,2.64048901e+03
3.30070019e+00,1.75633691e+04,2.45983672e+04,1.69796055e+04,2.33156934e+03
3.41124129e+00,1.50014893e+04,2.10133477e+04,1.46479189e+04,2.07211768e+03
3.52462745e+00,1.46540000e+04,2.05310781e+04,1.44710342e+04,2.03515894e+03
3.64093208e+00,1.56990996e+04,2.19947070e+04,1.54591084e+04,2.10172144e+03
3.76023054e+00,1.65496328e+04,2.31864297e+04,1.63189375e+04,2.19347095e+03
3.88259912e+00,1.80032344e+04,2.52264375e+04,1.78877363e+04,2.43216504e+03
4.00811720e+00,2.12137051e+04,2.97248555e+04,2.09926328e+04,2.70764551e+03
4.13686609e+00,2.30267500e+04,3.22573965e+04,2.24296504e+04,2.72186426e+03
4.26892853e+00,2.25281816e+04,3.15537793e+04,2.17321758e+04,2.61124316e+03
4.40439081e+00,2.15362031e+04,3.01595781e+04,2.05689102e+04,2.44796777e+03
4.54333878e+00,1.95196191e+04,2.73310547e+04,1.84349551e+04,2.16536230e+03
4.68586397e+00,1.68037969e+04,2.35242422e+04,1.56841719e+04,1.78479871e+03
4.83205652e+00,1.43668145e+04,2.01104199e+04,1.33239121e+04,1.54292859e+03
4.98201227e+00,1.29836514e+04,1.81753086e+04,1.20979307e+04,1.44007556e+03
5.13582754e+00,1.27439453e+04,1.78420391e+04,1.19832451e+04,1.48483472e+03
5.29360199e+00,1.27144170e+04,1.78020645e+04,1.20317012e+04,1.53249426e+03
5.45543718e+00,1.22688164e+04,1.71802051e+04,1.17110186e+04,1.55581714e+03
5.62143755e+00,1.18938613e+04,1.66580078e+04,1.14664277e+04,1.57336243e+03
5.79171038e+00,1.17229941e+04,1.64200859e+04,1.13466592e+04,1.58580688e+03
5.96636629e+00,1.12659980e+04,1.57804834e+04,1.09277090e+04,1.55113538e+03
6.14551687e+00,1.08530938e+04,1.52028770e+04,1.05796270e+04,1.53964856e+03
