Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.09429882e-03,1.43917110e-02,3.66108060e-01,2.66006374e+01
7.99999982e-02,1.14581091e-02,1.80380028e-02,4.12669718e-01,2.80728569e+01
1.19999997e-01,1.42626502e-02,2.23384481e-02,4.54284251e-01,2.84065533e+01
1.59999996e-01,1.86432283e-02,2.89939940e-02,5.14457941e-01,2.95049419e+01
2.00000003e-01,2.49898769e-02,3.85803059e-02,6.08891487e-01,3.01428528e+01
2.39999995e-01,3.43110152e-02,5.28784953e-02,7.55923748e-01,3.10604267e+01
2.80000001e-01,4.72293869e-02,7.25144669e-02,9.69204783e-01,3.17740021e+01
3.19999993e-01,6.42870888e-02,9.81195495e-02,1.25357771e+00,3.25688667e+01
3.60000014e-01,8.72750580e-02,1.32631481e-01,1.61080790e+00,3.32136230e+01
4.00000006e-01,1.18651584e-01,1.79855391e-01,1.99859989e+00,3.38942795e+01
4.39999998e-01,1.61363840e-01,2.44538411e-01,2.36932135e+00,3.45421410e+01
4.79999989e-01,2.17382029e-01,3.29060376e-01,2.69485974e+00,3.52700233e+01
5.19999981e-01,2.87125111e-01,4.33857232e-01,2.96741414e+00,3.60350037e+01
5.60000002e-01,3.69762093e-01,5.56210518e-01,3.20059896e+00,3.68660660e+01
6.00000024e-01,4.55391675e-01,6.81395531e-01,3.40290618e+00,3.76999512e+01
6.41029537e-01,5.42436421e-01,8.07059169e-01,3.58896637e+00,3.86685600e+01
6.83115125e-01,6.20775044e-01,9.19331253e-01,3.75668907e+00,3.97870102e+01
7.26283848e-01,6.94133759e-01,1.02416027e+00,3.90904260e+00,4.20708809e+01
7.70563781e-01,7.50072420e-01,1.10274041e+00,4.04151297e+00,4.30430489e+01
8.15983355e-01,7.94148207e-01,1.16549563e+00,4.14156294e+00,4.54280205e+01
8.62571895e-01,8.24415147e-01,1.20874023e+00,4.19475842e+00,4.51204147e+01
9.10359621e-01,8.47144961e-01,1.24138463e+00,4.19560671e+00,4.83328972e+01
9.59377348e-01,8.60023677e-01,1.25952446e+00,4.15663528e+00,4.98401566e+01
1.00965667e+00,8.63924026e-01,1.26417017e+00,4.11056328e+00,5.43982010e+01
1.06123006e+00,8.57991815e-01,1.25458658e+00,4.08250999e+00,5.35555573e+01
1.11413085e+00,8.49699080e-01,1.24277616e+00,4.06121826e+00,5.74002991e+01
1.16839325e+00,8.51242542e-01,1.24528050e+00,4.03411865e+00,5.82918205e+01
1.22405231e+00,8.63022566e-01,1.26251745e+00,3.98616123e+00,6.13198853e+01
1.28114390e+00,8.89536202e-01,1.30047607e+00,3.91015124e+00,6.54287643e+01
1.33970511e+00,9.25549805e-01,1.35099173e+00,3.79076242e+00,6.35326424e+01
1.39977336e+00,1.95361348e+04,2.73648164e+04,1.92630586e+04,2.02877258e+03
1.46138775e+00,2.23219805e+04,3.12536641e+04,2.12237246e+04,1.92935986e+03
1.52458799e+00,1.89957031e+04,2.65962773e+04,1.80857168e+04,1.76763025e+03
