Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.90076397e-02,4.67307493e-02,5.23219585e-01,1.04984722e+01
7.99999982e-02,6.33912534e-02,9.65041295e-02,5.94990849e-01,1.05767574e+01
1.19999997e-01,9.17642936e-02,1.37067959e-01,6.52698636e-01,1.06657267e+01
1.59999996e-01,1.11928500e-01,1.66047797e-01,6.91441417e-01,1.07836523e+01
2.00000003e-01,1.36416540e-01,2.01134652e-01,7.44676232e-01,1.09446497e+01
2.39999995e-01,1.67463139e-01,2.45523825e-01,8.01939428e-01,1.11347084e+01
2.80000001e-01,1.90962017e-01,2.79222101e-01,8.49047363e-01,1.13533363e+01
3.19999993e-01,2.15668380e-01,3.14679503e-01,9.00720119e-01,1.16035862e+01
3.60000014e-01,2.42194548e-01,3.52710724e-01,9.56902504e-01,1.18750114e+01
4.00000006e-01,2.69589156e-01,3.91920686e-01,1.01798546e+00,1.21086464e+01
4.39999998e-01,2.89866537e-01,4.20907646e-01,1.06850755e+00,1.23259506e+01
4.79999989e-01,3.15772235e-01,4.57931101e-01,1.13116109e+00,1.24862232e+01
5.19999981e-01,3.42785031e-01,4.96664017e-01,1.21172178e+00,1.26321306e+01
5.60000002e-01,3.69879842e-01,5.35327017e-01,1.30171454e+00,1.26890106e+01
6.00000024e-01,4.01803851e-01,5.80988467e-01,1.40835059e+00,1.28214149e+01
6.41029537e-01,4.24871653e-01,6.14208639e-01,1.52837002e+00,1.29157419e+01
6.83115125e-01,4.49154973e-01,6.49455070e-01,1.67621613e+00,1.30841265e+01
7.26283848e-01,4.79352653e-01,6.93602324e-01,1.85630512e+00,1.33001785e+01
7.70563781e-01,5.08736312e-01,7.37074018e-01,2.04801106e+00,1.35109167e+01
8.15983355e-01,5.51195025e-01,7.99768686e-01,2.25265288e+00,1.37368145e+01
8.62571895e-01,6.03270888e-01,8.76748919e-01,2.46705437e+00,1.39366941e+01
9.10359621e-01,6.54742301e-01,9.53721106e-01,2.67555022e+00,1.41135988e+01
9.59377348e-01,7.40362763e-01,1.08036232e+00,2.92280531e+00,1.43350191e+01
1.00965667e+00,8.36922467e-01,1.22348177e+00,3.19070792e+00,1.44880867e+01
1.06123006e+00,9.56332505e-01,1.39970565e+00,3.46693802e+00,1.46952915e+01
1.11413085e+00,1.09936452e+00,1.61062908e+00,3.80311847e+00,1.47156096e+01
1.16839325e+00,1.29652917e+00,1.89970517e+00,4.21120119e+00,1.48892431e+01
1.22405231e+00,1.50877917e+00,2.21161699e+00,4.64016247e+00,1.53160152e+01
1.28114390e+00,1.80677819e+00,2.64782691e+00,5.18750668e+00,1.53462276e+01
1.33970511e+00,2.21159887e+00,3.24060297e+00,6.00031328e+00,1.61761475e+01
1.39977336e+00,1.86295195e+04,2.60805156e+04,1.73933477e+04,1.03839856e+03
1.46138775e+00,2.07850762e+04,2.90747188e+04,1.82006953e+04,1.19143970e+03
1.52458799e+00,1.98946641e+04,2.78300840e+04,1.75427090e+04,1.32803735e+03
1.58941495e+00,1.92094180e+04,2.68816719e+04,1.74186094e+04,1.52760901e+03
1.65591037e+00,1.90454238e+04,2.66565938e+04,1.74691211e+04,1.61194250e+03
1.72411728e+00,1.88413887e+04,2.63732734e+04,1.73764219e+04,1.65725928e+03
1.79407966e+00,1.85836758e+04,2.60138555e+04,1.71928438e+04,1.67797192e+03
1.86584306e+00,1.82078730e+04,2.54884902e+04,1.68744531e+04,1.67684302e+03
1.93945324e+00,1.77745859e+04,2.48822246e+04,1.64876113e+04,1.66089917e+03
2.01495814e+00,1.72364414e+04,2.41289023e+04,1.59917578e+04,1.62532471e+03
2.09240627e+00,1.65815957e+04,2.32120508e+04,1.53809316e+04,1.57752527e+03
2.17184782e+00,1.58630732e+04,2.22061152e+04,1.47125635e+04,1.51992297e+03
2.25333428e+00,1.51737021e+04,2.12409707e+04,1.40717637e+04,1.46262695e+03
2.33691788e+00,1.44941572e+04,2.02894824e+04,1.34396113e+04,1.40837561e+03
2.42265272e+00,1.38171016e+04,1.93415996e+04,1.28124580e+04,1.35000476e+03
2.51059437e+00,1.31879961e+04,1.84608555e+04,1.22300488e+04,1.30136182e+03
2.60079956e+00,1.25961123e+04,1.76321641e+04,1.16805840e+04,1.24559326e+03
2.69332647e+00,1.20220918e+04,1.68284766e+04,1.11463799e+04,1.19835315e+03
2.78823495e+00,1.14621553e+04,1.60444688e+04,1.06237969e+04,1.14436072e+03
2.88558602e+00,1.08846191e+04,1.52358701e+04,1.00864766e+04,1.09319873e+03
2.98544264e+00,1.02739766e+04,1.43810273e+04,9.52198730e+03,1.03605798e+03
3.08786964e+00,9.63044531e+03,1.34802959e+04,8.93227246e+03,9.80725098e+02
3.19293284e+00,9.00217676e+03,1.26010605e+04,8.36103027e+03,9.29280640e+02
3.30070019e+00,8.46964844e+03,1.18558330e+04,7.87605908e+03,8.88379089e+02
3.41124129e+00,8.17206934e+03,1.14391387e+04,7.59530664e+03,8.58854248e+02
3.52462745e+00,8.12345361e+03,1.13706064e+04,7.53437158e+03,8.52516052e+02
3.64093208e+00,8.17311328e+03,1.14394648e+04,7.56215576e+03,8.61416199e+02
3.76023054e+00,8.06050830e+03,1.12816377e+04,7.45770898e+03,8.53876404e+02
3.88259912e+00,7.60618604e+03,1.06460957e+04,7.05766602e+03,8.27029602e+02
4.00811720e+00,6.92157178e+03,9.68848535e+03,6.45042920e+03,7.71957947e+02
4.13686609e+00,6.22585303e+03,8.71520410e+03,5.82454980e+03,7.13464966e+02
4.26892853e+00,5.66115186e+03,7.92489600e+03,5.30293115e+03,6.57616699e+02
4.40439081e+00,5.32506885e+03,7.45413086e+03,4.97587598e+03,6.15007080e+02
4.54333878e+00,5.23814697e+03,7.33197070e+03,4.87490039e+03,6.05404663e+02
4.68586397e+00,5.34878516e+03,7.48637695e+03,4.95973682e+03,6.06819458e+02
4.83205652e+00,5.56265771e+03,7.78544385e+03,5.14830371e+03,6.31714355e+02
4.98201227e+00,5.74924463e+03,8.04677783e+03,5.33034570e+03,6.54133606e+02
5.13582754e+00,5.81023193e+03,8.13270996e+03,5.41218848e+03,6.77039612e+02
5.29360199e+00,5.68740674e+03,7.96153223e+03,5.32917041e+03,6.83207336e+02
5.45543718e+00,5.45594678e+03,7.63812109e+03,5.13659619e+03,6.63350037e+02
5.62143755e+00,5.22424170e+03,7.31397070e+03,4.92761182e+03,6.50346558e+02
5.79171038e+00,5.06821631e+03,7.09531738e+03,4.77195947e+03,6.29186890e+02
5.96636629e+00,5.04718018e+03,7.06529639e+03,4.72971582e+03,6.17973083e+02
6.14551687e+00,5.17508350e+03,7.24366064e+03,4.82439258e+03,6.24234802e+02
6.32927942e+00,5.35436426e+03,7.49408203e+03,4.97384180e+03,6.39244080e+02
6.51777077e+00,5.51718848e+03,7.72187549e+03,5.12374512e+03,6.64020813e+02
6.71111441e+00,5.60099707e+03,7.83957617e+03,5.21912012e+03,6.90092834e+02
6.90943432e+00,5.57380713e+03,7.80223682e+03,5.22275000e+03,7.11952698e+02
7.11285782e+00,5.50943555e+03,7.71305566e+03,5.19890039e+03,7.25459351e+02
7.32151794e+00,5.40444727e+03,7.56705713e+03,5.13726953e+03,7.40110962e+02
7.53554821e+00,5.28925684e+03,7.40647656e+03,5.05281250e+03,7.36329834e+02
7.75508738e+00,5.32367969e+03,7.45497705e+03,5.09517432e+03,7.48784058e+02
7.98027754e+00,5.46693896e+03,7.65552344e+03,5.22899658e+03,7.59155334e+02
8.21126270e+00,5.69357715e+03,7.97243750e+03,5.42922949e+03,7.81062561e+02
8.44819450e+00,6.02281445e+03,8.43269434e+03,5.71799414e+03,8.04792969e+02
8.69122219e+00,6.44748438e+03,9.02654395e+03,6.10040039e+03,8.44373779e+02
8.94050789e+00,6.90694824e+03,9.66930762e+03,6.52697461e+03,8.92933289e+02
9.19620800e+00,7.39041895e+03,1.03459863e+04,6.99238379e+03,9.53528137e+02
9.45849037e+00,7.83208203e+03,1.09645859e+04,7.44161914e+03,1.01384686e+03
9.72752285e+00,8.18811182e+03,1.14636133e+04,7.82800732e+03,1.06776904e+03
1.00034800e+01,8.37807227e+03,1.17303301e+04,8.07360449e+03,1.10181140e+03
1.02865391e+01,8.47061133e+03,1.18610137e+04,8.25885645e+03,1.13241089e+03
1.05768833e+01,8.49893848e+03,1.19015068e+04,8.40510156e+03,1.15055237e+03
1.08747025e+01,8.58467090e+03,1.20229736e+04,8.67732617e+03,1.18444153e+03
1.11801853e+01,9.36707227e+03,1.31203242e+04,9.68475879e+03,1.29544531e+03
1.14935322e+01,1.04741123e+04,1.46710137e+04,1.10112441e+04,1.40924963e+03
1.18149433e+01,1.16587441e+04,1.63304629e+04,1.24456924e+04,1.54379871e+03
1.21446266e+01,1.39856152e+04,1.95906582e+04,1.49925693e+04,1.82828662e+03
1.24827967e+01,1.72803281e+04,2.42059043e+04,1.83686328e+04,2.17431079e+03
1.28296700e+01,1.76916484e+04,2.47834219e+04,1.88780156e+04,2.17071411e+03
1.31854706e+01,1.76528301e+04,2.47367695e+04,1.91206406e+04,2.21833984e+03
1.35504293e+01,1.73749863e+04,2.43582012e+04,1.90940703e+04,2.21510840e+03
1.39247818e+01,1.66524004e+04,2.33566348e+04,1.85054512e+04,2.12452173e+03
1.43087692e+01,1.42634844e+04,2.00209355e+04,1.63139668e+04,1.82571741e+03
1.47026405e+01,1.30613594e+04,1.83578984e+04,1.57258350e+04,1.83407715e+03
1.51066484e+01,1.94781562e+04,2.73683379e+04,2.23653828e+04,2.61893506e+03
1.55210552e+01,2.91005000e+04,4.08406250e+04,3.10589922e+04,3.35438257e+03
1.59461288e+01,2.77717695e+04,3.89634375e+04,2.88308066e+04,2.78191821e+03
1.63821430e+01,2.06156426e+04,2.89518984e+04,2.15239355e+04,2.03296936e+03
1.68293781e+01,1.95720039e+04,2.75017305e+04,1.97586074e+04,1.94067480e+03
1.72881241e+01,1.97218066e+04,2.77133945e+04,1.89171543e+04,1.90223401e+03
1.77586803e+01,1.98050625e+04,2.78118535e+04,1.81915059e+04,1.89612036e+03
1.82413464e+01,2.17528574e+04,3.05092773e+04,1.96128574e+04,2.10713501e+03
1.87364349e+01,2.63004785e+04,3.68644688e+04,2.28681367e+04,2.32055127e+03
1.92442665e+01,2.97996074e+04,4.16738281e+04,2.29069219e+04,2.33277905e+03
1.97651691e+01,2.83920781e+04,3.96109883e+04,2.16812754e+04,2.17095068e+03
