Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.09741474e-02,1.57929119e-02,2.39694715e-02,2.42469506e-03
7.99999982e-02,1.72626823e-02,2.45891083e-02,3.14550512e-02,7.55928038e-03
1.19999997e-01,2.31146850e-02,3.27510573e-02,3.76581624e-02,1.97877530e-02
1.59999996e-01,2.70881876e-02,3.83221917e-02,4.25068438e-02,4.37453017e-02
2.00000003e-01,3.26322764e-02,4.60499264e-02,4.88239191e-02,6.46782219e-02
2.39999995e-01,3.86211425e-02,5.43870255e-02,5.51376119e-02,9.81994271e-02
2.80000001e-01,4.33813147e-02,6.10307157e-02,6.09236211e-02,1.46472648e-01
3.19999993e-01,4.84533086e-02,6.80841655e-02,6.67750314e-02,1.94563121e-01
3.60000014e-01,5.36123514e-02,7.52694160e-02,7.32101128e-02,2.69414365e-01
4.00000006e-01,5.88250309e-02,8.24944675e-02,7.95007423e-02,3.58661622e-01
4.39999998e-01,6.24977946e-02,8.75755250e-02,8.45186412e-02,4.57891792e-01
4.79999989e-01,6.64807707e-02,9.30474550e-02,8.97177309e-02,5.91007113e-01
5.19999981e-01,7.07102567e-02,9.88666713e-02,9.59537625e-02,7.22833991e-01
5.60000002e-01,7.49020949e-02,1.04635462e-01,1.02914378e-01,9.24089432e-01
6.00000024e-01,7.95461312e-02,1.11058123e-01,1.11373708e-01,1.08556747e+00
6.41029537e-01,8.22810754e-02,1.14833564e-01,1.19429573e-01,1.42422938e+00
6.83115125e-01,8.45074430e-02,1.17962405e-01,1.29104555e-01,1.54086006e+00
7.26283848e-01,8.69738609e-02,1.21526323e-01,1.41686231e-01,1.88158309e+00
7.70563781e-01,8.85570645e-02,1.24020405e-01,1.56430751e-01,2.08599067e+00
8.15983355e-01,9.26190913e-02,1.30138516e-01,1.74295217e-01,2.47372532e+00
8.62571895e-01,9.92448628e-02,1.39949411e-01,1.94295198e-01,2.55411148e+00
9.10359621e-01,1.05740137e-01,1.49644643e-01,2.12681517e-01,2.98773289e+00
9.59377348e-01,1.19436815e-01,1.69502735e-01,2.37193406e-01,3.13639069e+00
1.00965667e+00,1.33757606e-01,1.90307975e-01,2.58443058e-01,3.51357603e+00
1.06123006e+00,1.53505117e-01,2.18748376e-01,2.80485451e-01,3.96015596e+00
1.11413085e+00,1.77787781e-01,2.53638148e-01,3.05178374e-01,4.48006153e+00
1.16839325e+00,2.13567346e-01,3.04676473e-01,3.40287149e-01,4.82908106e+00
1.22405231e+00,2.52466261e-01,3.60073388e-01,3.79561841e-01,5.33096027e+00
1.28114390e+00,3.10753763e-01,4.42491025e-01,4.37333345e-01,5.94596434e+00
1.33970511e+00,3.96024227e-01,5.62959492e-01,5.35785258e-01,6.87516117e+00
1.39977336e+00,1.92462227e+04,2.69597598e+04,1.90423750e+04,1.97662000e+03
1.46138775e+00,2.22736250e+04,3.11870996e+04,2.12060391e+04,1.87714185e+03
1.52458799e+00,1.66651016e+04,2.33321367e+04,1.58211406e+04,1.48675024e+03
1.58941495e+00,1.57236230e+04,2.20194023e+04,1.52007627e+04,1.62629614e+03
1.65591037e+00,1.56630781e+04,2.19374668e+04,1.52879629e+04,1.74785132e+03
1.72411728e+00,1.58229277e+04,2.21631680e+04,1.55368223e+04,1.85304895e+03
1.79407966e+00,1.60338281e+04,2.24598359e+04,1.58073691e+04,1.94493750e+03
1.86584306e+00,1.62230117e+04,2.27257070e+04,1.60379561e+04,2.00998157e+03
1.93945324e+00,1.63413770e+04,2.28921016e+04,1.61846035e+04,2.06117432e+03
2.01495814e+00,1.63617871e+04,2.29210859e+04,1.62246758e+04,2.08698901e+03
2.09240627e+00,1.63298535e+04,2.28766309e+04,1.62072256e+04,2.10641162e+03
2.17184782e+00,1.62810742e+04,2.28084766e+04,1.61688906e+04,2.11667896e+03
2.25333428e+00,1.61708359e+04,2.26540664e+04,1.60626562e+04,2.11691553e+03
2.33691788e+00,1.58153555e+04,2.21559844e+04,1.57081562e+04,2.08442847e+03
2.42265272e+00,1.51336133e+04,2.12010488e+04,1.50374434e+04,2.02140845e+03
2.51059437e+00,1.43488701e+04,2.01020703e+04,1.42725439e+04,1.95190674e+03
2.60079956e+00,1.38404512e+04,1.93903047e+04,1.37861494e+04,1.91803027e+03
2.69332647e+00,1.41605537e+04,1.98393281e+04,1.41298975e+04,2.00836096e+03
2.78823495e+00,1.52948184e+04,2.14285723e+04,1.52716611e+04,2.15915137e+03
2.88558602e+00,1.63773691e+04,2.29448496e+04,1.63455049e+04,2.35671582e+03
2.98544264e+00,1.70577168e+04,2.38976426e+04,1.70196367e+04,2.41205957e+03
3.08786964e+00,1.71095312e+04,2.39697734e+04,1.70584492e+04,2.43682104e+03
3.19293284e+00,1.61495195e+04,2.26244531e+04,1.60885215e+04,2.31191309e+03
3.30070019e+00,1.45534004e+04,2.03883828e+04,1.44997500e+04,2.11241309e+03
3.41124129e+00,1.30990244e+04,1.83511250e+04,1.30588379e+04,1.92490613e+03
3.52462745e+00,1.19766221e+04,1.67787910e+04,1.19411318e+04,1.78099805e+03
3.64093208e+00,1.13213770e+04,1.58611328e+04,1.12976367e+04,1.70524487e+03
3.76023054e+00,1.15249082e+04,1.61467422e+04,1.15164424e+04,1.75358447e+03
3.88259912e+00,1.27383281e+04,1.78470137e+04,1.27344219e+04,1.92052441e+03
4.00811720e+00,1.44238350e+04,2.02081895e+04,1.44079639e+04,2.14703711e+03
4.13686609e+00,1.54736836e+04,2.16787500e+04,1.54529160e+04,2.29117651e+03
4.26892853e+00,1.58310000e+04,2.21790176e+04,1.58043301e+04,2.34319092e+03
4.40439081e+00,1.54103076e+04,2.15891680e+04,1.53723945e+04,2.29061890e+03
4.54333878e+00,1.42397559e+04,1.99489395e+04,1.41956416e+04,2.11911938e+03
4.68586397e+00,1.27964873e+04,1.79268223e+04,1.27499492e+04,1.93030737e+03
4.83205652e+00,1.15766348e+04,1.62177080e+04,1.15239316e+04,1.73901355e+03
4.98201227e+00,1.07160430e+04,1.50119033e+04,1.06558047e+04,1.63212952e+03
5.13582754e+00,1.02892686e+04,1.44141504e+04,1.02321230e+04,1.55571289e+03
5.29360199e+00,1.03248740e+04,1.44642891e+04,1.02753945e+04,1.58167041e+03
5.45543718e+00,1.06378242e+04,1.49029297e+04,1.05947773e+04,1.62089233e+03
5.62143755e+00,1.10856201e+04,1.55305283e+04,1.10518721e+04,1.70686133e+03
5.79171038e+00,1.16527617e+04,1.63252578e+04,1.16261699e+04,1.78038525e+03
5.96636629e+00,1.20824600e+04,1.69273027e+04,1.20603652e+04,1.86235059e+03
6.14551687e+00,1.22869521e+04,1.72138594e+04,1.22724121e+04,1.89458777e+03
6.32927942e+00,1.25229014e+04,1.75443867e+04,1.25112686e+04,1.94756689e+03
6.51777077e+00,1.26860850e+04,1.77726680e+04,1.26639238e+04,1.96200183e+03
6.71111441e+00,1.23373965e+04,1.72837324e+04,1.22995830e+04,1.90526111e+03
6.90943432e+00,1.17148799e+04,1.64113086e+04,1.16661865e+04,1.81466907e+03
7.11285782e+00,1.12109609e+04,1.57052305e+04,1.11587178e+04,1.74628516e+03
7.32151794e+00,1.09214756e+04,1.52998564e+04,1.08768438e+04,1.72104578e+03
7.53554821e+00,1.08652012e+04,1.52213340e+04,1.08330059e+04,1.72841028e+03
7.75508738e+00,1.10225625e+04,1.54420996e+04,1.10023428e+04,1.76672925e+03
7.98027754e+00,1.13521504e+04,1.59041621e+04,1.13453457e+04,1.82979321e+03
8.21126270e+00,1.16960508e+04,1.63860371e+04,1.16946934e+04,1.88918188e+03
8.44819450e+00,1.18716426e+04,1.66318477e+04,1.18663604e+04,1.91611023e+03
8.69122219e+00,1.19202979e+04,1.66996387e+04,1.19071650e+04,1.92615247e+03
8.94050789e+00,1.17055293e+04,1.63985156e+04,1.16954453e+04,1.91313574e+03
9.19620800e+00,1.17116582e+04,1.64072305e+04,1.17207803e+04,1.93470642e+03
9.45849037e+00,1.21512793e+04,1.70230430e+04,1.21681826e+04,1.99673804e+03
9.72752285e+00,1.23039893e+04,1.72372734e+04,1.23340264e+04,2.02660730e+03
1.00034800e+01,1.24798818e+04,1.74845996e+04,1.25439443e+04,2.06559033e+03
1.02865391e+01,1.30898691e+04,1.83393340e+04,1.31675039e+04,2.16173730e+03
1.05768833e+01,1.29488564e+04,1.81424141e+04,1.30811816e+04,2.17706323e+03
1.08747025e+01,1.34670518e+04,1.88696309e+04,1.36833711e+04,2.30886816e+03
1.11801853e+01,1.39473730e+04,1.95424727e+04,1.41980215e+04,2.41365674e+03
1.14935322e+01,1.32109590e+04,1.85123418e+04,1.35858125e+04,2.36511987e+03
1.18149433e+01,1.41599414e+04,1.98438184e+04,1.46706611e+04,2.49935278e+03
1.21446266e+01,1.55923291e+04,2.18535078e+04,1.62779551e+04,2.73861035e+03
1.24827967e+01,1.56863213e+04,2.19879629e+04,1.65659824e+04,2.75470605e+03
1.28296700e+01,1.59111963e+04,2.23046348e+04,1.69889121e+04,2.76869092e+03
1.31854706e+01,1.98350527e+04,2.78025762e+04,2.11112188e+04,3.23591504e+03
1.35504293e+01,2.38029746e+04,3.33627539e+04,2.53351973e+04,3.67552368e+03
1.39247818e+01,2.24026797e+04,3.14070488e+04,2.44061797e+04,3.43552393e+03
